page,code,name,req,score,语数之和,语数最高,外语,物理,再选最高,再选次高,志愿号,备注,row
1,A00105,北京大学第05组,不限,693,266,139,143,95,97,92,1,,A00105 | 北京大学第05组 | 不限 | 693 | 266 | 139 | 143 | 95 | 97 | 92 | 1
1,A00106,北京大学第06组,不限,676,261,133,131,96,90,88,1,国家专项计划,A00106 | 北京大学第06组 | 不限 | 676 | 261 | 133 | 131 | 96 | 90 | 88 | 1 | 国家专项计划
1,A00107,北京大学第07组,化,677,256,133,145,93,97,86,6,国家专项计划,A00107 | 北京大学第07组 | 化 | 677 | 256 | 133 | 145 | 93 | 97 | 86 | 6 | 国家专项计划
1,A00205,中国人民大学第05组,不限,673,251,129,141,93,95,93,1,,A00205 | 中国人民大学第05组 | 不限 | 673 | 251 | 129 | 141 | 93 | 95 | 93 | 1
1,A00206,中国人民大学第06组,不限,655,237,121,139,88,93,88,5,国家专项计划,A00206 | 中国人民大学第06组 | 不限 | 655 | 237 | 121 | 139 | 88 | 93 | 88 | 5 | 国家专项计划
1,A00304,清华大学第04组,不限,693,262,137,141,100,97,93,1,,A00304 | 清华大学第04组 | 不限 | 693 | 262 | 137 | 141 | 100 | 97 | 93 | 1
1,A00305,清华大学第05组,不限,683,255,139,143,94,96,95,1,国家专项计划,A00305 | 清华大学第05组 | 不限 | 683 | 255 | 139 | 143 | 94 | 96 | 95 | 1 | 国家专项计划
1,A00306,清华大学第06组,不限,688,268,137,143,89,95,93,1,,A00306 | 清华大学第06组 | 不限 | 688 | 268 | 137 | 143 | 89 | 95 | 93 | 1
1,A00307,清华大学第07组,化,693,268,135,147,92,室96,90,】1,,A00307 | 清华大学第07组 | 化 | 693 | 268 | 135 | 147 | 92 | 室96 | 90 | 】1
1,A00308,清华大学第08组,化,678,259,134,142,94,92,91,B2,国家专项计划,A00308 | 清华大学第08组 | 化 | 678 | 259 | 134 | 142 | 94 | 92 | 91 | B2 | 国家专项计划
1,A00402,北京交通大学第02组,不限,638,242,123,140,公82,92,S82,1,,A00402 | 北京交通大学第02组 | 不限 | 638 | 242 | 123 | 140 | 公82 | 92 | S82 | 1
1,A00403,北京交通大学第03组,不限,630,250,126,办123,81,89,Z87,11,,A00403 | 北京交通大学第03组 | 不限 | 630 | 250 | 126 | 办123 | 81 | 89 | Z87 | 11
1,A00404,北京交通大学第04组,不限,610,228,121,134,77,S91,80,5,,A00404 | 北京交通大学第04组 | 不限 | 610 | 228 | 121 | 134 | 77 | S91 | 80 | 5
1,A00405,北京交通大学第05组,不限,615,228,会126,128,B82,89,88,1,,A00405 | 北京交通大学第05组 | 不限 | 615 | 228 | 会126 | 128 | B82 | 89 | 88 | 1
1,A00406,北京交通大学第06组,不限,597,218,110,110,H85,87,87,5,国家专项计划,A00406 | 北京交通大学第06组 | 不限 | 597 | 218 | 110 | 110 | H85 | 87 | 87 | 5 | 国家专项计划
