code,name,req,score,row
A00108,北京大学第08组,化,682,A00108 | 北京大学第08组 | 化 | 682 | 259 | 143 | 143 | 93 | 95 | 92 | 1
A00109,北京大学第09组,不限,666,A00109 | 北京大学第09组 | 不限 | 666 | 260 | 134 | 136 | 76 | 93 | 91 | 国家专项计划
A00110,北京大学第10组,化,668,A00110 | 北京大学第10组 | 化 | 668 | 265 | 135 | 140 | 79 | 92 | 92 | 2 | 国家专项计划
A00210,中国人民大学第10组,不限,660,A00210 | 中国人民大学第10组 | 不限 | 660 | 249 | 127 | 140 | 85 | 94 | 92
A00211,中国人民大学第11组,化,665,A00211 | 中国人民大学第11组 | 化 | 665 | 245 | 127 | 141 | 94 | 93 | 92
A00212,中国人民大学第12组,化,668,A00212 | 中国人民大学第12组 | 化 | 668 | 252 | 142 | 137 | 93 | 93 | 93
A00213,中国人民大学第13组,化,660,A00213 | 中国人民大学第13组 | 化 | 660 | 248 | 133 | 141 | 90 | 92 | 89
A00214,中国人民大学第14组,不限,623,A00214 | 中国人民大学第14组 | 不限 | 623 | 241 | 127 | 140 | 64 | 90 | 78 | 3 | 国家专项计划
A00215,中国人民大学第15组,化,627,A00215 | 中国人民大学第15组 | 化 | 627 | 244 | 130 | 127 | 77 | 90 | 89 | 10 | 国家专项计划
A00308,清华大学第08组,化,682,A00308 | 清华大学第08组 | 化 | 682 | 254 | 128 | 143 | 93 | 96 | 96
A00309,清华大学第09组,化,672,A00309 | 清华大学第09组 | 化 | 672 | 262 | 137 | 138 | 89 | 94 | 89 | 4
A00310,清华大学第10组,化,672,A00310 | 清华大学第10组 | 化 | 672 | 251 | 137 | 136 | 86 | 96 | 93 | 1 | 国家专项计划
A00404,北京交通大学第04组,化,628,A00404 | 北京交通大学第04组 | 化 | 628 | 246 | 136 | 117 | 83 | 93 | 89 | 10
A00405,北京交通大学第05组,化,627,A00405 | 北京交通大学第05组 | 化 | 627 | 224 | 115 | 133 | 85 | 94 | 91 | 9
A00406,北京交通大学第06组,化,620,A00406 | 北京交通大学第06组 | 化 | 620 | 243 | 132 | 127 | 78 | 86 | 86
A00407,北京交通大学第07组,化,605,A00407 | 北京交通大学第07组 | 化 | 605 | 215 | 134 | 129 | 80 | 91 | 90
A00408,北京交通大学第08组,化,604,A00408 | 北京交通大学第08组 | 化 | 604 | 219 | 111 | 137 | 76 | 88 | 84 | 8
A00409,北京交通大学第09组,化,598,A00409 | 北京交通大学第09组 | 化 | 598 | 218 | 110 | 143 | 65 | 89 | 83
A00410,北京交通大学第10组,化,587,A00410 | 北京交通大学第10组 | 化 | 587 | 211 | 112 | 126 | 68 | 93 | 89 | 民族班
A00411,北京交通大学第11组,不限,586,A00411 | 北京交通大学第11组 | 不限 | 586 | 233 | 128 | 122 | 64 | 87 | 80 | 国家专项计划
A00412,北京交通大学第12组,化,593,A00412 | 北京交通大学第12组 | 化 | 593 | 232 | 124 | 118 | 57 | 91 | 85 | 国家专项计划
A00606,北京航空航天大学第06组,化,653,A00606 | 北京航空航天大学第06组 | 化 | 653 | 260 | 135 | 129 | 86 | 92 | 86
A00607,北京航空航天大学第07组,化,630,A00607 | 北京航空航天大学第07组 | 化 | 630 | 241 | 132 | 123 | 83 | 93 | 90
A00608,北京航空航天大学第08组,化,634,A00608 | 北京航空航天大学第08组 | 化 | 634 | 241 | 128 | 128 | 83 | 92 | 80 | 17 | 民族班
A00609,北京航空航天大学第09组,化,635,A00609 | 北京航空航天大学第09组 | 化 | 635 | 239 | 120 | 141 | 80 | 89 | 86 | 国家专项计划
A00705,北京理工大学第05组,化,652,A00705 | 北京理工大学第05组 | 化 | 652 | 245 | 134 | 141 | 84 | 94 | 88
A00706,北京理工大学第06组,化,625,A00706 | 北京理工大学第06组 | 化 | 625 | 246 | 129 | 121 | 82 | 93 | 83 | 14
A00707,北京理工大学第07组,化,630,A00707 | 北京理工大学第07组 | 化 | 630 | 229 | 115 | 132 | 80 | 90 | 89 | 11 | 民族班
A00708,北京理工大学第08组,化,629,A00708 | 北京理工大学第08组 | 化 | 629 | 248 | 128 | 133 | 56 | 93 | 89 | 国家专项计划
A00805,北京科技大学第05组,不限,616,A00805 | 北京科技大学第05组 | 不限 | 616 | 233 | 127 | 136 | 74 | 88 | 85
A00806,北京科技大学第06组,化,615,A00806 | 北京科技大学第06组 | 化 | 615 | 234 | 118 | 139 | 66 | 91 | 85 | 17
A00807,北京科技大学第07组,化,616,A00807 | 北京科技大学第07组 | 化 | 616 | 229 | 122 | 129 | T9 | 90 | 89
A00808,北京科技大学第08组,化,583,A00808 | 北京科技大学第08组 | 化 | 583 | 219 | 116 | 112 | 71 | 91 | 80 | 国家专项计划
A01005,北京化工大学第05组,化,605,A01005 | 北京化工大学第05组 | 化 | 605 | 229 | 117 | 133 | 76 | 90 | 77 | 3
A01006,北京化工大学第06组,化,602,A01006 | 北京化工大学第06组 | 化 | 602 | 213 | 119 | 116 | 87 | 96 | 90
A01007,北京化工大学第07组,化,605,A01007 | 北京化工大学第07组 | 化 | 605 | 235 | 120 | 128 | 64 | 89 | 89
A01008,北京化工大学第08组,化,576,A01008 | 北京化工大学第08组 | 化 | 576 | 202 | 104 | 121 | 70 | 89 | 84 | 13
A01009,北京化工大学第09组,不限,582,A01009 | 北京化工大学第09组 | 不限 | 582 | 211 | 107 | 107 | 69 | 93 | 92 | 4 | 少数民族预科班
A01010,北京化工大学第10组,化,594,A01010 | 北京化工大学第10组 | 化 | 594 | 222 | 115 | 121 | 61 | 91 | 89 | 14 | 国家专项计划
A01303,北京邮电大学第03组,化,639,A01303 | 北京邮电大学第03组 | 化 | 639 | 245 | 135 | 129 | 89 | 88 | 88 | 4
A01304,北京邮电大学第04组,化,629,A01304 | 北京邮电大学第04组 | 化 | 629 | 238 | 122 | 128 | 73 | 96 | 94 | 2
A01305,北京邮电大学第05组,化,617,A01305 | 北京邮电大学第05组 | 化 | 617 | 226 | 123 | 135 | 76 | 91 | 89 | 20
A01306,北京邮电大学第06组,化,600,A01306 | 北京邮电大学第06组 | 化 | 600 | 230 | 117 | 128 | 82 | 83 | 77 | 5
A01307,北京邮电大学第07组,化,608,A01307 | 北京邮电大学第07组 | 化 | 608 | 223 | 114 | 133 | 65 | 89 | 88 | 少数民族预科班
A01308,北京邮电大学第08组,不限,608,A01308 | 北京邮电大学第08组 | 不限 | 608 | 233 | 118 | 135 | 55 | 93 | 92 | 3 | 国家专项计划
A01309,北京邮电大学第09组,化,621,A01309 | 北京邮电大学第09组 | 化 | 621 | 234 | 119 | 135 | 67 | 93 | 92 | 5 | 国家专项计划
A01905,中国农业大学第05组,化,614,A01905 | 中国农业大学第05组 | 化 | 614 | 215 | 111 | 130 | 80 | 96 | 93 | 7
A01906,中国农业大学第06组,化,596,A01906 | 中国农业大学第06组 | 化 | 596 | 231 | 124 | 133 | 60 | 90 | 82 | 10
A01907,中国农业大学第07组,化,602,A01907 | 中国农业大学第07组 | 化 | 602 | 231 | 119 | 126 | 58 | 93 | 84 | 国家专项计划
A02206,北京林业大学第06组,不限,580,A02206 | 北京林业大学第06组 | 不限 | 580 | 246 | 125 | 100 | 68 | 87 | 79 | 16
A02207,北京林业大学第07组,不限,585,A02207 | 北京林业大学第07组 | 不限 | 585 | 216 | 108 | 135 | 56 | 91 | 87
A02208,北京林业大学第08组,不限,593,A02208 | 北京林业大学第08组 | 不限 | 593 | 227 | 114 | 132 | 58 | 89 | 87
A02209,北京林业大学第09组,化,599,A02209 | 北京林业大学第09组 | 化 | 599 | 231 | 119 | 135 | 56 | 90 | 87 | 12
A02210,北京林业大学第10组,化,589,A02210 | 北京林业大学第10组 | 化 | 589 | 223 | 119 | 123 | 67 | 89 | 87 | 2
A02211,北京林业大学第11组,化,584,A02211 | 北京林业大学第11组 | 化 | 584 | 222 | 114 | 135 | 57 | 81 | 79 | 4
A02212,北京林业大学第12组,化,585,A02212 | 北京林业大学第12组 | 化 | 585 | 233 | 120 | 126 | 63 | 84 | 79 | 13
A02213,北京林业大学第13组,生,584,A02213 | 北京林业大学第13组 | 生 | 584 | 215 | 119 | 128 | 69 | 86 | 86 | 5
A02214,北京林业大学第14组,地,597,A02214 | 北京林业大学第14组 | 地 | 597 | 226 | 114 | 132 | 59 | 93 | 87 | 3
