year	score	code	name	req	row
2023	450	F05403	北京城市学院第03组	不限	F05403 | 北京城市学院第03组 | 不限 | 450 | 171 | 104 | 92 | 45 | 83 | 59 | 1
2023	450	C23803	武汉生物工程学院第03组	不限	C23803 | 武汉生物工程学院第03组 | 不限 | 450 | 170 | 95 | 101 | 24 | 85 | 70 | 13
2023	450	K52102	西安外事学院第02组	不限	K52102 | 西安外事学院第02组 | 不限 | 450 | 163 | 】101 | 92 | 55 | 73 | 57 | 26
2023	451	C23702	湖北师范大学文理学院第02组	不限	C23702 | 湖北师范大学文理学院第02组 | 不限 | 451 | 190 | 103 | 38 | 72 | 87 | 64 | 24
2023	451	K52701	高西安交通工程学院第01组	不限	K52701 | 高西安交通工程学院第01组 | 不限 | 451 | 189 | 95 | 83 | 34 | 74 | 71 | 6
2023	452	C23302	湖北工业大学工程技术学院第02组	不限	C23302 | 湖北工业大学工程技术学院第02组 | 不限 | 452 | 182 | 96 | 79 | 44 | 82 | 65 | 5
2023	453	K52202	西安翻译学院第02组	招不限	K52202 | 西安翻译学院第02组 | 招不限 | 453 | 170 | 114 | 109 | 53 | 64 | 57 | 17
2023	454	C23003	【湖北工程学院新技术学院第03组	化	C23003 | 【湖北工程学院新技术学院第03组 | 化 | 454 | 191 | 112 | 85 | 33 | 76 | 69 | 39
2023	454	F05404	北京城市学院第04组	化	F05404 | 北京城市学院第04组 | 化 | 454 | 168 | 102 | 101 | 53 | 67 | 65 | 19
2023	454	C20805	学武汉学院第05组	不限	C20805 | 学武汉学院第05组 | 不限 | 454 | 190 | 110 | 75 | 24 | 83 | 82 | 40
2023	457	F26003	北京中医药大学东方学院第03组	不限	F26003 | 北京中医药大学东方学院第03组 | 不限 | 457 | 160 | 95 | 85 | 55 | 89 | 68 | 17
2023	457	K54102	微西安科技大学高新学院第02组	不限	K54102 | 微西安科技大学高新学院第02组 | 不限 | 457 | 186 | 106 | 64 | 58 | 84 | 65 | 9
2023	457	C22504	武汉工程大学邮电与信息工程学院第04组	化或生	C22504 | 武汉工程大学邮电与信息工程学院第04组 | 化或生 | 457 | 163 | 】84 | 95 | 56 | 75 | 68 | 1
