执行顺序,页码版面键,来源页码,版面列,任务来源类型,第一闭环纳入原因,院校代码,院校名称OCR,院校专业组代码OCR规范化,专业组内专业序号,专业代号OCR,专业名称及备注短摘,字段名,OCR专业计划数候选,最佳官网计划数,OCR学费候选,最佳官网学费,OCR再选科目候选,最佳官网选科,官网证据强度,官网来源状态,官网证据匹配状态,计划数核验状态,差异字段集合,是否裁图OCR与高校辅证冲突,是否机器高校冲突,人工核验泳道,人工核验方式,是否需要双人复核,PDF原页核页状态,湖北官方系统或省招办计划核验状态,高校官网或招生章程辅证状态,三方字段一致性状态,字段事实写回状态,当前闭环状态,下一步,专业行ID,稳定基座第一闭环明细任务ID
1,135-left,135,left,自动官网辅证任务,官网计划数与OCR候选冲突，第一批必须回页核,F902,江苏理工学院,F90202,1,03,机械电子工程,,5800,1,,5800,「化学,,conflict_review,has_reusable_2026_hubei_plan_source,matched,mismatch,计划数冲突,,,,,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,school_official_evidence_sidecar_only_not_replacement,pending_pdf_hubei_school_consistency_review,blocked_until_pdf_hubei_official_review,线索待核，不可写回字段事实,第一批回到PDF原页核同专业行，再用湖北官方系统或省招办计划确认；官网只作辅证。,M-dc3b57515c994b61,FIRSTDETAIL-9008da4b792e2d9c
1,135-left,135,left,自动官网辅证任务,官网计划数与OCR候选冲突，第一批必须回页核,F902,江苏理工学院,F90202,2,04,过程装备与控制工程,,5800,1,5800,5800,,,conflict_review,has_reusable_2026_hubei_plan_source,matched,mismatch,计划数冲突,,,,,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,school_official_evidence_sidecar_only_not_replacement,pending_pdf_hubei_school_consistency_review,blocked_until_pdf_hubei_official_review,线索待核，不可写回字段事实,第一批回到PDF原页核同专业行，再用湖北官方系统或省招办计划确认；官网只作辅证。,M-4b0ca5231b5e0dda,FIRSTDETAIL-0dada9bf9ecaa6e1
1,135-left,135,left,自动官网辅证任务,官网计划数与OCR候选冲突，第一批必须回页核,F902,江苏理工学院,F90202,3,05,通信工程,,5800,1,5800,5800,,,conflict_review,has_reusable_2026_hubei_plan_source,matched,mismatch,计划数冲突,,,,,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,school_official_evidence_sidecar_only_not_replacement,pending_pdf_hubei_school_consistency_review,blocked_until_pdf_hubei_official_review,线索待核，不可写回字段事实,第一批回到PDF原页核同专业行，再用湖北官方系统或省招办计划确认；官网只作辅证。,M-af973281700f5eb7,FIRSTDETAIL-0e930ca33ab1b3b9
1,135-left,135,left,自动官网辅证任务,官网计划数与OCR候选冲突，第一批必须回页核,F902,江苏理工学院,F90202,4,06,电气工程及其自动化,,5800,2,5800,5800,,,conflict_review,has_reusable_2026_hubei_plan_source,matched,mismatch,计划数冲突,,,,,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,school_official_evidence_sidecar_only_not_replacement,pending_pdf_hubei_school_consistency_review,blocked_until_pdf_hubei_official_review,线索待核，不可写回字段事实,第一批回到PDF原页核同专业行，再用湖北官方系统或省招办计划确认；官网只作辅证。,M-78343e2534bdcb7c,FIRSTDETAIL-726fddd63013332a
1,135-left,135,left,自动官网辅证任务,官网计划数与OCR候选冲突，第一批必须回页核,F902,江苏理工学院,F90202,5,07,自动化,,5800,1,5800,5800,,,conflict_review,has_reusable_2026_hubei_plan_source,matched,mismatch,计划数冲突,,,,,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,school_official_evidence_sidecar_only_not_replacement,pending_pdf_hubei_school_consistency_review,blocked_until_pdf_hubei_official_review,线索待核，不可写回字段事实,第一批回到PDF原页核同专业行，再用湖北官方系统或省招办计划确认；官网只作辅证。,M-e169ec05a319416b,FIRSTDETAIL-9d2efbd617a42fa2
1,135-left,135,left,自动官网辅证任务,官网计划数与OCR候选冲突，第一批必须回页核,F902,江苏理工学院,F90202,6,08,软件工程,,5800,1,,5800,,,conflict_review,has_reusable_2026_hubei_plan_source,matched,mismatch,计划数冲突,,,,,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,school_official_evidence_sidecar_only_not_replacement,pending_pdf_hubei_school_consistency_review,blocked_until_pdf_hubei_official_review,线索待核，不可写回字段事实,第一批回到PDF原页核同专业行，再用湖北官方系统或省招办计划确认；官网只作辅证。,M-7af5985c525e29ba,FIRSTDETAIL-28da3744d1bbd3b1
1,135-left,135,left,自动官网辅证任务,官网计划数与OCR候选冲突，第一批必须回页核,F902,江苏理工学院,F90202,7,09,数据科学与大数据技术,,5800,1,,5800,,,conflict_review,has_reusable_2026_hubei_plan_source,matched,mismatch,计划数冲突,,,,,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,school_official_evidence_sidecar_only_not_replacement,pending_pdf_hubei_school_consistency_review,blocked_until_pdf_hubei_official_review,线索待核，不可写回字段事实,第一批回到PDF原页核同专业行，再用湖北官方系统或省招办计划确认；官网只作辅证。,M-e61c577465bca697,FIRSTDETAIL-d3b4542d9cf04623
1,135-left,135,left,自动官网辅证任务,官网计划数与OCR候选冲突，第一批必须回页核,F902,江苏理工学院,F90202,8,10,数字媒体技术,,5800,2,,5800,,,conflict_review,has_reusable_2026_hubei_plan_source,matched,mismatch,计划数冲突,,,,,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,school_official_evidence_sidecar_only_not_replacement,pending_pdf_hubei_school_consistency_review,blocked_until_pdf_hubei_official_review,线索待核，不可写回字段事实,第一批回到PDF原页核同专业行，再用湖北官方系统或省招办计划确认；官网只作辅证。,M-bf093921a5df7b57,FIRSTDETAIL-c38ee9bcbc39ce19
1,135-left,135,left,自动官网辅证任务,官网计划数与OCR候选冲突，第一批必须回页核,F902,江苏理工学院,F90202,9,11,储能科学与工程,,5800,1,,5800,,,conflict_review,has_reusable_2026_hubei_plan_source,matched,mismatch,计划数冲突,,,,,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,school_official_evidence_sidecar_only_not_replacement,pending_pdf_hubei_school_consistency_review,blocked_until_pdf_hubei_official_review,线索待核，不可写回字段事实,第一批回到PDF原页核同专业行，再用湖北官方系统或省招办计划确认；官网只作辅证。,M-cf6e2346e326fb75,FIRSTDETAIL-202127380ebfe86a
1,135-left,135,left,自动官网辅证任务,官网计划数与OCR候选冲突，第一批必须回页核,F902,江苏理工学院,F90202,10,12,功能材料,,5800,2,,5800,,,conflict_review,has_reusable_2026_hubei_plan_source,matched,mismatch,计划数冲突,,,,,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,school_official_evidence_sidecar_only_not_replacement,pending_pdf_hubei_school_consistency_review,blocked_until_pdf_hubei_official_review,线索待核，不可写回字段事实,第一批回到PDF原页核同专业行，再用湖北官方系统或省招办计划确认；官网只作辅证。,M-4c1c9015c9d9aef3,FIRSTDETAIL-98835066fcfb9b8c
2,199-left,199,left,自动官网辅证任务,官网计划数与OCR候选冲突，第一批必须回页核,H945,南宁学院,H94505,1,22,物联网工程,,22500,2,,22500,化学,物理+化学,conflict_review,has_reusable_2026_hubei_plan_source,matched,mismatch,计划数冲突,,,,,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,school_official_evidence_sidecar_only_not_replacement,pending_pdf_hubei_school_consistency_review,blocked_until_pdf_hubei_official_review,线索待核，不可写回字段事实,第一批回到PDF原页核同专业行，再用湖北官方系统或省招办计划确认；官网只作辅证。,M-c0e205bf9e212204,FIRSTDETAIL-393dba8354b77b5e
2,199-left,199,left,P0人工字段任务,EXEC-03-高校辅证线索三方核验,H945,南宁学院,H94505,2,23,数据科学与大数据技术,学费,,,,,,,strong_support,has_reusable_2026_hubei_plan_source,matched,,,false,false,M2-裁图OCR未稳定补读人工看图,双人复核,true,pending_manual_pdf_review,pending_hubei_official_review,pending_private_school_reading,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,线索待核，不可写回字段事实,按页列集中看PDF原页，记录私有人工读数；再用湖北官方系统或省招办计划核验字段。,M-68b3c87f68237d40,FIRSTDETAIL-f035ffd6c61f373e
