执行顺序,页码版面键,来源页码,版面列,执行泳道,第一闭环页列优先级,页列总任务数,PDF原页必核任务数,湖北官方侧必核任务数,高校辅证需复核任务数,双人复核任务数,专业计划数字段任务数,学费字段任务数,再选科目字段任务数,PDFOCR候选任务数,无PDFOCR需看图任务数,PDFOCR与高校辅证冲突任务数,C0冲突任务数,C1官网补缺任务数,C7官网未匹配任务数,EXEC01冲突异常字段数,EXEC02计划数偏大字段数,EXEC03高校辅证字段数,页列首要核验动作,页列候选核验动作,当前闭环状态,当前阻断原因,下一步,完成条件
1,135-left,135,left,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,10,10,10,10,10,0,0,0,10,0,10,10,0,0,0,0,0,先核结构边界、源证据和官方查询键消歧，再处理字段读数。,先核PDFOCR与高校辅证冲突任务，再做双人复核,待核：PDF原页、湖北官方侧、高校辅证和字段写回均未闭环,PDF原页记录未完成；湖北官方侧记录未完成或不可得状态未确认；高校辅证记录未完成；双人复核未完成；字段事实写回仍阻断,按执行顺序在私有核页材料中完成PDF原页、湖北官方侧、高校辅证和双人复核记录，再同步公开进度,PDF原页记录完成=10；湖北官方侧记录完成=10或记录官方系统不可得状态；高校辅证记录完成=10；双人复核完成=10；字段事实写回复查通过后才可进入下一层
2,199-left,199,left,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,5,5,5,5,4,0,1,0,4,1,3,3,0,1,0,0,1,先核结构边界、源证据和官方查询键消歧，再处理字段读数。,先核PDFOCR与高校辅证冲突任务，再做双人复核,待核：PDF原页、湖北官方侧、高校辅证和字段写回均未闭环,PDF原页记录未完成；湖北官方侧记录未完成或不可得状态未确认；高校辅证记录未完成；双人复核未完成；字段事实写回仍阻断,按执行顺序在私有核页材料中完成PDF原页、湖北官方侧、高校辅证和双人复核记录，再同步公开进度,PDF原页记录完成=5；湖北官方侧记录完成=5或记录官方系统不可得状态；高校辅证记录完成=5；双人复核完成=4；字段事实写回复查通过后才可进入下一层
3,209-right,209,right,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,13,13,13,13,4,4,0,0,9,4,2,2,4,3,0,0,4,先核结构边界、源证据和官方查询键消歧，再处理字段读数。,先核PDFOCR与高校辅证冲突任务，再做双人复核,待核：PDF原页、湖北官方侧、高校辅证和字段写回均未闭环,PDF原页记录未完成；湖北官方侧记录未完成或不可得状态未确认；高校辅证记录未完成；双人复核未完成；字段事实写回仍阻断,按执行顺序在私有核页材料中完成PDF原页、湖北官方侧、高校辅证和双人复核记录，再同步公开进度,PDF原页记录完成=13；湖北官方侧记录完成=13或记录官方系统不可得状态；高校辅证记录完成=13；双人复核完成=4；字段事实写回复查通过后才可进入下一层
4,169-right,169,right,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,22,22,22,22,10,10,0,0,12,10,1,1,10,1,0,0,10,先核结构边界、源证据和官方查询键消歧，再处理字段读数。,先核PDFOCR与高校辅证冲突任务，再做双人复核,待核：PDF原页、湖北官方侧、高校辅证和字段写回均未闭环,PDF原页记录未完成；湖北官方侧记录未完成或不可得状态未确认；高校辅证记录未完成；双人复核未完成；字段事实写回仍阻断,按执行顺序在私有核页材料中完成PDF原页、湖北官方侧、高校辅证和双人复核记录，再同步公开进度,PDF原页记录完成=22；湖北官方侧记录完成=22或记录官方系统不可得状态；高校辅证记录完成=22；双人复核完成=10；字段事实写回复查通过后才可进入下一层
5,018-left,18,left,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,17,17,17,17,4,8,0,0,9,8,4,1,8,0,0,0,8,先核结构边界、源证据和官方查询键消歧，再处理字段读数。,先核PDFOCR与高校辅证冲突任务，再做双人复核,待核：PDF原页、湖北官方侧、高校辅证和字段写回均未闭环,PDF原页记录未完成；湖北官方侧记录未完成或不可得状态未确认；高校辅证记录未完成；双人复核未完成；字段事实写回仍阻断,按执行顺序在私有核页材料中完成PDF原页、湖北官方侧、高校辅证和双人复核记录，再同步公开进度,PDF原页记录完成=17；湖北官方侧记录完成=17或记录官方系统不可得状态；高校辅证记录完成=17；双人复核完成=4；字段事实写回复查通过后才可进入下一层
6,037-left,37,left,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,5,5,5,5,3,0,0,2,3,2,1,1,0,2,0,0,2,先核结构边界、源证据和官方查询键消歧，再处理字段读数。,先核PDFOCR与高校辅证冲突任务，再做双人复核,待核：PDF原页、湖北官方侧、高校辅证和字段写回均未闭环,PDF原页记录未完成；湖北官方侧记录未完成或不可得状态未确认；高校辅证记录未完成；双人复核未完成；字段事实写回仍阻断,按执行顺序在私有核页材料中完成PDF原页、湖北官方侧、高校辅证和双人复核记录，再同步公开进度,PDF原页记录完成=5；湖北官方侧记录完成=5或记录官方系统不可得状态；高校辅证记录完成=5；双人复核完成=3；字段事实写回复查通过后才可进入下一层
7,137-right,137,right,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,1,1,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,先核结构边界、源证据和官方查询键消歧，再处理字段读数。,先核PDFOCR与高校辅证冲突任务，再做双人复核,待核：PDF原页、湖北官方侧、高校辅证和字段写回均未闭环,PDF原页记录未完成；湖北官方侧记录未完成或不可得状态未确认；高校辅证记录未完成；双人复核未完成；字段事实写回仍阻断,按执行顺序在私有核页材料中完成PDF原页、湖北官方侧、高校辅证和双人复核记录，再同步公开进度,PDF原页记录完成=1；湖北官方侧记录完成=1或记录官方系统不可得状态；高校辅证记录完成=1；双人复核完成=1；字段事实写回复查通过后才可进入下一层
8,194-left,194,left,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,7,7,7,0,7,7,0,0,0,7,0,0,0,0,6,1,0,先核结构边界、源证据和官方查询键消歧，再处理字段读数。,先人工看图补PDF原页读数，再核湖北官方侧,待核：PDF原页、湖北官方侧、高校辅证和字段写回均未闭环,PDF原页记录未完成；湖北官方侧记录未完成或不可得状态未确认；双人复核未完成；字段事实写回仍阻断,按执行顺序在私有核页材料中完成PDF原页、湖北官方侧、高校辅证和双人复核记录，再同步公开进度,PDF原页记录完成=7；湖北官方侧记录完成=7或记录官方系统不可得状态；高校辅证记录完成=0；双人复核完成=7；字段事实写回复查通过后才可进入下一层
9,056-left,56,left,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,16,16,16,15,3,8,0,0,8,8,1,0,7,1,1,1,6,先核结构边界、源证据和官方查询键消歧，再处理字段读数。,先核PDFOCR与高校辅证冲突任务，再做双人复核,待核：PDF原页、湖北官方侧、高校辅证和字段写回均未闭环,PDF原页记录未完成；湖北官方侧记录未完成或不可得状态未确认；高校辅证记录未完成；双人复核未完成；字段事实写回仍阻断,按执行顺序在私有核页材料中完成PDF原页、湖北官方侧、高校辅证和双人复核记录，再同步公开进度,PDF原页记录完成=16；湖北官方侧记录完成=16或记录官方系统不可得状态；高校辅证记录完成=15；双人复核完成=3；字段事实写回复查通过后才可进入下一层
10,070-left,70,left,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,2,2,2,1,1,1,0,0,1,1,0,0,0,1,1,0,0,先核结构边界、源证据和官方查询键消歧，再处理字段读数。,先人工看图补PDF原页读数，再核湖北官方侧,待核：PDF原页、湖北官方侧、高校辅证和字段写回均未闭环,PDF原页记录未完成；湖北官方侧记录未完成或不可得状态未确认；高校辅证记录未完成；双人复核未完成；字段事实写回仍阻断,按执行顺序在私有核页材料中完成PDF原页、湖北官方侧、高校辅证和双人复核记录，再同步公开进度,PDF原页记录完成=2；湖北官方侧记录完成=2或记录官方系统不可得状态；高校辅证记录完成=1；双人复核完成=1；字段事实写回复查通过后才可进入下一层
