重点核验序号,重点核验状态,压缩结论,入选或暂缓理由,城市偏好提示,核验优先级,建议家庭动作,是否可作为定稿依据,组内硬排除专业数,城市,院校代码,院校名称,院校专业组代码,冲稳保,历史线索分层,同代码命中年份数,2025投档分,2025等位分差,2024投档分,2024等位分差,2023投档分,2023等位分差,专业明细行数,数字媒体技术专业数,计算机类相关专业数,计算机AI软件专业数,电子信息网络专业数,机械自动化机器人专业数,师范类相关专业数,环境工程科学专业数,农业不含动物相关专业数,工商旅游管理专业数,特殊限制待核专业数,调剂初判,完整专业组接受度初判,组内专业摘录,办学地点线索,来源页码,版面列,机器核验下一步,人工核验下一步,下一步核验动作,专业组出现ID,第四轮候选ID
,暂缓,暂缓保留在Round4优先120组备选,组内存在1条当前硬排除或医学护理相关风险，服从调剂前先暂缓；稳妥观察本轮名额已优先用于分数/方向/城市综合分更高的组；城市未命中当前优先城市，只保留为备选,非当前优先城市；只作为录取梯度、学校和专业匹配讨论,P1-稳妥主力先核,暂不投入人工核验时间；家庭点名喜欢时再拉回,false,1,庆阳市,K577,陇东学院,K57703,稳妥观察,H2-历史最高线不高于等位分,2,,,495,495-497=-2,477,477-481=-4,18,0,3,3,1,3,2,1,2,0,0,调剂风险线索-组内存在默认不能接受专业,主线机器门禁通过，仍需完整专业组人工核验。,1.07 化学（师范类）[M-0d7935d423fd3348]；2.08 过程装备与控制工程[M-4edba993b16b4710]；3.09 化学工程与工艺[M-8ba4934e001a2ac8]；4.10 石油工程卫1生物制药[M-a0e9b4f33a3c31cb]；5.12 食品科学与工程[M-1ff6ffd50d39250f]；6.13 农学（农林类）[M-b78db898dc601b06]；7.14 农业资源与环境（农林类）[M-49b140336aab494b]；8.15 土木工程[M-ad92b1a0d15a6606]；9.16 智能建造[M-41cb26e6908b980a]；10.17 计算机科学与技术[M-21897212acaf512a]；11.18 物联网工程[M-a7fef31f1bba1408]；12.19 人工智能[M-2d571319c5fcb48c]；13.20 物理学（师范炎）[M-44cc2eafb091e5e2]；14.21 电气工程及其自动化[M-14da227ed7d55b89]；15.22 安全工程[M-20a9cd79a0088b9e]；16.23 新能源科学与工程[M-8164c3aef8f04273]；17.24 机械设计制造及其自动化[M-aecb482cfc3d6568]；18.25 机器人工程[M-3fc2404e46ed5009],,229,right,先核家庭底线风险，不把该组放入主方案。,仅在保底不足或家庭明确可接受时再核整组。,核第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,G-0387b85c737381ef,R4GROUP-a8c5c4a43adfc8e5
,暂缓,暂缓保留在Round4优先120组备选,组内存在3条当前硬排除或医学护理相关风险，服从调剂前先暂缓；稳妥观察本轮名额已优先用于分数/方向/城市综合分更高的组；城市未命中当前优先城市，只保留为备选,非当前优先城市；只作为录取梯度、学校和专业匹配讨论,P1-稳妥主力先核,暂不投入人工核验时间；家庭点名喜欢时再拉回,false,3,巴音郭楞蒙古自治州,K782,新疆科技学院,K78206,稳妥观察,H2-历史最高线不高于等位分,3,408,408-494=-86,491,491-497=-6,468,468-481=-13,18,1,6,6,2,1,0,0,0,0,0,调剂风险线索-组内存在默认不能接受专业,主线机器门禁通过，仍需完整专业组人工核验。,1.17 旅游地学与规划工程（办学地点：金河校区）[M-c6f98d3f14ce7915]；2.18 计算机科学与技术（办学地点：鸿雁校[M-0b768172454237b0]；3.19 信息安全（办学地点：鸿雁校区）[M-f266f3005c7e9579]；4.20 软件工程（办学地点：鸿雁校区）[M-06974822212d5d65]；5.21 数字媒体技术（办学地点：鸿雁校区）[M-05514b4dad2b8b79]；6.22 医学信息工程（办学地点：鸿雁校区）[M-2f54d6f325bd3085]；7.23 物联网工程（办学地点：鸿雁校区）[M-78f666fccbe4bc97]；8.24 人工智能（办学地点：鸿雁校区）[M-73125e9cb711c7a6]；9.25 数据科学与大数据技术（办学地点：鸿雁校区）[M-6a790193f34422aa]；10.26 化学工程与工艺（办学地点：金河校[M-d2f32c1ca306711d]；11.27 纺织工程（办学地点：金河校区）[M-c9fd1bc9018dbbbb]；12.28 轻化工程（办学地点：金河校区）[M-673e4e64eda8449e]；13.29 精细化工（办学地点：金河校区）[M-cd5f55287f07bda4]；14.30 韭织造材料与工程（办学地点：金河校[M-3ee8db9bcad66b8b]；15.31 机械设计制造及其自动化（办学地点：金河校区）[M-02b7a90138603e0a]；16.32 石油工程（办学地点：金河校区）[M-3a4e60f053eea4f4]；17.33 药学（办学地点：鸿雁校区）[M-cd3b9d72b97927f2]；18.34 中药资源与开发（办学地点：鸿雁校[M-a02c9ec8cddba13a],金河校区；鸿雁校区,237,left,先核家庭底线风险，不把该组放入主方案。,仅在保底不足或家庭明确可接受时再核整组。,核第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,G-ea10f4bfbea155bc,R4GROUP-56c7bf6fa0e7e857
,暂缓,暂缓保留在Round4优先120组备选,组内存在1条当前硬排除或医学护理相关风险，服从调剂前先暂缓；冲刺观察本轮名额已优先用于分数/方向/城市综合分更高的组；城市未命中当前优先城市，只保留为备选,非当前优先城市；只作为录取梯度、学校和专业匹配讨论,P3-冲刺择优核,暂不投入人工核验时间；家庭点名喜欢时再拉回,false,1,湘潭市,H679,湖南工程学院,H67903,冲刺观察,H4-历史最高线高于等位分16-30分,2,519,519-494=+25,508,508-497=+11,,,18,0,4,4,2,5,0,0,0,0,0,调剂风险线索-组内存在默认不能接受专业,主线机器门禁通过，仍需完整专业组人工核验。,1.08 电气工程及其自动化[M-197b1ba3da3105eb]；2.09 电子信息工程[M-93399325f3f216cc]；3.10 新能源科学与工程三1机械设计制造及其自动化[M-e554d345009ca849]；4.12 材料成型及控制工程[M-e9d6a70bcf820f8b]；5.13 机械电子工程[M-7adbf2255d8ecc57]；6.14 紡织工程[M-836f7e26db6618ff]；7.15 非织造材料与工程[M-6b90b046f60d4eb1]；8.16 化学工程与工艺[M-64a28854676d80e0]；9.17 应用化学[M-736ae746274f64da]；10.18 功能材料[M-39039a33f24f4b7f]；11.19 计算机科学与技术[M-c3565e10195d3c2d]；12.20 通信工程[M-cb9ae814c5a8b8ff]；13.21 软件工程[M-4b6dd6fdccdc4e99]；14.22 数据科学与大数据技术[M-7aca140e09101fd7]；15.23 建筑环境与能源应用工程[M-1503c8eb581b8ab9]；16.24 机器人工程[M-7b7d9e9b36024d18]；17.25 机械设计制造及其自动化（医疗器械装备创新班）[M-fcb235bafddcc502]；18.26 人工智能（未来智能技术卓越班）[M-58c17bb4c72c03f2],,183,left,先核家庭底线风险，不把该组放入主方案。,仅在保底不足或家庭明确可接受时再核整组。,核第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,G-7e69be86d42b432f,R4GROUP-46bde28b5f345eea
,暂缓,暂缓保留在Round4优先120组备选,稳冲观察本轮名额已优先用于分数/方向/城市综合分更高的组；城市未命中当前优先城市，只保留为备选,非当前优先城市；只作为录取梯度、学校和专业匹配讨论,P2-稳冲择优核,暂不投入人工核验时间；家庭点名喜欢时再拉回,false,0,呼和浩特市,F386,内蒙古工业大学,F38603,稳冲观察,H3-历史最高线高于等位分15分内,3,490,490-494=-4,507,507-497=+10,485,485-481=+4,2,0,2,2,0,0,0,0,0,0,0,可进入人工调剂接受度判断,主线机器门禁通过，仍需完整专业组人工核验。,1.03 计算机科学与技术（办学地点：金川校[M-f160745e4ac48b85]；2.04 人工智能（办学地点：金川校区）[M-9da4ff3d1856b4a8],金川校区,111,right,按页列集中核字段缺口，再接湖北官方计划和高校官网辅证。,同一页列若发现结构错误，整页列升级核验。,核第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,G-65ebf80b76a3cd35,R4GROUP-ffdd6f542651646f
,暂缓,暂缓保留在Round4优先120组备选,稳冲观察本轮名额已优先用于分数/方向/城市综合分更高的组；城市未命中当前优先城市，只保留为备选,非当前优先城市；只作为录取梯度、学校和专业匹配讨论,P2-稳冲择优核,暂不投入人工核验时间；家庭点名喜欢时再拉回,false,0,南宁市,H909,广西财经学院,H90904,稳冲观察,H3-历史最高线高于等位分15分内,3,498,498-494=+4,492,492-497=-5,473,473-481=-8,4,0,3,3,0,0,0,0,0,0,0,暂不判断-组内结构异常需先核页,组内结构需先核,1.09 统计学（第一学年在武鸣校区，第二至第四学年在明秀或相思湖校区）[M-dc8f8c7c5cfa61f4]；2.10 数据科学（第一学年在武鸣校区，第二至第四学年在明秀或相思湖校区）[M-9eee94e1d51c959a]；3.11 计算机科学与技术（第一学年在武鸣校区，第二至第四学年在明秀或相思湖校区）[M-0ce10aa44ebae30d]；4.12 人工智能（第一学年在武鸣校区，第二至第四学年在明秀或相思湖校区）[M-b7efe1507617497a],第一学年在武鸣校区；至第四学年在明秀或相思湖校区,198,left,按P0优先核PDF原页结构、字段缺口和官网冲突。,整组所有专业都要核，不能只核拟填6个专业。,核第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,G-475c4a184d9f8dbd,R4GROUP-8f96ccd7dfbbd62f
,暂缓,暂缓保留在Round4优先120组备选,稳妥观察本轮名额已优先用于分数/方向/城市综合分更高的组,次级可讨论城市：郑州市,P1-稳妥主力先核,暂不投入人工核验时间；家庭点名喜欢时再拉回,false,0,郑州市,H574,河南工程学院,H57404,稳妥观察,H2-历史最高线不高于等位分,3,491,491-494=-3,488,488-497=-9,480,480-481=-1,11,0,0,0,2,1,0,1,0,0,0,可进入人工调剂接受度判断,主线机器门禁通过，仍需完整专业组人工核验。,1.07 数学与应用数学（办学地点：龙湖校[M-e71f3f83a3f2a4fc]；2.08 信息与计算科学（办学地点：龙湖校杂引及趣业代号区）[M-bacafe1c3f85ed49]；3.09 应用物理学（办学地点：龙湖校区）[M-14cab87041855971]；4.10 电气工程及其自动化（办学地点：龙湖校区）二1电子科学与技术（办学地点：龙湖校[M-9e12ef21fd87f195]；5.12 通信工程（办学地点：龙湖校区）[M-939ddb910753e9d6]；6.13 土木工程（办学地点：龙湖校区）[M-f057f08b9a2940e7]；7.14 化学工程与工艺（办学地点：桐柏路校[M-cac985a9290b4e11]；8.15 资源勘查工程（办学地点：龙湖校区）[M-474aebf882cd5b79]；9.16 环境工程（办学地点：龙湖校区）[M-c55bb3cb1b4dd626]；10.17 安全工程（办学地点：龙湖校区）[M-c7b4f37909099801]；11.18 智能车辆工程（办学地点：龙湖校区）[M-dec7cacbd9f319ee],龙湖校区,176,right,按P0优先核PDF原页结构、字段缺口和官网冲突。,整组所有专业都要核，不能只核拟填6个专业。,核第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,G-5709d8125378cca1,R4GROUP-43ae162de1115599
,暂缓,暂缓保留在Round4优先120组备选,稳妥观察本轮名额已优先用于分数/方向/城市综合分更高的组；城市未命中当前优先城市，只保留为备选,非当前优先城市；只作为录取梯度、学校和专业匹配讨论,P1-稳妥主力先核,暂不投入人工核验时间；家庭点名喜欢时再拉回,false,0,巴音郭楞蒙古自治州,K782,新疆科技学院,K78205,稳妥观察,H2-历史最高线不高于等位分,3,465,465-494=-29,490,490-497=-7,470,470-481=-11,5,0,1,1,0,0,0,0,0,1,0,可进入人工调剂接受度判断,主线机器门禁通过，仍需完整专业组人工核验。,1.12 数字经济（办学地点：鸿雁校区）[M-ac8ceeeb48ef3fa7]；2.13 金融科技（办学地点：鸿雁校区）[M-f4d0357a7f26db48]；3.14 大数据管理与应用（办学地点：鸿雁校区）[M-09687f19b394e4b2]；4.15 物流工程（办学地点：鸿雁校区）[M-f93134d79b6ede6a]；5.16 电子商务（办学地点：鸿雁校区）[M-34142fd6864c12a6],鸿雁校区,237,left,按页列集中核字段缺口，再接湖北官方计划和高校官网辅证。,同一页列若发现结构错误，整页列升级核验。,核第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,G-1179396e0cacf442,R4GROUP-904a9e218f6d3de7
,暂缓,暂缓保留在Round4优先120组备选,稳妥观察本轮名额已优先用于分数/方向/城市综合分更高的组；城市未命中当前优先城市，只保留为备选,非当前优先城市；只作为录取梯度、学校和专业匹配讨论,P1-稳妥主力先核,暂不投入人工核验时间；家庭点名喜欢时再拉回,false,0,南阳市,H576,南阳理工学院,H57613,稳妥观察,H2-历史最高线不高于等位分,1,475,475-494=-19,,,,,1,0,1,1,0,0,0,0,0,0,0,可进入人工调剂接受度判断,主线机器门禁通过，仍需完整专业组人工核验。,1.25 软件工程（智能软件开发方向）[M-edf8665ccd9f1beb],,177,left,先自动核高校官网/章程来源，再人工确认费用、校区、调剂范围。,官网只作辅证，不能替代湖北省招办计划。,核第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,G-f1282fdd04bf7b63,R4GROUP-f9ed37ce8df60d15
,暂缓,暂缓保留在Round4优先120组备选,稳妥观察本轮名额已优先用于分数/方向/城市综合分更高的组；城市未命中当前优先城市，只保留为备选,非当前优先城市；只作为录取梯度、学校和专业匹配讨论,P1-稳妥主力先核,暂不投入人工核验时间；家庭点名喜欢时再拉回,false,0,哈尔滨市,F704,黑龙江工程学院,F70403,稳妥观察,H2-历史最高线不高于等位分,3,487,487-494=-7,487,487-497=-10,481,481-481=+0,4,0,1,1,0,0,0,0,0,0,0,可进入人工调剂接受度判断,主线机器门禁通过，仍需完整专业组人工核验。,1.06 交通运输类（交通运输、交通工程）[M-682479cadf6e4e40]；2.07 数据科学与大数据技术[M-4d27f07a0ac17002]；3.08 生木类（土木工程、道路桥梁与菠河工[M-67b827dd44963ea9]；4.09 高分子材料与工程[M-7acc00b24477483c],,127,right,按页列集中核字段缺口，再接湖北官方计划和高校官网辅证。,同一页列若发现结构错误，整页列升级核验。,核第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,G-80eeafc2cc95e28c,R4GROUP-90b343bf122c9241
,暂缓,暂缓保留在Round4优先120组备选,稳妥观察本轮名额已优先用于分数/方向/城市综合分更高的组；城市未命中当前优先城市，只保留为备选,非当前优先城市；只作为录取梯度、学校和专业匹配讨论,P1-稳妥主力先核,暂不投入人工核验时间；家庭点名喜欢时再拉回,false,0,哈尔滨市,F696,哈尔滨学院,F69604,稳妥观察,H2-历史最高线不高于等位分,2,480,480-494=-14,483,483-497=-14,,,5,0,1,1,0,0,0,0,0,0,0,可进入人工调剂接受度判断,主线机器门禁通过，仍需完整专业组人工核验。,1.10 智能建造[M-bc73f96173ffb33e]；2.11 土木工程[M-693e1809d0d8cee9]；3.12 城市地下空间工程[M-04e9526b21613de1]；4.13 电气工程与智能控制[M-2693545eb39c487f]；5.14 人工智能[M-07323152f5f7493e],,126,right,按页列集中核字段缺口，再接湖北官方计划和高校官网辅证。,同一页列若发现结构错误，整页列升级核验。,核第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,G-2ffa51d8da6e79de,R4GROUP-31eeef0d96632d66
