执行序号,核验包编号,页码版面,来源页码,版面列,涉及院校,涉及专业组,涉及专业代号,包内任务数,涉及字段范围,双人复核任务数,高校辅证任务数,人工看图任务数,PDFOCR与高校辅证冲突任务数,原页记录状态,湖北官方记录状态,高校辅证记录状态,三方一致性状态,字段写回评估状态,公开冲突判断,优先级理由,自动可继续动作,人工最小核验动作,完成后可进入状态,仍不可越过的门禁,关联任务ID集合SHA256,公开安全边界
1,FCACT-21bf5d03c4063f0e,135-left,135,left,江苏理工学院,F90202,03；04；05；06；07；08；09；10；11；12,10,专业计划数；学费×9；专业计划数；学费；再选科目×1,10,10,10,10,pending_private_pdf_reading×10,pending_private_hubei_reading×10,pending_private_school_reading×10,pending_private_three_way_field_confirmation×10,blocked_until_required_private_readings_complete×10,PDF OCR 与高校辅证存在公开状态层冲突；公开表不保存候选读数，必须回原页和官方侧。,双人复核任务集中；同页列冲突任务多；高校辅证可用于解释差异；单校单页列适合先打样,优先复用或补找江苏理工学院官网2026湖北物理计划、章程或计划图，仅作差异解释。,回看第19期PDF第135页left栏；记录专业代号、专业名称、计划数、学费、选科和专业组边界；冲突字段做第二人复核；再查湖北官方侧。,完成三方记录和双人复核后，只能进入字段写回评估队列。,不得用高校官网替代湖北官方计划；不得跳过第19期原页；不得在未核专业组边界前生成志愿建议。,126a3d23e4a4497fa58c3446a141edf97ac7352519a8284181396937ab731fd3,公开层只保存状态、计数、学校/组索引和任务ID哈希；字段读数、截图、OCR原文和人工备注留在私有工作台。
2,FCACT-56baf683f0f6fdff,199-left,199,left,南宁学院,H94505,22；24；25,3,专业计划数；学费；再选科目×3,3,3,3,3,pending_private_pdf_reading×3,pending_private_hubei_reading×3,pending_private_school_reading×3,pending_private_three_way_field_confirmation×3,blocked_until_required_private_readings_complete×3,PDF OCR 与高校辅证存在公开状态层冲突；公开表不保存候选读数，必须回原页和官方侧。,双人复核任务集中；高校辅证可用于解释差异；单校单页列适合先打样,优先复用或补找南宁学院官网2026湖北物理计划、章程或计划图，仅作差异解释。,回看第19期PDF第199页left栏；记录专业代号、专业名称、计划数、学费、选科和专业组边界；冲突字段做第二人复核；再查湖北官方侧。,完成三方记录和双人复核后，只能进入字段写回评估队列。,不得用高校官网替代湖北官方计划；不得跳过第19期原页；不得在未核专业组边界前生成志愿建议。,abd4211270f218ddc843541cee780da77d0d6f9026745cbc225c195f5a4825d7,公开层只保存状态、计数、学校/组索引和任务ID哈希；字段读数、截图、OCR原文和人工备注留在私有工作台。
3,FCACT-98e004e61e02a658,209-right,209,right,成都信息工程大学,K15306,24；29,2,专业计划数；学费；再选科目×2,2,2,2,2,pending_private_pdf_reading×2,pending_private_hubei_reading×2,pending_private_school_reading×2,pending_private_three_way_field_confirmation×2,blocked_until_required_private_readings_complete×2,PDF OCR 与高校辅证存在公开状态层冲突；公开表不保存候选读数，必须回原页和官方侧。,高校辅证可用于解释差异；单校单页列适合先打样,优先复用或补找成都信息工程大学官网2026湖北物理计划、章程或计划图，仅作差异解释。,回看第19期PDF第209页right栏；记录专业代号、专业名称、计划数、学费、选科和专业组边界；冲突字段做第二人复核；再查湖北官方侧。,完成三方记录和双人复核后，只能进入字段写回评估队列。,不得用高校官网替代湖北官方计划；不得跳过第19期原页；不得在未核专业组边界前生成志愿建议。,4b0a5831b3a403ddb282522f176d7b8ec8ef96c67e5945fc9777aa575d57088a,公开层只保存状态、计数、学校/组索引和任务ID哈希；字段读数、截图、OCR原文和人工备注留在私有工作台。
4,FCACT-9e1636bd047c2932,169-right,169,right,山东工商学院,H45004,46,1,专业计划数；学费×1,1,1,1,1,pending_private_pdf_reading×1,pending_private_hubei_reading×1,pending_private_school_reading×1,pending_private_three_way_field_confirmation×1,blocked_until_required_private_readings_complete×1,PDF OCR 与高校辅证存在公开状态层冲突；公开表不保存候选读数，必须回原页和官方侧。,高校辅证可用于解释差异；单校单页列适合先打样,优先复用或补找山东工商学院官网2026湖北物理计划、章程或计划图，仅作差异解释。,回看第19期PDF第169页right栏；记录专业代号、专业名称、计划数、学费、选科和专业组边界；冲突字段做第二人复核；再查湖北官方侧。,完成三方记录和双人复核后，只能进入字段写回评估队列。,不得用高校官网替代湖北官方计划；不得跳过第19期原页；不得在未核专业组边界前生成志愿建议。,493c0c8594ca2e013157c00afa750ad821999dc26a8a22c33d664dd6f1e4c664,公开层只保存状态、计数、学校/组索引和任务ID哈希；字段读数、截图、OCR原文和人工备注留在私有工作台。
5,FCACT-a0b7af0eccf1ca11,018-left,18,left,中国传媒大学,A03312；A03313,22；25；26；28,4,专业计划数；学费；再选科目×4,1,4,4,4,pending_private_pdf_reading×4,pending_private_hubei_reading×4,pending_private_school_reading×4,pending_private_three_way_field_confirmation×4,blocked_until_required_private_readings_complete×4,PDF OCR 与高校辅证存在公开状态层冲突；公开表不保存候选读数，必须回原页和官方侧。,高校辅证可用于解释差异；单校单页列适合先打样,优先复用或补找中国传媒大学官网2026湖北物理计划、章程或计划图，仅作差异解释。,回看第19期PDF第18页left栏；记录专业代号、专业名称、计划数、学费、选科和专业组边界；冲突字段做第二人复核；再查湖北官方侧。,完成三方记录和双人复核后，只能进入字段写回评估队列。,不得用高校官网替代湖北官方计划；不得跳过第19期原页；不得在未核专业组边界前生成志愿建议。,2433ec10b6ad40a67f61dc5f7d4471521e3b28f8c04c452b475b77a8d5573395,公开层只保存状态、计数、学校/组索引和任务ID哈希；字段读数、截图、OCR原文和人工备注留在私有工作台。
6,FCACT-e97f31e1319cc045,037-left,37,left,山东大学,A13506,25,1,专业计划数；学费；再选科目×1,1,1,1,1,pending_private_pdf_reading×1,pending_private_hubei_reading×1,pending_private_school_reading×1,pending_private_three_way_field_confirmation×1,blocked_until_required_private_readings_complete×1,PDF OCR 与高校辅证存在公开状态层冲突；公开表不保存候选读数，必须回原页和官方侧。,高校辅证可用于解释差异；单校单页列适合先打样,优先复用或补找山东大学官网2026湖北物理计划、章程或计划图，仅作差异解释。,回看第19期PDF第37页left栏；记录专业代号、专业名称、计划数、学费、选科和专业组边界；冲突字段做第二人复核；再查湖北官方侧。,完成三方记录和双人复核后，只能进入字段写回评估队列。,不得用高校官网替代湖北官方计划；不得跳过第19期原页；不得在未核专业组边界前生成志愿建议。,4f352aec8b89e507758a0d97c6874dcfc3b914995781cad930da80cf600e0be5,公开层只保存状态、计数、学校/组索引和任务ID哈希；字段读数、截图、OCR原文和人工备注留在私有工作台。
7,FCACT-ab86b8954cd5cbac,137-right,137,right,浙江工业大学,H00204,05,1,专业计划数；学费；再选科目×1,1,1,1,1,pending_private_pdf_reading×1,pending_private_hubei_reading×1,pending_private_school_reading×1,pending_private_three_way_field_confirmation×1,blocked_until_required_private_readings_complete×1,PDF OCR 与高校辅证存在公开状态层冲突；公开表不保存候选读数，必须回原页和官方侧。,高校辅证可用于解释差异；单校单页列适合先打样,优先复用或补找浙江工业大学官网2026湖北物理计划、章程或计划图，仅作差异解释。,回看第19期PDF第137页right栏；记录专业代号、专业名称、计划数、学费、选科和专业组边界；冲突字段做第二人复核；再查湖北官方侧。,完成三方记录和双人复核后，只能进入字段写回评估队列。,不得用高校官网替代湖北官方计划；不得跳过第19期原页；不得在未核专业组边界前生成志愿建议。,5ca8c98107449f25c801f30f1e274f3d4f72b135602b6bfc57f76121c8fd3585,公开层只保存状态、计数、学校/组索引和任务ID哈希；字段读数、截图、OCR原文和人工备注留在私有工作台。
9,FCACT-f3074c79a3cb6270,056-left,56,left,兰州大学,A19511,35,1,专业计划数；学费；再选科目×1,0,1,1,1,pending_private_pdf_reading×1,pending_private_hubei_reading×1,pending_private_school_reading×1,pending_private_three_way_field_confirmation×1,blocked_until_required_private_readings_complete×1,PDF OCR 与高校辅证存在公开状态层冲突；公开表不保存候选读数，必须回原页和官方侧。,高校辅证可用于解释差异；单校单页列适合先打样,优先复用或补找兰州大学官网2026湖北物理计划、章程或计划图，仅作差异解释。,回看第19期PDF第56页left栏；记录专业代号、专业名称、计划数、学费、选科和专业组边界；冲突字段做第二人复核；再查湖北官方侧。,完成三方记录和双人复核后，只能进入字段写回评估队列。,不得用高校官网替代湖北官方计划；不得跳过第19期原页；不得在未核专业组边界前生成志愿建议。,4d7da1ab2555b61fd177c3c2a3fec2606a6c489549ec0b624aa5b8b80cad1120,公开层只保存状态、计数、学校/组索引和任务ID哈希；字段读数、截图、OCR原文和人工备注留在私有工作台。
19,FCACT-e494173949f12bca,226-left,226,left,西安邮电大学,K48603,26,1,专业计划数；学费；再选科目×1,0,1,1,1,pending_private_pdf_reading×1,pending_private_hubei_reading×1,pending_private_school_reading×1,pending_private_three_way_field_confirmation×1,blocked_until_required_private_readings_complete×1,PDF OCR 与高校辅证存在公开状态层冲突；公开表不保存候选读数，必须回原页和官方侧。,高校辅证可用于解释差异；单校单页列适合先打样,优先复用或补找西安邮电大学官网2026湖北物理计划、章程或计划图，仅作差异解释。,回看第19期PDF第226页left栏；记录专业代号、专业名称、计划数、学费、选科和专业组边界；冲突字段做第二人复核；再查湖北官方侧。,完成三方记录和双人复核后，只能进入字段写回评估队列。,不得用高校官网替代湖北官方计划；不得跳过第19期原页；不得在未核专业组边界前生成志愿建议。,847c7c54bd72de365bdda6b2ab03f795a769b5dddce8c1f4fb312efea799978b,公开层只保存状态、计数、学校/组索引和任务ID哈希；字段读数、截图、OCR原文和人工备注留在私有工作台。
21,FCACT-647d01c0b8856a48,226-right,226,right,西安医学院,K48804；K48805,04；05,2,专业计划数；学费；再选科目×2,0,2,2,2,pending_private_pdf_reading×2,pending_private_hubei_reading×2,pending_private_school_reading×2,pending_private_three_way_field_confirmation×2,blocked_until_required_private_readings_complete×2,PDF OCR 与高校辅证存在公开状态层冲突；公开表不保存候选读数，必须回原页和官方侧。,高校辅证可用于解释差异；单校单页列适合先打样,优先复用或补找西安医学院官网2026湖北物理计划、章程或计划图，仅作差异解释。,回看第19期PDF第226页right栏；记录专业代号、专业名称、计划数、学费、选科和专业组边界；冲突字段做第二人复核；再查湖北官方侧。,完成三方记录和双人复核后，只能进入字段写回评估队列。,不得用高校官网替代湖北官方计划；不得跳过第19期原页；不得在未核专业组边界前生成志愿建议。,2262bd89a947faf7031dcfbe137751a0d391d7a419b327fe7436713dd068c8c7,公开层只保存状态、计数、学校/组索引和任务ID哈希；字段读数、截图、OCR原文和人工备注留在私有工作台。
