执行序号,核验包编号,页码版面键,院校代码,院校名称,院校专业组代码,专业代号,专业名称短摘,字段范围,任务来源类型,公开冲突桶,候选提示桶,PDFOCR提示状态,机器坐标提示状态,高校辅证线索,是否需要双人复核,是否需要人工看图,PDF原页记录状态,湖北官方记录状态,高校辅证记录状态,三方一致性状态,字段写回状态,下一步核验动作,完成条件,专业行ID,第一闭环任务ID
1,FCACT-21bf5d03c4063f0e,135-left,F902,江苏理工学院,F90202,03,机械电子工程,专业计划数；学费；再选科目,自动官网辅证任务,R0-PDFOCR与高校辅证存在冲突,H0-PDFOCR与高校辅证冲突,private_pdf_ocr_candidate_seeded,M2-原已有PDFOCR候选不启用机器坐标补候选,true,true,true,pending_private_pdf_reading,pending_private_hubei_reading,pending_private_school_reading,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,先核PDF原页，再核湖北官方侧，最后对照高校辅证,PDF原页记录、湖北官方侧记录、高校辅证记录和必要双人复核齐全后，才进入字段写回评估；仍不作为最终志愿依据。,M-dc3b57515c994b61,FIRSTDETAIL-9008da4b792e2d9c
1,FCACT-21bf5d03c4063f0e,135-left,F902,江苏理工学院,F90202,04,过程装备与控制工程,专业计划数；学费,自动官网辅证任务,R0-PDFOCR与高校辅证存在冲突,H0-PDFOCR与高校辅证冲突,private_pdf_ocr_candidate_seeded,M2-原已有PDFOCR候选不启用机器坐标补候选,true,true,true,pending_private_pdf_reading,pending_private_hubei_reading,pending_private_school_reading,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,先核PDF原页，再核湖北官方侧，最后对照高校辅证,PDF原页记录、湖北官方侧记录、高校辅证记录和必要双人复核齐全后，才进入字段写回评估；仍不作为最终志愿依据。,M-4b0ca5231b5e0dda,FIRSTDETAIL-0dada9bf9ecaa6e1
1,FCACT-21bf5d03c4063f0e,135-left,F902,江苏理工学院,F90202,05,通信工程,专业计划数；学费,自动官网辅证任务,R0-PDFOCR与高校辅证存在冲突,H0-PDFOCR与高校辅证冲突,private_pdf_ocr_candidate_seeded,M2-原已有PDFOCR候选不启用机器坐标补候选,true,true,true,pending_private_pdf_reading,pending_private_hubei_reading,pending_private_school_reading,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,先核PDF原页，再核湖北官方侧，最后对照高校辅证,PDF原页记录、湖北官方侧记录、高校辅证记录和必要双人复核齐全后，才进入字段写回评估；仍不作为最终志愿依据。,M-af973281700f5eb7,FIRSTDETAIL-0e930ca33ab1b3b9
1,FCACT-21bf5d03c4063f0e,135-left,F902,江苏理工学院,F90202,06,电气工程及其自动化,专业计划数；学费,自动官网辅证任务,R0-PDFOCR与高校辅证存在冲突,H0-PDFOCR与高校辅证冲突,private_pdf_ocr_candidate_seeded,M2-原已有PDFOCR候选不启用机器坐标补候选,true,true,true,pending_private_pdf_reading,pending_private_hubei_reading,pending_private_school_reading,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,先核PDF原页，再核湖北官方侧，最后对照高校辅证,PDF原页记录、湖北官方侧记录、高校辅证记录和必要双人复核齐全后，才进入字段写回评估；仍不作为最终志愿依据。,M-78343e2534bdcb7c,FIRSTDETAIL-726fddd63013332a
1,FCACT-21bf5d03c4063f0e,135-left,F902,江苏理工学院,F90202,07,自动化,专业计划数；学费,自动官网辅证任务,R0-PDFOCR与高校辅证存在冲突,H0-PDFOCR与高校辅证冲突,private_pdf_ocr_candidate_seeded,M2-原已有PDFOCR候选不启用机器坐标补候选,true,true,true,pending_private_pdf_reading,pending_private_hubei_reading,pending_private_school_reading,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,先核PDF原页，再核湖北官方侧，最后对照高校辅证,PDF原页记录、湖北官方侧记录、高校辅证记录和必要双人复核齐全后，才进入字段写回评估；仍不作为最终志愿依据。,M-e169ec05a319416b,FIRSTDETAIL-9d2efbd617a42fa2
1,FCACT-21bf5d03c4063f0e,135-left,F902,江苏理工学院,F90202,08,软件工程,专业计划数；学费,自动官网辅证任务,R0-PDFOCR与高校辅证存在冲突,H0-PDFOCR与高校辅证冲突,private_pdf_ocr_candidate_seeded,M2-原已有PDFOCR候选不启用机器坐标补候选,true,true,true,pending_private_pdf_reading,pending_private_hubei_reading,pending_private_school_reading,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,先核PDF原页，再核湖北官方侧，最后对照高校辅证,PDF原页记录、湖北官方侧记录、高校辅证记录和必要双人复核齐全后，才进入字段写回评估；仍不作为最终志愿依据。,M-7af5985c525e29ba,FIRSTDETAIL-28da3744d1bbd3b1
1,FCACT-21bf5d03c4063f0e,135-left,F902,江苏理工学院,F90202,09,数据科学与大数据技术,专业计划数；学费,自动官网辅证任务,R0-PDFOCR与高校辅证存在冲突,H0-PDFOCR与高校辅证冲突,private_pdf_ocr_candidate_seeded,M2-原已有PDFOCR候选不启用机器坐标补候选,true,true,true,pending_private_pdf_reading,pending_private_hubei_reading,pending_private_school_reading,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,先核PDF原页，再核湖北官方侧，最后对照高校辅证,PDF原页记录、湖北官方侧记录、高校辅证记录和必要双人复核齐全后，才进入字段写回评估；仍不作为最终志愿依据。,M-e61c577465bca697,FIRSTDETAIL-d3b4542d9cf04623
1,FCACT-21bf5d03c4063f0e,135-left,F902,江苏理工学院,F90202,10,数字媒体技术,专业计划数；学费,自动官网辅证任务,R0-PDFOCR与高校辅证存在冲突,H0-PDFOCR与高校辅证冲突,private_pdf_ocr_candidate_seeded,M2-原已有PDFOCR候选不启用机器坐标补候选,true,true,true,pending_private_pdf_reading,pending_private_hubei_reading,pending_private_school_reading,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,先核PDF原页，再核湖北官方侧，最后对照高校辅证,PDF原页记录、湖北官方侧记录、高校辅证记录和必要双人复核齐全后，才进入字段写回评估；仍不作为最终志愿依据。,M-bf093921a5df7b57,FIRSTDETAIL-c38ee9bcbc39ce19
1,FCACT-21bf5d03c4063f0e,135-left,F902,江苏理工学院,F90202,11,储能科学与工程,专业计划数；学费,自动官网辅证任务,R0-PDFOCR与高校辅证存在冲突,H0-PDFOCR与高校辅证冲突,private_pdf_ocr_candidate_seeded,M2-原已有PDFOCR候选不启用机器坐标补候选,true,true,true,pending_private_pdf_reading,pending_private_hubei_reading,pending_private_school_reading,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,先核PDF原页，再核湖北官方侧，最后对照高校辅证,PDF原页记录、湖北官方侧记录、高校辅证记录和必要双人复核齐全后，才进入字段写回评估；仍不作为最终志愿依据。,M-cf6e2346e326fb75,FIRSTDETAIL-202127380ebfe86a
1,FCACT-21bf5d03c4063f0e,135-left,F902,江苏理工学院,F90202,12,功能材料,专业计划数；学费,自动官网辅证任务,R0-PDFOCR与高校辅证存在冲突,H0-PDFOCR与高校辅证冲突,private_pdf_ocr_candidate_seeded,M2-原已有PDFOCR候选不启用机器坐标补候选,true,true,true,pending_private_pdf_reading,pending_private_hubei_reading,pending_private_school_reading,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,先核PDF原页，再核湖北官方侧，最后对照高校辅证,PDF原页记录、湖北官方侧记录、高校辅证记录和必要双人复核齐全后，才进入字段写回评估；仍不作为最终志愿依据。,M-4c1c9015c9d9aef3,FIRSTDETAIL-98835066fcfb9b8c
