下一轮序号,院校代码,院校名称,院校专业组代码,城市,冲稳保,下一轮建议状态,专业明细行数,可接受专业数,勉强接受专业数,待核后判断专业数,不能接受专业数,特殊限制专业数,高费或中外合作提示数,字段缺口专业数,100%核验专业数,调剂风险等级,家庭最小决策动作,核验最小动作,是否建议进入下一轮重点核验,是否可作为定稿依据
1,K784,新疆工业学院,K78401,和田地区,保底观察,优先家庭讨论,8,3,5,0,0,0,0,7,0,T2-字段或限制待核较多,是否能接受组内非偏好专业调剂；字段缺口补齐前不进入最终排序,家庭先看完整组内专业，标出可接受/勉强接受/不能接受；保留后再做100%原页和湖北官方侧核验。,true,false
2,C131,湖北汽车工业学院,C13107,十堰市,稳妥观察,优先家庭讨论,15,8,7,0,0,0,0,14,14,T2-字段或限制待核较多,是否能接受组内非偏好专业调剂；字段缺口补齐前不进入最终排序,家庭先看完整组内专业，标出可接受/勉强接受/不能接受；保留后再做100%原页和湖北官方侧核验。,true,false
4,F597,长春工程学院,F59704,长春市,稳妥观察,优先家庭讨论,17,3,14,0,0,0,0,17,4,T2-字段或限制待核较多,是否能接受组内非偏好专业调剂；字段缺口补齐前不进入最终排序,家庭先看完整组内专业，标出可接受/勉强接受/不能接受；保留后再做100%原页和湖北官方侧核验。,true,false
6,C139,荆楚理工学院,C13908,荆门市,稳妥观察,优先家庭讨论,11,4,7,0,0,0,0,10,0,T2-字段或限制待核较多,是否能接受组内非偏好专业调剂；字段缺口补齐前不进入最终排序,家庭先看完整组内专业，标出可接受/勉强接受/不能接受；保留后再做100%原页和湖北官方侧核验。,true,false
7,F305,忻州师范学院,F30508,忻州市,稳妥观察,优先家庭讨论,4,3,1,0,0,0,0,4,0,T2-字段或限制待核较多,是否能接受组内非偏好专业调剂；字段缺口补齐前不进入最终排序,家庭先看完整组内专业，标出可接受/勉强接受/不能接受；保留后再做100%原页和湖北官方侧核验。,true,false
10,F308,吕梁学院,F30805,吕梁市,稳妥观察,优先家庭讨论,5,4,1,0,0,0,0,4,0,T2-字段或限制待核较多,是否能接受组内非偏好专业调剂；字段缺口补齐前不进入最终排序,家庭先看完整组内专业，标出可接受/勉强接受/不能接受；保留后再做100%原页和湖北官方侧核验。,true,false
11,K354,曲靖师范学院,K35405,曲靖市,稳妥观察,优先家庭讨论,6,2,4,0,0,0,0,6,0,T2-字段或限制待核较多,是否能接受组内非偏好专业调剂；字段缺口补齐前不进入最终排序,家庭先看完整组内专业，标出可接受/勉强接受/不能接受；保留后再做100%原页和湖北官方侧核验。,true,false
16,K272,六盘水师范学院,K27203,六盘水市,稳妥观察,优先家庭讨论,4,3,1,0,0,0,0,3,0,T2-字段或限制待核较多,是否能接受组内非偏好专业调剂；字段缺口补齐前不进入最终排序,家庭先看完整组内专业，标出可接受/勉强接受/不能接受；保留后再做100%原页和湖北官方侧核验。,true,false
17,K757,新疆工程学院,K75703,乌鲁木齐市,稳妥观察,优先家庭讨论,2,1,1,0,0,0,0,1,0,T2-字段或限制待核较多,是否能接受组内非偏好专业调剂；字段缺口补齐前不进入最终排序,家庭先看完整组内专业，标出可接受/勉强接受/不能接受；保留后再做100%原页和湖北官方侧核验。,true,false
19,C127,湖北工程学院,C12708,孝感市,稳妥观察,优先家庭讨论,3,1,2,0,0,0,0,1,3,T2-字段或限制待核较多,是否能接受组内非偏好专业调剂；字段缺口补齐前不进入最终排序,家庭先看完整组内专业，标出可接受/勉强接受/不能接受；保留后再做100%原页和湖北官方侧核验。,true,false
