第一闭环人工核验页列包ID,来源期号,来源PDF_SHA256,生成日期,数据阶段,主表粒度,任务粒度,最终可用,可进入下一阶段,可否进入最终志愿方案,是否允许作为志愿推荐依据,是否允许自动写回主表,是否允许官网证据替代湖北官方计划,是否允许生成学校专业建议,是否允许写回字段事实,人工核验包序号,来源页码,版面列,页码版面键,执行泳道,页列任务数,字段核验行数,涉及专业行数,涉及院校代码数,待核字段分布,任务结果桶分布,PDF原页证据状态分布,OCR提示状态分布,机器坐标提示状态分布,高校辅证证据状态分布,冲突状态分布,需要双人复核任务数,需要人工直接看图任务数,建议人工核验小包类型,建议每包任务上限,建议核验顺序,PDF原页核验操作,湖北官方侧核验操作,高校官网辅证操作,完成条件,公开填写边界,关联任务集合SHA16,关联字段集合SHA16,公开安全策略
FCMV-PAGE-342a80bcffb9ddc6,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_manual_verification_workbook,第一闭环页列人工核验包,PDF页码×版面列,false,false,false,false,false,false,false,false,1,14,left,014-left,E1-计划数补缺或偏大优先核验,1,1,1,1,专业计划数×1,R2-机器坐标辅助核PDF原页×1,P1-有机器坐标提示，仍待PDF原页人工核验×1,O4-无PDFOCR但有机器坐标提示×1,M1-有机器坐标提示可辅助定位×1,S0-无高校字段线索，本任务高校辅证不适用×1,C4-无可比候选，需人工看图或随页列闭环×1,1,0,P3-机器坐标辅助核页包,10,先补计划数、学费或选科缺口，再用高校源作定位提示，最后核湖北官方侧。,按页码和版面列打开第19期原页，逐字段核专业组边界、专业行归属、计划数、学费和选科。,在湖北官方系统或省招办计划可用时逐项核同一专业组和专业行；未核前保持pending。,本页列当前无高校字段线索，先以PDF原页和湖北官方侧为准。,页列内所有任务完成PDF原页、湖北官方侧、必要高校辅证和双人复核记录后，仍不自动写回。,公开表只保留状态、计数、ID和SHA；具体核验内容、字段内容、OCR原文和截图路径不得填入公开仓库。,7e850f28b678a878,97a08fcdfd8ac2e5,not_final；for_manual_execution_only；no_field_values；no_private_paths；no_ocr_text；no_recommendation
FCMV-PAGE-9d09fa448802d3c6,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_manual_verification_workbook,第一闭环页列人工核验包,PDF页码×版面列,false,false,false,false,false,false,false,false,2,18,left,018-left,E0-冲突异常双人优先核验,17,35,9,1,专业计划数×17；再选科目×9；学费×9,R0-冲突优先双人核PDF原页和湖北官方侧×4；R2-机器坐标辅助核PDF原页×5；R3-无稳定候选需人工看图×3；R5-多源一致线索仍待湖北官方侧×5,P0-有冲突线索，PDF原页优先人工核验×4；P1-有机器坐标提示，仍待PDF原页人工核验×5；P2-有PDFOCR提示，仍待PDF原页人工确认×5；P3-无稳定OCR提示，需人工看PDF原页×3,O0-PDFOCR与高校辅证冲突×4；O1-PDFOCR与高校辅证有一致字段但仍待官方闭环×5；O4-无PDFOCR但有机器坐标提示×5；O5-无公开OCR候选提示×3,M0-无机器坐标提示×12；M1-有机器坐标提示可辅助定位×5,S1-有高校辅证线索或自动官网任务，待私有辅证记录×17,C0-PDFOCR与高校辅证冲突，必须回PDF原页和湖北官方侧×4；C2-多源有一致线索，仍待湖北官方侧闭环×5；C4-无可比候选，需人工看图或随页列闭环×8,4,7,P0-冲突双人核页包,10,先做双人回看PDF原页，再核湖北官方侧；冲突字段不得由OCR或高校源直接定案。,按页码和版面列打开第19期原页，逐字段核专业组边界、专业行归属、计划数、学费和选科。,在湖北官方系统或省招办计划可用时逐项核同一专业组和专业行；未核前保持pending。,高校官网只作double check：记录来源是否能解释差异，但不能替代湖北官方计划或PDF原页。,页列内所有任务完成PDF原页、湖北官方侧、必要高校辅证和双人复核记录后，仍不自动写回。,公开表只保留状态、计数、ID和SHA；具体核验内容、字段内容、OCR原文和截图路径不得填入公开仓库。,6d0475e597528d7a,ba4fde08c55413dc,not_final；for_manual_execution_only；no_field_values；no_private_paths；no_ocr_text；no_recommendation
FCMV-PAGE-5204e3839b5946b3,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_manual_verification_workbook,第一闭环页列人工核验包,PDF页码×版面列,false,false,false,false,false,false,false,false,3,23,left,023-left,E0-冲突异常双人优先核验,1,1,1,1,专业计划数×1,R2-机器坐标辅助核PDF原页×1,P1-有机器坐标提示，仍待PDF原页人工核验×1,O4-无PDFOCR但有机器坐标提示×1,M1-有机器坐标提示可辅助定位×1,S0-无高校字段线索，本任务高校辅证不适用×1,C4-无可比候选，需人工看图或随页列闭环×1,1,0,P3-机器坐标辅助核页包,10,先做双人回看PDF原页，再核湖北官方侧；冲突字段不得由OCR或高校源直接定案。,按页码和版面列打开第19期原页，逐字段核专业组边界、专业行归属、计划数、学费和选科。,在湖北官方系统或省招办计划可用时逐项核同一专业组和专业行；未核前保持pending。,本页列当前无高校字段线索，先以PDF原页和湖北官方侧为准。,页列内所有任务完成PDF原页、湖北官方侧、必要高校辅证和双人复核记录后，仍不自动写回。,公开表只保留状态、计数、ID和SHA；具体核验内容、字段内容、OCR原文和截图路径不得填入公开仓库。,4c7aead077eb4e85,191f6dc8951ff1dc,not_final；for_manual_execution_only；no_field_values；no_private_paths；no_ocr_text；no_recommendation
FCMV-PAGE-8476c4a86c805e7b,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_manual_verification_workbook,第一闭环页列人工核验包,PDF页码×版面列,false,false,false,false,false,false,false,false,4,32,right,032-right,E1-计划数补缺或偏大优先核验,1,1,1,1,专业计划数×1,R2-机器坐标辅助核PDF原页×1,P1-有机器坐标提示，仍待PDF原页人工核验×1,O4-无PDFOCR但有机器坐标提示×1,M1-有机器坐标提示可辅助定位×1,S0-无高校字段线索，本任务高校辅证不适用×1,C4-无可比候选，需人工看图或随页列闭环×1,1,0,P3-机器坐标辅助核页包,10,先补计划数、学费或选科缺口，再用高校源作定位提示，最后核湖北官方侧。,按页码和版面列打开第19期原页，逐字段核专业组边界、专业行归属、计划数、学费和选科。,在湖北官方系统或省招办计划可用时逐项核同一专业组和专业行；未核前保持pending。,本页列当前无高校字段线索，先以PDF原页和湖北官方侧为准。,页列内所有任务完成PDF原页、湖北官方侧、必要高校辅证和双人复核记录后，仍不自动写回。,公开表只保留状态、计数、ID和SHA；具体核验内容、字段内容、OCR原文和截图路径不得填入公开仓库。,9e605a53a1548ab0,26aa65f1bf3465bf,not_final；for_manual_execution_only；no_field_values；no_private_paths；no_ocr_text；no_recommendation
FCMV-PAGE-a393e45e86f3e1a6,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_manual_verification_workbook,第一闭环页列人工核验包,PDF页码×版面列,false,false,false,false,false,false,false,false,5,33,right,033-right,E1-计划数补缺或偏大优先核验,1,1,1,1,专业计划数×1,R2-机器坐标辅助核PDF原页×1,P1-有机器坐标提示，仍待PDF原页人工核验×1,O4-无PDFOCR但有机器坐标提示×1,M1-有机器坐标提示可辅助定位×1,S0-无高校字段线索，本任务高校辅证不适用×1,C4-无可比候选，需人工看图或随页列闭环×1,1,0,P3-机器坐标辅助核页包,10,先补计划数、学费或选科缺口，再用高校源作定位提示，最后核湖北官方侧。,按页码和版面列打开第19期原页，逐字段核专业组边界、专业行归属、计划数、学费和选科。,在湖北官方系统或省招办计划可用时逐项核同一专业组和专业行；未核前保持pending。,本页列当前无高校字段线索，先以PDF原页和湖北官方侧为准。,页列内所有任务完成PDF原页、湖北官方侧、必要高校辅证和双人复核记录后，仍不自动写回。,公开表只保留状态、计数、ID和SHA；具体核验内容、字段内容、OCR原文和截图路径不得填入公开仓库。,6495b02e5c41ed42,82fc9ddbf572349e,not_final；for_manual_execution_only；no_field_values；no_private_paths；no_ocr_text；no_recommendation
FCMV-PAGE-7e311f642ec9d20a,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_manual_verification_workbook,第一闭环页列人工核验包,PDF页码×版面列,false,false,false,false,false,false,false,false,6,36,right,036-right,E2-官网未匹配专业名归属核验,1,2,1,1,再选科目×1；学费×1,R4-PDFOCR候选人工确认×1,P2-有PDFOCR提示，仍待PDF原页人工确认×1,O3-仅PDFOCR候选待人工核页×1,M0-无机器坐标提示×1,S1-有高校辅证线索或自动官网任务，待私有辅证记录×1,C3-仅PDFOCR候选，需人工核页×1,0,0,P4-PDFOCR候选确认包,10,先核专业名、专业组边界和备注归属，再决定是否需要逐字段复核。,按页码和版面列打开第19期原页，逐字段核专业组边界、专业行归属、计划数、学费和选科。,在湖北官方系统或省招办计划可用时逐项核同一专业组和专业行；未核前保持pending。,高校官网只作double check：记录来源是否能解释差异，但不能替代湖北官方计划或PDF原页。,页列内所有任务完成PDF原页、湖北官方侧、必要高校辅证和双人复核记录后，仍不自动写回。,公开表只保留状态、计数、ID和SHA；具体核验内容、字段内容、OCR原文和截图路径不得填入公开仓库。,8fdede619281e7ce,320d6b75f057b8d4,not_final；for_manual_execution_only；no_field_values；no_private_paths；no_ocr_text；no_recommendation
FCMV-PAGE-39cfc7bcbd00517f,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_manual_verification_workbook,第一闭环页列人工核验包,PDF页码×版面列,false,false,false,false,false,false,false,false,7,37,left,037-left,E0-冲突异常双人优先核验,5,8,5,1,专业计划数×3；再选科目×3；学费×2,R0-冲突优先双人核PDF原页和湖北官方侧×1；R3-无稳定候选需人工看图×2；R4-PDFOCR候选人工确认×2,P0-有冲突线索，PDF原页优先人工核验×1；P2-有PDFOCR提示，仍待PDF原页人工确认×2；P3-无稳定OCR提示，需人工看PDF原页×2,O0-PDFOCR与高校辅证冲突×1；O3-仅PDFOCR候选待人工核页×2；O5-无公开OCR候选提示×2,M0-无机器坐标提示×5,S1-有高校辅证线索或自动官网任务，待私有辅证记录×5,C0-PDFOCR与高校辅证冲突，必须回PDF原页和湖北官方侧×1；C3-仅PDFOCR候选，需人工核页×2；C4-无可比候选，需人工看图或随页列闭环×2,3,3,P0-冲突双人核页包,10,先做双人回看PDF原页，再核湖北官方侧；冲突字段不得由OCR或高校源直接定案。,按页码和版面列打开第19期原页，逐字段核专业组边界、专业行归属、计划数、学费和选科。,在湖北官方系统或省招办计划可用时逐项核同一专业组和专业行；未核前保持pending。,高校官网只作double check：记录来源是否能解释差异，但不能替代湖北官方计划或PDF原页。,页列内所有任务完成PDF原页、湖北官方侧、必要高校辅证和双人复核记录后，仍不自动写回。,公开表只保留状态、计数、ID和SHA；具体核验内容、字段内容、OCR原文和截图路径不得填入公开仓库。,dd4dc3738d81ee7a,c96268487bd03e9a,not_final；for_manual_execution_only；no_field_values；no_private_paths；no_ocr_text；no_recommendation
FCMV-PAGE-15418e56c9b437c0,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_manual_verification_workbook,第一闭环页列人工核验包,PDF页码×版面列,false,false,false,false,false,false,false,false,8,38,right,038-right,E1-计划数补缺或偏大优先核验,2,2,2,1,专业计划数×2,R2-机器坐标辅助核PDF原页×2,P1-有机器坐标提示，仍待PDF原页人工核验×2,O4-无PDFOCR但有机器坐标提示×2,M1-有机器坐标提示可辅助定位×2,S0-无高校字段线索，本任务高校辅证不适用×2,C4-无可比候选，需人工看图或随页列闭环×2,2,0,P3-机器坐标辅助核页包,10,先补计划数、学费或选科缺口，再用高校源作定位提示，最后核湖北官方侧。,按页码和版面列打开第19期原页，逐字段核专业组边界、专业行归属、计划数、学费和选科。,在湖北官方系统或省招办计划可用时逐项核同一专业组和专业行；未核前保持pending。,本页列当前无高校字段线索，先以PDF原页和湖北官方侧为准。,页列内所有任务完成PDF原页、湖北官方侧、必要高校辅证和双人复核记录后，仍不自动写回。,公开表只保留状态、计数、ID和SHA；具体核验内容、字段内容、OCR原文和截图路径不得填入公开仓库。,5076c550f887ad56,81a30bf91e57e4b7,not_final；for_manual_execution_only；no_field_values；no_private_paths；no_ocr_text；no_recommendation
FCMV-PAGE-d6c25bfbf7838eed,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_manual_verification_workbook,第一闭环页列人工核验包,PDF页码×版面列,false,false,false,false,false,false,false,false,9,40,right,040-right,E0-冲突异常双人优先核验,1,1,1,1,专业计划数×1,R2-机器坐标辅助核PDF原页×1,P1-有机器坐标提示，仍待PDF原页人工核验×1,O4-无PDFOCR但有机器坐标提示×1,M1-有机器坐标提示可辅助定位×1,S0-无高校字段线索，本任务高校辅证不适用×1,C4-无可比候选，需人工看图或随页列闭环×1,1,0,P3-机器坐标辅助核页包,10,先做双人回看PDF原页，再核湖北官方侧；冲突字段不得由OCR或高校源直接定案。,按页码和版面列打开第19期原页，逐字段核专业组边界、专业行归属、计划数、学费和选科。,在湖北官方系统或省招办计划可用时逐项核同一专业组和专业行；未核前保持pending。,本页列当前无高校字段线索，先以PDF原页和湖北官方侧为准。,页列内所有任务完成PDF原页、湖北官方侧、必要高校辅证和双人复核记录后，仍不自动写回。,公开表只保留状态、计数、ID和SHA；具体核验内容、字段内容、OCR原文和截图路径不得填入公开仓库。,f64746a5c4cf0a5c,6ebdb589c7fc1ef5,not_final；for_manual_execution_only；no_field_values；no_private_paths；no_ocr_text；no_recommendation
FCMV-PAGE-d5c22e054a46950f,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_manual_verification_workbook,第一闭环页列人工核验包,PDF页码×版面列,false,false,false,false,false,false,false,false,10,43,left,043-left,E0-冲突异常双人优先核验,1,1,1,1,专业计划数×1,R2-机器坐标辅助核PDF原页×1,P1-有机器坐标提示，仍待PDF原页人工核验×1,O4-无PDFOCR但有机器坐标提示×1,M1-有机器坐标提示可辅助定位×1,S0-无高校字段线索，本任务高校辅证不适用×1,C4-无可比候选，需人工看图或随页列闭环×1,1,0,P3-机器坐标辅助核页包,10,先做双人回看PDF原页，再核湖北官方侧；冲突字段不得由OCR或高校源直接定案。,按页码和版面列打开第19期原页，逐字段核专业组边界、专业行归属、计划数、学费和选科。,在湖北官方系统或省招办计划可用时逐项核同一专业组和专业行；未核前保持pending。,本页列当前无高校字段线索，先以PDF原页和湖北官方侧为准。,页列内所有任务完成PDF原页、湖北官方侧、必要高校辅证和双人复核记录后，仍不自动写回。,公开表只保留状态、计数、ID和SHA；具体核验内容、字段内容、OCR原文和截图路径不得填入公开仓库。,eb2d08e51be33bc3,f8f414d54090b919,not_final；for_manual_execution_only；no_field_values；no_private_paths；no_ocr_text；no_recommendation
