第一闭环人工核验任务ID,来源期号,来源PDF_SHA256,生成日期,数据阶段,主表粒度,任务粒度,最终可用,可进入下一阶段,可否进入最终志愿方案,是否允许作为志愿推荐依据,是否允许自动写回主表,是否允许官网证据替代湖北官方计划,是否允许生成学校专业建议,是否允许写回字段事实,人工核验包序号,稳定基座第一闭环明细任务ID,稳定基座第一闭环页列包ID,来源页码,版面列,页码版面键,专业行ID,专业组出现ID,院校代码,任务来源类型,字段名,执行泳道,核验动作层级,任务结果桶,PDF原页证据状态,OCR提示状态,机器坐标提示状态,高校辅证证据状态,湖北官方侧状态,冲突状态,三方闭环状态,字段写回门禁,是否需要双人复核,是否需要人工直接看图,完成证据要求,当前阻断原因,下一步核验动作,公开人工记录栏,公开填写边界,公开安全策略
FCMV-TASK-f72929d860f2f693,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_manual_verification_workbook,第一闭环明细任务人工核验项,逐专业招生明细×第一闭环任务,false,false,false,false,false,false,false,false,1,FIRSTDETAIL-9bf7591b36b04599,FIRSTPAGE-1d715f85ac144ecb,14,left,014-left,M-0e3eab5eafd98476,G-3a0c940c9affcb18,A010,P0人工字段任务,专业计划数,E1-计划数补缺或偏大优先核验,N2-机器坐标辅助核PDF原页,R2-机器坐标辅助核PDF原页,P1-有机器坐标提示，仍待PDF原页人工核验,O4-无PDFOCR但有机器坐标提示,M1-有机器坐标提示可辅助定位,S0-无高校字段线索，本任务高校辅证不适用,pending_hubei_official_review,C4-无可比候选，需人工看图或随页列闭环,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,true,false,PDF原页、湖北官方侧、必要高校辅证和双人复核记录完成后，仍需人工评估是否可写回。,PDF原页未完成逐项核页；湖北官方系统或省招办计划未闭环；无可比候选，需人工看图,按机器坐标提示定位原页字段，完成人工记录后再核湖北官方侧。,留空；具体核验内容只允许写入私有复核表，不写入公开仓库。,公开表只保留状态、计数、ID和SHA；具体核验内容、字段内容、OCR原文和截图路径不得填入公开仓库。,not_final；for_manual_execution_only；no_field_values；no_private_paths；no_ocr_text；no_recommendation
FCMV-TASK-0fc98c71076c6e78,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_manual_verification_workbook,第一闭环明细任务人工核验项,逐专业招生明细×第一闭环任务,false,false,false,false,false,false,false,false,2,FIRSTDETAIL-0a008f059b306a64,FIRSTPAGE-ffc90431edf15154,18,left,018-left,M-f588b8040b4edb64,G-2432826275c85956,A033,自动官网辅证任务,专业计划数；学费；再选科目,E0-冲突异常双人优先核验,N0-先双人核PDF原页冲突,R0-冲突优先双人核PDF原页和湖北官方侧,P0-有冲突线索，PDF原页优先人工核验,O0-PDFOCR与高校辅证冲突,M0-无机器坐标提示,S1-有高校辅证线索或自动官网任务，待私有辅证记录,pending_hubei_official_review,C0-PDFOCR与高校辅证冲突，必须回PDF原页和湖北官方侧,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,false,true,PDF原页、湖北官方侧、必要高校辅证和双人复核记录完成后，仍需人工评估是否可写回。,PDF原页未完成逐项核页；湖北官方系统或省招办计划未闭环；高校官网辅证仍待私有记录或回页核验；PDFOCR与高校辅证存在冲突线索,双人回看PDF原页，先判定PDFOCR与高校辅证冲突字段，再核湖北官方侧。,留空；具体核验内容只允许写入私有复核表，不写入公开仓库。,公开表只保留状态、计数、ID和SHA；具体核验内容、字段内容、OCR原文和截图路径不得填入公开仓库。,not_final；for_manual_execution_only；no_field_values；no_private_paths；no_ocr_text；no_recommendation
FCMV-TASK-cf81fe553fd793a2,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_manual_verification_workbook,第一闭环明细任务人工核验项,逐专业招生明细×第一闭环任务,false,false,false,false,false,false,false,false,2,FIRSTDETAIL-6e2d3b4c7f4c6ceb,FIRSTPAGE-ffc90431edf15154,18,left,018-left,M-1313bee178d7d0ee,G-df1242f8618d3971,A033,自动官网辅证任务,专业计划数；学费；再选科目,E0-冲突异常双人优先核验,N0-先双人核PDF原页冲突,R0-冲突优先双人核PDF原页和湖北官方侧,P0-有冲突线索，PDF原页优先人工核验,O0-PDFOCR与高校辅证冲突,M0-无机器坐标提示,S1-有高校辅证线索或自动官网任务，待私有辅证记录,pending_hubei_official_review,C0-PDFOCR与高校辅证冲突，必须回PDF原页和湖北官方侧,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,true,true,PDF原页、湖北官方侧、必要高校辅证和双人复核记录完成后，仍需人工评估是否可写回。,PDF原页未完成逐项核页；湖北官方系统或省招办计划未闭环；高校官网辅证仍待私有记录或回页核验；PDFOCR与高校辅证存在冲突线索,双人回看PDF原页，先判定PDFOCR与高校辅证冲突字段，再核湖北官方侧。,留空；具体核验内容只允许写入私有复核表，不写入公开仓库。,公开表只保留状态、计数、ID和SHA；具体核验内容、字段内容、OCR原文和截图路径不得填入公开仓库。,not_final；for_manual_execution_only；no_field_values；no_private_paths；no_ocr_text；no_recommendation
FCMV-TASK-030425a8e74e028e,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_manual_verification_workbook,第一闭环明细任务人工核验项,逐专业招生明细×第一闭环任务,false,false,false,false,false,false,false,false,2,FIRSTDETAIL-8bf313b58dad8c1d,FIRSTPAGE-ffc90431edf15154,18,left,018-left,M-93d6111287b31e95,G-2432826275c85956,A033,自动官网辅证任务,专业计划数；学费；再选科目,E0-冲突异常双人优先核验,N0-先双人核PDF原页冲突,R0-冲突优先双人核PDF原页和湖北官方侧,P0-有冲突线索，PDF原页优先人工核验,O0-PDFOCR与高校辅证冲突,M0-无机器坐标提示,S1-有高校辅证线索或自动官网任务，待私有辅证记录,pending_hubei_official_review,C0-PDFOCR与高校辅证冲突，必须回PDF原页和湖北官方侧,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,false,true,PDF原页、湖北官方侧、必要高校辅证和双人复核记录完成后，仍需人工评估是否可写回。,PDF原页未完成逐项核页；湖北官方系统或省招办计划未闭环；高校官网辅证仍待私有记录或回页核验；PDFOCR与高校辅证存在冲突线索,双人回看PDF原页，先判定PDFOCR与高校辅证冲突字段，再核湖北官方侧。,留空；具体核验内容只允许写入私有复核表，不写入公开仓库。,公开表只保留状态、计数、ID和SHA；具体核验内容、字段内容、OCR原文和截图路径不得填入公开仓库。,not_final；for_manual_execution_only；no_field_values；no_private_paths；no_ocr_text；no_recommendation
FCMV-TASK-88640d9b19b0d44b,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_manual_verification_workbook,第一闭环明细任务人工核验项,逐专业招生明细×第一闭环任务,false,false,false,false,false,false,false,false,2,FIRSTDETAIL-ab6063ed0b37268b,FIRSTPAGE-ffc90431edf15154,18,left,018-left,M-84b7a37c3bcb4125,G-df1242f8618d3971,A033,自动官网辅证任务,专业计划数；学费；再选科目,E0-冲突异常双人优先核验,N0-先双人核PDF原页冲突,R0-冲突优先双人核PDF原页和湖北官方侧,P0-有冲突线索，PDF原页优先人工核验,O0-PDFOCR与高校辅证冲突,M0-无机器坐标提示,S1-有高校辅证线索或自动官网任务，待私有辅证记录,pending_hubei_official_review,C0-PDFOCR与高校辅证冲突，必须回PDF原页和湖北官方侧,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,false,true,PDF原页、湖北官方侧、必要高校辅证和双人复核记录完成后，仍需人工评估是否可写回。,PDF原页未完成逐项核页；湖北官方系统或省招办计划未闭环；高校官网辅证仍待私有记录或回页核验；PDFOCR与高校辅证存在冲突线索,双人回看PDF原页，先判定PDFOCR与高校辅证冲突字段，再核湖北官方侧。,留空；具体核验内容只允许写入私有复核表，不写入公开仓库。,公开表只保留状态、计数、ID和SHA；具体核验内容、字段内容、OCR原文和截图路径不得填入公开仓库。,not_final；for_manual_execution_only；no_field_values；no_private_paths；no_ocr_text；no_recommendation
FCMV-TASK-25d3d3b8c5a546a4,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_manual_verification_workbook,第一闭环明细任务人工核验项,逐专业招生明细×第一闭环任务,false,false,false,false,false,false,false,false,2,FIRSTDETAIL-18f6e592f362a091,FIRSTPAGE-ffc90431edf15154,18,left,018-left,M-fddc2e8a1a4582a1,G-2432826275c85956,A033,P0人工字段任务,专业计划数,E0-冲突异常双人优先核验,N2-机器坐标辅助核PDF原页,R2-机器坐标辅助核PDF原页,P1-有机器坐标提示，仍待PDF原页人工核验,O4-无PDFOCR但有机器坐标提示,M1-有机器坐标提示可辅助定位,S1-有高校辅证线索或自动官网任务，待私有辅证记录,pending_hubei_official_review,C4-无可比候选，需人工看图或随页列闭环,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,false,false,PDF原页、湖北官方侧、必要高校辅证和双人复核记录完成后，仍需人工评估是否可写回。,PDF原页未完成逐项核页；湖北官方系统或省招办计划未闭环；高校官网辅证仍待私有记录或回页核验；无可比候选，需人工看图,按机器坐标提示定位原页字段，完成人工记录后再核湖北官方侧。,留空；具体核验内容只允许写入私有复核表，不写入公开仓库。,公开表只保留状态、计数、ID和SHA；具体核验内容、字段内容、OCR原文和截图路径不得填入公开仓库。,not_final；for_manual_execution_only；no_field_values；no_private_paths；no_ocr_text；no_recommendation
FCMV-TASK-59452445ea932d19,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_manual_verification_workbook,第一闭环明细任务人工核验项,逐专业招生明细×第一闭环任务,false,false,false,false,false,false,false,false,2,FIRSTDETAIL-5386851502856401,FIRSTPAGE-ffc90431edf15154,18,left,018-left,M-93d6111287b31e95,G-2432826275c85956,A033,P0人工字段任务,专业计划数,E0-冲突异常双人优先核验,N2-机器坐标辅助核PDF原页,R2-机器坐标辅助核PDF原页,P1-有机器坐标提示，仍待PDF原页人工核验,O4-无PDFOCR但有机器坐标提示,M1-有机器坐标提示可辅助定位,S1-有高校辅证线索或自动官网任务，待私有辅证记录,pending_hubei_official_review,C4-无可比候选，需人工看图或随页列闭环,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,false,false,PDF原页、湖北官方侧、必要高校辅证和双人复核记录完成后，仍需人工评估是否可写回。,PDF原页未完成逐项核页；湖北官方系统或省招办计划未闭环；高校官网辅证仍待私有记录或回页核验；无可比候选，需人工看图,按机器坐标提示定位原页字段，完成人工记录后再核湖北官方侧。,留空；具体核验内容只允许写入私有复核表，不写入公开仓库。,公开表只保留状态、计数、ID和SHA；具体核验内容、字段内容、OCR原文和截图路径不得填入公开仓库。,not_final；for_manual_execution_only；no_field_values；no_private_paths；no_ocr_text；no_recommendation
FCMV-TASK-685218a2ba56565d,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_manual_verification_workbook,第一闭环明细任务人工核验项,逐专业招生明细×第一闭环任务,false,false,false,false,false,false,false,false,2,FIRSTDETAIL-72a68e80599c0d0d,FIRSTPAGE-ffc90431edf15154,18,left,018-left,M-84b7a37c3bcb4125,G-df1242f8618d3971,A033,P0人工字段任务,专业计划数,E0-冲突异常双人优先核验,N2-机器坐标辅助核PDF原页,R2-机器坐标辅助核PDF原页,P1-有机器坐标提示，仍待PDF原页人工核验,O4-无PDFOCR但有机器坐标提示,M1-有机器坐标提示可辅助定位,S1-有高校辅证线索或自动官网任务，待私有辅证记录,pending_hubei_official_review,C4-无可比候选，需人工看图或随页列闭环,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,false,false,PDF原页、湖北官方侧、必要高校辅证和双人复核记录完成后，仍需人工评估是否可写回。,PDF原页未完成逐项核页；湖北官方系统或省招办计划未闭环；高校官网辅证仍待私有记录或回页核验；无可比候选，需人工看图,按机器坐标提示定位原页字段，完成人工记录后再核湖北官方侧。,留空；具体核验内容只允许写入私有复核表，不写入公开仓库。,公开表只保留状态、计数、ID和SHA；具体核验内容、字段内容、OCR原文和截图路径不得填入公开仓库。,not_final；for_manual_execution_only；no_field_values；no_private_paths；no_ocr_text；no_recommendation
FCMV-TASK-149e37b8983801c4,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_manual_verification_workbook,第一闭环明细任务人工核验项,逐专业招生明细×第一闭环任务,false,false,false,false,false,false,false,false,2,FIRSTDETAIL-83d8fa6dcdc1b3f9,FIRSTPAGE-ffc90431edf15154,18,left,018-left,M-d52b9b951aa3b3b1,G-2432826275c85956,A033,P0人工字段任务,专业计划数,E0-冲突异常双人优先核验,N2-机器坐标辅助核PDF原页,R2-机器坐标辅助核PDF原页,P1-有机器坐标提示，仍待PDF原页人工核验,O4-无PDFOCR但有机器坐标提示,M1-有机器坐标提示可辅助定位,S1-有高校辅证线索或自动官网任务，待私有辅证记录,pending_hubei_official_review,C4-无可比候选，需人工看图或随页列闭环,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,false,false,PDF原页、湖北官方侧、必要高校辅证和双人复核记录完成后，仍需人工评估是否可写回。,PDF原页未完成逐项核页；湖北官方系统或省招办计划未闭环；高校官网辅证仍待私有记录或回页核验；无可比候选，需人工看图,按机器坐标提示定位原页字段，完成人工记录后再核湖北官方侧。,留空；具体核验内容只允许写入私有复核表，不写入公开仓库。,公开表只保留状态、计数、ID和SHA；具体核验内容、字段内容、OCR原文和截图路径不得填入公开仓库。,not_final；for_manual_execution_only；no_field_values；no_private_paths；no_ocr_text；no_recommendation
FCMV-TASK-a9606ddb5d67ab93,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_manual_verification_workbook,第一闭环明细任务人工核验项,逐专业招生明细×第一闭环任务,false,false,false,false,false,false,false,false,2,FIRSTDETAIL-bbe99b50911e7f34,FIRSTPAGE-ffc90431edf15154,18,left,018-left,M-f588b8040b4edb64,G-2432826275c85956,A033,P0人工字段任务,专业计划数,E0-冲突异常双人优先核验,N2-机器坐标辅助核PDF原页,R2-机器坐标辅助核PDF原页,P1-有机器坐标提示，仍待PDF原页人工核验,O4-无PDFOCR但有机器坐标提示,M1-有机器坐标提示可辅助定位,S1-有高校辅证线索或自动官网任务，待私有辅证记录,pending_hubei_official_review,C4-无可比候选，需人工看图或随页列闭环,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,false,false,PDF原页、湖北官方侧、必要高校辅证和双人复核记录完成后，仍需人工评估是否可写回。,PDF原页未完成逐项核页；湖北官方系统或省招办计划未闭环；高校官网辅证仍待私有记录或回页核验；无可比候选，需人工看图,按机器坐标提示定位原页字段，完成人工记录后再核湖北官方侧。,留空；具体核验内容只允许写入私有复核表，不写入公开仓库。,公开表只保留状态、计数、ID和SHA；具体核验内容、字段内容、OCR原文和截图路径不得填入公开仓库。,not_final；for_manual_execution_only；no_field_values；no_private_paths；no_ocr_text；no_recommendation
