核验包序号,页码版面键,来源页码,版面列,执行泳道,人工核验批次,页列任务数,涉及院校数,涉及专业组数,涉及专业行数,字段范围摘要,冲突状态摘要,PDFOCR提示任务数,机器坐标提示任务数,高校辅证线索任务数,无候选需看图任务数,双人复核任务数,PDF原页状态,湖北官方状态,高校辅证状态,字段写回状态,公开核验动作,私有填写内容,完成条件,下一步
1,135-left,135,left,E0-冲突异常双人优先核验,B1-E0冲突异常双人核页,10,1,1,10,专业计划数；学费×9；专业计划数；学费；再选科目×1,H0-PDFOCR与高校辅证冲突×10,10,0,10,10,10,pending_private_pdf_reading×10,pending_private_hubei_reading×10,pending_private_school_reading×10,blocked_until_required_private_readings_complete×10,先双人回看PDF原页，核专业行归属、计划数/学费/选科；再查湖北官方侧；最后用高校官网解释差异。,PDF原页读数、湖北官方字段值、高校官网字段值、复核结论、复核备注只写入Git忽略的私有工作台。,同一页列冲突字段完成PDF原页读数、湖北官方侧字段值、高校辅证复核和第二人复核，仍不自动写回。,按执行顺序在私有核页材料中完成PDF原页、湖北官方侧、高校辅证和双人复核记录，再同步公开进度
2,199-left,199,left,E0-冲突异常双人优先核验,B1-E0冲突异常双人核页,5,1,1,5,专业计划数；学费；再选科目×3；学费×1；专业计划数×1,H0-PDFOCR与高校辅证冲突×3；H1-原缺PDFOCR但有机器坐标候选×1；H2-已有PDFOCR候选×1,4,1,3,3,4,pending_private_pdf_reading×5,pending_private_hubei_reading×5,pending_private_school_reading×5,blocked_until_required_private_readings_complete×5,先双人回看PDF原页，核专业行归属、计划数/学费/选科；再查湖北官方侧；最后用高校官网解释差异。,PDF原页读数、湖北官方字段值、高校官网字段值、复核结论、复核备注只写入Git忽略的私有工作台。,同一页列冲突字段完成PDF原页读数、湖北官方侧字段值、高校辅证复核和第二人复核，仍不自动写回。,按执行顺序在私有核页材料中完成PDF原页、湖北官方侧、高校辅证和双人复核记录，再同步公开进度
3,209-right,209,right,E0-冲突异常双人优先核验,B1-E0冲突异常双人核页,13,1,1,9,专业计划数；学费；再选科目×6；专业计划数×4；专业计划数；学费×2；学费×1,H2-已有PDFOCR候选×7；H4-无候选需人工看图×4；H0-PDFOCR与高校辅证冲突×2,9,0,6,6,4,pending_private_pdf_reading×13,pending_private_hubei_reading×13,pending_private_school_reading×13,blocked_until_required_private_readings_complete×13,先双人回看PDF原页，核专业行归属、计划数/学费/选科；再查湖北官方侧；最后用高校官网解释差异。,PDF原页读数、湖北官方字段值、高校官网字段值、复核结论、复核备注只写入Git忽略的私有工作台。,同一页列冲突字段完成PDF原页读数、湖北官方侧字段值、高校辅证复核和第二人复核，仍不自动写回。,按执行顺序在私有核页材料中完成PDF原页、湖北官方侧、高校辅证和双人复核记录，再同步公开进度
4,169-right,169,right,E0-冲突异常双人优先核验,B1-E0冲突异常双人核页,22,1,1,12,专业计划数；学费×11；专业计划数×10；专业计划数；学费；再选科目×1,H2-已有PDFOCR候选×11；H4-无候选需人工看图×10；H0-PDFOCR与高校辅证冲突×1,12,0,11,11,10,pending_private_pdf_reading×22,pending_private_hubei_reading×22,pending_private_school_reading×22,blocked_until_required_private_readings_complete×22,先双人回看PDF原页，核专业行归属、计划数/学费/选科；再查湖北官方侧；最后用高校官网解释差异。,PDF原页读数、湖北官方字段值、高校官网字段值、复核结论、复核备注只写入Git忽略的私有工作台。,同一页列冲突字段完成PDF原页读数、湖北官方侧字段值、高校辅证复核和第二人复核，仍不自动写回。,按执行顺序在私有核页材料中完成PDF原页、湖北官方侧、高校辅证和双人复核记录，再同步公开进度
5,018-left,18,left,E0-冲突异常双人优先核验,B1-E0冲突异常双人核页,17,1,2,9,专业计划数；学费；再选科目×9；专业计划数×8,H1-原缺PDFOCR但有机器坐标候选×5；H2-已有PDFOCR候选×5；H0-PDFOCR与高校辅证冲突×4；H4-无候选需人工看图×3,9,5,9,7,4,pending_private_pdf_reading×17,pending_private_hubei_reading×17,pending_private_school_reading×17,blocked_until_required_private_readings_complete×17,先双人回看PDF原页，核专业行归属、计划数/学费/选科；再查湖北官方侧；最后用高校官网解释差异。,PDF原页读数、湖北官方字段值、高校官网字段值、复核结论、复核备注只写入Git忽略的私有工作台。,同一页列冲突字段完成PDF原页读数、湖北官方侧字段值、高校辅证复核和第二人复核，仍不自动写回。,按执行顺序在私有核页材料中完成PDF原页、湖北官方侧、高校辅证和双人复核记录，再同步公开进度
6,037-left,37,left,E0-冲突异常双人优先核验,B1-E0冲突异常双人核页,5,1,1,5,再选科目×2；专业计划数；学费；再选科目×1；专业计划数×1；专业计划数；学费×1,H2-已有PDFOCR候选×2；H4-无候选需人工看图×2；H0-PDFOCR与高校辅证冲突×1,3,0,1,3,3,pending_private_pdf_reading×5,pending_private_hubei_reading×5,pending_private_school_reading×5,blocked_until_required_private_readings_complete×5,先双人回看PDF原页，核专业行归属、计划数/学费/选科；再查湖北官方侧；最后用高校官网解释差异。,PDF原页读数、湖北官方字段值、高校官网字段值、复核结论、复核备注只写入Git忽略的私有工作台。,同一页列冲突字段完成PDF原页读数、湖北官方侧字段值、高校辅证复核和第二人复核，仍不自动写回。,按执行顺序在私有核页材料中完成PDF原页、湖北官方侧、高校辅证和双人复核记录，再同步公开进度
7,137-right,137,right,E0-冲突异常双人优先核验,B1-E0冲突异常双人核页,1,1,1,1,专业计划数；学费；再选科目×1,H0-PDFOCR与高校辅证冲突×1,1,0,1,1,1,pending_private_pdf_reading×1,pending_private_hubei_reading×1,pending_private_school_reading×1,blocked_until_required_private_readings_complete×1,先双人回看PDF原页，核专业行归属、计划数/学费/选科；再查湖北官方侧；最后用高校官网解释差异。,PDF原页读数、湖北官方字段值、高校官网字段值、复核结论、复核备注只写入Git忽略的私有工作台。,同一页列冲突字段完成PDF原页读数、湖北官方侧字段值、高校辅证复核和第二人复核，仍不自动写回。,按执行顺序在私有核页材料中完成PDF原页、湖北官方侧、高校辅证和双人复核记录，再同步公开进度
8,194-left,194,left,E0-冲突异常双人优先核验,B1-E0冲突异常双人核页,7,1,2,7,专业计划数×7,H1-原缺PDFOCR但有机器坐标候选×7,0,7,0,0,7,pending_private_pdf_reading×7,pending_private_hubei_reading×7,not_applicable_no_school_field_clue×7,blocked_until_required_private_readings_complete×7,先双人回看PDF原页，核专业行归属、计划数/学费/选科；再查湖北官方侧；最后用高校官网解释差异。,PDF原页读数、湖北官方字段值、高校官网字段值、复核结论、复核备注只写入Git忽略的私有工作台。,同一页列冲突字段完成PDF原页读数、湖北官方侧字段值、高校辅证复核和第二人复核，仍不自动写回。,按执行顺序在私有核页材料中完成PDF原页、湖北官方侧、高校辅证和双人复核记录，再同步公开进度
9,056-left,56,left,E0-冲突异常双人优先核验,B1-E0冲突异常双人核页,16,2,2,9,专业计划数×8；专业计划数；学费；再选科目×7；学费×1,H2-已有PDFOCR候选×7；H1-原缺PDFOCR但有机器坐标候选×5；H4-无候选需人工看图×3；H0-PDFOCR与高校辅证冲突×1,8,5,7,4,3,pending_private_pdf_reading×16,pending_private_hubei_reading×16,pending_private_school_reading×15；not_applicable_no_school_field_clue×1,blocked_until_required_private_readings_complete×16,先双人回看PDF原页，核专业行归属、计划数/学费/选科；再查湖北官方侧；最后用高校官网解释差异。,PDF原页读数、湖北官方字段值、高校官网字段值、复核结论、复核备注只写入Git忽略的私有工作台。,同一页列冲突字段完成PDF原页读数、湖北官方侧字段值、高校辅证复核和第二人复核，仍不自动写回。,按执行顺序在私有核页材料中完成PDF原页、湖北官方侧、高校辅证和双人复核记录，再同步公开进度
10,070-left,70,left,E0-冲突异常双人优先核验,B1-E0冲突异常双人核页,2,1,2,2,专业计划数×1；再选科目×1,H1-原缺PDFOCR但有机器坐标候选×1；H2-已有PDFOCR候选×1,1,1,0,0,1,pending_private_pdf_reading×2,pending_private_hubei_reading×2,not_applicable_no_school_field_clue×1；pending_private_school_reading×1,blocked_until_required_private_readings_complete×2,先双人回看PDF原页，核专业行归属、计划数/学费/选科；再查湖北官方侧；最后用高校官网解释差异。,PDF原页读数、湖北官方字段值、高校官网字段值、复核结论、复核备注只写入Git忽略的私有工作台。,同一页列冲突字段完成PDF原页读数、湖北官方侧字段值、高校辅证复核和第二人复核，仍不自动写回。,按执行顺序在私有核页材料中完成PDF原页、湖北官方侧、高校辅证和双人复核记录，再同步公开进度
