下一轮序号,下一轮建议状态,组级核验动作,家庭讨论优先级,院校代码,院校名称,院校专业组代码,城市,冲稳保,历史线索分层,专业明细行数,优先了解专业数,可调剂了解专业数,待核后判断专业数,不能接受提示专业数,特殊限制专业数,高费或中外合作提示数,医学护理动物兽医提示数,农林园艺提示数,字段缺口专业数,100%核验专业数,建议放入6专业讨论专业数,可服从调剂初判,组内调剂判断状态,调剂风险摘要,家庭先决策问题,家庭逐专业填写说明,入选理由,下一步核验动作,是否可作为定稿依据,来源页码,版面列,第四轮候选ID
1,优先家庭讨论,家庭先看完整组内专业，标出可接受/勉强接受/不能接受；保留后再做100%原页和湖北官方侧核验。,P0-保底样本讨论,K784,新疆工业学院,K78401,和田地区,保底观察,H1-历史最高线低于等位分20分以上,8,3,5,0,0,0,0,0,0,7,0,3,可讨论服从调剂,可进入调剂讨论，但需确认勉强接受专业是否真能接受,暂未见硬排除项，但仍需原页/章程闭环×8,是否能接受组内非偏好专业调剂；字段缺口补齐前不进入最终排序,逐专业只填：可接受、勉强接受、不能接受、待核后判断；全组无不能接受且待核项闭环后，才讨论服从调剂。,保底观察；H1-历史最高线低于等位分20分以上；计算机/软件/AI3；计算机类3；电子信息/网络2；公办普通学费主线且未进入H0/H5附录,核第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,false,237,right,R4GROUP-62dc3df1666adaa1
2,优先家庭讨论,家庭先看完整组内专业，标出可接受/勉强接受/不能接受；保留后再做100%原页和湖北官方侧核验。,P1-稳妥主力讨论,C131,湖北汽车工业学院,C13107,十堰市,稳妥观察,H2-历史最高线不高于等位分,15,8,7,0,0,0,0,0,0,14,14,8,可讨论服从调剂,可进入调剂讨论，但需确认勉强接受专业是否真能接受,组内专业较多，需逐条确认调剂接受度×15,是否能接受组内非偏好专业调剂；字段缺口补齐前不进入最终排序,逐专业只填：可接受、勉强接受、不能接受、待核后判断；全组无不能接受且待核项闭环后，才讨论服从调剂。,稳妥观察；H2-历史最高线不高于等位分；计算机/软件/AI8；计算机类8；电子信息/网络2；机械自动化3；公办普通学费主线且未进入H0/H5附录,核第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,false,77,left,R4GROUP-103ee2b5e642f511
3,先核限制后讨论,先核体检、语种、单科、专项或备注限制；限制不能接受则整组暂缓。,P1-先核限制费用,K754,伊犁师范大学,K75403,伊犁哈萨克自治州,稳妥观察,H2-历史最高线不高于等位分,11,3,5,3,0,3,0,0,0,11,0,3,待核后再判断,存在待核后判断专业，需先核限制/字段再判断调剂,组内有特殊限制待核，服从调剂前需核完整专业组×11,是否能接受组内非偏好专业调剂；体检/语种/单科/专项限制是否满足；字段缺口补齐前不进入最终排序,逐专业只填：可接受、勉强接受、不能接受、待核后判断；全组无不能接受且待核项闭环后，才讨论服从调剂。,稳妥观察；H2-历史最高线不高于等位分；计算机/软件/AI4；计算机类4；电子信息/网络2；师范1；机械自动化3；有3个特殊限制专业，需先核章程/原页；公办普通学费主线且未进入H0/H5附录,核第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,false,235,right,R4GROUP-9948d103a09dc6ad
4,优先家庭讨论,家庭先看完整组内专业，标出可接受/勉强接受/不能接受；保留后再做100%原页和湖北官方侧核验。,P1-稳妥主力讨论,F597,长春工程学院,F59704,长春市,稳妥观察,H2-历史最高线不高于等位分,17,3,14,0,0,0,0,0,0,17,4,3,可讨论服从调剂,可进入调剂讨论，但需确认勉强接受专业是否真能接受,组内专业较多，需逐条确认调剂接受度×17,是否能接受组内非偏好专业调剂；字段缺口补齐前不进入最终排序,逐专业只填：可接受、勉强接受、不能接受、待核后判断；全组无不能接受且待核项闭环后，才讨论服从调剂。,稳妥观察；H2-历史最高线不高于等位分；计算机/软件/AI3；计算机类3；电子信息/网络2；机械自动化3；公办普通学费主线且未进入H0/H5附录,核第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,false,122,left,R4GROUP-7895dad618982745
5,先核页后讨论,先核PDF原页结构、专业组边界和串读风险，再进入家庭调剂讨论。,P0-先核页,F313,山西工程技术学院,F31303,阳泉市,稳妥观察,H2-历史最高线不高于等位分,15,4,11,0,0,0,0,0,0,15,1,4,可讨论服从调剂,可进入调剂讨论，但需确认勉强接受专业是否真能接受,组内专业较多，需逐条确认调剂接受度×15,是否能接受组内非偏好专业调剂；字段缺口补齐前不进入最终排序,逐专业只填：可接受、勉强接受、不能接受、待核后判断；全组无不能接受且待核项闭环后，才讨论服从调剂。,稳妥观察；H2-历史最高线不高于等位分；计算机/软件/AI4；计算机类4；电子信息/网络1；机械自动化5；公办普通学费主线且未进入H0/H5附录,核第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,false,110,left,R4GROUP-d27ce731589b8407
6,优先家庭讨论,家庭先看完整组内专业，标出可接受/勉强接受/不能接受；保留后再做100%原页和湖北官方侧核验。,P1-稳妥主力讨论,C139,荆楚理工学院,C13908,荆门市,稳妥观察,H2-历史最高线不高于等位分,11,4,7,0,0,0,0,0,0,10,0,4,可讨论服从调剂,可进入调剂讨论，但需确认勉强接受专业是否真能接受,暂未见硬排除项，但仍需原页/章程闭环×11,是否能接受组内非偏好专业调剂；字段缺口补齐前不进入最终排序,逐专业只填：可接受、勉强接受、不能接受、待核后判断；全组无不能接受且待核项闭环后，才讨论服从调剂。,稳妥观察；H2-历史最高线不高于等位分；计算机/软件/AI3；计算机类3；电子信息/网络1；师范1；机械自动化3；公办普通学费主线且未进入H0/H5附录,核第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,false,80,left,R4GROUP-25faf410b237701c
7,优先家庭讨论,家庭先看完整组内专业，标出可接受/勉强接受/不能接受；保留后再做100%原页和湖北官方侧核验。,P1-稳妥主力讨论,F305,忻州师范学院,F30508,忻州市,稳妥观察,H2-历史最高线不高于等位分,4,3,1,0,0,0,0,0,0,4,0,3,可讨论服从调剂,可进入调剂讨论，但需确认勉强接受专业是否真能接受,暂未见硬排除项，但仍需原页/章程闭环×4,是否能接受组内非偏好专业调剂；字段缺口补齐前不进入最终排序,逐专业只填：可接受、勉强接受、不能接受、待核后判断；全组无不能接受且待核项闭环后，才讨论服从调剂。,稳妥观察；H2-历史最高线不高于等位分；数字媒体技术1；计算机/软件/AI2；计算机类2；师范1；公办普通学费主线且未进入H0/H5附录,核第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,false,109,left,R4GROUP-ab71a16da72c74aa
8,先核页后讨论,先核PDF原页结构、专业组边界和串读风险，再进入家庭调剂讨论。,P0-先核页,K783,新疆政法学院,K78304,图木舒克市,稳妥观察,H2-历史最高线不高于等位分,6,3,3,0,0,0,0,0,0,6,1,3,可讨论服从调剂,可进入调剂讨论，但需确认勉强接受专业是否真能接受,暂未见硬排除项，但仍需原页/章程闭环×6,是否能接受组内非偏好专业调剂；字段缺口补齐前不进入最终排序,逐专业只填：可接受、勉强接受、不能接受、待核后判断；全组无不能接受且待核项闭环后，才讨论服从调剂。,稳妥观察；H2-历史最高线不高于等位分；计算机/软件/AI4；计算机类3；电子信息/网络1；公办普通学费主线且未进入H0/H5附录,核第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,false,237,left,R4GROUP-e44ee567d764972e
9,先核页后讨论,先核PDF原页结构、专业组边界和串读风险，再进入家庭调剂讨论。,P0-先核页,K585,兰州工业学院,K58501,兰州市,稳妥观察,H2-历史最高线不高于等位分,10,3,7,0,0,0,0,0,0,10,2,3,可讨论服从调剂,可进入调剂讨论，但需确认勉强接受专业是否真能接受,暂未见硬排除项，但仍需原页/章程闭环×10,是否能接受组内非偏好专业调剂；字段缺口补齐前不进入最终排序,逐专业只填：可接受、勉强接受、不能接受、待核后判断；全组无不能接受且待核项闭环后，才讨论服从调剂。,稳妥观察；H2-历史最高线不高于等位分；计算机/软件/AI3；计算机类3；电子信息/网络3；公办普通学费主线且未进入H0/H5附录,核第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,false,230,right,R4GROUP-3d31e09cfa1266ec
10,优先家庭讨论,家庭先看完整组内专业，标出可接受/勉强接受/不能接受；保留后再做100%原页和湖北官方侧核验。,P1-稳妥主力讨论,F308,吕梁学院,F30805,吕梁市,稳妥观察,H2-历史最高线不高于等位分,5,4,1,0,0,0,0,0,0,4,0,4,可讨论服从调剂,可进入调剂讨论，但需确认勉强接受专业是否真能接受,暂未见硬排除项，但仍需原页/章程闭环×5,是否能接受组内非偏好专业调剂；字段缺口补齐前不进入最终排序,逐专业只填：可接受、勉强接受、不能接受、待核后判断；全组无不能接受且待核项闭环后，才讨论服从调剂。,稳妥观察；H2-历史最高线不高于等位分；计算机/软件/AI2；计算机类2；师范2；公办普通学费主线且未进入H0/H5附录,核第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,false,109,right,R4GROUP-dff8ca38471e2ed0
