下一轮组序号,下一轮建议状态,院校代码,院校名称,院校专业组代码,城市,冲稳保,专业组内专业序号,专业代号,专业名称及备注,机器家庭接受度建议,家庭可选项提示,家庭最终接受度待填,家庭最终接受度可填值,是否建议放入6专业讨论,建议6专业理由,调剂风险提示,服从调剂影响,组内调剂判断状态,家庭要回答的问题,专业偏好方向,专业角色判断,专业风险类型,再选科目OCR候选,专业计划数OCR候选,学费OCR候选,字段缺口字段,人工核验优先级,人工核验强度,是否必须100%人工核验,PDF原页核验状态,湖北官方系统核验状态,高校官网证据匹配状态,来源页码,版面列,专业行ID,第四轮候选ID
1,优先家庭讨论,K784,新疆工业学院,K78401,和田地区,保底观察,1,01,材料科学与工程02（电子信息工程,勉强接受,勉强接受,待家庭确认,可接受/勉强接受/不能接受/待核后判断,false,可作为调剂容忍项，暂不优先放入6专业。,暂未见硬排除项，但仍需原页/章程闭环,可作为调剂容忍项，但必须由家庭确认是否真的能接受。,可进入调剂讨论，但需确认勉强接受专业是否真能接受,如果被调剂到该专业是否能接受,,主线偏好-工科信息制造,,化学,4,4500,,P2-家庭费用调剂与三方闭环核,H2-自动官网核验后人工确认,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,237,right,M-9da3b1df36c79dd2,R4GROUP-62dc3df1666adaa1
1,优先家庭讨论,K784,新疆工业学院,K78401,和田地区,保底观察,2,03,测绘工程,勉强接受,勉强接受,待家庭确认,可接受/勉强接受/不能接受/待核后判断,false,可作为调剂容忍项，暂不优先放入6专业。,暂未见硬排除项，但仍需原页/章程闭环,可作为调剂容忍项，但必须由家庭确认是否真的能接受。,可进入调剂讨论，但需确认勉强接受专业是否真能接受,如果被调剂到该专业是否能接受,,字段缺口待核,,,,4500,再选科目；专业计划数,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,237,right,M-ef2ce351be9830b8,R4GROUP-62dc3df1666adaa1
1,优先家庭讨论,K784,新疆工业学院,K78401,和田地区,保底观察,3,04,计算机科学与技术,可接受,可接受,待家庭确认,可接受/勉强接受/不能接受/待核后判断,true,命中当前偏好方向：计算机类相关。,暂未见硬排除项，但仍需原页/章程闭环,可作为6专业或调剂可接受项，仍需原页、湖北官方侧和章程闭环。,可进入调剂讨论，但需确认勉强接受专业是否真能接受,是否愿意把该专业作为组内优先专业,计算机类相关,主线偏好-计算机/数字媒体,,,,4500,再选科目；专业计划数,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,237,right,M-008f95c75153b257,R4GROUP-62dc3df1666adaa1
1,优先家庭讨论,K784,新疆工业学院,K78401,和田地区,保底观察,4,05,物联网工程,可接受,可接受,待家庭确认,可接受/勉强接受/不能接受/待核后判断,true,命中当前偏好方向：计算机类相关。,暂未见硬排除项，但仍需原页/章程闭环,可作为6专业或调剂可接受项，仍需原页、湖北官方侧和章程闭环。,可进入调剂讨论，但需确认勉强接受专业是否真能接受,是否愿意把该专业作为组内优先专业,计算机类相关,主线偏好-计算机/数字媒体,,,,4500,再选科目；专业计划数,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,237,right,M-ca9e544e431167fe,R4GROUP-62dc3df1666adaa1
1,优先家庭讨论,K784,新疆工业学院,K78401,和田地区,保底观察,5,06,数据科学与大数据技术,可接受,可接受,待家庭确认,可接受/勉强接受/不能接受/待核后判断,true,命中当前偏好方向：计算机类相关。,暂未见硬排除项，但仍需原页/章程闭环,可作为6专业或调剂可接受项，仍需原页、湖北官方侧和章程闭环。,可进入调剂讨论，但需确认勉强接受专业是否真能接受,是否愿意把该专业作为组内优先专业,计算机类相关,主线偏好-计算机/数字媒体,,,,4500,再选科目；专业计划数,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,237,right,M-3f310cbe7f53ab87,R4GROUP-62dc3df1666adaa1
1,优先家庭讨论,K784,新疆工业学院,K78401,和田地区,保底观察,6,07,新能源科学与工程,勉强接受,勉强接受,待家庭确认,可接受/勉强接受/不能接受/待核后判断,false,可作为调剂容忍项，暂不优先放入6专业。,暂未见硬排除项，但仍需原页/章程闭环,可作为调剂容忍项，但必须由家庭确认是否真的能接受。,可进入调剂讨论，但需确认勉强接受专业是否真能接受,如果被调剂到该专业是否能接受,,字段缺口待核,,,,4500,再选科目；专业计划数,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,237,right,M-5c47c8190eb45b4c,R4GROUP-62dc3df1666adaa1
1,优先家庭讨论,K784,新疆工业学院,K78401,和田地区,保底观察,7,08,新能源材料与器件,勉强接受,勉强接受,待家庭确认,可接受/勉强接受/不能接受/待核后判断,false,可作为调剂容忍项，暂不优先放入6专业。,暂未见硬排除项，但仍需原页/章程闭环,可作为调剂容忍项，但必须由家庭确认是否真的能接受。,可进入调剂讨论，但需确认勉强接受专业是否真能接受,如果被调剂到该专业是否能接受,,字段缺口待核,,,,4500,再选科目；专业计划数,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,237,right,M-61e41e16e49ba651,R4GROUP-62dc3df1666adaa1
1,优先家庭讨论,K784,新疆工业学院,K78401,和田地区,保底观察,8,09,资源勘查工程,勉强接受,勉强接受,待家庭确认,可接受/勉强接受/不能接受/待核后判断,false,可作为调剂容忍项，暂不优先放入6专业。,暂未见硬排除项，但仍需原页/章程闭环,可作为调剂容忍项，但必须由家庭确认是否真的能接受。,可进入调剂讨论，但需确认勉强接受专业是否真能接受,如果被调剂到该专业是否能接受,,字段缺口待核,,,42,4500,再选科目,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,237,right,M-def5e90d2dad39a6,R4GROUP-62dc3df1666adaa1
2,优先家庭讨论,C131,湖北汽车工业学院,C13107,十堰市,稳妥观察,1,59,人工智能（智能驾驶）GKAZA院校代号,可接受,可接受,待家庭确认,可接受/勉强接受/不能接受/待核后判断,true,命中当前偏好方向：计算机类相关。,组内专业较多，需逐条确认调剂接受度,可作为6专业或调剂可接受项，仍需原页、湖北官方侧和章程闭环。,可进入调剂讨论，但需确认勉强接受专业是否真能接受,是否愿意把该专业作为组内优先专业,计算机类相关,主线偏好-计算机/数字媒体,,,46,5200,再选科目,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,77,left,M-e022e8fa5c915330,R4GROUP-103ee2b5e642f511
2,优先家庭讨论,C131,湖北汽车工业学院,C13107,十堰市,稳妥观察,2,60,电子信息科学与技术（汽车芯片）,勉强接受,勉强接受,待家庭确认,可接受/勉强接受/不能接受/待核后判断,false,可作为调剂容忍项，暂不优先放入6专业。,组内专业较多，需逐条确认调剂接受度,可作为调剂容忍项，但必须由家庭确认是否真的能接受。,可进入调剂讨论，但需确认勉强接受专业是否真能接受,如果被调剂到该专业是否能接受,,主线偏好-工科信息制造,,,43,5200,再选科目,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,77,right,M-66a6c96752e440bc,R4GROUP-103ee2b5e642f511
