家庭专业决策组ID,来源期号,来源PDF_SHA256,生成日期,数据阶段,主表粒度,任务粒度,最终可用,可进入下一阶段,可否进入最终志愿方案,是否允许作为志愿推荐依据,是否允许自动写回主表,是否允许官网证据替代湖北官方计划,是否允许生成学校专业建议,是否允许写回字段事实,家庭讨论排序,院校代码,院校名称,院校专业组代码,专业组号,院校专业组,城市,冲稳保,历史稳定性等级,与515关系,同代码命中年份数,完整组内专业数,机器可接受专业数,机器勉强接受专业数,机器待核后判断专业数,机器不能接受提示专业数,建议放入6专业讨论数,特殊限制待核专业数,体检色觉风险专业数,语种或单科限制专业数,必须100%人工核验专业数,高校官网证据已匹配专业数,高校官网证据未匹配专业数,字段缺口专业数,调剂接受风险等级,调剂风险说明,家庭本轮要回答的问题,家庭整组态度待填,家庭整组态度可填值,是否愿意服从调剂待填,服从调剂可填值,家庭整组备注待填,核验最小动作,公开填写边界,关联专业集合SHA16,公开安全策略
P55-FAM-GROUP-09d11ed05bd70d17,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_priority55_family_major_decision_workbook,Priority55家庭逐专业决策组汇总,院校专业组×完整组内专业,false,false,false,false,false,false,false,false,1,K784,新疆工业学院,K78401,01,K784 新疆工业学院 K78401 01,和田地区,保底观察,H1-保底历史线索,515对应等位分：2025=494、2024=497、2023=481；467-494=-27；历史最高等位分差=-27。,1,8,3,5,0,0,3,0,0,0,0,0,0,7,T4-暂未见硬阻断，仍需人工接受度判断,暂未见硬阻断，但仍需家里逐专业确认接受度。,逐条确认勉强接受专业是否真的能接受调剂。,,保留重点核验 / 暂缓 / 排除 / 待家里讨论,,可以 / 勉强可以 / 不可以 / 待核后判断,,进入下一轮候选后，按完整组内专业做100%原页和湖北官方侧核验。,本表只填家庭接受度和备注；不要填写计划数、学费、选科读数、截图路径或任何私人信息。,2e14f3541cd4d62e,not_final；family_discussion_only；no_field_values；no_private_paths；no_ocr_values；no_recommendation
P55-FAM-GROUP-cd292796a169d3ec,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_priority55_family_major_decision_workbook,Priority55家庭逐专业决策组汇总,院校专业组×完整组内专业,false,false,false,false,false,false,false,false,2,C128,湖北经济学院,C12815,15,C128 湖北经济学院 C12815 15,武汉市,冲刺观察,H4-冲刺历史线索,515对应等位分：2025=494、2024=497、2023=481；515-497=+18；473-494=-21；历史最高等位分差=18。,2,8,6,2,0,0,6,0,0,0,8,0,0,7,T4-暂未见硬阻断，仍需人工接受度判断,暂未见硬阻断，但仍需家里逐专业确认接受度。,逐条确认勉强接受专业是否真的能接受调剂。,,保留重点核验 / 暂缓 / 排除 / 待家里讨论,,可以 / 勉强可以 / 不可以 / 待核后判断,,进入下一轮候选后，按完整组内专业做100%原页和湖北官方侧核验。,本表只填家庭接受度和备注；不要填写计划数、学费、选科读数、截图路径或任何私人信息。,6f85460852d9334b,not_final；family_discussion_only；no_field_values；no_private_paths；no_ocr_values；no_recommendation
P55-FAM-GROUP-e17132f2c6d45e0a,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_priority55_family_major_decision_workbook,Priority55家庭逐专业决策组汇总,院校专业组×完整组内专业,false,false,false,false,false,false,false,false,3,K752,新疆师范大学,K75205,05,K752 新疆师范大学 K75205 05,乌鲁木齐市,冲刺观察,H4-冲刺历史线索,515对应等位分：2025=494、2024=497、2023=481；497-481=+16；487-497=-10；478-494=-16；历史最高等位分差=16。,3,17,5,6,6,0,5,17,0,6,1,0,0,17,T1-特殊限制待核，先核章程/原页,有体检、语种、单科、专项或章程限制待核，先看限制再谈调剂。,先核限制/字段后，再判断是否愿意服从调剂。,,保留重点核验 / 暂缓 / 排除 / 待家里讨论,,可以 / 勉强可以 / 不可以 / 待核后判断,,先核PDF原页中的专业组边界、专业归属和完整组内专业。,本表只填家庭接受度和备注；不要填写计划数、学费、选科读数、截图路径或任何私人信息。,01ea771c82d50a26,not_final；family_discussion_only；no_field_values；no_private_paths；no_ocr_values；no_recommendation
P55-FAM-GROUP-203b70d7a0cf5839,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_priority55_family_major_decision_workbook,Priority55家庭逐专业决策组汇总,院校专业组×完整组内专业,false,false,false,false,false,false,false,false,4,C118,黄冈师范学院,C11810,10,C118 黄冈师范学院 C11810 10,黄冈市,冲刺观察,H4-冲刺历史线索,515对应等位分：2025=494、2024=497、2023=481；524-497=+27；487-494=-7；历史最高等位分差=27。,2,5,4,1,0,0,4,0,0,0,0,0,0,5,T4-暂未见硬阻断，仍需人工接受度判断,暂未见硬阻断，但仍需家里逐专业确认接受度。,逐条确认勉强接受专业是否真的能接受调剂。,,保留重点核验 / 暂缓 / 排除 / 待家里讨论,,可以 / 勉强可以 / 不可以 / 待核后判断,,进入下一轮候选后，按完整组内专业做100%原页和湖北官方侧核验。,本表只填家庭接受度和备注；不要填写计划数、学费、选科读数、截图路径或任何私人信息。,81421c9c0891f7aa,not_final；family_discussion_only；no_field_values；no_private_paths；no_ocr_values；no_recommendation
P55-FAM-GROUP-20684bc1c01b9afa,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_priority55_family_major_decision_workbook,Priority55家庭逐专业决策组汇总,院校专业组×完整组内专业,false,false,false,false,false,false,false,false,5,H892,桂林电子科技大学,H89207,07,H892 桂林电子科技大学 H89207 07,桂林市,冲刺观察,H4-冲刺历史线索,515对应等位分：2025=494、2024=497、2023=481；509-481=+28；历史最高等位分差=28。,1,4,3,1,0,0,3,0,0,0,0,0,0,4,T4-暂未见硬阻断，仍需人工接受度判断,暂未见硬阻断，但仍需家里逐专业确认接受度。,逐条确认勉强接受专业是否真的能接受调剂。,,保留重点核验 / 暂缓 / 排除 / 待家里讨论,,可以 / 勉强可以 / 不可以 / 待核后判断,,进入下一轮候选后，按完整组内专业做100%原页和湖北官方侧核验。,本表只填家庭接受度和备注；不要填写计划数、学费、选科读数、截图路径或任何私人信息。,192ab872ffdbc8bf,not_final；family_discussion_only；no_field_values；no_private_paths；no_ocr_values；no_recommendation
P55-FAM-GROUP-5ab5c9504326f038,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_priority55_family_major_decision_workbook,Priority55家庭逐专业决策组汇总,院校专业组×完整组内专业,false,false,false,false,false,false,false,false,6,C128,湖北经济学院,C12812,12,C128 湖北经济学院 C12812 12,武汉市,冲刺观察,H4-冲刺历史线索,515对应等位分：2025=494、2024=497、2023=481；491-481=+10；527-497=+30；522-494=+28；历史最高等位分差=30。,3,20,3,17,0,0,3,0,0,0,0,0,0,19,T3-组内专业较多，需逐条确认,组内专业较多，必须逐条判断能否接受调剂。,逐条确认勉强接受专业是否真的能接受调剂。,,保留重点核验 / 暂缓 / 排除 / 待家里讨论,,可以 / 勉强可以 / 不可以 / 待核后判断,,进入下一轮候选后，按完整组内专业做100%原页和湖北官方侧核验。,本表只填家庭接受度和备注；不要填写计划数、学费、选科读数、截图路径或任何私人信息。,a638ba8dbd611a61,not_final；family_discussion_only；no_field_values；no_private_paths；no_ocr_values；no_recommendation
P55-FAM-GROUP-9ddc5b5e8f0e36f3,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_priority55_family_major_decision_workbook,Priority55家庭逐专业决策组汇总,院校专业组×完整组内专业,false,false,false,false,false,false,false,false,7,H911,桂林航天工业学院,H91103,03,H911 桂林航天工业学院 H91103 03,桂林市,冲刺观察,H4-冲刺历史线索,515对应等位分：2025=494、2024=497、2023=481；508-481=+27；517-497=+20；515-494=+21；历史最高等位分差=27。,3,9,1,8,0,0,1,0,0,0,0,0,0,9,T4-暂未见硬阻断，仍需人工接受度判断,暂未见硬阻断，但仍需家里逐专业确认接受度。,逐条确认勉强接受专业是否真的能接受调剂。,,保留重点核验 / 暂缓 / 排除 / 待家里讨论,,可以 / 勉强可以 / 不可以 / 待核后判断,,进入下一轮候选后，按完整组内专业做100%原页和湖北官方侧核验。,本表只填家庭接受度和备注；不要填写计划数、学费、选科读数、截图路径或任何私人信息。,7609f9bd770bf17c,not_final；family_discussion_only；no_field_values；no_private_paths；no_ocr_values；no_recommendation
P55-FAM-GROUP-4976aaf7549e3948,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_priority55_family_major_decision_workbook,Priority55家庭逐专业决策组汇总,院校专业组×完整组内专业,false,false,false,false,false,false,false,false,8,K002,海南热带海洋学院,K00205,05,K002 海南热带海洋学院 K00205 05,三亚市,冲刺观察,H4-冲刺历史线索,515对应等位分：2025=494、2024=497、2023=481；487-481=+6；526-497=+29；517-494=+23；历史最高等位分差=29。,3,21,3,5,13,0,3,21,13,0,17,0,0,21,T1-特殊限制待核，先核章程/原页,有体检、语种、单科、专项或章程限制待核，先看限制再谈调剂。,先核限制/字段后，再判断是否愿意服从调剂。,,保留重点核验 / 暂缓 / 排除 / 待家里讨论,,可以 / 勉强可以 / 不可以 / 待核后判断,,先核PDF原页中的专业组边界、专业归属和完整组内专业。,本表只填家庭接受度和备注；不要填写计划数、学费、选科读数、截图路径或任何私人信息。,3aecfef09957ebc0,not_final；family_discussion_only；no_field_values；no_private_paths；no_ocr_values；no_recommendation
P55-FAM-GROUP-63b3db8507f1de5c,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_priority55_family_major_decision_workbook,Priority55家庭逐专业决策组汇总,院校专业组×完整组内专业,false,false,false,false,false,false,false,false,9,H569,洛阳理工学院,H56902,02,H569 洛阳理工学院 H56902 02,洛阳市,冲刺观察,H4-冲刺历史线索,515对应等位分：2025=494、2024=497、2023=481；508-481=+27；501-497=+4；500-494=+6；历史最高等位分差=27。,3,13,3,10,0,0,3,0,0,0,11,0,0,12,T2-结构异常，先核完整组内专业,组内结构或专业归属未闭环，先核完整组内专业。,逐条确认勉强接受专业是否真的能接受调剂。,,保留重点核验 / 暂缓 / 排除 / 待家里讨论,,可以 / 勉强可以 / 不可以 / 待核后判断,,先核PDF原页中的专业组边界、专业归属和完整组内专业。,本表只填家庭接受度和备注；不要填写计划数、学费、选科读数、截图路径或任何私人信息。,0e2eafc878af262c,not_final；family_discussion_only；no_field_values；no_private_paths；no_ocr_values；no_recommendation
P55-FAM-GROUP-f2ebf10ea05ef4d5,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_priority55_family_major_decision_workbook,Priority55家庭逐专业决策组汇总,院校专业组×完整组内专业,false,false,false,false,false,false,false,false,10,A223,大连民族大学,A22303,03,A223 大连民族大学 A22303 03,大连市,冲刺观察,H4-冲刺历史线索,515对应等位分：2025=494、2024=497、2023=481；505-481=+24；514-497=+17；520-494=+26；历史最高等位分差=26。,3,8,1,7,0,0,1,0,0,0,0,0,0,8,T4-暂未见硬阻断，仍需人工接受度判断,暂未见硬阻断，但仍需家里逐专业确认接受度。,逐条确认勉强接受专业是否真的能接受调剂。,,保留重点核验 / 暂缓 / 排除 / 待家里讨论,,可以 / 勉强可以 / 不可以 / 待核后判断,,进入下一轮候选后，按完整组内专业做100%原页和湖北官方侧核验。,本表只填家庭接受度和备注；不要填写计划数、学费、选科读数、截图路径或任何私人信息。,119339479d538031,not_final；family_discussion_only；no_field_values；no_private_paths；no_ocr_values；no_recommendation
