家庭专业决策明细ID,来源期号,来源PDF_SHA256,生成日期,数据阶段,主表粒度,任务粒度,最终可用,可进入下一阶段,可否进入最终志愿方案,是否允许作为志愿推荐依据,是否允许自动写回主表,是否允许官网证据替代湖北官方计划,是否允许生成学校专业建议,是否允许写回字段事实,家庭讨论排序,院校代码,院校名称,院校专业组代码,城市,冲稳保,专业组内专业序号,专业代号,专业名称及备注,机器家庭接受度建议,家庭最终接受度待填,家庭最终接受度可填值,是否建议放入6专业讨论,建议6专业理由,调剂风险提示,服从调剂影响,组内调剂判断状态,家庭要回答的问题,专业偏好方向,专业角色判断,专业风险类型,人工核验优先级,人工核验强度,是否必须100%人工核验,PDF原页核验状态,湖北官方系统核验状态,高校官网证据匹配状态,来源页码,版面列,专业行ID,第四轮候选ID,家庭备注待填,公开填写边界,公开安全策略
P55-FAM-MAJOR-428c49e5745425fb,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_priority55_family_major_decision_workbook,Priority55家庭逐专业决策明细,院校专业组×专业明细,false,false,false,false,false,false,false,false,1,K784,新疆工业学院,K78401,和田地区,保底观察,1,01,材料科学与工程02（电子信息工程,勉强接受,,可接受 / 勉强接受 / 不能接受 / 待了解,false,可作为调剂容忍项，暂不优先放入6专业。,暂未见硬排除项，但仍需原页/章程闭环,可作为调剂容忍项，但必须由家庭确认是否真的能接受。,可进入调剂讨论，但需确认勉强接受专业是否真能接受,如果被调剂到该专业是否能接受,,主线偏好-工科信息制造,,P2-家庭费用调剂与三方闭环核,H2-自动官网核验后人工确认,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,237,right,M-9da3b1df36c79dd2,R4GROUP-62dc3df1666adaa1,,本表只填家庭接受度和备注；不要填写计划数、学费、选科读数、截图路径或任何私人信息。,not_final；family_discussion_only；no_field_values；no_private_paths；no_ocr_values；no_recommendation
P55-FAM-MAJOR-82966422c3a22ce8,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_priority55_family_major_decision_workbook,Priority55家庭逐专业决策明细,院校专业组×专业明细,false,false,false,false,false,false,false,false,1,K784,新疆工业学院,K78401,和田地区,保底观察,2,03,测绘工程,勉强接受,,可接受 / 勉强接受 / 不能接受 / 待了解,false,可作为调剂容忍项，暂不优先放入6专业。,暂未见硬排除项，但仍需原页/章程闭环,可作为调剂容忍项，但必须由家庭确认是否真的能接受。,可进入调剂讨论，但需确认勉强接受专业是否真能接受,如果被调剂到该专业是否能接受,,字段缺口待核,,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,237,right,M-ef2ce351be9830b8,R4GROUP-62dc3df1666adaa1,,本表只填家庭接受度和备注；不要填写计划数、学费、选科读数、截图路径或任何私人信息。,not_final；family_discussion_only；no_field_values；no_private_paths；no_ocr_values；no_recommendation
P55-FAM-MAJOR-8c3d08dbce9b819d,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_priority55_family_major_decision_workbook,Priority55家庭逐专业决策明细,院校专业组×专业明细,false,false,false,false,false,false,false,false,1,K784,新疆工业学院,K78401,和田地区,保底观察,3,04,计算机科学与技术,可接受,,可接受 / 勉强接受 / 不能接受 / 待了解,true,命中当前偏好方向：计算机类相关。,暂未见硬排除项，但仍需原页/章程闭环,可作为6专业或调剂可接受项，仍需原页、湖北官方侧和章程闭环。,可进入调剂讨论，但需确认勉强接受专业是否真能接受,是否愿意把该专业作为组内优先专业,计算机类相关,主线偏好-计算机/数字媒体,,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,237,right,M-008f95c75153b257,R4GROUP-62dc3df1666adaa1,,本表只填家庭接受度和备注；不要填写计划数、学费、选科读数、截图路径或任何私人信息。,not_final；family_discussion_only；no_field_values；no_private_paths；no_ocr_values；no_recommendation
P55-FAM-MAJOR-0c703f2335c733be,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_priority55_family_major_decision_workbook,Priority55家庭逐专业决策明细,院校专业组×专业明细,false,false,false,false,false,false,false,false,1,K784,新疆工业学院,K78401,和田地区,保底观察,4,05,物联网工程,可接受,,可接受 / 勉强接受 / 不能接受 / 待了解,true,命中当前偏好方向：计算机类相关。,暂未见硬排除项，但仍需原页/章程闭环,可作为6专业或调剂可接受项，仍需原页、湖北官方侧和章程闭环。,可进入调剂讨论，但需确认勉强接受专业是否真能接受,是否愿意把该专业作为组内优先专业,计算机类相关,主线偏好-计算机/数字媒体,,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,237,right,M-ca9e544e431167fe,R4GROUP-62dc3df1666adaa1,,本表只填家庭接受度和备注；不要填写计划数、学费、选科读数、截图路径或任何私人信息。,not_final；family_discussion_only；no_field_values；no_private_paths；no_ocr_values；no_recommendation
P55-FAM-MAJOR-05b3984b5e6b1d7f,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_priority55_family_major_decision_workbook,Priority55家庭逐专业决策明细,院校专业组×专业明细,false,false,false,false,false,false,false,false,1,K784,新疆工业学院,K78401,和田地区,保底观察,5,06,数据科学与大数据技术,可接受,,可接受 / 勉强接受 / 不能接受 / 待了解,true,命中当前偏好方向：计算机类相关。,暂未见硬排除项，但仍需原页/章程闭环,可作为6专业或调剂可接受项，仍需原页、湖北官方侧和章程闭环。,可进入调剂讨论，但需确认勉强接受专业是否真能接受,是否愿意把该专业作为组内优先专业,计算机类相关,主线偏好-计算机/数字媒体,,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,237,right,M-3f310cbe7f53ab87,R4GROUP-62dc3df1666adaa1,,本表只填家庭接受度和备注；不要填写计划数、学费、选科读数、截图路径或任何私人信息。,not_final；family_discussion_only；no_field_values；no_private_paths；no_ocr_values；no_recommendation
P55-FAM-MAJOR-f001afaa5ac8bc78,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_priority55_family_major_decision_workbook,Priority55家庭逐专业决策明细,院校专业组×专业明细,false,false,false,false,false,false,false,false,1,K784,新疆工业学院,K78401,和田地区,保底观察,6,07,新能源科学与工程,勉强接受,,可接受 / 勉强接受 / 不能接受 / 待了解,false,可作为调剂容忍项，暂不优先放入6专业。,暂未见硬排除项，但仍需原页/章程闭环,可作为调剂容忍项，但必须由家庭确认是否真的能接受。,可进入调剂讨论，但需确认勉强接受专业是否真能接受,如果被调剂到该专业是否能接受,,字段缺口待核,,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,237,right,M-5c47c8190eb45b4c,R4GROUP-62dc3df1666adaa1,,本表只填家庭接受度和备注；不要填写计划数、学费、选科读数、截图路径或任何私人信息。,not_final；family_discussion_only；no_field_values；no_private_paths；no_ocr_values；no_recommendation
P55-FAM-MAJOR-8242adc6f67baa53,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_priority55_family_major_decision_workbook,Priority55家庭逐专业决策明细,院校专业组×专业明细,false,false,false,false,false,false,false,false,1,K784,新疆工业学院,K78401,和田地区,保底观察,7,08,新能源材料与器件,勉强接受,,可接受 / 勉强接受 / 不能接受 / 待了解,false,可作为调剂容忍项，暂不优先放入6专业。,暂未见硬排除项，但仍需原页/章程闭环,可作为调剂容忍项，但必须由家庭确认是否真的能接受。,可进入调剂讨论，但需确认勉强接受专业是否真能接受,如果被调剂到该专业是否能接受,,字段缺口待核,,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,237,right,M-61e41e16e49ba651,R4GROUP-62dc3df1666adaa1,,本表只填家庭接受度和备注；不要填写计划数、学费、选科读数、截图路径或任何私人信息。,not_final；family_discussion_only；no_field_values；no_private_paths；no_ocr_values；no_recommendation
P55-FAM-MAJOR-e744823cd369ed26,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_priority55_family_major_decision_workbook,Priority55家庭逐专业决策明细,院校专业组×专业明细,false,false,false,false,false,false,false,false,1,K784,新疆工业学院,K78401,和田地区,保底观察,8,09,资源勘查工程,勉强接受,,可接受 / 勉强接受 / 不能接受 / 待了解,false,可作为调剂容忍项，暂不优先放入6专业。,暂未见硬排除项，但仍需原页/章程闭环,可作为调剂容忍项，但必须由家庭确认是否真的能接受。,可进入调剂讨论，但需确认勉强接受专业是否真能接受,如果被调剂到该专业是否能接受,,字段缺口待核,,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,237,right,M-def5e90d2dad39a6,R4GROUP-62dc3df1666adaa1,,本表只填家庭接受度和备注；不要填写计划数、学费、选科读数、截图路径或任何私人信息。,not_final；family_discussion_only；no_field_values；no_private_paths；no_ocr_values；no_recommendation
P55-FAM-MAJOR-ab34707c6cd65bef,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_priority55_family_major_decision_workbook,Priority55家庭逐专业决策明细,院校专业组×专业明细,false,false,false,false,false,false,false,false,2,C128,湖北经济学院,C12815,武汉市,冲刺观察,1,A0,数据科学与大数据技术,可接受,,可接受 / 勉强接受 / 不能接受 / 待了解,true,命中当前偏好方向：计算机类相关。,暂未见硬排除项，但仍需原页/章程闭环,可作为6专业或调剂可接受项，仍需原页、湖北官方侧和章程闭环。,可进入调剂讨论，但需确认勉强接受专业是否真能接受,是否愿意把该专业作为组内优先专业,计算机类相关,主线偏好-计算机/数字媒体,,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,75,right,M-80e5e29500906fcd,R4GROUP-45168577dad22593,,本表只填家庭接受度和备注；不要填写计划数、学费、选科读数、截图路径或任何私人信息。,not_final；family_discussion_only；no_field_values；no_private_paths；no_ocr_values；no_recommendation
P55-FAM-MAJOR-2fe24fe973dbe9aa,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_priority55_family_major_decision_workbook,Priority55家庭逐专业决策明细,院校专业组×专业明细,false,false,false,false,false,false,false,false,2,C128,湖北经济学院,C12815,武汉市,冲刺观察,2,A1,统计学（经济大数据分析实验班）,可接受,,可接受 / 勉强接受 / 不能接受 / 待了解,true,命中当前偏好方向：计算机类相关。,暂未见硬排除项，但仍需原页/章程闭环,可作为6专业或调剂可接受项，仍需原页、湖北官方侧和章程闭环。,可进入调剂讨论，但需确认勉强接受专业是否真能接受,是否愿意把该专业作为组内优先专业,计算机类相关,主线偏好-计算机/数字媒体,,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,75,right,M-bdb8c648f4fcd287,R4GROUP-45168577dad22593,,本表只填家庭接受度和备注；不要填写计划数、学费、选科读数、截图路径或任何私人信息。,not_final；family_discussion_only；no_field_values；no_private_paths；no_ocr_values；no_recommendation
