第一轮候选ID,第一轮层级,建议梯度,院校代码,院校名称OCR,院校专业组代码OCR规范化,专业组内专业序号,专业代号OCR,专业名称及备注短摘,专业偏好方向,再选科目OCR候选,专业计划数OCR候选,学费OCR候选,字段缺口数,字段缺口字段,人工核验优先级,人工核验强度,是否必须100%人工核验,PDF原页核验状态,湖北官方系统核验状态,高校官网证据匹配状态,来源页码,版面列,专业行ID,专业组出现ID
R1GROUP-007cfdb846ebd539,S2-稳冲优先讨论,稳冲观察,H909,广西财经学院,H90904,1,09,统计学（第一学年在武鸣校区，第二至第四学年在明秀或相思湖校区）,,化学,,3,1,专业计划数,P0-最终候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,198,left,M-dc8f8c7c5cfa61f4,G-475c4a184d9f8dbd
R1GROUP-007cfdb846ebd539,S2-稳冲优先讨论,稳冲观察,H909,广西财经学院,H90904,2,10,数据科学（第一学年在武鸣校区，第二至第四学年在明秀或相思湖校区）,计算机类相关,,,2,2,再选科目；专业计划数,P0-最终候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,198,left,M-9eee94e1d51c959a,G-475c4a184d9f8dbd
R1GROUP-007cfdb846ebd539,S2-稳冲优先讨论,稳冲观察,H909,广西财经学院,H90904,3,11,计算机科学与技术（第一学年在武鸣校区，第二至第四学年在明秀或相思湖校区）,计算机类相关,,,3,2,再选科目；专业计划数,P0-最终候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,198,left,M-0ce10aa44ebae30d,G-475c4a184d9f8dbd
R1GROUP-007cfdb846ebd539,S2-稳冲优先讨论,稳冲观察,H909,广西财经学院,H90904,4,12,人工智能（第一学年在武鸣校区，第二至第四学年在明秀或相思湖校区）,计算机类相关,,,2,2,再选科目；专业计划数,P0-最终候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,198,left,M-b7efe1507617497a,G-475c4a184d9f8dbd
R1GROUP-0119cbb402b73c65,S1-保底稳妥优先讨论,稳妥观察,F192,廊坊师范学院,F19203,1,09,化学（师范类：办学地点：廊坊校区）,师范类相关,,2,5390,1,再选科目,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,102,left,M-9be2ed885e527950,G-45c66c099b17d08b
R1GROUP-0119cbb402b73c65,S1-保底稳妥优先讨论,稳妥观察,F192,廊坊师范学院,F19203,2,10,生物科学类（生物科学（师范炎）、生物技术：办学地点：廊坊校区）F193 𧗽水学院（公办）（河北）,师范类相关,,2,5390,1,再选科目,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,102,left,M-80bf00091127f8bb,G-45c66c099b17d08b
R1GROUP-019cd2fc63dd1130,S1-保底稳妥优先讨论,稳妥观察,F313,山西工程技术学院,F31303,1,06,材料成型及控制工程,,化学,,4800,1,专业计划数,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,110,left,M-a3fada79b4cc9d36,G-f00ad59bf89d790b
R1GROUP-019cd2fc63dd1130,S1-保底稳妥优先讨论,稳妥观察,F313,山西工程技术学院,F31303,2,07,材料科学与工程,,,,5280,2,再选科目；专业计划数,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,110,left,M-38c2c18305985ded,G-f00ad59bf89d790b
R1GROUP-019cd2fc63dd1130,S1-保底稳妥优先讨论,稳妥观察,F313,山西工程技术学院,F31303,3,08,无机非金属材料工程,,,,5280,2,再选科目；专业计划数,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,110,left,M-3ce059a07916b758,G-f00ad59bf89d790b
R1GROUP-019cd2fc63dd1130,S1-保底稳妥优先讨论,稳妥观察,F313,山西工程技术学院,F31303,4,09,计算机科学与技术,计算机类相关,,,5280,2,再选科目；专业计划数,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,110,left,M-71340f7d7ebbd23f,G-f00ad59bf89d790b
R1GROUP-019cd2fc63dd1130,S1-保底稳妥优先讨论,稳妥观察,F313,山西工程技术学院,F31303,5,10,数据科学与大数据技术,计算机类相关,,,5280,2,再选科目；专业计划数,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,110,left,M-4fa6db8bafa7007e,G-f00ad59bf89d790b
R1GROUP-019cd2fc63dd1130,S1-保底稳妥优先讨论,稳妥观察,F313,山西工程技术学院,F31303,6,11,物联网工程,计算机类相关,,,5280,2,再选科目；专业计划数,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,110,left,M-be9c928ff95d1826,G-f00ad59bf89d790b
R1GROUP-019cd2fc63dd1130,S1-保底稳妥优先讨论,稳妥观察,F313,山西工程技术学院,F31303,7,12,智能科学与技术,计算机类相关,,,5280,2,再选科目；专业计划数,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,110,left,M-509bf5722b5c90b6,G-f00ad59bf89d790b
R1GROUP-019cd2fc63dd1130,S1-保底稳妥优先讨论,稳妥观察,F313,山西工程技术学院,F31303,8,13,逼感科学与技术,,,,5280,2,再选科目；专业计划数,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,110,left,M-8169cadd3518a559,G-f00ad59bf89d790b
R1GROUP-019cd2fc63dd1130,S1-保底稳妥优先讨论,稳妥观察,F313,山西工程技术学院,F31303,9,14,电气工程及其自动化,,,,5280,2,再选科目；专业计划数,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,110,left,M-b195fca807aa1d4f,G-f00ad59bf89d790b
R1GROUP-019cd2fc63dd1130,S1-保底稳妥优先讨论,稳妥观察,F313,山西工程技术学院,F31303,10,15,自动化,,,,5280,2,再选科目；专业计划数,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,110,left,M-e17ba9075c780d66,G-f00ad59bf89d790b
R1GROUP-019cd2fc63dd1130,S1-保底稳妥优先讨论,稳妥观察,F313,山西工程技术学院,F31303,11,16,机械设计制造及其自动化,,,,5280,2,再选科目；专业计划数,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,110,left,M-55be403a36d57f45,G-f00ad59bf89d790b
R1GROUP-019cd2fc63dd1130,S1-保底稳妥优先讨论,稳妥观察,F313,山西工程技术学院,F31303,12,17,智能制造工程,,,,5280,2,再选科目；专业计划数,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,110,left,M-f871745fab7fdbc4,G-f00ad59bf89d790b
