第二轮候选ID,第二轮池,第二轮层级,建议梯度,专业角色判断,第二轮方向标签,是否可作为定稿依据,院校代码,院校名称OCR,院校专业组代码OCR规范化,专业组内专业序号,专业代号OCR,专业名称及备注短摘,专业偏好方向,机器专业接受度初判,专业风险类型,再选科目OCR候选,专业计划数OCR候选,学费OCR候选,字段缺口数,字段缺口字段,人工核验优先级,人工核验强度,是否必须100%人工核验,PDF原页核验状态,湖北官方系统核验状态,高校官网证据匹配状态,历史线索分层,历史最高等位分差,历史最低等位分差,来源页码,版面列,专业行ID,专业组出现ID
R2GROUP-0756107d62489181,专项,S1-医技/康复专项了解,稳妥观察,字段缺口待核,,false,C138,湖北理工学院,C13806,1,32,监床医学（不招色盲、色弱、单色识别不全；学制：五年）,,默认不能接受-医学护理等排除方向,体检或色觉限制；医学/护理等排除方向,,130,5200,1,再选科目,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H2-历史最高线不高于等位分,-3,-12,79,left,M-e0776f4fa897d71f,G-da0d606ea3616eb1
R2GROUP-0756107d62489181,专项,S1-医技/康复专项了解,稳妥观察,专项了解-医技护理康复,医技护理康复,false,C138,湖北理工学院,C13806,2,33,医学检验技术（不招色盲、色弱、单色识别不全）KAZGA院校专业及专业代号,,默认不能接受-医学护理等排除方向,体检或色觉限制；医学/护理等排除方向,,26,4000,1,再选科目,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H2-历史最高线不高于等位分,-3,-12,79,left,M-776e0de825e7fa66,G-da0d606ea3616eb1
R2GROUP-0756107d62489181,专项,S1-医技/康复专项了解,稳妥观察,调剂接受度待判断,,false,C138,湖北理工学院,C13806,3,34,药学（不招色盲、色弱、单色识别不全）,,默认不能接受-医学护理等排除方向,体检或色觉限制；医学/护理等排除方向,化学,74,4000,0,,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H2-历史最高线不高于等位分,-3,-12,79,right,M-56dac25e950124d8,G-da0d606ea3616eb1
R2GROUP-08acc906a164a2af,专项,S2-农业/环境专项了解,冲刺观察,调剂接受度待判断,,false,H315,景德镇陶瓷大学,H31502,1,03,无机非金属材料工程（除患有《普通高等学校招生体检工作指导意见》中第一部分所列严重疾病（严重心脏病、軍症支气管扩张、恶性肿瘤、严重精神单色病等）者学校不予录取外，色盲、识别不全均不予录取：办学地点：湘湖校区）,,暂缓判断-特殊限制待核,体检或色觉限制,化学,2,4940,0,,P2-家庭费用调剂与三方闭环核,H2-自动官网核验后人工确认,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H4-历史最高线高于等位分16-30分,26,22,155,left,M-dafaa1f0250c2d7a,G-95b37b0322d929ba
R2GROUP-08acc906a164a2af,专项,S2-农业/环境专项了解,冲刺观察,可了解-环境,环境工程科学,false,H315,景德镇陶瓷大学,H31502,2,04,环境工程（除患有《普通高等学校招生G◎◎,,待了解-未命中当前偏好方向,,,1,4940,1,再选科目,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H4-历史最高线高于等位分16-30分,26,22,155,left,M-e2867b6e6e3ebf2f,G-95b37b0322d929ba
R2GROUP-08acc906a164a2af,专项,S2-农业/环境专项了解,冲刺观察,字段缺口待核,,false,H315,景德镇陶瓷大学,H31502,3,K,AA完校代号体检工作指导意见》中第一部分所列严重疾病（严重心脏病、重症支气營扩张、恶性肿瘤、严車精神病等）者学校不千录取外，色弱、色育、单色识别不全均不予录取；办学地点：湘湖校区）,,暂缓判断-特殊限制待核,体检或色觉限制,,,,3,再选科目；专业计划数；学费,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H4-历史最高线高于等位分16-30分,26,22,155,right,M-c50ea7f2fdfa8caf,G-95b37b0322d929ba
R2GROUP-08acc906a164a2af,专项,S2-农业/环境专项了解,冲刺观察,字段缺口待核,,false,H315,景德镇陶瓷大学,H31502,4,05,材料化学（除患有《普通高等学校招生体检工作指导意见，中第一部分所烈严童疾病（严重心脏病、重症支气管扩张、恶性肿瘤、严重精神病等）煮学校不予录取外，色弱、色直、单色识别不全均不予录取：办学地点：湘湖校区,,暂缓判断-特殊限制待核,体检或色觉限制,,,4940,2,再选科目；专业计划数,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H4-历史最高线高于等位分16-30分,26,22,155,right,M-aacaeb292c0f00f1,G-95b37b0322d929ba
R2GROUP-08acc906a164a2af,专项,S2-农业/环境专项了解,冲刺观察,字段缺口待核,,false,H315,景德镇陶瓷大学,H31502,5,06,材料物理（除患有《普通高等学校招生体检工作指导意见》中第一部分所列严童疾病（严重心脏病、重症支气管扒张、恶性肿瘤、严重精神病签）煮学校不子录取外，色真、单色识别不全均不予录取；办学地点：湘湖校区）,,暂缓判断-特殊限制待核,体检或色觉限制,,,4940,2,再选科目；专业计划数,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H4-历史最高线高于等位分16-30分,26,22,155,right,M-a62d61c712ae03d6,G-95b37b0322d929ba
R2GROUP-08acc906a164a2af,专项,S2-农业/环境专项了解,冲刺观察,字段缺口待核,,false,H315,景德镇陶瓷大学,H31502,6,07,粉体材料科学与工程（办学地点：湘湖,,待了解-未命中当前偏好方向,,,,4940,2,再选科目；专业计划数,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H4-历史最高线高于等位分16-30分,26,22,155,right,M-8a8ceef709511ea3,G-95b37b0322d929ba
R2GROUP-08acc906a164a2af,专项,S2-农业/环境专项了解,冲刺观察,字段缺口待核,,false,H315,景德镇陶瓷大学,H31502,7,08,新能源材料与器件（办学地点：湘湖校,,待了解-未命中当前偏好方向,,,,4940,2,再选科目；专业计划数,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H4-历史最高线高于等位分16-30分,26,22,155,right,M-be8e56aa63631336,G-95b37b0322d929ba
