第四轮5万专项候选ID,费用场景,年学费上限,5万内中外合作或高收费专业数,超过5万专业数,费用待核专业数,场景内最低学费,场景内最高学费,5万内专业摘要,费用风险提示,第四轮来源口径,讨论集合,是否进入优先讨论,是否可作为定稿依据,城市,城市来源,教育部所在地,教育部所在地命中城市,原城市候选,城市口径提醒,所在地使用边界,城市字段状态,校区字段状态,省份,主管部门,学校登记备注,院校代码,院校名称,院校专业组代码,专业组号,历史线索分层,冲稳保,冲稳保解释,与515关系,2026考生分数,2026考生位次,2025等位分,2024等位分,2023等位分,2025投档分,2025等位分差,2024投档分,2024等位分差,2023投档分,2023等位分差,同代码命中年份数,同代码命中年份,三年投档分范围,等位分差摘要,历史线使用口径,再选要求跨年变化,历史组名疑似不一致,公办民办机器线索,家庭底线属性动作,专业明细行数,数字媒体技术专业数,计算机类相关专业数,计算机AI软件专业数,电子信息网络专业数,机械自动化机器人专业数,师范类相关专业数,工商旅游管理专业数,环境工程科学专业数,农业不含动物相关专业数,高收费或超预算专业数,护理助产专业数,动物医学兽医专业数,临床口腔中医暂缓专业数,医技护理康复专业数,特殊限制待核专业数,调剂初判,完整专业组接受度初判,组内专业摘录,办学地点线索,来源页码,版面列,保真核验层级,机器核验下一步,人工核验下一步,下一步核验动作,讨论排序分,专业组出现ID,稳定基座专业组筛选ID
R4FEEGROUP-4fc9fd6653c117c4,5万内中外合作/高收费专项,50000,2,0,0,21000,21000,10 汔车服务工程（中外合作办学）（中德食作.建议无色盲：办学地点：奉贤校｜学费:21000｜预算内中外合作/高收费可讨论；11 杰工程（中外合作办学）（中英合作：建议近视不高于 800度；办学地点：奉｜学费:21000｜预算内中外合作/高收费可讨论,2个5万内高收费/中外合作线索；仍需核第19期原页、湖北官方侧、招生章程、培养模式、证书和出国要求,直接来源于稳定底座、教育部学校属性表、三年投档线旁挂表和逐专业费用线索；不引用 Round3/Round4 输出。,高冲暂缓索引,false,false,上海市,教育部所在地,上海市,,,城市按教育部学校所在地展示，仅作讨论维度；实际校区和办学地点必须再核第19期原页、湖北官方侧和招生章程。,教育部所在地为学校登记地线索，不能替代2026招生计划和章程中的办学地点,pending_school_location_review,pending_campus_or_location_review；machine_ocr_remark_candidate_unverified,上海市,上海市,,F785,上海师范大学,F78504,04,H5-历史最高线高于等位分30分以上,高冲暂缓,高冲暂缓：按同代码历史最高等位分差 57 判断；分差为各年投档分减该年515位次等位分。,515对应等位分：2025=494、2024=497、2023=481；551-494=+57；历史最高等位分差=57。,515,91723,494,497,481,551,551-494=+57,,,,,1,2025,551,551-494=+57,按院校专业组代码同代码旁挂，仅作冲稳保筛选前置线索；不能证明2026专业组存在、组内专业不变、计划数准确或投档位次可沿用。,false,false,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,5,0,1,1,1,1,1,0,0,0,3,0,0,0,0,2,调剂风险线索-组内存在默认不能接受专业,高收费或超预算；费用专项需确认同组所有可调剂专业均不突破家庭费用底线。,1.07 应用化学（建议无色弱；办学地点：奉[M-72c8e813ce11583d]；2.08 电子信息类（人工智能：机器人工程许算机科学与技术：通信工程：电子值息工程；建议无色盲；办学地点：奉贤[M-0d5deb4a05c3d785]；3.09 士木工程（智能建造方向.建议近视不高于800度；办学地点：奉贤校区）院校专业组及表业代号F78505上海师范大学第05组[M-ad1f1050b47753bf]；4.10 汔车服务工程（中外合作办学）（中德食作.建议无色盲：办学地点：奉贤校[M-a5e81d76e7385476]；5.11 杰工程（中外合作办学）（中英合作：建议近视不高于 800度；办学地点：奉[M-ee423274e2c145ad],奉贤校区,128,right,R1-P0整组先核,先核家庭底线风险，不把该组放入主方案。,仅在保底不足或家庭明确可接受时再核整组。,核第19期原页、湖北官方系统/省招办计划、招生章程、学费、培养模式、证书、出国要求、校区、语种/单科/体检限制和调剂范围。,15.75,G-c494127e15a22a12,STABLEGROUP-91b5b61fd0852179
R4FEEGROUP-fef3659239aa5f6b,5万内中外合作/高收费专项,50000,3,0,0,40000,40000,07 團际经济与贸易（中外合作办学）（中澳合作：办学地点：嘉定校区）｜学费:40000｜预算内中外合作/高收费可讨论；08 工商管理（中外合作办学）（中澳合作：办学地点：嘉定校区）｜学费:40000｜预算内中外合作/高收费可讨论；09 信息管理与信息系统（中外合作办学）（中澳合作：办学地点：嘉定校区）｜学费:40000｜预算内中外合作/高收费可讨论,3个5万内高收费/中外合作线索；仍需核第19期原页、湖北官方侧、招生章程、培养模式、证书和出国要求,直接来源于稳定底座、教育部学校属性表、三年投档线旁挂表和逐专业费用线索；不引用 Round3/Round4 输出。,高冲暂缓索引,false,false,上海市,教育部所在地,上海市,,,城市按教育部学校所在地展示，仅作讨论维度；实际校区和办学地点必须再核第19期原页、湖北官方侧和招生章程。,教育部所在地为学校登记地线索，不能替代2026招生计划和章程中的办学地点,pending_school_location_review,machine_ocr_remark_candidate_unverified,上海市,上海市,,F791,上海大学,F79104,04,H5-历史最高线高于等位分30分以上,高冲暂缓,高冲暂缓：按同代码历史最高等位分差 130 判断；分差为各年投档分减该年515位次等位分。,515对应等位分：2025=494、2024=497、2023=481；611-481=+130；622-497=+125；614-494=+120；历史最高等位分差=130。,515,91723,494,497,481,614,614-494=+120,622,622-497=+125,611,611-481=+130,3,2023；2024；2025,611-622,611-481=+130；622-497=+125；614-494=+120,按院校专业组代码同代码旁挂，仅作冲稳保筛选前置线索；不能证明2026专业组存在、组内专业不变、计划数准确或投档位次可沿用。,true,false,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,3,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,调剂风险线索-组内存在默认不能接受专业,高收费或超预算；费用专项需确认同组所有可调剂专业均不突破家庭费用底线。,1.07 團际经济与贸易（中外合作办学）（中澳合作：办学地点：嘉定校区）[M-91211d481a99c155]；2.08 工商管理（中外合作办学）（中澳合作：办学地点：嘉定校区）[M-5413dddf0eec03a3]；3.09 信息管理与信息系统（中外合作办学）（中澳合作：办学地点：嘉定校区）[M-dc73d277ae256b95],嘉定校区,129,right,R1-P0整组先核,先核家庭底线风险，不把该组放入主方案。,仅在保底不足或家庭明确可接受时再核整组。,核第19期原页、湖北官方系统/省招办计划、招生章程、学费、培养模式、证书、出国要求、校区、语种/单科/体检限制和调剂范围。,0.5,G-e68b7be352c85c7d,STABLEGROUP-20d64700121b3f0d
R4FEEGROUP-4b1ec4c8562de72f,5万内中外合作/高收费专项,50000,1,0,0,30000,30000,08 机械设计制造及其自动化（中外合作办学）（中英合作；办学地点：徐汇校｜学费:30000｜预算内中外合作/高收费可讨论,1个5万内高收费/中外合作线索；仍需核第19期原页、湖北官方侧、招生章程、培养模式、证书和出国要求,直接来源于稳定底座、教育部学校属性表、三年投档线旁挂表和逐专业费用线索；不引用 Round3/Round4 输出。,高冲暂缓索引,false,false,上海市,教育部所在地,上海市,,,城市按教育部学校所在地展示，仅作讨论维度；实际校区和办学地点必须再核第19期原页、湖北官方侧和招生章程。,教育部所在地为学校登记地线索，不能替代2026招生计划和章程中的办学地点,pending_school_location_review,pending_campus_or_location_review,上海市,上海市,,F778,上海理工大学,F77804,04,H5-历史最高线高于等位分30分以上,高冲暂缓,高冲暂缓：按同代码历史最高等位分差 101 判断；分差为各年投档分减该年515位次等位分。,515对应等位分：2025=494、2024=497、2023=481；582-481=+101；590-497=+93；585-494=+91；历史最高等位分差=101。,515,91723,494,497,481,585,585-494=+91,590,590-497=+93,582,582-481=+101,3,2023；2024；2025,582-590,582-481=+101；590-497=+93；585-494=+91,按院校专业组代码同代码旁挂，仅作冲稳保筛选前置线索；不能证明2026专业组存在、组内专业不变、计划数准确或投档位次可沿用。,true,false,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,调剂风险线索-组内存在默认不能接受专业,高收费或超预算；费用专项需确认同组所有可调剂专业均不突破家庭费用底线。,1.08 机械设计制造及其自动化（中外合作办学）（中英合作；办学地点：徐汇校[M-af9a5e10a7d23ef1],,128,left,R1-P0整组先核,先核家庭底线风险，不把该组放入主方案。,仅在保底不足或家庭明确可接受时再核整组。,核第19期原页、湖北官方系统/省招办计划、招生章程、学费、培养模式、证书、出国要求、校区、语种/单科/体检限制和调剂范围。,-20.25,G-5eed877d90ef7a7c,STABLEGROUP-54420f2c95d141fb
R4FEEGROUP-f5ca6c3130421e45,5万内中外合作/高收费专项,50000,1,0,0,21000,21000,14 机械类（中外合作办学）（机械电子工猩（中外合作办学）：建筑电气与智能华（中外合作办学）；车辆工程（中外合作办学））A093上海交通大学（公办）（上海）A09303上海交通大学第03组｜学费:21000｜预算内中外合作/高收费可讨论,1个5万内高收费/中外合作线索；仍需核第19期原页、湖北官方侧、招生章程、培养模式、证书和出国要求,直接来源于稳定底座、教育部学校属性表、三年投档线旁挂表和逐专业费用线索；不引用 Round3/Round4 输出。,高冲暂缓索引,false,false,上海市,教育部所在地,上海市,,,城市按教育部学校所在地展示，仅作讨论维度；实际校区和办学地点必须再核第19期原页、湖北官方侧和招生章程。,教育部所在地为学校登记地线索，不能替代2026招生计划和章程中的办学地点,pending_school_location_review,pending_campus_or_location_review,上海市,教育部,,A091,同济大学,A09107,07,H5-历史最高线高于等位分30分以上,高冲暂缓,高冲暂缓：按同代码历史最高等位分差 169 判断；分差为各年投档分减该年515位次等位分。,515对应等位分：2025=494、2024=497、2023=481；650-481=+169；641-497=+144；635-494=+141；历史最高等位分差=169。,515,91723,494,497,481,635,635-494=+141,641,641-497=+144,650,650-481=+169,3,2023；2024；2025,635-650,650-481=+169；641-497=+144；635-494=+141,按院校专业组代码同代码旁挂，仅作冲稳保筛选前置线索；不能证明2026专业组存在、组内专业不变、计划数准确或投档位次可沿用。,true,false,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,2,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,调剂风险线索-组内存在默认不能接受专业,高收费或超预算；费用专项需确认同组所有可调剂专业均不突破家庭费用底线。,1.14 机械类（中外合作办学）（机械电子工猩（中外合作办学）：建筑电气与智能华（中外合作办学）；车辆工程（中外合作办学））A093上海交通大学（公办）（上海）A09303上海交通大学第03组[M-cf8ccfb33f315d23]；2.04 电子信息类（计算机永强试验班；计算机科学与技术、软件工程、信息安全）[M-967415e3e929c775],,27,left,R1-P0整组先核,先核家庭底线风险，不把该组放入主方案。,仅在保底不足或家庭明确可接受时再核整组。,核第19期原页、湖北官方系统/省招办计划、招生章程、学费、培养模式、证书、出国要求、校区、语种/单科/体检限制和调剂范围。,-24.25,G-1f34e0f7f499d741,STABLEGROUP-8eebafcb926d31dd
R4FEEGROUP-dcfb154ad442a67b,5万内中外合作/高收费专项,50000,1,0,0,5500,5500,17 生木类（民族班：智慧建造与智慧环境；土木工程（数智城市与交通基础设施）、铁道工程（智能铁路与城市轨道交通）、智能建造、环境工程（智慧环境与低碳技术）；只招少数民族，根据文件要求成绩不得低于学校普通类提档线下 40分（不含中外合作办学）；一二...｜学费:5500｜预算内中外合作/高收费可讨论,1个5万内高收费/中外合作线索；仍需核第19期原页、湖北官方侧、招生章程、培养模式、证书和出国要求,直接来源于稳定底座、教育部学校属性表、三年投档线旁挂表和逐专业费用线索；不引用 Round3/Round4 输出。,高冲暂缓索引,false,false,北京市,教育部所在地,北京市,北京,北京,城市按教育部学校所在地展示，仅作讨论维度；实际校区和办学地点必须再核第19期原页、湖北官方侧和招生章程。,教育部所在地为学校登记地线索，不能替代2026招生计划和章程中的办学地点,machine_school_name_keyword_unverified,machine_ocr_remark_candidate_unverified,北京市,教育部,,A004,北京交通大学,A00412,12,H5-历史最高线高于等位分30分以上,高冲暂缓,高冲暂缓：按同代码历史最高等位分差 99 判断；分差为各年投档分减该年515位次等位分。,515对应等位分：2025=494、2024=497、2023=481；593-494=+99；历史最高等位分差=99。,515,91723,494,497,481,593,593-494=+99,,,,,1,2025,593,593-494=+99,按院校专业组代码同代码旁挂，仅作冲稳保筛选前置线索；不能证明2026专业组存在、组内专业不变、计划数准确或投档位次可沿用。,false,false,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,调剂风险线索-组内存在默认不能接受专业,高收费或超预算；费用专项需确认同组所有可调剂专业均不突破家庭费用底线。,1.17 生木类（民族班：智慧建造与智慧环境；土木工程（数智城市与交通基础设施）、铁道工程（智能铁路与城市轨道交通）、智能建造、环境工程（智慧环境与低碳技术）；只招少数民族，根据文件要求成绩不得低于学校普通类提档线下 40分（不含中外合作办学）；一二...[M-0d40d021f0f248c1],一二年级在北京校区；三年级起在雄安校区,11,right,R1-P0整组先核,先核家庭底线风险，不把该组放入主方案。,仅在保底不足或家庭明确可接受时再核整组。,核第19期原页、湖北官方系统/省招办计划、招生章程、学费、培养模式、证书、出国要求、校区、语种/单科/体检限制和调剂范围。,-23.75,G-5167e604728efb59,STABLEGROUP-51caa26c1f493a0a
R4FEEGROUP-d1e461085938664c,5万内中外合作/高收费专项,50000,2,0,0,26400,26400,27 制药工程（中外合作办学）（办学地点：江浦校区）｜学费:26400｜预算内中外合作/高收费可讨论；26 机械工程（中外合作办学）（办学地点：江浦校区）｜学费:26400｜预算内中外合作/高收费可讨论,2个5万内高收费/中外合作线索；仍需核第19期原页、湖北官方侧、招生章程、培养模式、证书和出国要求,直接来源于稳定底座、教育部学校属性表、三年投档线旁挂表和逐专业费用线索；不引用 Round3/Round4 输出。,高冲暂缓索引,false,false,南京市,教育部所在地,南京市,,,城市按教育部学校所在地展示，仅作讨论维度；实际校区和办学地点必须再核第19期原页、湖北官方侧和招生章程。,教育部所在地为学校登记地线索，不能替代2026招生计划和章程中的办学地点,pending_school_location_review,machine_ocr_remark_candidate_unverified,江苏省,江苏省,,F870,南京工业大学,F87005,05,H5-历史最高线高于等位分30分以上,高冲暂缓,高冲暂缓：按同代码历史最高等位分差 113 判断；分差为各年投档分减该年515位次等位分。,515对应等位分：2025=494、2024=497、2023=481；594-481=+113；556-494=+62；历史最高等位分差=113。,515,91723,494,497,481,556,556-494=+62,,,594,594-481=+113,2,2023；2025,556-594,594-481=+113；556-494=+62,按院校专业组代码同代码旁挂，仅作冲稳保筛选前置线索；不能证明2026专业组存在、组内专业不变、计划数准确或投档位次可沿用。,true,false,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,调剂风险线索-组内存在默认不能接受专业,高收费或超预算；费用专项需确认同组所有可调剂专业均不突破家庭费用底线。,1.26 机械工程（中外合作办学）（办学地点：江浦校区）[M-f1b2b41132ba482d]；2.27 制药工程（中外合作办学）（办学地点：江浦校区）[M-988173a0b3cbf2ca],江浦校区,131,right,R2-P1页列集中核,先核家庭底线风险，不把该组放入主方案。,仅在保底不足或家庭明确可接受时再核整组。,核第19期原页、湖北官方系统/省招办计划、招生章程、学费、培养模式、证书、出国要求、校区、语种/单科/体检限制和调剂范围。,-7.25,G-22af8c0aa07cf284,STABLEGROUP-c775e5a1c86e38c1
R4FEEGROUP-fedcbf8b8d4d66e4,5万内中外合作/高收费专项,50000,1,0,0,26400,26400,28 惠气工程及其自动化（中外合作办学）（办学地点：江浦校区）｜学费:26400｜预算内中外合作/高收费可讨论,1个5万内高收费/中外合作线索；仍需核第19期原页、湖北官方侧、招生章程、培养模式、证书和出国要求,直接来源于稳定底座、教育部学校属性表、三年投档线旁挂表和逐专业费用线索；不引用 Round3/Round4 输出。,高冲暂缓索引,false,false,南京市,教育部所在地,南京市,,,城市按教育部学校所在地展示，仅作讨论维度；实际校区和办学地点必须再核第19期原页、湖北官方侧和招生章程。,教育部所在地为学校登记地线索，不能替代2026招生计划和章程中的办学地点,pending_school_location_review,machine_ocr_remark_candidate_unverified,江苏省,江苏省,,F870,南京工业大学,F87006,06,H5-历史最高线高于等位分30分以上,高冲暂缓,高冲暂缓：按同代码历史最高等位分差 66 判断；分差为各年投档分减该年515位次等位分。,515对应等位分：2025=494、2024=497、2023=481；560-494=+66；历史最高等位分差=66。,515,91723,494,497,481,560,560-494=+66,,,,,1,2025,560,560-494=+66,按院校专业组代码同代码旁挂，仅作冲稳保筛选前置线索；不能证明2026专业组存在、组内专业不变、计划数准确或投档位次可沿用。,false,false,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,调剂风险线索-组内存在默认不能接受专业,高收费或超预算；费用专项需确认同组所有可调剂专业均不突破家庭费用底线。,1.28 惠气工程及其自动化（中外合作办学）（办学地点：江浦校区）[M-e770cef55fa03626],江浦校区,131,right,R2-P1页列集中核,先核家庭底线风险，不把该组放入主方案。,仅在保底不足或家庭明确可接受时再核整组。,核第19期原页、湖北官方系统/省招办计划、招生章程、学费、培养模式、证书、出国要求、校区、语种/单科/体检限制和调剂范围。,-11.5,G-5d9709defa0c6a9d,STABLEGROUP-7e47b7aa745644b1
R4FEEGROUP-53d907bf2e2a5253,5万内中外合作/高收费专项,50000,1,0,0,27000,27000,62 软件工程（中外合作办学）（与瑞典达拉纳大学合作办学）｜学费:27000｜预算内中外合作/高收费可讨论,1个5万内高收费/中外合作线索；仍需核第19期原页、湖北官方侧、招生章程、培养模式、证书和出国要求,直接来源于稳定底座、教育部学校属性表、三年投档线旁挂表和逐专业费用线索；不引用 Round3/Round4 输出。,高冲暂缓索引,false,false,南昌市,教育部所在地,南昌市,,,城市按教育部学校所在地展示，仅作讨论维度；实际校区和办学地点必须再核第19期原页、湖北官方侧和招生章程。,教育部所在地为学校登记地线索，不能替代2026招生计划和章程中的办学地点,pending_school_location_review,pending_campus_or_location_review,江西省,江西省,,H324,江西财经大学,H32409,09,H5-历史最高线高于等位分30分以上,高冲暂缓,高冲暂缓：按同代码历史最高等位分差 82 判断；分差为各年投档分减该年515位次等位分。,515对应等位分：2025=494、2024=497、2023=481；579-497=+82；559-494=+65；历史最高等位分差=82。,515,91723,494,497,481,559,559-494=+65,579,579-497=+82,,,2,2024；2025,559-579,579-497=+82；559-494=+65,按院校专业组代码同代码旁挂，仅作冲稳保筛选前置线索；不能证明2026专业组存在、组内专业不变、计划数准确或投档位次可沿用。,true,false,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,调剂风险线索-组内存在默认不能接受专业,高收费或超预算；费用专项需确认同组所有可调剂专业均不突破家庭费用底线。,1.62 软件工程（中外合作办学）（与瑞典达拉纳大学合作办学）[M-8e75f729c9364c5e],,159,right,R3-P2官网后人工确认,先核家庭底线风险，不把该组放入主方案。,仅在保底不足或家庭明确可接受时再核整组。,核第19期原页、湖北官方系统/省招办计划、招生章程、学费、培养模式、证书、出国要求、校区、语种/单科/体检限制和调剂范围。,-10.5,G-898cbf673f1649a3,STABLEGROUP-16e64e624022a68f
R4FEEGROUP-3b93dd9382db7a12,5万内中外合作/高收费专项,50000,2,0,0,30000,30000,12 计算机科学与技术（国际创新课程｜学费:［30000｜预算内高学费可讨论；1C C 项目：办学地点：船营校区）｜学费:［30000｜预算内高学费可讨论,2个5万内高收费/中外合作线索；仍需核第19期原页、湖北官方侧、招生章程、培养模式、证书和出国要求,直接来源于稳定底座、教育部学校属性表、三年投档线旁挂表和逐专业费用线索；不引用 Round3/Round4 输出。,高冲暂缓索引,false,false,吉林市,教育部所在地,吉林市,,,城市按教育部学校所在地展示，仅作讨论维度；实际校区和办学地点必须再核第19期原页、湖北官方侧和招生章程。,教育部所在地为学校登记地线索，不能替代2026招生计划和章程中的办学地点,pending_school_location_review,pending_campus_or_location_review；machine_ocr_remark_candidate_unverified,吉林省,吉林省,,F581,东北电力大学,F58103,03,H5-历史最高线高于等位分30分以上,高冲暂缓,高冲暂缓：按同代码历史最高等位分差 93 判断；分差为各年投档分减该年515位次等位分。,515对应等位分：2025=494、2024=497、2023=481；552-481=+71；590-497=+93；583-494=+89；历史最高等位分差=93。,515,91723,494,497,481,583,583-494=+89,590,590-497=+93,552,552-481=+71,3,2023；2024；2025,552-590,552-481=+71；590-497=+93；583-494=+89,按院校专业组代码同代码旁挂，仅作冲稳保筛选前置线索；不能证明2026专业组存在、组内专业不变、计划数准确或投档位次可沿用。,false,false,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,暂不判断-组内结构异常需先核页,组内结构需先核；费用专项需确认同组所有可调剂专业均不突破家庭费用底线。,1.12 计算机科学与技术（国际创新课程[M-d755ae20b18eb273]；2.1C C 项目：办学地点：船营校区）[M-aa9fbd812d3badc8],船营校区,119,left,R1-P0整组先核,按P0优先核PDF原页结构、字段缺口和官网冲突。,整组所有专业都要核，不能只核拟填6个专业。,核第19期原页、湖北官方系统/省招办计划、招生章程、学费、培养模式、证书、出国要求、校区、语种/单科/体检限制和调剂范围。,-9.25,G-2eda348c1e055a35,STABLEGROUP-47ba89e0665bdef9
R4FEEGROUP-7b685b004db32277,5万内中外合作/高收费专项,50000,1,0,0,45000,45000,33 生木工程（中外合作办学）（与英国阿“3+］“模式，中英文授课，入学不得转专业）｜学费:45000｜预算内中外合作/高收费可讨论,1个5万内高收费/中外合作线索；仍需核第19期原页、湖北官方侧、招生章程、培养模式、证书和出国要求,直接来源于稳定底座、教育部学校属性表、三年投档线旁挂表和逐专业费用线索；不引用 Round3/Round4 输出。,高冲暂缓索引,false,false,哈尔滨市,教育部所在地,哈尔滨市,,,城市按教育部学校所在地展示，仅作讨论维度；实际校区和办学地点必须再核第19期原页、湖北官方侧和招生章程。,教育部所在地为学校登记地线索，不能替代2026招生计划和章程中的办学地点,pending_school_location_review,pending_campus_or_location_review,黑龙江省,工业和信息化部,,A085,哈尔滨工程大学,A08519,19,H5-历史最高线高于等位分30分以上,高冲暂缓,高冲暂缓：按同代码历史最高等位分差 103 判断；分差为各年投档分减该年515位次等位分。,515对应等位分：2025=494、2024=497、2023=481；597-494=+103；历史最高等位分差=103。,515,91723,494,497,481,597,597-494=+103,,,,,1,2025,597,597-494=+103,按院校专业组代码同代码旁挂，仅作冲稳保筛选前置线索；不能证明2026专业组存在、组内专业不变、计划数准确或投档位次可沿用。,false,false,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,6,0,1,1,1,2,0,0,0,0,1,0,0,0,0,0,调剂风险线索-组内存在默认不能接受专业,高收费或超预算；费用专项需确认同组所有可调剂专业均不突破家庭费用底线。,1.28 海洋工程类（船舶与海洋工程、海洋机器人、港口航道与海岸工程、•KGAAZ院校程、能源与动力工程、机械设计制造及基自动化、智能制造工程：本专业类[M-4c0aa0c5f3f3a16b]；2.29 航空航天类（低空技术与工程、飞行器设计与工程、飞行器动力王程、工程本学、能源与动力工程；本专业类内任[M-8a176778a712544e]；3.30 核工程与核技术（含核工程与核技术、核化工与核燃料工程、材料科学与工程、新能源材料与器件、化学工程与工艺：本专业类内任选专业）[M-3e3ebe34481ae1b6]；4.31 自动化类（自动化、机器人工程、计算凯科学与技术、测控技术与仪器、拼则制导与控制技术、人工智能、电气工釋及基自动化、信思安全；本专业类[M-7c1da81d2efe3ff9]；5.32 电子信息类（水声工程、电子信息工程（水克）、海洋信息工程、电子信息工程、通信工程、光电信息科学与工程；本专业类内任选专业）[M-2096805cf315251a]；6.33 生木工程（中外合作办学）（与英国阿“3+］“模式，中英文授课，入学不得转专业）[M-498c14e8f8134ad5],,25,left,R1-P0整组先核,先核家庭底线风险，不把该组放入主方案。,仅在保底不足或家庭明确可接受时再核整组。,核第19期原页、湖北官方系统/省招办计划、招生章程、学费、培养模式、证书、出国要求、校区、语种/单科/体检限制和调剂范围。,-3.75,G-78424a166bccb1b8,STABLEGROUP-be3644b761262ec8
