城市,省份,主表专业组数,优先讨论专业组数,保底观察,稳妥观察,稳冲观察,冲刺观察,历史待补
三亚市,海南省,1,1,0,0,0,1,0
上饶市,江西省,1,1,0,0,1,0,0
东营市,山东省,1,0,0,0,0,1,0
临汾市,山西省,1,1,0,1,0,0,0
临沂市,山东省,1,1,0,0,0,1,0
乌鲁木齐市,新疆维吾尔自治区,8,4,0,5,1,2,0
九江市,江西省,1,0,0,0,1,0,0
伊犁哈萨克自治州,新疆维吾尔自治区,1,1,0,1,0,0,0
佳木斯市,黑龙江省,1,1,0,0,0,1,0
保定市,河北省,2,1,0,1,1,0,0
信阳市,河南省,1,0,0,1,0,0,0
六盘水市,贵州省,1,1,0,1,0,0,0
兰州市,甘肃省,7,3,0,3,2,2,0
凉山彝族自治州,四川省,2,1,0,2,0,0,0
北京市,北京市,1,0,0,0,0,1,0
十堰市,湖北省,7,2,0,4,3,0,0
南宁市,广西壮族自治区,4,1,1,0,1,2,0
南昌市,江西省,2,1,0,1,0,1,0
南阳市,河南省,4,2,0,1,3,0,0
吉安市,江西省,1,0,0,0,0,1,0
吉林市,吉林省,4,1,0,2,1,1,0
吕梁市,山西省,1,1,0,1,0,0,0
周口市,河南省,1,0,0,1,0,0,0
呼和浩特市,内蒙古自治区,5,3,0,0,4,1,0
和田地区,新疆维吾尔自治区,2,1,1,1,0,0,0
咸宁市,湖北省,3,0,0,1,2,0,0
咸阳市,西藏自治区,4,1,0,0,0,4,0
咸阳市,陕西省,1,0,0,1,0,0,0
哈尔滨市,黑龙江省,8,5,0,4,0,4,0
唐山市,河北省,4,0,0,3,0,1,0
喀什地区,新疆维吾尔自治区,2,1,0,1,1,0,0
四平市,吉林省,1,0,0,0,1,0,0
图木舒克市,新疆维吾尔自治区,2,1,0,2,0,0,0
大庆市,黑龙江省,3,0,0,1,1,1,0
大理白族自治州,云南省,1,0,0,0,0,1,0
大连市,辽宁省,2,1,0,0,0,2,0
天水市,甘肃省,2,1,0,2,0,0,0
天津市,天津市,3,2,0,0,0,3,0
太原市,山西省,3,2,0,1,2,0,0
孝感市,湖北省,5,4,0,2,3,0,0
安康市,陕西省,1,0,0,0,1,0,0
安阳市,河南省,2,0,0,2,0,0,0
宜宾市,四川省,2,0,0,0,0,2,0
宜春市,江西省,2,1,0,1,1,0,0
宝鸡市,陕西省,1,1,0,1,0,0,0
宿州市,安徽省,1,0,0,1,0,0,0
巴音郭楞蒙古自治州,新疆维吾尔自治区,2,2,0,2,0,0,0
常德市,湖南省,1,0,0,0,0,1,0
广州市,广东省,1,0,0,0,0,1,0
庆阳市,甘肃省,2,1,0,2,0,0,0
廊坊市,河北省,3,3,0,2,0,1,0
张家口市,河北省,1,0,0,1,0,0,0
张掖市,甘肃省,1,0,0,1,0,0,0
忻州市,山西省,2,1,0,2,0,0,0
怀化市,湖南省,2,0,0,0,1,1,0
恩施土家族苗族自治州,湖北省,4,1,0,2,2,0,0
抚州市,江西省,2,2,0,1,1,0,0
抚顺市,辽宁省,1,0,0,0,0,1,0
新乡市,河南省,2,0,0,1,1,0,0
新余市,江西省,2,2,0,0,2,0,0
昆明市,云南省,4,1,0,1,0,3,0
昌吉回族自治州,新疆维吾尔自治区,1,0,1,0,0,0,0
晋中市,山西省,3,0,0,2,1,0,0
景德镇市,江西省,2,1,0,0,0,2,0
曲靖市,云南省,3,1,0,1,2,0,0
朔州市,山西省,1,0,0,0,1,0,0
本溪市,辽宁省,1,0,0,0,0,1,0
来宾市,广西壮族自治区,3,2,0,0,3,0,0
林芝市,西藏自治区,2,0,0,2,0,0,0
柳州市,广西壮族自治区,1,0,0,0,0,1,0
桂林市,广西壮族自治区,4,3,0,0,0,4,0
梅州市,广东省,3,0,0,3,0,0,0
梧州市,广西壮族自治区,1,1,0,1,0,0,0
楚雄彝族自治州,云南省,4,0,0,4,0,0,0
武汉市,湖北省,6,4,0,0,1,5,0
毕节市,贵州省,1,0,0,1,0,0,0
汉中市,陕西省,3,1,0,1,0,2,0
池州市,安徽省,1,0,0,1,0,0,0
沧州市,河北省,2,1,0,0,1,1,0
河池市,广西壮族自治区,4,1,0,3,1,0,0
泉州市,福建省,2,0,0,0,0,2,0
泰安市,山东省,3,1,0,2,1,0,0
洛阳市,河南省,1,1,0,0,0,1,0
济南市,山东省,3,2,0,1,1,1,0
海口市,海南省,2,1,0,1,0,1,0
淮北市,安徽省,1,0,0,0,0,1,0
淮南市,安徽省,1,1,0,0,1,0,0
湘潭市,湖南省,1,1,0,0,0,1,0
湘西土家族苗族自治州,湖南省,1,1,0,0,0,1,0
湛江市,广东省,1,0,0,0,0,1,0
滁州市,安徽省,1,0,0,0,0,1,0
滨州市,山东省,1,0,0,0,1,0,0
漳州市,福建省,1,0,0,0,0,1,0
潍坊市,山东省,1,0,0,0,1,0,0
烟台市,山东省,2,2,0,0,1,1,0
牡丹江市,黑龙江省,2,1,1,1,0,0,0
玉林市,广西壮族自治区,1,0,0,1,0,0,0
玉溪市,云南省,1,0,0,0,1,0,0
甘南藏族自治州,甘肃省,1,0,0,1,0,0,0
白城市,吉林省,1,0,0,1,0,0,0
益阳市,湖南省,1,0,0,0,0,1,0
盐城市,江苏省,2,0,0,0,2,0,0
石家庄市,河北省,5,0,0,1,2,2,0
秦皇岛市,河北省,2,1,0,2,0,0,0
红河哈尼族彝族自治州,云南省,2,0,0,2,0,0,0
绥化市,黑龙江省,3,0,0,2,1,0,0
绵阳市,四川省,1,0,0,0,0,1,0
肇庆市,广东省,2,0,0,0,1,1,0
茂名市,广东省,3,0,0,0,0,3,0
荆门市,湖北省,4,3,0,3,0,1,0
菏泽市,山东省,1,0,0,0,1,0,0
萍乡市,江西省,1,0,0,1,0,0,0
营口市,辽宁省,1,0,0,0,1,0,0
衡水市,河北省,3,1,0,3,0,0,0
衡阳市,湖南省,2,1,0,0,1,1,0
衢州市,浙江省,1,0,0,0,0,1,0
襄阳市,湖北省,2,2,0,0,1,1,0
西宁市,青海省,3,0,0,1,1,1,0
