Round4家庭说明ID,来源Round4重点55组,来源Round4暂缓65组,来源Round4优先120组,来源期号,来源PDF_SHA256,生成日期,数据阶段,主表粒度,任务粒度,最终可用,可进入下一阶段,可否进入最终志愿方案,是否允许作为志愿推荐依据,是否允许自动写回主表,是否允许官网证据替代湖北官方计划,是否允许生成学校专业建议,是否允许写回字段事实,家庭阅读排序,入选状态,是否进入40到60重点核验,为什么入选,为什么暂缓,暂缓主因,同梯度入选线,距同梯度入选线分差,高分暂缓标记,梯度配额标签,梯度内排序,压缩综合分,院校专业组,院校代码,院校名称,院校专业组代码,专业组号,城市,城市来源,城市口径提醒,省份,冲稳保,历史稳定性等级,与515关系,同代码命中年份数,等位分差摘要,专业匹配等级,专业方向命中摘要,完整组内专业数,接受专业数,勉强调剂专业数,待核后判断专业数,不能接受提示专业数,完整组内专业接受度摘要,调剂接受风险等级,调剂风险说明,费用限制风险,高收费或超预算专业数,公办民办机器线索,家庭底线属性动作,结构字段阻断等级,字段缺口专业行数,结构或归属未闭环专业行数,PDF原页待核专业行数,湖北官方系统待核专业行数,官网辅证命中专业行数,第一闭环明细任务数,第一闭环双人复核任务数,高校侧刷新任务数,主要阻断原因,家庭最小决策动作,核验最小动作,下一步核验动作,来源页码,版面列,第四轮候选ID,专业组出现ID,公开安全策略
R4FAMILYEXPLAIN-6c08b4997de6fca5,data/exports/issue19-round4-priority-focus55-groups.csv,data/exports/issue19-round4-priority-focus55-paused65-groups.csv,data/exports/issue19-round4-city-gradient-priority120-groups.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_round4_family_explanation_board,Round4优先120组家庭阅读说明,院校专业组×入选或暂缓理由×调剂风险摘要,false,false,false,false,false,false,false,false,1,重点核验,true,保底观察；H1-保底历史线索；P1-命中计算机/软件/AI；C3-非当前优先城市，作为梯度和专业匹配讨论；计算机/软件/AI3；计算机类3；电子信息/网络2；T4-暂未见硬阻断，仍需人工接受度判断；V2-中等核验成本，保留字段缺口,,,117.00,0.00,false,保底观察配额1,1,117.00,K784 新疆工业学院 K78401 01,K784,新疆工业学院,K78401,01,和田地区,教育部所在地,城市只是学校所在地或机器线索；实际校区必须核第19期原页、湖北官方计划和招生章程。,新疆维吾尔自治区,保底观察,H1-保底历史线索,515对应等位分：2025=494、2024=497、2023=481；467-494=-27；历史最高等位分差=-27。,1,467-494=-27,P1-命中计算机/软件/AI,计算机/软件/AI3；计算机类3；电子信息/网络2,8,3,5,0,0,接受3；勉强调剂5；待核0；不能0,T4-暂未见硬阻断，仍需人工接受度判断,暂未见硬阻断，但仍需家里逐专业确认接受度。,F1-暂未见高收费或超预算线索,0,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,S1-字段事实缺口7行,7,0,8,8,0,0,0,0,仍有计划数、学费或再选科目字段缺口。,先看完整组内专业，逐条标可接受/勉强接受/不能接受；保留后再做PDF原页、湖北官方侧和章程核验。,进入下一轮候选后，按完整组内专业做100%原页和湖北官方侧核验。,核第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,237,right,R4GROUP-62dc3df1666adaa1,G-de5cf3dab5a124b1,该说明表只用于家庭阅读和核验排序；所有组仍需PDF原页、湖北官方侧、高校章程和完整组内专业闭环。
R4FAMILYEXPLAIN-630d29755be244ab,data/exports/issue19-round4-priority-focus55-groups.csv,data/exports/issue19-round4-priority-focus55-paused65-groups.csv,data/exports/issue19-round4-city-gradient-priority120-groups.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_round4_family_explanation_board,Round4优先120组家庭阅读说明,院校专业组×入选或暂缓理由×调剂风险摘要,false,false,false,false,false,false,false,false,2,重点核验,true,冲刺观察；H4-冲刺历史线索；P1-命中计算机/软件/AI；C0-初始优先城市：武汉市；计算机/软件/AI6；计算机类6；电子信息/网络2；T4-暂未见硬阻断，仍需人工接受度判断；V0-高核验成本，先核页和组边界,,,62.75,95.75,false,冲刺观察配额12,1,158.50,C128 湖北经济学院 C12815 15,C128,湖北经济学院,C12815,15,武汉市,教育部所在地,城市只是学校所在地或机器线索；实际校区必须核第19期原页、湖北官方计划和招生章程。,湖北省,冲刺观察,H4-冲刺历史线索,515对应等位分：2025=494、2024=497、2023=481；515-497=+18；473-494=-21；历史最高等位分差=18。,2,515-497=+18；473-494=-21,P1-命中计算机/软件/AI,计算机/软件/AI6；计算机类6；电子信息/网络2,8,6,2,0,0,接受6；勉强调剂2；待核0；不能0,T4-暂未见硬阻断，仍需人工接受度判断,暂未见硬阻断，但仍需家里逐专业确认接受度。,F1-暂未见高收费或超预算线索,0,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,S1-字段事实缺口7行,7,0,8,8,0,0,0,0,仍有计划数、学费或再选科目字段缺口。,先看完整组内专业，逐条标可接受/勉强接受/不能接受；保留后再做PDF原页、湖北官方侧和章程核验。,进入下一轮候选后，按完整组内专业做100%原页和湖北官方侧核验。,核第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,75,right,R4GROUP-45168577dad22593,G-a8d2bae2fc9bc289,该说明表只用于家庭阅读和核验排序；所有组仍需PDF原页、湖北官方侧、高校章程和完整组内专业闭环。
R4FAMILYEXPLAIN-f376eb1e1be609d6,data/exports/issue19-round4-priority-focus55-groups.csv,data/exports/issue19-round4-priority-focus55-paused65-groups.csv,data/exports/issue19-round4-city-gradient-priority120-groups.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_round4_family_explanation_board,Round4优先120组家庭阅读说明,院校专业组×入选或暂缓理由×调剂风险摘要,false,false,false,false,false,false,false,false,3,重点核验,true,冲刺观察；H4-冲刺历史线索；P1-命中计算机/软件/AI；C3-非当前优先城市，作为梯度和专业匹配讨论；计算机/软件/AI3；计算机类3；电子信息/网络2；师范5；环境1；T1-特殊限制待核，先核章程/原页；V0-高核验成本，先核页和组边界；特殊限制待核6个,,,62.75,47.13,false,冲刺观察配额12,2,109.88,K752 新疆师范大学 K75205 05,K752,新疆师范大学,K75205,05,乌鲁木齐市,教育部所在地,城市只是学校所在地或机器线索；实际校区必须核第19期原页、湖北官方计划和招生章程。,新疆维吾尔自治区,冲刺观察,H4-冲刺历史线索,515对应等位分：2025=494、2024=497、2023=481；497-481=+16；487-497=-10；478-494=-16；历史最高等位分差=16。,3,497-481=+16；487-497=-10；478-494=-16,P1-命中计算机/软件/AI,计算机/软件/AI3；计算机类3；电子信息/网络2；师范5；环境1,17,5,6,6,0,接受5；勉强调剂6；待核6；不能0,T1-特殊限制待核，先核章程/原页,有体检、语种、单科、专项或章程限制待核，先看限制再谈调剂。,F1-暂未见高收费或超预算线索,0,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,S0-结构或归属未闭环1行,17,1,17,17,0,0,0,0,存在结构或专业组归属未闭环专业行。,先看完整组内专业，逐条标可接受/勉强接受/不能接受；保留后再做PDF原页、湖北官方侧和章程核验。,先核PDF原页中的专业组边界、专业归属和完整组内专业。,核第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,234,right,R4GROUP-1df0d2da06affe66,G-7694bcd996e8e798,该说明表只用于家庭阅读和核验排序；所有组仍需PDF原页、湖北官方侧、高校章程和完整组内专业闭环。
R4FAMILYEXPLAIN-9cd03cd5a91492e5,data/exports/issue19-round4-priority-focus55-groups.csv,data/exports/issue19-round4-priority-focus55-paused65-groups.csv,data/exports/issue19-round4-city-gradient-priority120-groups.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_round4_family_explanation_board,Round4优先120组家庭阅读说明,院校专业组×入选或暂缓理由×调剂风险摘要,false,false,false,false,false,false,false,false,4,重点核验,true,冲刺观察；H4-冲刺历史线索；P1-命中计算机/软件/AI；C2-湖北省内或近距离可讨论：黄冈市；计算机/软件/AI3；计算机类3；师范2；T4-暂未见硬阻断，仍需人工接受度判断；V2-中等核验成本，保留字段缺口,,,62.75,29.87,false,冲刺观察配额12,3,92.62,C118 黄冈师范学院 C11810 10,C118,黄冈师范学院,C11810,10,黄冈市,教育部所在地,城市只是学校所在地或机器线索；实际校区必须核第19期原页、湖北官方计划和招生章程。,湖北省,冲刺观察,H4-冲刺历史线索,515对应等位分：2025=494、2024=497、2023=481；524-497=+27；487-494=-7；历史最高等位分差=27。,2,524-497=+27；487-494=-7,P1-命中计算机/软件/AI,计算机/软件/AI3；计算机类3；师范2,5,4,1,0,0,接受4；勉强调剂1；待核0；不能0,T4-暂未见硬阻断，仍需人工接受度判断,暂未见硬阻断，但仍需家里逐专业确认接受度。,F1-暂未见高收费或超预算线索,0,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,S1-字段事实缺口5行,5,0,5,5,0,0,0,0,仍有计划数、学费或再选科目字段缺口。,先看完整组内专业，逐条标可接受/勉强接受/不能接受；保留后再做PDF原页、湖北官方侧和章程核验。,进入下一轮候选后，按完整组内专业做100%原页和湖北官方侧核验。,核第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,73,right,R4GROUP-cfaa870fdbdcb77e,G-6d6a8f20ef5045db,该说明表只用于家庭阅读和核验排序；所有组仍需PDF原页、湖北官方侧、高校章程和完整组内专业闭环。
R4FAMILYEXPLAIN-ee88e5c60dba2fd2,data/exports/issue19-round4-priority-focus55-groups.csv,data/exports/issue19-round4-priority-focus55-paused65-groups.csv,data/exports/issue19-round4-city-gradient-priority120-groups.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_round4_family_explanation_board,Round4优先120组家庭阅读说明,院校专业组×入选或暂缓理由×调剂风险摘要,false,false,false,false,false,false,false,false,5,重点核验,true,冲刺观察；H4-冲刺历史线索；P1-命中计算机/软件/AI；C3-非当前优先城市，作为梯度和专业匹配讨论；计算机/软件/AI4；计算机类3；T4-暂未见硬阻断，仍需人工接受度判断；V2-中等核验成本，保留字段缺口,,,62.75,29.75,false,冲刺观察配额12,4,92.50,H892 桂林电子科技大学 H89207 07,H892,桂林电子科技大学,H89207,07,桂林市,教育部所在地,城市只是学校所在地或机器线索；实际校区必须核第19期原页、湖北官方计划和招生章程。,广西壮族自治区,冲刺观察,H4-冲刺历史线索,515对应等位分：2025=494、2024=497、2023=481；509-481=+28；历史最高等位分差=28。,1,509-481=+28,P1-命中计算机/软件/AI,计算机/软件/AI4；计算机类3,4,3,1,0,0,接受3；勉强调剂1；待核0；不能0,T4-暂未见硬阻断，仍需人工接受度判断,暂未见硬阻断，但仍需家里逐专业确认接受度。,F1-暂未见高收费或超预算线索,0,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,S1-字段事实缺口4行,4,0,4,4,0,0,0,0,仍有计划数、学费或再选科目字段缺口。,先看完整组内专业，逐条标可接受/勉强接受/不能接受；保留后再做PDF原页、湖北官方侧和章程核验。,进入下一轮候选后，按完整组内专业做100%原页和湖北官方侧核验。,核第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,195,right,R4GROUP-1477b49b46c28b80,G-417e0ee6247dac7a,该说明表只用于家庭阅读和核验排序；所有组仍需PDF原页、湖北官方侧、高校章程和完整组内专业闭环。
R4FAMILYEXPLAIN-a416ebdadd537c1d,data/exports/issue19-round4-priority-focus55-groups.csv,data/exports/issue19-round4-priority-focus55-paused65-groups.csv,data/exports/issue19-round4-city-gradient-priority120-groups.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_round4_family_explanation_board,Round4优先120组家庭阅读说明,院校专业组×入选或暂缓理由×调剂风险摘要,false,false,false,false,false,false,false,false,6,重点核验,true,冲刺观察；H4-冲刺历史线索；P1-命中计算机/软件/AI；C0-初始优先城市：武汉市；计算机/软件/AI3；计算机类3；工商旅游管理2；T3-组内专业较多，需逐条确认；V1-中高核验成本，需集中核字段,,,62.75,27.25,false,冲刺观察配额12,5,90.00,C128 湖北经济学院 C12812 12,C128,湖北经济学院,C12812,12,武汉市,教育部所在地,城市只是学校所在地或机器线索；实际校区必须核第19期原页、湖北官方计划和招生章程。,湖北省,冲刺观察,H4-冲刺历史线索,515对应等位分：2025=494、2024=497、2023=481；491-481=+10；527-497=+30；522-494=+28；历史最高等位分差=30。,3,491-481=+10；527-497=+30；522-494=+28,P1-命中计算机/软件/AI,计算机/软件/AI3；计算机类3,20,3,17,0,0,接受3；勉强调剂17；待核0；不能0,T3-组内专业较多，需逐条确认,组内专业较多，必须逐条判断能否接受调剂。,F1-暂未见高收费或超预算线索,0,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,S1-字段事实缺口19行,19,0,20,20,0,0,0,0,仍有计划数、学费或再选科目字段缺口。,先看完整组内专业，逐条标可接受/勉强接受/不能接受；保留后再做PDF原页、湖北官方侧和章程核验。,进入下一轮候选后，按完整组内专业做100%原页和湖北官方侧核验。,核第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,75,left,R4GROUP-aec85ee7444cd13e,G-296dcea95f5cd502,该说明表只用于家庭阅读和核验排序；所有组仍需PDF原页、湖北官方侧、高校章程和完整组内专业闭环。
R4FAMILYEXPLAIN-d7add02dec14e93b,data/exports/issue19-round4-priority-focus55-groups.csv,data/exports/issue19-round4-priority-focus55-paused65-groups.csv,data/exports/issue19-round4-city-gradient-priority120-groups.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_round4_family_explanation_board,Round4优先120组家庭阅读说明,院校专业组×入选或暂缓理由×调剂风险摘要,false,false,false,false,false,false,false,false,7,重点核验,true,冲刺观察；H4-冲刺历史线索；P1-命中计算机/软件/AI；C3-非当前优先城市，作为梯度和专业匹配讨论；计算机/软件/AI1；计算机类1；电子信息/网络2；机械自动化3；T4-暂未见硬阻断，仍需人工接受度判断；V1-中高核验成本，需集中核字段,,,62.75,11.37,false,冲刺观察配额12,6,74.12,H911 桂林航天工业学院 H91103 03,H911,桂林航天工业学院,H91103,03,桂林市,教育部所在地,城市只是学校所在地或机器线索；实际校区必须核第19期原页、湖北官方计划和招生章程。,广西壮族自治区,冲刺观察,H4-冲刺历史线索,515对应等位分：2025=494、2024=497、2023=481；508-481=+27；517-497=+20；515-494=+21；历史最高等位分差=27。,3,508-481=+27；517-497=+20；515-494=+21,P1-命中计算机/软件/AI,计算机/软件/AI1；计算机类1；电子信息/网络2；机械自动化3,9,1,8,0,0,接受1；勉强调剂8；待核0；不能0,T4-暂未见硬阻断，仍需人工接受度判断,暂未见硬阻断，但仍需家里逐专业确认接受度。,F1-暂未见高收费或超预算线索,0,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,S1-字段事实缺口9行,9,0,9,9,0,0,0,0,仍有计划数、学费或再选科目字段缺口。,先看完整组内专业，逐条标可接受/勉强接受/不能接受；保留后再做PDF原页、湖北官方侧和章程核验。,进入下一轮候选后，按完整组内专业做100%原页和湖北官方侧核验。,核第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,198,right,R4GROUP-9c2c9788ae98ed6c,G-cd82ec5e0da1f9a0,该说明表只用于家庭阅读和核验排序；所有组仍需PDF原页、湖北官方侧、高校章程和完整组内专业闭环。
R4FAMILYEXPLAIN-17383705f61439e7,data/exports/issue19-round4-priority-focus55-groups.csv,data/exports/issue19-round4-priority-focus55-paused65-groups.csv,data/exports/issue19-round4-city-gradient-priority120-groups.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_round4_family_explanation_board,Round4优先120组家庭阅读说明,院校专业组×入选或暂缓理由×调剂风险摘要,false,false,false,false,false,false,false,false,8,重点核验,true,冲刺观察；H4-冲刺历史线索；P1-命中计算机/软件/AI；C3-非当前优先城市，作为梯度和专业匹配讨论；计算机/软件/AI2；计算机类2；电子信息/网络2；师范2；环境1；农业不含动物2；T1-特殊限制待核，先核章程/原页；V0-高核验成本，先核页和组边界；特殊限制待核13个,,,62.75,10.37,false,冲刺观察配额12,7,73.12,K002 海南热带海洋学院 K00205 05,K002,海南热带海洋学院,K00205,05,三亚市,教育部所在地,城市只是学校所在地或机器线索；实际校区必须核第19期原页、湖北官方计划和招生章程。,海南省,冲刺观察,H4-冲刺历史线索,515对应等位分：2025=494、2024=497、2023=481；487-481=+6；526-497=+29；517-494=+23；历史最高等位分差=29。,3,487-481=+6；526-497=+29；517-494=+23,P1-命中计算机/软件/AI,计算机/软件/AI2；计算机类2；电子信息/网络2；师范2；环境1；农业不含动物2,21,3,5,13,0,接受3；勉强调剂5；待核13；不能0,T1-特殊限制待核，先核章程/原页,有体检、语种、单科、专项或章程限制待核，先看限制再谈调剂。,F1-暂未见高收费或超预算线索,0,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,S0-结构或归属未闭环17行,21,17,21,21,0,0,0,0,存在结构或专业组归属未闭环专业行。,先看完整组内专业，逐条标可接受/勉强接受/不能接受；保留后再做PDF原页、湖北官方侧和章程核验。,先核PDF原页中的专业组边界、专业归属和完整组内专业。,核第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,200,right,R4GROUP-9b34959b2faf1c6c,G-401bc94e6f16cf6b,该说明表只用于家庭阅读和核验排序；所有组仍需PDF原页、湖北官方侧、高校章程和完整组内专业闭环。
R4FAMILYEXPLAIN-bcdfd910de2b363a,data/exports/issue19-round4-priority-focus55-groups.csv,data/exports/issue19-round4-priority-focus55-paused65-groups.csv,data/exports/issue19-round4-city-gradient-priority120-groups.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_round4_family_explanation_board,Round4优先120组家庭阅读说明,院校专业组×入选或暂缓理由×调剂风险摘要,false,false,false,false,false,false,false,false,9,重点核验,true,冲刺观察；H4-冲刺历史线索；P1-命中计算机/软件/AI；C3-非当前优先城市，作为梯度和专业匹配讨论；计算机/软件/AI3；计算机类3；机械自动化2；T2-结构异常，先核完整组内专业；V0-高核验成本，先核页和组边界,,,62.75,6.87,false,冲刺观察配额12,8,69.62,H569 洛阳理工学院 H56902 02,H569,洛阳理工学院,H56902,02,洛阳市,教育部所在地,城市只是学校所在地或机器线索；实际校区必须核第19期原页、湖北官方计划和招生章程。,河南省,冲刺观察,H4-冲刺历史线索,515对应等位分：2025=494、2024=497、2023=481；508-481=+27；501-497=+4；500-494=+6；历史最高等位分差=27。,3,508-481=+27；501-497=+4；500-494=+6,P1-命中计算机/软件/AI,计算机/软件/AI3；计算机类3；机械自动化2,13,3,10,0,0,接受3；勉强调剂10；待核0；不能0,T2-结构异常，先核完整组内专业,组内结构或专业归属未闭环，先核完整组内专业。,F1-暂未见高收费或超预算线索,0,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,S0-结构或归属未闭环11行,12,11,13,13,0,0,0,0,存在结构或专业组归属未闭环专业行。,先看完整组内专业，逐条标可接受/勉强接受/不能接受；保留后再做PDF原页、湖北官方侧和章程核验。,先核PDF原页中的专业组边界、专业归属和完整组内专业。,核第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,176,left,R4GROUP-cbee6a4fb34efd51,G-216ddfce2ef34983,该说明表只用于家庭阅读和核验排序；所有组仍需PDF原页、湖北官方侧、高校章程和完整组内专业闭环。
R4FAMILYEXPLAIN-c0c17270b616de1c,data/exports/issue19-round4-priority-focus55-groups.csv,data/exports/issue19-round4-priority-focus55-paused65-groups.csv,data/exports/issue19-round4-city-gradient-priority120-groups.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_round4_family_explanation_board,Round4优先120组家庭阅读说明,院校专业组×入选或暂缓理由×调剂风险摘要,false,false,false,false,false,false,false,false,10,重点核验,true,冲刺观察；H4-冲刺历史线索；P1-命中计算机/软件/AI；C3-非当前优先城市，作为梯度和专业匹配讨论；计算机/软件/AI1；计算机类1；电子信息/网络3；机械自动化2；T4-暂未见硬阻断，仍需人工接受度判断；V1-中高核验成本，需集中核字段,,,62.75,4.75,false,冲刺观察配额12,9,67.50,A223 大连民族大学 A22303 03,A223,大连民族大学,A22303,03,大连市,教育部所在地,城市只是学校所在地或机器线索；实际校区必须核第19期原页、湖北官方计划和招生章程。,辽宁省,冲刺观察,H4-冲刺历史线索,515对应等位分：2025=494、2024=497、2023=481；505-481=+24；514-497=+17；520-494=+26；历史最高等位分差=26。,3,505-481=+24；514-497=+17；520-494=+26,P1-命中计算机/软件/AI,计算机/软件/AI1；计算机类1；电子信息/网络3；机械自动化2,8,1,7,0,0,接受1；勉强调剂7；待核0；不能0,T4-暂未见硬阻断，仍需人工接受度判断,暂未见硬阻断，但仍需家里逐专业确认接受度。,F1-暂未见高收费或超预算线索,0,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,S1-字段事实缺口8行,8,0,8,8,0,0,0,0,仍有计划数、学费或再选科目字段缺口。,先看完整组内专业，逐条标可接受/勉强接受/不能接受；保留后再做PDF原页、湖北官方侧和章程核验。,进入下一轮候选后，按完整组内专业做100%原页和湖北官方侧核验。,核第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,59,right,R4GROUP-485ed9055746d877,G-bf49a3052af9e609,该说明表只用于家庭阅读和核验排序；所有组仍需PDF原页、湖北官方侧、高校章程和完整组内专业闭环。
