Round4家庭说明ID,来源Round4重点55组,来源Round4暂缓65组,来源Round4优先120组,来源期号,来源PDF_SHA256,生成日期,数据阶段,主表粒度,任务粒度,最终可用,可进入下一阶段,可否进入最终志愿方案,是否允许作为志愿推荐依据,是否允许自动写回主表,是否允许官网证据替代湖北官方计划,是否允许生成学校专业建议,是否允许写回字段事实,家庭阅读排序,入选状态,是否进入40到60重点核验,为什么入选,为什么暂缓,暂缓主因,同梯度入选线,距同梯度入选线分差,高分暂缓标记,梯度配额标签,梯度内排序,压缩综合分,院校专业组,院校代码,院校名称,院校专业组代码,专业组号,城市,城市来源,城市口径提醒,省份,冲稳保,历史稳定性等级,与515关系,同代码命中年份数,等位分差摘要,专业匹配等级,专业方向命中摘要,完整组内专业数,接受专业数,勉强调剂专业数,待核后判断专业数,不能接受提示专业数,完整组内专业接受度摘要,调剂接受风险等级,调剂风险说明,费用限制风险,高收费或超预算专业数,公办民办机器线索,家庭底线属性动作,结构字段阻断等级,字段缺口专业行数,结构或归属未闭环专业行数,PDF原页待核专业行数,湖北官方系统待核专业行数,官网辅证命中专业行数,第一闭环明细任务数,第一闭环双人复核任务数,高校侧刷新任务数,主要阻断原因,家庭最小决策动作,核验最小动作,下一步核验动作,来源页码,版面列,第四轮候选ID,专业组出现ID,公开安全策略
R4FAMILYEXPLAIN-c8e6998fd88da128,data/exports/issue19-round4-priority-focus55-groups.csv,data/exports/issue19-round4-priority-focus55-paused65-groups.csv,data/exports/issue19-round4-city-gradient-priority120-groups.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_round4_family_explanation_board,Round4优先120组家庭阅读说明,院校专业组×入选或暂缓理由×调剂风险摘要,false,false,false,false,false,false,false,false,暂缓1,暂缓保留,false,,P0-存在不能接受专业提示，先暂缓；组内有1个不能接受提示；同梯度入选线62.75，本组106.50，差值43.75；计算机/软件/AI4；计算机类4；电子信息/网络2；机械自动化5；T0-有1条不能接受提示，服从调剂高风险；V1-中高核验成本，需集中核字段,P0-存在不能接受专业提示，先暂缓,62.75,43.75,true,冲刺观察配额12,,106.50,H679 湖南工程学院 H67903 03,H679,湖南工程学院,H67903,03,湘潭市,教育部所在地,城市只是学校所在地或机器线索；实际校区必须核第19期原页、湖北官方计划和招生章程。,湖南省,冲刺观察,H4-冲刺历史线索,515对应等位分：2025=494、2024=497、2023=481；508-497=+11；519-494=+25；历史最高等位分差=25。,2,508-497=+11；519-494=+25,P1-命中计算机/软件/AI,计算机/软件/AI4；计算机类4；电子信息/网络2；机械自动化5,18,4,13,0,1,接受4；勉强调剂13；待核0；不能1,T0-有1条不能接受提示，服从调剂高风险,存在不能接受专业提示，默认不适合无条件服从调剂。,F1-暂未见高收费或超预算线索,0,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,S1-字段事实缺口17行,17,0,18,18,0,0,0,0,仍有计划数、学费或再选科目字段缺口。,暂不投入人工核验时间；家庭点名喜欢时再拉回。,暂缓；若后续回捞，先核完整专业组和调剂风险。,核第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,183,left,R4GROUP-46bde28b5f345eea,G-7e69be86d42b432f,该说明表只用于家庭阅读和核验排序；所有组仍需PDF原页、湖北官方侧、高校章程和完整组内专业闭环。
R4FAMILYEXPLAIN-7917b859abb8ae1e,data/exports/issue19-round4-priority-focus55-groups.csv,data/exports/issue19-round4-priority-focus55-paused65-groups.csv,data/exports/issue19-round4-city-gradient-priority120-groups.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_round4_family_explanation_board,Round4优先120组家庭阅读说明,院校专业组×入选或暂缓理由×调剂风险摘要,false,false,false,false,false,false,false,false,暂缓2,暂缓保留,false,,P2-调剂或特殊限制风险较高；同梯度入选线62.75，本组62.12，差值-0.63；计算机/软件/AI2；计算机类2；机械自动化3；T2-结构异常，先核完整组内专业；V0-高核验成本，先核页和组边界,P2-调剂或特殊限制风险较高,62.75,-0.63,false,冲刺观察配额12,13,62.12,F685 黑龙江科技大学 F68503 03,F685,黑龙江科技大学,F68503,03,哈尔滨市,教育部所在地,城市只是学校所在地或机器线索；实际校区必须核第19期原页、湖北官方计划和招生章程。,黑龙江省,冲刺观察,H4-冲刺历史线索,515对应等位分：2025=494、2024=497、2023=481；524-497=+27；514-494=+20；历史最高等位分差=27。,2,524-497=+27；514-494=+20,P1-命中计算机/软件/AI,计算机/软件/AI2；计算机类2；机械自动化3,9,2,7,0,0,接受2；勉强调剂7；待核0；不能0,T2-结构异常，先核完整组内专业,组内结构或专业归属未闭环，先核完整组内专业。,F1-暂未见高收费或超预算线索,0,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,S0-结构或归属未闭环4行,9,4,9,9,0,0,0,0,存在结构或专业组归属未闭环专业行。,暂不投入人工核验时间；家庭点名喜欢时再拉回。,暂缓；若后续回捞，先核完整专业组和调剂风险。,核第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,124,right,R4GROUP-418bd628ac37293c,G-89ca75a8d299d341,该说明表只用于家庭阅读和核验排序；所有组仍需PDF原页、湖北官方侧、高校章程和完整组内专业闭环。
R4FAMILYEXPLAIN-8977e2f9ad299c62,data/exports/issue19-round4-priority-focus55-groups.csv,data/exports/issue19-round4-priority-focus55-paused65-groups.csv,data/exports/issue19-round4-city-gradient-priority120-groups.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_round4_family_explanation_board,Round4优先120组家庭阅读说明,院校专业组×入选或暂缓理由×调剂风险摘要,false,false,false,false,false,false,false,false,暂缓3,暂缓保留,false,,P2-调剂或特殊限制风险较高；同梯度入选线62.75，本组60.75，差值-2.00；电子信息/网络1；师范5；机械自动化1；T2-结构异常，先核完整组内专业；V0-高核验成本，先核页和组边界,P2-调剂或特殊限制风险较高,62.75,-2.00,false,冲刺观察配额12,14,60.75,F098 天津职业技术师范大学 F09801 01,F098,天津职业技术师范大学,F09801,01,天津市,教育部所在地,城市只是学校所在地或机器线索；实际校区必须核第19期原页、湖北官方计划和招生章程。,天津市,冲刺观察,H4-冲刺历史线索,515对应等位分：2025=494、2024=497、2023=481；519-497=+22；514-494=+20；历史最高等位分差=22。,2,519-497=+22；514-494=+20,P2-命中电子信息/网络或师范,电子信息/网络1；师范5；机械自动化1,6,5,1,0,0,接受5；勉强调剂1；待核0；不能0,T2-结构异常，先核完整组内专业,组内结构或专业归属未闭环，先核完整组内专业。,F1-暂未见高收费或超预算线索,0,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,S0-结构或归属未闭环1行,6,1,6,6,0,0,0,0,存在结构或专业组归属未闭环专业行。,暂不投入人工核验时间；家庭点名喜欢时再拉回。,暂缓；若后续回捞，先核完整专业组和调剂风险。,核第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,96,left,R4GROUP-fd036213c2dc7160,G-f1718d0e8d4cccfc,该说明表只用于家庭阅读和核验排序；所有组仍需PDF原页、湖北官方侧、高校章程和完整组内专业闭环。
R4FAMILYEXPLAIN-94ce0c56c254e3c4,data/exports/issue19-round4-priority-focus55-groups.csv,data/exports/issue19-round4-priority-focus55-paused65-groups.csv,data/exports/issue19-round4-city-gradient-priority120-groups.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_round4_family_explanation_board,Round4优先120组家庭阅读说明,院校专业组×入选或暂缓理由×调剂风险摘要,false,false,false,false,false,false,false,false,暂缓4,暂缓保留,false,,P2-调剂或特殊限制风险较高；同梯度入选线62.75，本组58.88，差值-3.87；计算机/软件/AI2；计算机类2；电子信息/网络2；机械自动化1；环境1；T1-特殊限制待核，先核章程/原页；V0-高核验成本，先核页和组边界；特殊限制待核5个,P2-调剂或特殊限制风险较高,62.75,-3.87,false,冲刺观察配额12,15,58.88,F105 天津城建大学 F10504 04,F105,天津城建大学,F10504,04,天津市,教育部所在地,城市只是学校所在地或机器线索；实际校区必须核第19期原页、湖北官方计划和招生章程。,天津市,冲刺观察,H4-冲刺历史线索,515对应等位分：2025=494、2024=497、2023=481；516-497=+19；521-494=+27；历史最高等位分差=27。,2,516-497=+19；521-494=+27,P1-命中计算机/软件/AI,计算机/软件/AI2；计算机类2；电子信息/网络2；机械自动化1；环境1,19,2,12,5,0,接受2；勉强调剂12；待核5；不能0,T1-特殊限制待核，先核章程/原页,有体检、语种、单科、专项或章程限制待核，先看限制再谈调剂。,F1-暂未见高收费或超预算线索,0,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,S0-结构或归属未闭环6行,19,6,19,19,0,0,0,0,存在结构或专业组归属未闭环专业行。,暂不投入人工核验时间；家庭点名喜欢时再拉回。,暂缓；若后续回捞，先核完整专业组和调剂风险。,核第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,96,right,R4GROUP-0722c187467f09b3,G-79700ef52987db73,该说明表只用于家庭阅读和核验排序；所有组仍需PDF原页、湖北官方侧、高校章程和完整组内专业闭环。
R4FAMILYEXPLAIN-bec1215a72860618,data/exports/issue19-round4-priority-focus55-groups.csv,data/exports/issue19-round4-priority-focus55-paused65-groups.csv,data/exports/issue19-round4-city-gradient-priority120-groups.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_round4_family_explanation_board,Round4优先120组家庭阅读说明,院校专业组×入选或暂缓理由×调剂风险摘要,false,false,false,false,false,false,false,false,暂缓5,暂缓保留,false,,P2-调剂或特殊限制风险较高；同梯度入选线62.75，本组57.12，差值-5.63；计算机/软件/AI2；计算机类2；电子信息/网络1；机械自动化1；环境1；农业不含动物1；T1-特殊限制待核，先核章程/原页；V0-高核验成本，先核页和组边界；特殊限制待核5个,P2-调剂或特殊限制风险较高,62.75,-5.63,false,冲刺观察配额12,16,57.12,H315 景德镇陶瓷大学 H31502 02,H315,景德镇陶瓷大学,H31502,02,景德镇市,教育部所在地,城市只是学校所在地或机器线索；实际校区必须核第19期原页、湖北官方计划和招生章程。,江西省,冲刺观察,H4-冲刺历史线索,515对应等位分：2025=494、2024=497、2023=481；519-497=+22；520-494=+26；历史最高等位分差=26。,2,519-497=+22；520-494=+26,P1-命中计算机/软件/AI,计算机/软件/AI2；计算机类2；电子信息/网络1；机械自动化1；环境1；农业不含动物1,11,1,5,5,0,接受1；勉强调剂5；待核5；不能0,T1-特殊限制待核，先核章程/原页,有体检、语种、单科、专项或章程限制待核，先看限制再谈调剂。,F1-暂未见高收费或超预算线索,0,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,S0-结构或归属未闭环9行,10,9,11,11,0,0,0,0,存在结构或专业组归属未闭环专业行。,暂不投入人工核验时间；家庭点名喜欢时再拉回。,暂缓；若后续回捞，先核完整专业组和调剂风险。,核第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,155,left,R4GROUP-acf429f9acde2bd4,G-95b37b0322d929ba,该说明表只用于家庭阅读和核验排序；所有组仍需PDF原页、湖北官方侧、高校章程和完整组内专业闭环。
R4FAMILYEXPLAIN-ec1b3e9bc111ef66,data/exports/issue19-round4-priority-focus55-groups.csv,data/exports/issue19-round4-priority-focus55-paused65-groups.csv,data/exports/issue19-round4-city-gradient-priority120-groups.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_round4_family_explanation_board,Round4优先120组家庭阅读说明,院校专业组×入选或暂缓理由×调剂风险摘要,false,false,false,false,false,false,false,false,暂缓6,暂缓保留,false,,P3-核验成本高，先留给更高收益组；同梯度入选线62.75，本组55.00，差值-7.75；计算机/软件/AI2；计算机类2；T4-暂未见硬阻断，仍需人工接受度判断；V0-高核验成本，先核页和组边界,P3-核验成本高，先留给更高收益组,62.75,-7.75,false,冲刺观察配额12,17,55.00,K439 西藏民族大学 K43907 07,K439,西藏民族大学,K43907,07,咸阳市,教育部所在地,城市只是学校所在地或机器线索；实际校区必须核第19期原页、湖北官方计划和招生章程。,西藏自治区,冲刺观察,H4-冲刺历史线索,515对应等位分：2025=494、2024=497、2023=481；500-481=+19；506-494=+12；历史最高等位分差=19。,2,500-481=+19；506-494=+12,P1-命中计算机/软件/AI,计算机/软件/AI2；计算机类2,2,2,0,0,0,接受2；勉强调剂0；待核0；不能0,T4-暂未见硬阻断，仍需人工接受度判断,暂未见硬阻断，但仍需家里逐专业确认接受度。,F1-暂未见高收费或超预算线索,0,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,S0-结构或归属未闭环1行,2,1,2,2,0,0,0,0,存在结构或专业组归属未闭环专业行。,暂不投入人工核验时间；家庭点名喜欢时再拉回。,暂缓；若后续回捞，先核完整专业组和调剂风险。,核第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,222,left,R4GROUP-a9a23f5281cdf7de,G-58dd4a55117d1609,该说明表只用于家庭阅读和核验排序；所有组仍需PDF原页、湖北官方侧、高校章程和完整组内专业闭环。
R4FAMILYEXPLAIN-f4dc1ca642c446ee,data/exports/issue19-round4-priority-focus55-groups.csv,data/exports/issue19-round4-priority-focus55-paused65-groups.csv,data/exports/issue19-round4-city-gradient-priority120-groups.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_round4_family_explanation_board,Round4优先120组家庭阅读说明,院校专业组×入选或暂缓理由×调剂风险摘要,false,false,false,false,false,false,false,false,暂缓7,暂缓保留,false,,P2-调剂或特殊限制风险较高；同梯度入选线62.75，本组54.75，差值-8.00；计算机/软件/AI2；计算机类2；机械自动化2；T2-结构异常，先核完整组内专业；V0-高核验成本，先核页和组边界,P2-调剂或特殊限制风险较高,62.75,-8.00,false,冲刺观察配额12,18,54.75,C126 湖北文理学院 C12609 09,C126,湖北文理学院,C12609,09,襄阳市,教育部所在地,城市只是学校所在地或机器线索；实际校区必须核第19期原页、湖北官方计划和招生章程。,湖北省,冲刺观察,H4-冲刺历史线索,515对应等位分：2025=494、2024=497、2023=481；494-481=+13；516-497=+19；494-494=+0；历史最高等位分差=19。,3,494-481=+13；516-497=+19；494-494=+0,P1-命中计算机/软件/AI,计算机/软件/AI2；计算机类2；机械自动化2,4,2,2,0,0,接受2；勉强调剂2；待核0；不能0,T2-结构异常，先核完整组内专业,组内结构或专业归属未闭环，先核完整组内专业。,F1-暂未见高收费或超预算线索,0,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,S0-结构或归属未闭环2行,3,2,4,4,0,0,0,0,存在结构或专业组归属未闭环专业行。,暂不投入人工核验时间；家庭点名喜欢时再拉回。,暂缓；若后续回捞，先核完整专业组和调剂风险。,核第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,74,right,R4GROUP-6a00f41d0828a9c0,G-549fc1c3efa7b73a,该说明表只用于家庭阅读和核验排序；所有组仍需PDF原页、湖北官方侧、高校章程和完整组内专业闭环。
R4FAMILYEXPLAIN-ef98a16d0a8ec393,data/exports/issue19-round4-priority-focus55-groups.csv,data/exports/issue19-round4-priority-focus55-paused65-groups.csv,data/exports/issue19-round4-city-gradient-priority120-groups.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_round4_family_explanation_board,Round4优先120组家庭阅读说明,院校专业组×入选或暂缓理由×调剂风险摘要,false,false,false,false,false,false,false,false,暂缓8,暂缓保留,false,,P3-核验成本高，先留给更高收益组；同梯度入选线62.75，本组54.75，差值-8.00；计算机/软件/AI1；计算机类1；工商旅游管理3；T4-暂未见硬阻断，仍需人工接受度判断；V1-中高核验成本，需集中核字段,P3-核验成本高，先留给更高收益组,62.75,-8.00,false,冲刺观察配额12,19,54.75,F699 哈尔滨商业大学 F69902 02,F699,哈尔滨商业大学,F69902,02,哈尔滨市,教育部所在地,城市只是学校所在地或机器线索；实际校区必须核第19期原页、湖北官方计划和招生章程。,黑龙江省,冲刺观察,H4-冲刺历史线索,515对应等位分：2025=494、2024=497、2023=481；513-497=+16；507-494=+13；历史最高等位分差=16。,2,513-497=+16；507-494=+13,P1-命中计算机/软件/AI,计算机/软件/AI1；计算机类1,10,1,9,0,0,接受1；勉强调剂9；待核0；不能0,T4-暂未见硬阻断，仍需人工接受度判断,暂未见硬阻断，但仍需家里逐专业确认接受度。,F1-暂未见高收费或超预算线索,0,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,S1-字段事实缺口9行,9,0,10,10,0,0,0,0,仍有计划数、学费或再选科目字段缺口。,暂不投入人工核验时间；家庭点名喜欢时再拉回。,暂缓；若后续回捞，先核完整专业组和调剂风险。,核第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,127,left,R4GROUP-69799a46df04f377,G-6c6ce1b442e36fab,该说明表只用于家庭阅读和核验排序；所有组仍需PDF原页、湖北官方侧、高校章程和完整组内专业闭环。
R4FAMILYEXPLAIN-dcbee24ae8c98de8,data/exports/issue19-round4-priority-focus55-groups.csv,data/exports/issue19-round4-priority-focus55-paused65-groups.csv,data/exports/issue19-round4-city-gradient-priority120-groups.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_round4_family_explanation_board,Round4优先120组家庭阅读说明,院校专业组×入选或暂缓理由×调剂风险摘要,false,false,false,false,false,false,false,false,暂缓9,暂缓保留,false,,P2-调剂或特殊限制风险较高；同梯度入选线62.75，本组53.25，差值-9.50；师范7；T1-特殊限制待核，先核章程/原页；V1-中高核验成本，需集中核字段；特殊限制待核3个,P2-调剂或特殊限制风险较高,62.75,-9.50,false,冲刺观察配额12,20,53.25,C118 黄冈师范学院 C11808 08,C118,黄冈师范学院,C11808,08,黄冈市,教育部所在地,城市只是学校所在地或机器线索；实际校区必须核第19期原页、湖北官方计划和招生章程。,湖北省,冲刺观察,H4-冲刺历史线索,515对应等位分：2025=494、2024=497、2023=481；499-481=+18；492-497=-5；历史最高等位分差=18。,2,499-481=+18；492-497=-5,P2-命中电子信息/网络或师范,师范7,10,6,1,3,0,接受6；勉强调剂1；待核3；不能0,T1-特殊限制待核，先核章程/原页,有体检、语种、单科、专项或章程限制待核，先看限制再谈调剂。,F1-暂未见高收费或超预算线索,0,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,S1-字段事实缺口9行,9,0,10,10,0,0,0,0,仍有计划数、学费或再选科目字段缺口。,暂不投入人工核验时间；家庭点名喜欢时再拉回。,暂缓；若后续回捞，先核完整专业组和调剂风险。,核第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,73,left,R4GROUP-5d9ad2268dc0bcf8,G-aef998ba18d1e5ed,该说明表只用于家庭阅读和核验排序；所有组仍需PDF原页、湖北官方侧、高校章程和完整组内专业闭环。
R4FAMILYEXPLAIN-de6da5d3d907793f,data/exports/issue19-round4-priority-focus55-groups.csv,data/exports/issue19-round4-priority-focus55-paused65-groups.csv,data/exports/issue19-round4-city-gradient-priority120-groups.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_round4_family_explanation_board,Round4优先120组家庭阅读说明,院校专业组×入选或暂缓理由×调剂风险摘要,false,false,false,false,false,false,false,false,暂缓10,暂缓保留,false,,P0-存在不能接受专业提示，先暂缓；组内有1个不能接受提示；同梯度入选线62.75，本组52.38，差值-10.37；计算机/软件/AI2；计算机类2；电子信息/网络1；师范4；T0-有1条不能接受提示，服从调剂高风险；V0-高核验成本，先核页和组边界；特殊限制待核3个,P0-存在不能接受专业提示，先暂缓,62.75,-10.37,false,冲刺观察配额12,,52.38,H327 江西科技师范大学 H32705 05,H327,江西科技师范大学,H32705,05,南昌市,教育部所在地,城市只是学校所在地或机器线索；实际校区必须核第19期原页、湖北官方计划和招生章程。,江西省,冲刺观察,H4-冲刺历史线索,515对应等位分：2025=494、2024=497、2023=481；520-497=+23；515-494=+21；历史最高等位分差=23。,2,520-497=+23；515-494=+21,P1-命中计算机/软件/AI,计算机/软件/AI2；计算机类2；电子信息/网络1；师范4,15,4,7,3,1,接受4；勉强调剂7；待核3；不能1,T0-有1条不能接受提示，服从调剂高风险,存在不能接受专业提示，默认不适合无条件服从调剂。,F1-暂未见高收费或超预算线索,0,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,S0-结构或归属未闭环9行,15,9,15,15,0,0,0,0,存在结构或专业组归属未闭环专业行。,暂不投入人工核验时间；家庭点名喜欢时再拉回。,暂缓；若后续回捞，先核完整专业组和调剂风险。,核第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,159,right,R4GROUP-974b682e7fb1deb8,G-80c76be31738256b,该说明表只用于家庭阅读和核验排序；所有组仍需PDF原页、湖北官方侧、高校章程和完整组内专业闭环。
