志愿序号,草案梯度,院校代码,院校名称OCR,院校专业组代码OCR规范化,专业组内专业序号,专业代号OCR,专业名称及备注短摘,是否建议填入6专业,专业选择顺位,专业角色判断,专业偏好方向,机器专业接受度初判,专业风险类型,再选科目OCR候选,专业计划数OCR候选,学费OCR候选,字段缺口数,字段缺口字段,人工核验优先级,人工核验强度,第19期页码,版面列,专业行ID,专业组出现ID
1,冲刺待补历史,K153,成都信息工程大学,K15306,14,26,数字媒体技术（办学地点：航空港校,true,1,主线偏好-计算机/数字媒体,数字媒体技术,优先了解-命中当前偏好方向,,,2,6240,1,再选科目,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,209,right,M-86d92f5ab218e665,G-e377a7e078e92213
1,冲刺待补历史,K153,成都信息工程大学,K15306,15,27,智能科学与技术（办学地点：航空港校,true,2,主线偏好-计算机/数字媒体,计算机类相关,优先了解-命中当前偏好方向,,,2,6240,1,再选科目,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,209,right,M-58247d316dbd31bb,G-e377a7e078e92213
1,冲刺待补历史,K153,成都信息工程大学,K15306,16,28,软件工程（办学地点：航空港校区）,true,3,主线偏好-计算机/数字媒体,计算机类相关,优先了解-命中当前偏好方向,,,2,6240,1,再选科目,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,209,right,M-fb563329ce0a0265,G-e377a7e078e92213
1,冲刺待补历史,K153,成都信息工程大学,K15306,17,29,信息安全（办学地点：航空港校区）,true,4,主线偏好-计算机/数字媒体,计算机类相关,优先了解-命中当前偏好方向,,,2,6240,1,再选科目,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,209,right,M-e2879b097d059aee,G-e377a7e078e92213
1,冲刺待补历史,K153,成都信息工程大学,K15306,21,33,人工智能（办学地点：航空港校区）,true,5,主线偏好-计算机/数字媒体,计算机类相关,优先了解-命中当前偏好方向,,,2,6240,1,再选科目,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,209,right,M-f928884575f48530,G-e377a7e078e92213
1,冲刺待补历史,K153,成都信息工程大学,K15306,13,25,计算机科学与技术（办学地点：航空港校区）,true,6,主线偏好-计算机/数字媒体,计算机类相关,优先了解-命中当前偏好方向,,,2,6240,1,再选科目,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,209,right,M-11e163bdfc3a6f22,G-e377a7e078e92213
1,冲刺待补历史,K153,成都信息工程大学,K15306,20,32,密码科学与技术（办学地点：航空港校区）,false,,主线偏好-计算机/数字媒体,计算机类相关,优先了解-命中当前偏好方向,,,2,6240,1,再选科目,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,209,right,M-1658de39926b83b3,G-e377a7e078e92213
1,冲刺待补历史,K153,成都信息工程大学,K15306,3,15,电子信息工程（办学地点：航空港校,false,,主线偏好-工科信息制造,,待了解-未命中当前偏好方向,,,,6240,2,再选科目；专业计划数,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,209,right,M-8281eec06d651680,G-e377a7e078e92213
1,冲刺待补历史,K153,成都信息工程大学,K15306,4,16,通信工程（办学地点：航空港校区）,false,,主线偏好-工科信息制造,,待了解-未命中当前偏好方向,,,2,6240,1,再选科目,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,209,right,M-38fceae625805a27,G-e377a7e078e92213
1,冲刺待补历史,K153,成都信息工程大学,K15306,5,17,集成电路设计与集成系统（办学地点：航空港校区）,false,,主线偏好-工科信息制造,,待了解-未命中当前偏好方向,,,2,6240,1,再选科目,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,209,right,M-9bc8176e8a744551,G-e377a7e078e92213
1,冲刺待补历史,K153,成都信息工程大学,K15306,8,20,光电信息科学与工程（办学地点：航空港校区）,false,,主线偏好-工科信息制造,,待了解-未命中当前偏好方向,,,2,6240,1,再选科目,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,209,right,M-c7159e014f39d9d4,G-e377a7e078e92213
1,冲刺待补历史,K153,成都信息工程大学,K15306,10,22,电气工程及其自动化（办学地点：航空港校区）,false,,主线偏好-工科信息制造,,待了解-未命中当前偏好方向,,,2,6240,1,再选科目,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,209,right,M-117fada549583ed3,G-e377a7e078e92213
1,冲刺待补历史,K153,成都信息工程大学,K15306,11,23,自动化（办学地点：航空港校区）,false,,主线偏好-工科信息制造,,待了解-未命中当前偏好方向,,,2,6240,1,再选科目,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,209,right,M-1e39bff3f35b543d,G-e377a7e078e92213
