专项序号,专项层级,家庭讨论动作,是否进入专项讨论,是否可作为定稿依据,适配理由,关键风险,院校代码,院校名称OCR,院校专业组代码OCR规范化,城市候选,历史线索分层,历史最高等位分差,场景判断,场景内最低学费,场景内最高学费,预算内中外合作或高收费专业数,超过预算专业数,待核费用专业数,第19期页码,版面列,组内完整专业清单索引,专业组出现ID,下一步核验动作
1,A-专项优先核验,进入专项讨论,true,false,西安、公办线索、计算机中外合作方向贴合，历史线索在专项里相对可研究。,高收费且计划数字段需核，校区、证书、调剂和培养模式必须闭环。,K487,西安航空学院,K48703,西安,H4-历史最高线高于等位分16-30分,18,预算内中外合作/高收费可讨论,50000,50000,1,0,0,226,right,1.04 计算机科学与技术（中外合作办学）（属于高收费项目；办学地点：阎良[M-03904cd5b3a6cbd2],G-59294f9eefd08b10,回看第19期原页和完整专业组；核湖北官方系统或省招办计划；核高校招生章程、学费、培养模式、语种/单科/体检限制、校区、计划数和调剂范围。
2,A-专项优先核验,进入专项讨论,true,false,成都优先城市，软件工程中外合作方向强贴合，费用候选 55000。,H0 无同代码历史，计划数小，非英语慎报等限制需核。,K153,成都信息工程大学,K15308,成都,H0-无同代码历史线索,,预算内中外合作/高收费可讨论,55000,55000,1,0,0,209,right,1.38 软件工程（中外合作办学）（与匈牙利欧布达大学合作（4+0），中英双语教学，非英语语种考生慎报：办学地点：◎KAZX[M-71e5ea02db7bce1b]；2.G A-院校专业组及妻业代号航空港校区）K154四川轻化工大学（公办）（四川）[M-5a15f78413d6ffbd],G-a5ecc24f63421cfd,回看第19期原页和完整专业组；核湖北官方系统或省招办计划；核高校招生章程、学费、培养模式、语种/单科/体检限制、校区、计划数和调剂范围。
3,A-专项优先核验,进入专项讨论,true,false,数字媒体技术中外合作，第一偏好专业，费用候选 25000，H2。,学校层级一般，需核是否单专业组、培养模式和证书。,C139,荆楚理工学院,C13909,,H2-历史最高线不高于等位分,-10,预算内中外合作/高收费可讨论,25000,25000,1,0,0,80,left,1.51 数字媒体技术（中外合作办学）[M-9972ec03f5ca7339],G-8167189bef4db0a8,回看第19期原页和完整专业组；核湖北官方系统或省招办计划；核高校招生章程、学费、培养模式、语种/单科/体检限制、校区、计划数和调剂范围。
4,A-专项优先核验,进入专项讨论,true,false,厦门大学马来西亚校区，计算机/软件/AI/电子信息/自动化方向集中，品牌价值高。,海外校区、币种和生活成本、全英文、英语单科门槛都要逐条确认。,A366,厦门大学（马来西亚校区）,A36603,,H0-无同代码历史线索,,预算内中外合作/高收费可讨论,30000,32000,7,0,0,63,right,1.08 化学工程与工艺（厦门大学马来西亚分校招生专业；学费币种：林吉特外语英文授课，非英语语种考生慎报单科不低于120分.入学第一学年内获得专业要求的达标英语成绩后开始学位课程学习.办学地点在马来西亚雪邦）[M-565d37bebd05cab1]；2.09 新能源科学与工程（厦门大学马来西要分校招生专业；学费币种：林壴特全英文授课，非英语语种考生慎报，外语单科不低于120分，入学第一学年内获得专业要求的达标英语成绩后开始学位课程学习.办学地点在马来西亚雪邦[M-3e09d2f2ca00491c]；3.10 计算机科学与技术（厦门太学马来西亚分校招生专业：学费币种：林吉特金英文授课，非英语语种考生慎报，外语单科不低于120分，入学第一学年内获得专业要求的达标夹语成须后尹始学位课程学习.办学地点在马来西亚雪邦）[M-dfdacba2ae93a029]；4.11 软件工程（厚门大学马来西亚分校招生专业；学费币种：林吉特：全英文招课，非英语语种考生慎报，外语单科不低于120分.入学第一学年内获得专业要求的达标英语成绩后开始学位课程学习.办学地点在马来西亚雪邦）[M-eb5a832e02258f26]；5.12 电子信息工程（厦门大学马来西亚分校招生专业：学费币种：林吉特：含英文授课，非英语语种考生馍报，外语身科示低于120分.入学第一学年内获得专业要求的达标英语成绩后开始学位课程学习.办学地点在马来西亚雪[M-adfffa085f089974]；6.13 数学与应用数学（厦门大学马来西亚AKAZG院校专业组及—业代号分校招生专业；学费币种：林吉特：全英文授课，非英语语种考生慎报，外语单科不低于120分.入学第一学年内获得专业要求的达标英语成绩后开始学位课程学习.办学地点在马来西亚雪邦）[M-aa7c01a909a8ed49]；7.14 物理学（夏门大学马来西亚分校招生专业：学费币种：林吉特；全英文授课，非英语语种考生慎报，外语单科不低于120分.入学第一学年内获得专业要求的达标英语成绩后开始学位课程学习.办学地点在马来西亚雪邦）[M-9ac2f162e0a5d6cc]；8.15 人工智能（厦门大学马来西亚分校招生专业：学费币种：林吉特：全英文授课，非英语语种考生慎报，外语单科不低于120分.入学第一学年内获得专业要求的达标英语成绩后开始学位课程学习.办学地点在马来西亚雪邦）[M-5ed7da82f3a73994]；9.16 数据科学（厦门大学马来西亚分校招生专业：学费币种：林吉特：全英文授读，非英语语种考生慎报，外语单科不低于120分，入学第一學年内获得专业要求的达标英语成绩后开始学位课程学习.办学地点在马来西亚雪邦）[M-8144e5728b9ab566]；10.17 网络空间安全（厦门大学马来西亚分校招生专业：学费币种：林吉特；全英艾授课，非英语语种考生慎报，外语单科不低于120分，入学第一学年内获得专业要求的达标英语成绩后开始学位课程学习.办学地点在马来西亚雪[M-583e6f13accfc7f6]；11.18 自动化（厦门大学马来西亚分校招生专业：学费币种：林吉特；全英文授课，非英语语种考生馍报，外语单科不低F120分.入学第一学年内获得专业要求的达标英语成绩后开始学位课程学习. 办学地点在马来西亚雪邦）A503 陆军工程大学（公办）（江苏）[M-df5088d5585663ac],G-fbfabe51ff5f6b94,回看第19期原页和完整专业组；核湖北官方系统或省招办计划；核高校招生章程、学费、培养模式、语种/单科/体检限制、校区、计划数和调剂范围。
5,A-专项优先核验,进入专项讨论,true,false,哈尔滨工程大学层次高，电子信息方向值得单列研究。,H0，3+1、不得转专业、出国费用和真实录取概率需补证。,A085,哈尔滨工程大学,A08521,,H0-无同代码历史线索,,预算内中外合作/高收费可讨论,44300,45000,3,0,0,25,right,1.34 机盛设让制晋及基息致化（中外合作办学）（与英国斯旺西大学合作，模式，中英文授课，入学不得转专业）[M-b7b4736d8d08f8c5]；2.35 材料物理（中外合作办学）（与英国斯旺西大学合作.异常考生）[M-5482d27ee4364f5e]；3.36 电子信息工程（中外合作办学）（与英国阿伯丁大学合作“3+！”模式，中英文授课，入学不得转专业）[M-9eefd8156e6ff84c],G-ee92fc651b6a40ec,回看第19期原页和完整专业组；核湖北官方系统或省招办计划；核高校招生章程、学费、培养模式、语种/单科/体检限制、校区、计划数和调剂范围。
6,B-高价值高冲观察,谨慎进入专项讨论,true,false,武汉科技大学，信息与计算科学、机器人工程方向强，费用候选卡 70000。,H5 高冲，费用正好上限，组边界和调剂需先核。,C102,武汉科技大学,C10212,武汉,H5-历史最高线高于等位分30分以上,54,预算内中外合作/高收费可讨论,70000,70000,3,0,0,65,right,1.60 信息与计算科学（中外合作办学）（建，“4+0”双证培养议英语语种考生报考模式，达到毕业要求和学位授予条件可获得武汉科技大学本科毕业证书、学士学位证书和西班牙马德里康普顿斯杰学应用数据科学学士学位证书；办学地点：黄家湖校区）[M-5b3fb7e1bcf02a85]；2.61 统计学（中外合作办学）（建议英语语“4+0”双证培养模式，达种考生报考，到毕业要求和学位授予条件可获得武汉科技大学本科毕业证书、学士学位证书和西班牙马德里康普顿斯大学应思统计学学士学位证书；办学地点：黄冢湖校区）[M-18299d1cc9faa61b]；3.62 机器人工程（中外合作办学）（建议英“4+0”双证培养模语语种考生报考式，达到毕业要求和学位授予条件可获得武汉科技大学本科毕业证书、学士学位证书和西班牙马德果康普顿斯大学数据工程与人工智能学士学位证书：办学地点：黄家湖校区）C103 湖北大学...[M-0015a837bc6e2e24],G-5a6ab11f6c9e9e54,回看第19期原页和完整专业组；核湖北官方系统或省招办计划；核高校招生章程、学费、培养模式、语种/单科/体检限制、校区、计划数和调剂范围。
7,B-高价值高冲观察,谨慎进入专项讨论,true,false,武汉科技大学，网络工程方向贴合，学校和城市有吸引力。,H5 且历史差距大，只能作为高冲观察，不占稳妥名额。,C102,武汉科技大学,C10211,武汉,H5-历史最高线高于等位分30分以上,88,预算内中外合作/高收费可讨论,35800,39800,2,0,0,65,right,1.58 机械工程（中外合作办学）（建议英语语种考生报考，合作院校：澳大利亚迪大学，达到毕业要求和学位授予条件可获得武汉科技大学本科毕业证书，学士学位证书；办学地点：黄家湖校区）[M-7dd57df9a79e416d]；2.59 网络工程（中外合作办学）（建议英语语种考生报考4+0“双证培养模式达到毕业要求和学位授予条件可获得学去学燕汉科技大学本科果业亚节、位证书和英国伯明翰城市大学计算机网络与安全莱誉理学学士学位证书；办学地点：黄家湖校区）[M-3ca2e9f534421633],G-7e24ed346e3f1516,回看第19期原页和完整专业组；核湖北官方系统或省招办计划；核高校招生章程、学费、培养模式、语种/单科/体检限制、校区、计划数和调剂范围。
8,B-专项可研究,进入专项讨论,true,false,吉林师范大学软件工程方向，费用候选 20000，H3。,同组环境工程有体检限制线索，需判断调剂可接受性。,F589,吉林师范大学,F58906,,H3-历史最高线高于等位分15分内,10,预算内中外合作/高收费可讨论,20000,20000,2,0,0,121,left,1.08 软件工程（国际本科学术互认课程专业：办学地点：四平校区）[M-2f865ec3d85aab83]；2.09 环境工程（国际本科学术互认课程专GAKAZ业，不招色弱、色盲、单一颜色不能识别者：办学地点：四平校区）[M-3711f34adca30e97],G-32706d004516e53e,回看第19期原页和完整专业组；核湖北官方系统或省招办计划；核高校招生章程、学费、培养模式、语种/单科/体检限制、校区、计划数和调剂范围。
9,B-专项可研究,进入专项讨论,true,false,长春大学电子信息工程方向，费用候选 26000，H2。,计划数和合作院校、证书需核。,F600,长春大学,F60017,,H2-历史最高线不高于等位分,-8,预算内中外合作/高收费可讨论,26000,26000,1,0,0,122,right,1.25 电子信息工程（中外合作办学）（与韩国青云大学合作办学：办学地点：卫星校区）[M-580d701c209d0882],G-f2091a7e79c7d190,回看第19期原页和完整专业组；核湖北官方系统或省招办计划；核高校招生章程、学费、培养模式、语种/单科/体检限制、校区、计划数和调剂范围。
10,B-专项可研究,进入专项讨论,true,false,南昌航空大学软件工程方向，费用候选 28000，工科背景可研究。,H0，英文课程/双学位/历史替代组需核。,H313,南昌航空大学,H31310,,H0-无同代码历史线索,,预算内中外合作/高收费可讨论,28000,28000,1,0,0,154,right,1.52 软件工程（中外合作办学）（南員市上海路校区就读；与白俄罗斯国立大学合作，中白双学位，其中引进外方课程为全英文授课，其他语种考生慎报）[M-c702c01021eb49ec],G-75e12099a5064f76,回看第19期原页和完整专业组；核湖北官方系统或省招办计划；核高校招生章程、学费、培养模式、语种/单科/体检限制、校区、计划数和调剂范围。
