学校名称,原始图片,官网入口页,类别,专业名称,科类,学制,学费,湖北计划数,提取方法,提取局限性
江苏理工学院,data/external/issue19-b0-b1-official-sources/jsut-2026-hubei-plan.jpg,data/external/issue19-b0-b1-official-sources/jsut-zs-home-2026-plan-links.html,普通类,会计学,物理类,四年,5200,1,official_image_visual_transcription_with_apple_vision_ocr_check,来源为高校招生官网首页跳转的官方微信公众号图片；未给湖北院校专业组代码和专业代号，需与第19期原页及湖北官方系统对齐。
江苏理工学院,data/external/issue19-b0-b1-official-sources/jsut-2026-hubei-plan.jpg,data/external/issue19-b0-b1-official-sources/jsut-zs-home-2026-plan-links.html,普通类,应用心理学,物理类,四年,5500,1,official_image_visual_transcription_with_apple_vision_ocr_check,来源为高校招生官网首页跳转的官方微信公众号图片；未给湖北院校专业组代码和专业代号，需与第19期原页及湖北官方系统对齐。
江苏理工学院,data/external/issue19-b0-b1-official-sources/jsut-2026-hubei-plan.jpg,data/external/issue19-b0-b1-official-sources/jsut-zs-home-2026-plan-links.html,普通类,电气工程及其自动化,物理类,四年,5800,2,official_image_visual_transcription_with_apple_vision_ocr_check,来源为高校招生官网首页跳转的官方微信公众号图片；未给湖北院校专业组代码和专业代号，需与第19期原页及湖北官方系统对齐。
江苏理工学院,data/external/issue19-b0-b1-official-sources/jsut-2026-hubei-plan.jpg,data/external/issue19-b0-b1-official-sources/jsut-zs-home-2026-plan-links.html,普通类,通信工程,物理类,四年,5800,1,official_image_visual_transcription_with_apple_vision_ocr_check,来源为高校招生官网首页跳转的官方微信公众号图片；未给湖北院校专业组代码和专业代号，需与第19期原页及湖北官方系统对齐。
江苏理工学院,data/external/issue19-b0-b1-official-sources/jsut-2026-hubei-plan.jpg,data/external/issue19-b0-b1-official-sources/jsut-zs-home-2026-plan-links.html,普通类,自动化,物理类,四年,5800,1,official_image_visual_transcription_with_apple_vision_ocr_check,来源为高校招生官网首页跳转的官方微信公众号图片；未给湖北院校专业组代码和专业代号，需与第19期原页及湖北官方系统对齐。
江苏理工学院,data/external/issue19-b0-b1-official-sources/jsut-2026-hubei-plan.jpg,data/external/issue19-b0-b1-official-sources/jsut-zs-home-2026-plan-links.html,普通类,功能材料,物理类,四年,5800,2,official_image_visual_transcription_with_apple_vision_ocr_check,来源为高校招生官网首页跳转的官方微信公众号图片；未给湖北院校专业组代码和专业代号，需与第19期原页及湖北官方系统对齐。
江苏理工学院,data/external/issue19-b0-b1-official-sources/jsut-2026-hubei-plan.jpg,data/external/issue19-b0-b1-official-sources/jsut-zs-home-2026-plan-links.html,普通类,储能科学与工程,物理类,四年,5800,1,official_image_visual_transcription_with_apple_vision_ocr_check,来源为高校招生官网首页跳转的官方微信公众号图片；未给湖北院校专业组代码和专业代号，需与第19期原页及湖北官方系统对齐。
江苏理工学院,data/external/issue19-b0-b1-official-sources/jsut-2026-hubei-plan.jpg,data/external/issue19-b0-b1-official-sources/jsut-zs-home-2026-plan-links.html,普通类,机械电子工程,物理类,四年,5800,1,official_image_visual_transcription_with_apple_vision_ocr_check,来源为高校招生官网首页跳转的官方微信公众号图片；未给湖北院校专业组代码和专业代号，需与第19期原页及湖北官方系统对齐。
江苏理工学院,data/external/issue19-b0-b1-official-sources/jsut-2026-hubei-plan.jpg,data/external/issue19-b0-b1-official-sources/jsut-zs-home-2026-plan-links.html,普通类,过程装备与控制工程,物理类,四年,5800,1,official_image_visual_transcription_with_apple_vision_ocr_check,来源为高校招生官网首页跳转的官方微信公众号图片；未给湖北院校专业组代码和专业代号，需与第19期原页及湖北官方系统对齐。
江苏理工学院,data/external/issue19-b0-b1-official-sources/jsut-2026-hubei-plan.jpg,data/external/issue19-b0-b1-official-sources/jsut-zs-home-2026-plan-links.html,普通类,软件工程,物理类,四年,5800,1,official_image_visual_transcription_with_apple_vision_ocr_check,来源为高校招生官网首页跳转的官方微信公众号图片；未给湖北院校专业组代码和专业代号，需与第19期原页及湖北官方系统对齐。
江苏理工学院,data/external/issue19-b0-b1-official-sources/jsut-2026-hubei-plan.jpg,data/external/issue19-b0-b1-official-sources/jsut-zs-home-2026-plan-links.html,普通类,数据科学与大数据技术,物理类,四年,5800,1,official_image_visual_transcription_with_apple_vision_ocr_check,来源为高校招生官网首页跳转的官方微信公众号图片；未给湖北院校专业组代码和专业代号，需与第19期原页及湖北官方系统对齐。
江苏理工学院,data/external/issue19-b0-b1-official-sources/jsut-2026-hubei-plan.jpg,data/external/issue19-b0-b1-official-sources/jsut-zs-home-2026-plan-links.html,普通类,数字媒体技术,物理类,四年,5800,2,official_image_visual_transcription_with_apple_vision_ocr_check,来源为高校招生官网首页跳转的官方微信公众号图片；未给湖北院校专业组代码和专业代号，需与第19期原页及湖北官方系统对齐。
江苏理工学院,data/external/issue19-b0-b1-official-sources/jsut-2026-hubei-plan.jpg,data/external/issue19-b0-b1-official-sources/jsut-zs-home-2026-plan-links.html,普通类,汽车服务工程,物理类,四年,5800,1,official_image_visual_transcription_with_apple_vision_ocr_check,来源为高校招生官网首页跳转的官方微信公众号图片；未给湖北院校专业组代码和专业代号，需与第19期原页及湖北官方系统对齐。
