学校名称,原始PDF,页码,PDF表格行号,系,专业名称,专业名称OCR,专业OCR置信度,专业名称校正说明,科类,科类OCR,科类OCR置信度,校区,学制,学费,总计划数,湖北计划数,湖北列索引,提取方法,提取局限性
山东工商学院,data/external/issue19-b0-b1-official-sources/sdtbu-2026-province-major-plan.pdf,1,4,,工业工程,工业工程,1.000,,物理,理工类,0.300,,,,100,5,13,pdf_grid_numbers_plus_apple_vision_ocr_major_column,由高校官网PDF渲染图识别专业名列，并用PDF表格网格抽取湖北列计划数；未给湖北院校专业组代码、专业代号、学费、学制和校区，需与第19期原页及湖北官方系统对齐。
山东工商学院,data/external/issue19-b0-b1-official-sources/sdtbu-2026-province-major-plan.pdf,1,5,,信息管理与信息系统,信息箵理与信息系统,0.500,Apple Vision 将“管理”误识为“箵理”；已按PDF裁图人工复核校正。,物理,理工类,0.300,,,,100,4,13,pdf_grid_numbers_plus_apple_vision_ocr_major_column,由高校官网PDF渲染图识别专业名列，并用PDF表格网格抽取湖北列计划数；未给湖北院校专业组代码、专业代号、学费、学制和校区，需与第19期原页及湖北官方系统对齐。
山东工商学院,data/external/issue19-b0-b1-official-sources/sdtbu-2026-province-major-plan.pdf,1,6,程学院,安全工程,安全工程,1.000,,物理,理工类,0.300,,,,50,3,13,pdf_grid_numbers_plus_apple_vision_ocr_major_column,由高校官网PDF渲染图识别专业名列，并用PDF表格网格抽取湖北列计划数；未给湖北院校专业组代码、专业代号、学费、学制和校区，需与第19期原页及湖北官方系统对齐。
山东工商学院,data/external/issue19-b0-b1-official-sources/sdtbu-2026-province-major-plan.pdf,1,7,,工程管理,工程管理,0.500,,物理,,,,,,100,4,13,pdf_grid_numbers_plus_apple_vision_ocr_major_column,由高校官网PDF渲染图识别专业名列，并用PDF表格网格抽取湖北列计划数；未给湖北院校专业组代码、专业代号、学费、学制和校区，需与第19期原页及湖北官方系统对齐。
山东工商学院,data/external/issue19-b0-b1-official-sources/sdtbu-2026-province-major-plan.pdf,1,8,,应急技术与管理,应急技术与管理,1.000,,物理,理工类,0.300,,,,50,4,13,pdf_grid_numbers_plus_apple_vision_ocr_major_column,由高校官网PDF渲染图识别专业名列，并用PDF表格网格抽取湖北列计划数；未给湖北院校专业组代码、专业代号、学费、学制和校区，需与第19期原页及湖北官方系统对齐。
山东工商学院,data/external/issue19-b0-b1-official-sources/sdtbu-2026-province-major-plan.pdf,1,9,,工商管理,工商管理,1.000,,物理,理工类,0.500,,,,400,2,13,pdf_grid_numbers_plus_apple_vision_ocr_major_column,由高校官网PDF渲染图识别专业名列，并用PDF表格网格抽取湖北列计划数；未给湖北院校专业组代码、专业代号、学费、学制和校区，需与第19期原页及湖北官方系统对齐。
山东工商学院,data/external/issue19-b0-b1-official-sources/sdtbu-2026-province-major-plan.pdf,1,10,工商管理学院,电子商务,电子商务,1.000,,物理,理工类,0.500,,,,50,1,13,pdf_grid_numbers_plus_apple_vision_ocr_major_column,由高校官网PDF渲染图识别专业名列，并用PDF表格网格抽取湖北列计划数；未给湖北院校专业组代码、专业代号、学费、学制和校区，需与第19期原页及湖北官方系统对齐。
山东工商学院,data/external/issue19-b0-b1-official-sources/sdtbu-2026-province-major-plan.pdf,1,17,,资产评估,资产评估,0.500,,物理,理工类,0.500,,,,50,1,13,pdf_grid_numbers_plus_apple_vision_ocr_major_column,由高校官网PDF渲染图识别专业名列，并用PDF表格网格抽取湖北列计划数；未给湖北院校专业组代码、专业代号、学费、学制和校区，需与第19期原页及湖北官方系统对齐。
山东工商学院,data/external/issue19-b0-b1-official-sources/sdtbu-2026-province-major-plan.pdf,1,26,,数字经济,数字经济,0.500,,物理,理工类,0.500,,,,50,2,13,pdf_grid_numbers_plus_apple_vision_ocr_major_column,由高校官网PDF渲染图识别专业名列，并用PDF表格网格抽取湖北列计划数；未给湖北院校专业组代码、专业代号、学费、学制和校区，需与第19期原页及湖北官方系统对齐。
山东工商学院,data/external/issue19-b0-b1-official-sources/sdtbu-2026-province-major-plan.pdf,1,37,,金融科技,金融科技,1.000,,物理,理工类,0.300,,,,50,3,13,pdf_grid_numbers_plus_apple_vision_ocr_major_column,由高校官网PDF渲染图识别专业名列，并用PDF表格网格抽取湖北列计划数；未给湖北院校专业组代码、专业代号、学费、学制和校区，需与第19期原页及湖北官方系统对齐。
山东工商学院,data/external/issue19-b0-b1-official-sources/sdtbu-2026-province-major-plan.pdf,1,40,,应用统计学,应用统计学,1.000,,物理,理工类,0.300,,,,100,3,13,pdf_grid_numbers_plus_apple_vision_ocr_major_column,由高校官网PDF渲染图识别专业名列，并用PDF表格网格抽取湖北列计划数；未给湖北院校专业组代码、专业代号、学费、学制和校区，需与第19期原页及湖北官方系统对齐。
山东工商学院,data/external/issue19-b0-b1-official-sources/sdtbu-2026-province-major-plan.pdf,1,42,,统计学,统计学,1.000,,物理,理工类,0.500,,,,50,2,13,pdf_grid_numbers_plus_apple_vision_ocr_major_column,由高校官网PDF渲染图识别专业名列，并用PDF表格网格抽取湖北列计划数；未给湖北院校专业组代码、专业代号、学费、学制和校区，需与第19期原页及湖北官方系统对齐。
山东工商学院,data/external/issue19-b0-b1-official-sources/sdtbu-2026-province-major-plan.pdf,1,53,,数学与应用数学,数学与应用数学,1.000,,物理,理工类,0.500,,,,50,2,13,pdf_grid_numbers_plus_apple_vision_ocr_major_column,由高校官网PDF渲染图识别专业名列，并用PDF表格网格抽取湖北列计划数；未给湖北院校专业组代码、专业代号、学费、学制和校区，需与第19期原页及湖北官方系统对齐。
山东工商学院,data/external/issue19-b0-b1-official-sources/sdtbu-2026-province-major-plan.pdf,1,54,数学与信息科学学院,数据科学与大数据技术,数据科学与大数据技术,1.000,,物理,理工类,0.500,,,,100,1,13,pdf_grid_numbers_plus_apple_vision_ocr_major_column,由高校官网PDF渲染图识别专业名列，并用PDF表格网格抽取湖北列计划数；未给湖北院校专业组代码、专业代号、学费、学制和校区，需与第19期原页及湖北官方系统对齐。
山东工商学院,data/external/issue19-b0-b1-official-sources/sdtbu-2026-province-major-plan.pdf,1,55,,数据计算及应用,数据计算及应用,1.000,,物理,理工类,0.500,,,,50,2,13,pdf_grid_numbers_plus_apple_vision_ocr_major_column,由高校官网PDF渲染图识别专业名列，并用PDF表格网格抽取湖北列计划数；未给湖北院校专业组代码、专业代号、学费、学制和校区，需与第19期原页及湖北官方系统对齐。
