学校名称,原始PDF,页码,PDF表格行号,招生学院OCR,专业名称OCR,专业名称,专业OCR置信度,专业名称校正说明,科类OCR,科类,科类OCR置信度,总计划数,湖北计划数,湖北列索引,PDF行上边界,PDF行下边界,纳入湖北物理类匹配表,提取方法,抽取说明
山东工商学院,data/external/issue19-b0-b1-official-sources/sdtbu-2026-province-major-plan.pdf,1,4,,工业工程,工业工程,1.000,,理工类,物理,0.300,100,5,13,194.412,200.578,是,pdf_grid_numbers_plus_apple_vision_ocr_major_column,
山东工商学院,data/external/issue19-b0-b1-official-sources/sdtbu-2026-province-major-plan.pdf,1,5,,信息箵理与信息系统,信息管理与信息系统,0.500,Apple Vision 将“管理”误识为“箵理”；已按PDF裁图人工复核校正。,理工类,物理,0.300,100,4,13,200.578,206.698,是,pdf_grid_numbers_plus_apple_vision_ocr_major_column,Apple Vision 将“管理”误识为“箵理”；已按PDF裁图人工复核校正。
山东工商学院,data/external/issue19-b0-b1-official-sources/sdtbu-2026-province-major-plan.pdf,1,6,程学院,安全工程,安全工程,1.000,,理工类,物理,0.300,50,3,13,206.698,212.818,是,pdf_grid_numbers_plus_apple_vision_ocr_major_column,
山东工商学院,data/external/issue19-b0-b1-official-sources/sdtbu-2026-province-major-plan.pdf,1,7,,工程管理,工程管理,0.500,,,物理,,100,4,13,212.818,218.938,是,pdf_grid_numbers_plus_apple_vision_ocr_major_column,Apple Vision 漏识该行科类；已按PDF裁图人工复核为理工类。
山东工商学院,data/external/issue19-b0-b1-official-sources/sdtbu-2026-province-major-plan.pdf,1,8,,应急技术与管理,应急技术与管理,1.000,,理工类,物理,0.300,50,4,13,218.938,225.102,是,pdf_grid_numbers_plus_apple_vision_ocr_major_column,
山东工商学院,data/external/issue19-b0-b1-official-sources/sdtbu-2026-province-major-plan.pdf,1,9,,工商管理,工商管理,1.000,,理工类,物理,0.500,400,2,13,225.102,231.192,是,pdf_grid_numbers_plus_apple_vision_ocr_major_column,
山东工商学院,data/external/issue19-b0-b1-official-sources/sdtbu-2026-province-major-plan.pdf,1,10,工商管理学院,电子商务,电子商务,1.000,,理工类,物理,0.500,50,1,13,231.192,237.243,是,pdf_grid_numbers_plus_apple_vision_ocr_major_column,
山东工商学院,data/external/issue19-b0-b1-official-sources/sdtbu-2026-province-major-plan.pdf,1,14,会计学院,财务管理,财务管理,1.000,,文史类,历史,1.000,30,1,13,255.656,261.778,否,pdf_grid_numbers_plus_apple_vision_ocr_major_column,
山东工商学院,data/external/issue19-b0-b1-official-sources/sdtbu-2026-province-major-plan.pdf,1,16,,审计学,审计学,1.000,,文史类,历史,1.000,15,1,13,267.896,274.018,否,pdf_grid_numbers_plus_apple_vision_ocr_major_column,
山东工商学院,data/external/issue19-b0-b1-official-sources/sdtbu-2026-province-major-plan.pdf,1,17,,资产评估,资产评估,0.500,,理工类,物理,0.500,50,1,13,274.018,280.193,是,pdf_grid_numbers_plus_apple_vision_ocr_major_column,
山东工商学院,data/external/issue19-b0-b1-official-sources/sdtbu-2026-province-major-plan.pdf,1,18,,社会工作,社会工作,0.500,,文史类,历史,1.000,50,1,13,280.193,286.200,否,pdf_grid_numbers_plus_apple_vision_ocr_major_column,
山东工商学院,data/external/issue19-b0-b1-official-sources/sdtbu-2026-province-major-plan.pdf,1,22,,劳动与社会保障,劳动与社会保障,1.000,,文史类,历史,1.000,50,2,13,304.560,310.680,否,pdf_grid_numbers_plus_apple_vision_ocr_major_column,
山东工商学院,data/external/issue19-b0-b1-official-sources/sdtbu-2026-province-major-plan.pdf,1,23,,慈善管理,慈善管理,1.000,,文史类,历史,1.000,50,1,13,310.680,316.800,否,pdf_grid_numbers_plus_apple_vision_ocr_major_column,
山东工商学院,data/external/issue19-b0-b1-official-sources/sdtbu-2026-province-major-plan.pdf,1,26,,数字经济,数字经济,0.500,,理工类,物理,0.500,50,2,13,329.098,335.218,是,pdf_grid_numbers_plus_apple_vision_ocr_major_column,
山东工商学院,data/external/issue19-b0-b1-official-sources/sdtbu-2026-province-major-plan.pdf,1,28,,能源经济,能源经济,1.000,,文史类,历史,1.000,20,1,13,341.336,347.458,否,pdf_grid_numbers_plus_apple_vision_ocr_major_column,
山东工商学院,data/external/issue19-b0-b1-official-sources/sdtbu-2026-province-major-plan.pdf,1,30,,国际经济与贸易,国际经济与贸易,1.000,,文史类,历史,1.000,30,1,13,353.576,359.737,否,pdf_grid_numbers_plus_apple_vision_ocr_major_column,
山东工商学院,data/external/issue19-b0-b1-official-sources/sdtbu-2026-province-major-plan.pdf,1,34,,金融学,金融学,1.000,,文史类,历史,1.000,25,1,13,378.000,384.120,否,pdf_grid_numbers_plus_apple_vision_ocr_major_column,
山东工商学院,data/external/issue19-b0-b1-official-sources/sdtbu-2026-province-major-plan.pdf,1,36,,投资学,投资学,1.000,,文史类,历史,1.000,25,1,13,390.276,396.446,否,pdf_grid_numbers_plus_apple_vision_ocr_major_column,
山东工商学院,data/external/issue19-b0-b1-official-sources/sdtbu-2026-province-major-plan.pdf,1,37,,金融科技,金融科技,1.000,,理工类,物理,0.300,50,3,13,396.446,402.480,是,pdf_grid_numbers_plus_apple_vision_ocr_major_column,
山东工商学院,data/external/issue19-b0-b1-official-sources/sdtbu-2026-province-major-plan.pdf,1,39,,保险学,保险学,1.000,,文史类,历史,1.000,25,1,13,408.640,414.738,否,pdf_grid_numbers_plus_apple_vision_ocr_major_column,
山东工商学院,data/external/issue19-b0-b1-official-sources/sdtbu-2026-province-major-plan.pdf,1,40,,应用统计学,应用统计学,1.000,,理工类,物理,0.300,100,3,13,414.738,420.898,是,pdf_grid_numbers_plus_apple_vision_ocr_major_column,
山东工商学院,data/external/issue19-b0-b1-official-sources/sdtbu-2026-province-major-plan.pdf,1,42,,统计学,统计学,1.000,,理工类,物理,0.500,50,2,13,427.018,433.193,是,pdf_grid_numbers_plus_apple_vision_ocr_major_column,
山东工商学院,data/external/issue19-b0-b1-official-sources/sdtbu-2026-province-major-plan.pdf,1,44,法学院,法学,法学,1.000,,文史类,历史,1.000,105,3,13,439.200,445.320,否,pdf_grid_numbers_plus_apple_vision_ocr_major_column,
山东工商学院,data/external/issue19-b0-b1-official-sources/sdtbu-2026-province-major-plan.pdf,1,46,,信用风城管理与法佳力吃,信用风险管理与法律防控,0.300,Apple Vision 对小字误识；已按PDF裁图人工复核校正。,文史类,历史,1.000,30,1,13,451.440,457.560,否,pdf_grid_numbers_plus_apple_vision_ocr_major_column,Apple Vision 对小字误识；已按PDF裁图人工复核校正。
山东工商学院,data/external/issue19-b0-b1-official-sources/sdtbu-2026-province-major-plan.pdf,1,47,人文与传播学,汉语言文学,汉语言文学,1.000,,文史类,历史,0.500,100,2,13,457.560,463.738,否,pdf_grid_numbers_plus_apple_vision_ocr_major_column,
山东工商学院,data/external/issue19-b0-b1-official-sources/sdtbu-2026-province-major-plan.pdf,1,48,,编辑出版学,编辑出版学,0.500,,文史类,历史,0.500,100,3,13,463.738,469.913,否,pdf_grid_numbers_plus_apple_vision_ocr_major_column,
山东工商学院,data/external/issue19-b0-b1-official-sources/sdtbu-2026-province-major-plan.pdf,1,49,,朝鲜语,朝鲜语,1.000,,文史类,历史,1.000,30,1,13,469.913,475.920,否,pdf_grid_numbers_plus_apple_vision_ocr_major_column,
山东工商学院,data/external/issue19-b0-b1-official-sources/sdtbu-2026-province-major-plan.pdf,1,50,,商务英语,商务英语,1.000,,文史类,历史,1.000,60,1,13,475.920,482.098,否,pdf_grid_numbers_plus_apple_vision_ocr_major_column,
山东工商学院,data/external/issue19-b0-b1-official-sources/sdtbu-2026-province-major-plan.pdf,1,51,外国语学院,翻译,翻译,1.000,,文史类,历史,1.000,60,1,13,482.098,488.218,否,pdf_grid_numbers_plus_apple_vision_ocr_major_column,
