学校名称,原始PDF,页码,系,专业名称,科类,校区,学制,学费,湖北计划数,提取方法,提取局限性
忻州师范学院,data/external/issue19-b0-b1-official-sources/xztu-2026-province-major-plan.pdf,1,外语系,英语(师范),物理,主校区,4,4950,1,pdfplumber_extract_tables_header_hubei_column,由高校官网PDF宽表抽取湖北列；未给湖北院校专业组代码和专业代号，需与第19期原页及湖北官方系统对齐。
忻州师范学院,data/external/issue19-b0-b1-official-sources/xztu-2026-province-major-plan.pdf,1,外语系,翻译,物理,主校区,4,5800,1,pdfplumber_extract_tables_header_hubei_column,由高校官网PDF宽表抽取湖北列；未给湖北院校专业组代码和专业代号，需与第19期原页及湖北官方系统对齐。
忻州师范学院,data/external/issue19-b0-b1-official-sources/xztu-2026-province-major-plan.pdf,1,数学系,数学与应用数学(师范),物理,主校区,4,4950,1,pdfplumber_extract_tables_header_hubei_column,由高校官网PDF宽表抽取湖北列；未给湖北院校专业组代码和专业代号，需与第19期原页及湖北官方系统对齐。
忻州师范学院,data/external/issue19-b0-b1-official-sources/xztu-2026-province-major-plan.pdf,1,数学系,统计学,物理,主校区,4,4500,1,pdfplumber_extract_tables_header_hubei_column,由高校官网PDF宽表抽取湖北列；未给湖北院校专业组代码和专业代号，需与第19期原页及湖北官方系统对齐。
忻州师范学院,data/external/issue19-b0-b1-official-sources/xztu-2026-province-major-plan.pdf,1,物理系,物理学(师范),物理,主校区,4,4950,1,pdfplumber_extract_tables_header_hubei_column,由高校官网PDF宽表抽取湖北列；未给湖北院校专业组代码和专业代号，需与第19期原页及湖北官方系统对齐。
忻州师范学院,data/external/issue19-b0-b1-official-sources/xztu-2026-province-major-plan.pdf,1,物理系,科学教育(师范),物理,主校区,4,4950,1,pdfplumber_extract_tables_header_hubei_column,由高校官网PDF宽表抽取湖北列；未给湖北院校专业组代码和专业代号，需与第19期原页及湖北官方系统对齐。
忻州师范学院,data/external/issue19-b0-b1-official-sources/xztu-2026-province-major-plan.pdf,1,化学系,应用化学,物理,主校区,4,4950,1,pdfplumber_extract_tables_header_hubei_column,由高校官网PDF宽表抽取湖北列；未给湖北院校专业组代码和专业代号，需与第19期原页及湖北官方系统对齐。
忻州师范学院,data/external/issue19-b0-b1-official-sources/xztu-2026-province-major-plan.pdf,1,生命科学系,生物科学(师范),物理,主校区,4,4950,4,pdfplumber_extract_tables_header_hubei_column,由高校官网PDF宽表抽取湖北列；未给湖北院校专业组代码和专业代号，需与第19期原页及湖北官方系统对齐。
忻州师范学院,data/external/issue19-b0-b1-official-sources/xztu-2026-province-major-plan.pdf,1,生命科学系,生物技术,物理,主校区,4,4500,2,pdfplumber_extract_tables_header_hubei_column,由高校官网PDF宽表抽取湖北列；未给湖北院校专业组代码和专业代号，需与第19期原页及湖北官方系统对齐。
忻州师范学院,data/external/issue19-b0-b1-official-sources/xztu-2026-province-major-plan.pdf,1,电子系,电子信息科学与技术,物理,主校区,4,5280,1,pdfplumber_extract_tables_header_hubei_column,由高校官网PDF宽表抽取湖北列；未给湖北院校专业组代码和专业代号，需与第19期原页及湖北官方系统对齐。
忻州师范学院,data/external/issue19-b0-b1-official-sources/xztu-2026-province-major-plan.pdf,1,电子系,通信工程,物理,主校区,4,5280,1,pdfplumber_extract_tables_header_hubei_column,由高校官网PDF宽表抽取湖北列；未给湖北院校专业组代码和专业代号，需与第19期原页及湖北官方系统对齐。
忻州师范学院,data/external/issue19-b0-b1-official-sources/xztu-2026-province-major-plan.pdf,1,人工智能与数据科学系,计算机科学与技术(师范),物理,主校区,4,5280,2,pdfplumber_extract_tables_header_hubei_column,由高校官网PDF宽表抽取湖北列；未给湖北院校专业组代码和专业代号，需与第19期原页及湖北官方系统对齐。
忻州师范学院,data/external/issue19-b0-b1-official-sources/xztu-2026-province-major-plan.pdf,1,人工智能与数据科学系,数字媒体技术,物理,主校区,4,4800,1,pdfplumber_extract_tables_header_hubei_column,由高校官网PDF宽表抽取湖北列；未给湖北院校专业组代码和专业代号，需与第19期原页及湖北官方系统对齐。
忻州师范学院,data/external/issue19-b0-b1-official-sources/xztu-2026-province-major-plan.pdf,1,人工智能与数据科学系,数据科学与大数据技术,物理,主校区,4,4800,1,pdfplumber_extract_tables_header_hubei_column,由高校官网PDF宽表抽取湖北列；未给湖北院校专业组代码和专业代号，需与第19期原页及湖北官方系统对齐。
忻州师范学院,data/external/issue19-b0-b1-official-sources/xztu-2026-province-major-plan.pdf,1,旅游管理系,旅游管理,物理,主校区,4,4950,1,pdfplumber_extract_tables_header_hubei_column,由高校官网PDF宽表抽取湖北列；未给湖北院校专业组代码和专业代号，需与第19期原页及湖北官方系统对齐。
