学校名称,原始PDF,官网入口页,页码,PDF表格行号,科类,专业代码OCR,专业名称,总计划数,湖北计划数,湖北列索引,湖北格bbox_px,提取方法,提取局限性
浙江工业大学,data/external/issue19-b0-b1-official-sources/zjut-2026-province-major-plan.pdf,data/external/issue19-b0-b1-official-sources/zjut-2026-plan-page.html,1,17,物理,0702,物理学类（物理与光电信息类）,43,3,15,"1622,877,1662,913",official_image_pdf_grid_visual_transcription_with_coordinate_audit,浙江工业大学官网PDF为图像型宽表，按湖北列坐标人工核页转录并记录格子bbox；未给湖北院校专业组代码、专业代号、学费、校区、再选科目和组内调剂边界，需与第19期原页及湖北官方系统对齐。
浙江工业大学,data/external/issue19-b0-b1-official-sources/zjut-2026-province-major-plan.pdf,data/external/issue19-b0-b1-official-sources/zjut-2026-plan-page.html,1,18,物理,071102,应用心理学,7,3,15,"1622,913,1662,949",official_image_pdf_grid_visual_transcription_with_coordinate_audit,浙江工业大学官网PDF为图像型宽表，按湖北列坐标人工核页转录并记录格子bbox；未给湖北院校专业组代码、专业代号、学费、校区、再选科目和组内调剂边界，需与第19期原页及湖北官方系统对齐。
浙江工业大学,data/external/issue19-b0-b1-official-sources/zjut-2026-province-major-plan.pdf,data/external/issue19-b0-b1-official-sources/zjut-2026-plan-page.html,1,19,物理,0802,机械类,110,4,15,"1622,949,1662,985",official_image_pdf_grid_visual_transcription_with_coordinate_audit,浙江工业大学官网PDF为图像型宽表，按湖北列坐标人工核页转录并记录格子bbox；未给湖北院校专业组代码、专业代号、学费、校区、再选科目和组内调剂边界，需与第19期原页及湖北官方系统对齐。
浙江工业大学,data/external/issue19-b0-b1-official-sources/zjut-2026-province-major-plan.pdf,data/external/issue19-b0-b1-official-sources/zjut-2026-plan-page.html,1,21,物理,0804,材料类,69,3,15,"1622,1020,1662,1056",official_image_pdf_grid_visual_transcription_with_coordinate_audit,浙江工业大学官网PDF为图像型宽表，按湖北列坐标人工核页转录并记录格子bbox；未给湖北院校专业组代码、专业代号、学费、校区、再选科目和组内调剂边界，需与第19期原页及湖北官方系统对齐。
浙江工业大学,data/external/issue19-b0-b1-official-sources/zjut-2026-province-major-plan.pdf,data/external/issue19-b0-b1-official-sources/zjut-2026-plan-page.html,1,28,物理,080803,机器人工程,42,2,15,"1622,1271,1662,1307",official_image_pdf_grid_visual_transcription_with_coordinate_audit,浙江工业大学官网PDF为图像型宽表，按湖北列坐标人工核页转录并记录格子bbox；未给湖北院校专业组代码、专业代号、学费、校区、再选科目和组内调剂边界，需与第19期原页及湖北官方系统对齐。
浙江工业大学,data/external/issue19-b0-b1-official-sources/zjut-2026-province-major-plan.pdf,data/external/issue19-b0-b1-official-sources/zjut-2026-plan-page.html,1,29,物理,0809,计算机类,108,5,15,"1622,1307,1662,1343",official_image_pdf_grid_visual_transcription_with_coordinate_audit,浙江工业大学官网PDF为图像型宽表，按湖北列坐标人工核页转录并记录格子bbox；未给湖北院校专业组代码、专业代号、学费、校区、再选科目和组内调剂边界，需与第19期原页及湖北官方系统对齐。
浙江工业大学,data/external/issue19-b0-b1-official-sources/zjut-2026-province-major-plan.pdf,data/external/issue19-b0-b1-official-sources/zjut-2026-plan-page.html,1,35,物理,0810,土木类,61,7,15,"1622,1523,1662,1558",official_image_pdf_grid_visual_transcription_with_coordinate_audit,浙江工业大学官网PDF为图像型宽表，按湖北列坐标人工核页转录并记录格子bbox；未给湖北院校专业组代码、专业代号、学费、校区、再选科目和组内调剂边界，需与第19期原页及湖北官方系统对齐。
浙江工业大学,data/external/issue19-b0-b1-official-sources/zjut-2026-province-major-plan.pdf,data/external/issue19-b0-b1-official-sources/zjut-2026-plan-page.html,1,36,物理,081001H,土木工程（中外合作办学）,62,6,15,"1622,1558,1662,1594",official_image_pdf_grid_visual_transcription_with_coordinate_audit,浙江工业大学官网PDF为图像型宽表，按湖北列坐标人工核页转录并记录格子bbox；未给湖北院校专业组代码、专业代号、学费、校区、再选科目和组内调剂边界，需与第19期原页及湖北官方系统对齐。
浙江工业大学,data/external/issue19-b0-b1-official-sources/zjut-2026-province-major-plan.pdf,data/external/issue19-b0-b1-official-sources/zjut-2026-plan-page.html,1,37,物理,081008,智能建造,53,3,15,"1622,1594,1662,1630",official_image_pdf_grid_visual_transcription_with_coordinate_audit,浙江工业大学官网PDF为图像型宽表，按湖北列坐标人工核页转录并记录格子bbox；未给湖北院校专业组代码、专业代号、学费、校区、再选科目和组内调剂边界，需与第19期原页及湖北官方系统对齐。
浙江工业大学,data/external/issue19-b0-b1-official-sources/zjut-2026-province-major-plan.pdf,data/external/issue19-b0-b1-official-sources/zjut-2026-plan-page.html,1,40,物理,0827,食品科学与工程类,61,6,15,"1622,1702,1662,1738",official_image_pdf_grid_visual_transcription_with_coordinate_audit,浙江工业大学官网PDF为图像型宽表，按湖北列坐标人工核页转录并记录格子bbox；未给湖北院校专业组代码、专业代号、学费、校区、再选科目和组内调剂边界，需与第19期原页及湖北官方系统对齐。
浙江工业大学,data/external/issue19-b0-b1-official-sources/zjut-2026-province-major-plan.pdf,data/external/issue19-b0-b1-official-sources/zjut-2026-plan-page.html,1,43,物理,082901,安全工程,31,3,15,"1622,1809,1662,1845",official_image_pdf_grid_visual_transcription_with_coordinate_audit,浙江工业大学官网PDF为图像型宽表，按湖北列坐标人工核页转录并记录格子bbox；未给湖北院校专业组代码、专业代号、学费、校区、再选科目和组内调剂边界，需与第19期原页及湖北官方系统对齐。
浙江工业大学,data/external/issue19-b0-b1-official-sources/zjut-2026-province-major-plan.pdf,data/external/issue19-b0-b1-official-sources/zjut-2026-plan-page.html,1,46,物理,1201,管理科学与工程类,35,3,15,"1622,1917,1662,1953",official_image_pdf_grid_visual_transcription_with_coordinate_audit,浙江工业大学官网PDF为图像型宽表，按湖北列坐标人工核页转录并记录格子bbox；未给湖北院校专业组代码、专业代号、学费、校区、再选科目和组内调剂边界，需与第19期原页及湖北官方系统对齐。
