学校名称,官网入口页,原始PDF,页码,PDF_SHA256,入口页SHA256,PDF_URL,官网入口URL,PDF表格行号,行类型,科类,专业代码OCR,专业名称,总计划数,湖北计划数读数,湖北列索引,湖北格bbox_px,湖北格深色像素数,纳入湖北物理类匹配表,审计说明
浙江工业大学,data/external/issue19-b0-b1-official-sources/zjut-2026-plan-page.html,data/external/issue19-b0-b1-official-sources/zjut-2026-province-major-plan.pdf,1,bc9bd03c622b3c1944b5d75c430de28f8e5a1fe111052f93b75eb6daa1c7e495,4091ae4fd9737e6e092648971a038244571b74fbe8f2cb6fcdb6b9d66e60895e,https://zs.zjut.edu.cn/ueditor/jsp/upload/file/20260618/1781777775637059419.pdf,https://zs.zjut.edu.cn/html/n2569.html,1,总计,,,总计,2010,50,15,"1622,303,1662,339",202,否,湖北列全校总计划数，供合计校验。
浙江工业大学,data/external/issue19-b0-b1-official-sources/zjut-2026-plan-page.html,data/external/issue19-b0-b1-official-sources/zjut-2026-province-major-plan.pdf,1,bc9bd03c622b3c1944b5d75c430de28f8e5a1fe111052f93b75eb6daa1c7e495,4091ae4fd9737e6e092648971a038244571b74fbe8f2cb6fcdb6b9d66e60895e,https://zs.zjut.edu.cn/ueditor/jsp/upload/file/20260618/1781777775637059419.pdf,https://zs.zjut.edu.cn/html/n2569.html,4,历史类专业,历史类,050201,英语,28,2,15,"1622,411,1662,447",42,否,历史类计划，不进入湖北物理类匹配表。
浙江工业大学,data/external/issue19-b0-b1-official-sources/zjut-2026-plan-page.html,data/external/issue19-b0-b1-official-sources/zjut-2026-province-major-plan.pdf,1,bc9bd03c622b3c1944b5d75c430de28f8e5a1fe111052f93b75eb6daa1c7e495,4091ae4fd9737e6e092648971a038244571b74fbe8f2cb6fcdb6b9d66e60895e,https://zs.zjut.edu.cn/ueditor/jsp/upload/file/20260618/1781777775637059419.pdf,https://zs.zjut.edu.cn/html/n2569.html,11,历史类小计,,,历史类小计,149,2,15,"1622,662,1662,698",69,否,湖北历史类小计，供总计校验。
浙江工业大学,data/external/issue19-b0-b1-official-sources/zjut-2026-plan-page.html,data/external/issue19-b0-b1-official-sources/zjut-2026-province-major-plan.pdf,1,bc9bd03c622b3c1944b5d75c430de28f8e5a1fe111052f93b75eb6daa1c7e495,4091ae4fd9737e6e092648971a038244571b74fbe8f2cb6fcdb6b9d66e60895e,https://zs.zjut.edu.cn/ueditor/jsp/upload/file/20260618/1781777775637059419.pdf,https://zs.zjut.edu.cn/html/n2569.html,17,物理类专业,物理,0702,物理学类（物理与光电信息类）,43,3,15,"1622,877,1662,913",48,是,
浙江工业大学,data/external/issue19-b0-b1-official-sources/zjut-2026-plan-page.html,data/external/issue19-b0-b1-official-sources/zjut-2026-province-major-plan.pdf,1,bc9bd03c622b3c1944b5d75c430de28f8e5a1fe111052f93b75eb6daa1c7e495,4091ae4fd9737e6e092648971a038244571b74fbe8f2cb6fcdb6b9d66e60895e,https://zs.zjut.edu.cn/ueditor/jsp/upload/file/20260618/1781777775637059419.pdf,https://zs.zjut.edu.cn/html/n2569.html,18,物理类专业,物理,071102,应用心理学,7,3,15,"1622,913,1662,949",43,是,
浙江工业大学,data/external/issue19-b0-b1-official-sources/zjut-2026-plan-page.html,data/external/issue19-b0-b1-official-sources/zjut-2026-province-major-plan.pdf,1,bc9bd03c622b3c1944b5d75c430de28f8e5a1fe111052f93b75eb6daa1c7e495,4091ae4fd9737e6e092648971a038244571b74fbe8f2cb6fcdb6b9d66e60895e,https://zs.zjut.edu.cn/ueditor/jsp/upload/file/20260618/1781777775637059419.pdf,https://zs.zjut.edu.cn/html/n2569.html,19,物理类专业,物理,0802,机械类,110,4,15,"1622,949,1662,985",49,是,
浙江工业大学,data/external/issue19-b0-b1-official-sources/zjut-2026-plan-page.html,data/external/issue19-b0-b1-official-sources/zjut-2026-province-major-plan.pdf,1,bc9bd03c622b3c1944b5d75c430de28f8e5a1fe111052f93b75eb6daa1c7e495,4091ae4fd9737e6e092648971a038244571b74fbe8f2cb6fcdb6b9d66e60895e,https://zs.zjut.edu.cn/ueditor/jsp/upload/file/20260618/1781777775637059419.pdf,https://zs.zjut.edu.cn/html/n2569.html,21,物理类专业,物理,0804,材料类,69,3,15,"1622,1020,1662,1056",42,是,
浙江工业大学,data/external/issue19-b0-b1-official-sources/zjut-2026-plan-page.html,data/external/issue19-b0-b1-official-sources/zjut-2026-province-major-plan.pdf,1,bc9bd03c622b3c1944b5d75c430de28f8e5a1fe111052f93b75eb6daa1c7e495,4091ae4fd9737e6e092648971a038244571b74fbe8f2cb6fcdb6b9d66e60895e,https://zs.zjut.edu.cn/ueditor/jsp/upload/file/20260618/1781777775637059419.pdf,https://zs.zjut.edu.cn/html/n2569.html,28,物理类专业,物理,080803,机器人工程,42,2,15,"1622,1271,1662,1307",45,是,
浙江工业大学,data/external/issue19-b0-b1-official-sources/zjut-2026-plan-page.html,data/external/issue19-b0-b1-official-sources/zjut-2026-province-major-plan.pdf,1,bc9bd03c622b3c1944b5d75c430de28f8e5a1fe111052f93b75eb6daa1c7e495,4091ae4fd9737e6e092648971a038244571b74fbe8f2cb6fcdb6b9d66e60895e,https://zs.zjut.edu.cn/ueditor/jsp/upload/file/20260618/1781777775637059419.pdf,https://zs.zjut.edu.cn/html/n2569.html,29,物理类专业,物理,0809,计算机类,108,5,15,"1622,1307,1662,1343",46,是,该类包含数字媒体技术等方向，需回第19期原页和湖北官方侧确认组内明细。
浙江工业大学,data/external/issue19-b0-b1-official-sources/zjut-2026-plan-page.html,data/external/issue19-b0-b1-official-sources/zjut-2026-province-major-plan.pdf,1,bc9bd03c622b3c1944b5d75c430de28f8e5a1fe111052f93b75eb6daa1c7e495,4091ae4fd9737e6e092648971a038244571b74fbe8f2cb6fcdb6b9d66e60895e,https://zs.zjut.edu.cn/ueditor/jsp/upload/file/20260618/1781777775637059419.pdf,https://zs.zjut.edu.cn/html/n2569.html,35,物理类专业,物理,0810,土木类,61,7,15,"1622,1523,1662,1558",34,是,与第19期OCR候选存在计划数差异时，优先回PDF原页和湖北官方侧核。
