year	score	code	name	req	row
2023	470	K20902	成都东软学院第02组	不限	K20902 | 成都东软学院第02组 | 不限 | 470 | 175 | 90 | 118 | 50 | 68 | 59 | 8
2023	471	F26005	北京中医药大学东方学院第05组	化或生	F26005 | 北京中医药大学东方学院第05组 | 化或生 | 471 | 173 | 98 | 102 | 38 | 81 | 77 | 7
2023	471	K21102	电子科技大学成都学院第02组	不限	K21102 | 电子科技大学成都学院第02组 | 不限 | 471 | 206 | 110 | 76 | 28 | 87 | 74 | 8
2023	474	K21904	成都锦城学院第04组	不限	K21904 | 成都锦城学院第04组 | 不限 | 474 | 191 | 102 | 86 | 51 | 室77 | 69 | 】30
2023	476	K21702	四川外国语大学成都学院第02组	不限	K21702 | 四川外国语大学成都学院第02组 | 不限 | 476 | 185 | 102 | 98 | 51 | 71 | 71 | 9
2023	478	H84804	北京理工大学珠海学院第04组	招不限	H84804 | 北京理工大学珠海学院第04组 | 招不限 | 478 | 181 | 99 | 69 | 69 | 81 | 78 | 12
2023	485	C15006	武汉商学院第06组	不限	C15006 | 武汉商学院第06组 | 不限 | 485 | 179 | 107 | 131 | 31 | 76 | 68 | 5
2023	488	K17002	【成都体育学院第02组	不限	K17002 | 【成都体育学院第02组 | 不限 | 488 | 182 | 92 | 93 | 62 | 78 | 73 | 4
2023	488	K52801	省号西安交通大学城市学院第01组	不限	K52801 | 省号西安交通大学城市学院第01组 | 不限 | 488 | 189 | 110 | 73 | 63 | 87 | 76 | 16
2023	490	C15007	武汉商学院第07组	化	C15007 | 武汉商学院第07组 | 化 | 490 | 181 | 93 | 115 | 29 | 室78 | 77 | 】4
2023	497	K48701	西安航空学院第01组	不限	K48701 | 西安航空学院第01组 | 不限 | 497 | 197 | 105 | 89 | 52 | 83 | 76 | 2
2023	501	C15003	武汉商学院第03组	不限	C15003 | 武汉商学院第03组 | 不限 | 501 | 186 | 105 | 126 | 44 | 78 | 67 | 3
2023	506	C10703	武汉体育学院第03组	不限	C10703 | 武汉体育学院第03组 | 不限 | 506 | 195 | 104 | 96 | 77 | 80 | 58 | 9
2023	506	C12508	武汉轻工大学第08组	不限	C12508 | 武汉轻工大学第08组 | 不限 | 506 | 199 | 110 | 105 | 66 | 70 | 66 | 2
2023	509	C10704	武汉体育学院第04组	化	C10704 | 武汉体育学院第04组 | 化 | 509 | 194 | 110 | 112 | 55 | 79 | 69 | 5
2023	509	C15005	武汉商学院第05组	不限	C15005 | 武汉商学院第05组 | 不限 | 509 | 196 | 100 | 86 | 65 | 84 | 78 | 3
2023	509	K48103	西安文理学院第03组	化或生	K48103 | 西安文理学院第03组 | 化或生 | 509 | 185 | 95 | 94 | 70 | 82 | 78 | 13
2023	509	K48702	西安航空学院第02组	化	K48702 | 西安航空学院第02组 | 化 | 509 | 205 | 115 | 112 | 37 | 79 | 76 | 2
2023	510	H84803	北京理工大学珠海学院第03组	生不限	H84803 | 北京理工大学珠海学院第03组 | 生不限 | 510 | 办201 | 106 | 74 | 74 | 83 | 78 | 3
2023	511	K48102	微西安文理学院第02组	化	K48102 | 微西安文理学院第02组 | 化 | 511 | 181 | 92 | 97 | 69 | 85 | 79 | 6
2023	511	C10702	武汉体育学院第02组	不限	C10702 | 武汉体育学院第02组 | 不限 | 511 | 186 | 106 | 96 | 64 | 87 | 78 | 3
2023	511	K48803	西安医学院第03组	化	K48803 | 西安医学院第03组 | 化 | 511 | 199 | 102 | 84 | 74 | 83 | 71 | 35
2023	514	K17801	成都医学院第01组	化	K17801 | 成都医学院第01组 | 化 | 514 | 205 | 104 | 56 | 88 | 83 | 82 | 5
2023	514	K17802	成都医学院第02组	化	K17802 | 成都医学院第02组 | 化 | 514 | 203 | 109 | 97 | 52 | 90 | 72 | 3
2023	515	F01304	北北京物资学院第04组	不限	F01304 | 北北京物资学院第04组 | 不限 | 515 | 198 | 116 | 108 | 49 | 83 | 67 | 5 | 少数民族预科班
2023	517	C15004	武汉商学院第04组	不限	C15004 | 武汉商学院第04组 | 不限 | 517 | 211 | 112 | 77 | 61 | 92 | 76 | 1
2023	521	K17302	微成都工业学院第02组	不限	K17302 | 微成都工业学院第02组 | 不限 | 521 | 217 | 110 | 82 | 58 | 84 | 80 | 26
2023	521	K17905	成都师范学院第05组	化或生	K17905 | 成都师范学院第05组 | 化或生 | 521 | 197 | 121 | 117 | 41 | 83 | 83 | 4
2023	522	K17903	成都师范学院第03组	不限	K17903 | 成都师范学院第03组 | 不限 | 522 | 206 | 104 | 96 | 69 | 79 | 72 | 6
2023	523	K15902	成都中医药大学第02组	不限	K15902 | 成都中医药大学第02组 | 不限 | 523 | 187 | 113 | 114 | 55 | 85 | 82 | 3
