官网证据旁挂ID,来源招生明细主表行ID,来源公开官网差异账ID,来源底座闭环批次ID,来源逐专业闭环主表,来源公开官网差异账,来源期号,来源PDF_SHA256,数据阶段,主表粒度,最终可用,可进入下一阶段,能否替代湖北官方计划,官网证据强度,官网证据说明,建议动作,闭环执行总序,闭环执行批次,专业行ID,专业组出现ID,院校代码,院校名称OCR,院校专业组代码OCR规范化,来源页码,专业组内专业序号,专业代号OCR,专业名称及备注OCR短摘,OCR计划数,OCR学费,OCR再选科目,官网来源状态,官网证据匹配状态,最佳官网来源文件,最佳官网专业名称,最佳官网专业代号,最佳官网计划数,最佳官网学费,最佳官网选科,专业名称匹配方式,专业名称匹配分,计划数核验状态,差异字段集合,疑似OCR把学费读入计划数,仍需核验,下一步
B0B1SIDE-46bea5a48496f7ea,ADM-b3e3aea311ce8285,B0B1DIFF-46bea5a48496f7ea,CLOSEMAJOR-46bea5a48496f7ea,data/working/issue19-foundation-closure-major-batches.csv,data/working/issue19-b0-b1-public-official-diff-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_b0_b1_official_evidence_sidecar,逐专业招生明细,false,false,false,conflict_review,官网专业名匹配但计划数冲突，优先回看原页和字段列。,PDF原页计划数列；湖北官方系统/省招办计划；OCR字段错位排查,30,C0-P0证据闭环先核,M-1313bee178d7d0ee,G-df1242f8618d3971,A033,中国传媒大学,A03312,18,4,25,数字媒体技术,12,3,,has_reusable_2026_hubei_plan_source,matched,data/external/issue19-b0-b1-official-sources/cuc-2026-hubei-physics-normal-zsjh.json,数字媒体技术,59,3,5500,"物理,化学(2门科目考生均须选考方可报考)",exact_after_normalization,100,mismatch,计划数冲突,false,PDF原页；湖北官方系统；计划数人工复核；专业组边界；调剂范围；家庭接受度,官网证据只作辅证；必须回到 PDF 原页、湖北官方系统/省招办计划、招生章程、家庭接受度和同组调剂结论。
B0B1SIDE-9b89851af0fe5f0f,ADM-6f9830a78dd664d3,B0B1DIFF-9b89851af0fe5f0f,CLOSEMAJOR-9b89851af0fe5f0f,data/working/issue19-foundation-closure-major-batches.csv,data/working/issue19-b0-b1-public-official-diff-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_b0_b1_official_evidence_sidecar,逐专业招生明细,false,false,false,conflict_review,官网专业名匹配但计划数冲突，优先回看原页和字段列。,PDF原页计划数列；湖北官方系统/省招办计划；OCR字段错位排查,37,C0-P0证据闭环先核,M-bf093921a5df7b57,G-158e8a85ddd262f3,F902,江苏理工学院,F90202,135,8,10,数字媒体技术,5800,,,has_reusable_2026_hubei_plan_source,matched,data/external/issue19-b0-b1-official-sources/jsut-2026-hubei-physics-plan-extracted.csv,数字媒体技术,,2,5800,,exact_after_normalization,100,mismatch,计划数冲突,true,PDF原页；湖北官方系统；计划数人工复核；专业组边界；调剂范围；家庭接受度,官网证据只作辅证；必须回到 PDF 原页、湖北官方系统/省招办计划、招生章程、家庭接受度和同组调剂结论。
B0B1SIDE-db66557d8da40792,ADM-2085e90c6097b446,B0B1DIFF-db66557d8da40792,CLOSEMAJOR-db66557d8da40792,data/working/issue19-foundation-closure-major-batches.csv,data/working/issue19-b0-b1-public-official-diff-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_b0_b1_official_evidence_sidecar,逐专业招生明细,false,false,false,conflict_review,官网专业名匹配但计划数冲突，优先回看原页和字段列。,PDF原页计划数列；湖北官方系统/省招办计划；OCR字段错位排查,93,C0-P0证据闭环先核,M-428c631bc321e966,G-37268c0379be16ef,H945,南宁学院,H94505,199,3,24,数字媒体技术,22500.,,,has_reusable_2026_hubei_plan_source,matched,data/external/issue19-b0-b1-official-sources/unn-2026-undergraduate-plan-page.html,数字媒体技术,,3,22500,物理+化学,exact_after_normalization,100,mismatch,计划数冲突,true,PDF原页；湖北官方系统；计划数人工复核；专业组边界；调剂范围；家庭接受度,官网证据只作辅证；必须回到 PDF 原页、湖北官方系统/省招办计划、招生章程、家庭接受度和同组调剂结论。
B0B1SIDE-a76391b49fc5115b,ADM-3a67383dbcfbb998,B0B1DIFF-a76391b49fc5115b,CLOSEMAJOR-a76391b49fc5115b,data/working/issue19-foundation-closure-major-batches.csv,data/working/issue19-b0-b1-public-official-diff-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_b0_b1_official_evidence_sidecar,逐专业招生明细,false,false,false,conflict_review,官网专业名匹配但计划数冲突，优先回看原页和字段列。,PDF原页计划数列；湖北官方系统/省招办计划；OCR字段错位排查,113,C0-P0证据闭环先核,M-7af5985c525e29ba,G-158e8a85ddd262f3,F902,江苏理工学院,F90202,135,6,08,软件工程,5800,,,has_reusable_2026_hubei_plan_source,matched,data/external/issue19-b0-b1-official-sources/jsut-2026-hubei-physics-plan-extracted.csv,软件工程,,1,5800,,exact_after_normalization,100,mismatch,计划数冲突,true,PDF原页；湖北官方系统；计划数人工复核；专业组边界；调剂范围；家庭接受度,官网证据只作辅证；必须回到 PDF 原页、湖北官方系统/省招办计划、招生章程、家庭接受度和同组调剂结论。
B0B1SIDE-6a178045576527a7,ADM-74a41fab34220efa,B0B1DIFF-6a178045576527a7,CLOSEMAJOR-6a178045576527a7,data/working/issue19-foundation-closure-major-batches.csv,data/working/issue19-b0-b1-public-official-diff-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_b0_b1_official_evidence_sidecar,逐专业招生明细,false,false,false,conflict_review,官网专业名匹配但计划数冲突，优先回看原页和字段列。,PDF原页计划数列；湖北官方系统/省招办计划；OCR字段错位排查,115,C0-P0证据闭环先核,M-e61c577465bca697,G-158e8a85ddd262f3,F902,江苏理工学院,F90202,135,7,09,数据科学与大数据技术,5800,,,has_reusable_2026_hubei_plan_source,matched,data/external/issue19-b0-b1-official-sources/jsut-2026-hubei-physics-plan-extracted.csv,数据科学与大数据技术,,1,5800,,exact_after_normalization,100,mismatch,计划数冲突,true,PDF原页；湖北官方系统；计划数人工复核；专业组边界；调剂范围；家庭接受度,官网证据只作辅证；必须回到 PDF 原页、湖北官方系统/省招办计划、招生章程、家庭接受度和同组调剂结论。
B0B1SIDE-c3f000f068163a8c,ADM-d87fc6b5a2e7ad49,B0B1DIFF-c3f000f068163a8c,CLOSEMAJOR-c3f000f068163a8c,data/working/issue19-foundation-closure-major-batches.csv,data/working/issue19-b0-b1-public-official-diff-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_b0_b1_official_evidence_sidecar,逐专业招生明细,false,false,false,conflict_review,官网专业名匹配但计划数冲突，优先回看原页和字段列。,PDF原页计划数列；湖北官方系统/省招办计划；OCR字段错位排查,273,C0-P0证据闭环先核,M-c0e205bf9e212204,G-37268c0379be16ef,H945,南宁学院,H94505,199,1,22,物联网工程,22500,,化学,has_reusable_2026_hubei_plan_source,matched,data/external/issue19-b0-b1-official-sources/unn-2026-undergraduate-plan-page.html,物联网工程,,2,22500,物理+化学,exact_after_normalization,100,mismatch,计划数冲突,true,PDF原页；湖北官方系统；计划数人工复核；专业组边界；调剂范围；家庭接受度,官网证据只作辅证；必须回到 PDF 原页、湖北官方系统/省招办计划、招生章程、家庭接受度和同组调剂结论。
B0B1SIDE-9057bbf017d81f2a,ADM-03ad9240b8692d84,B0B1DIFF-9057bbf017d81f2a,CLOSEMAJOR-9057bbf017d81f2a,data/working/issue19-foundation-closure-major-batches.csv,data/working/issue19-b0-b1-public-official-diff-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_b0_b1_official_evidence_sidecar,逐专业招生明细,false,false,false,conflict_review,官网专业名匹配但计划数冲突，优先回看原页和字段列。,PDF原页计划数列；湖北官方系统/省招办计划；OCR字段错位排查,281,C0-P0证据闭环先核,M-dc718284a7b7340c,G-37268c0379be16ef,H945,南宁学院,H94505,199,4,25,计算机科学与技术（不招单色不能识别考生）,22500,,,has_reusable_2026_hubei_plan_source,matched,data/external/issue19-b0-b1-official-sources/unn-2026-undergraduate-plan-page.html,计算机科学与技术,,2,22500,物理+化学,contains_after_normalization,85,mismatch,计划数冲突,true,PDF原页；湖北官方系统；计划数人工复核；专业组边界；调剂范围；家庭接受度,官网证据只作辅证；必须回到 PDF 原页、湖北官方系统/省招办计划、招生章程、家庭接受度和同组调剂结论。
B0B1SIDE-19deb5342459c169,ADM-4786cb1271ee88f9,B0B1DIFF-19deb5342459c169,CLOSEMAJOR-19deb5342459c169,data/working/issue19-foundation-closure-major-batches.csv,data/working/issue19-b0-b1-public-official-diff-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_b0_b1_official_evidence_sidecar,逐专业招生明细,false,false,false,conflict_review,官网专业名匹配但计划数冲突，优先回看原页和字段列。,PDF原页计划数列；湖北官方系统/省招办计划；OCR字段错位排查,342,C0-P0证据闭环先核,M-e2879b097d059aee,G-e377a7e078e92213,K153,成都信息工程大学,K15306,209,17,29,信息安全（办学地点：航空港校区）,2,6240,,has_reusable_2026_hubei_plan_source,matched,data/external/issue19-b0-b1-official-sources/cuit-2026-undergraduate-plan.html,信息安全,,1,6240,物理+化学,exact_after_normalization,100,mismatch,计划数冲突,false,PDF原页；湖北官方系统；计划数人工复核；专业组边界；调剂范围；家庭接受度,官网证据只作辅证；必须回到 PDF 原页、湖北官方系统/省招办计划、招生章程、家庭接受度和同组调剂结论。
B0B1SIDE-5e458210770eb04f,ADM-9f7d8730e5f7ec57,B0B1DIFF-5e458210770eb04f,CLOSEMAJOR-5e458210770eb04f,data/working/issue19-foundation-closure-major-batches.csv,data/working/issue19-b0-b1-public-official-diff-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_b0_b1_official_evidence_sidecar,逐专业招生明细,false,false,false,conflict_review,官网专业名匹配但计划数冲突，优先回看原页和字段列。,PDF原页计划数列；湖北官方系统/省招办计划；OCR字段错位排查,1086,C0-P0证据闭环先核,M-a85b56dac30243b2,G-9fca3ce8b2adbf9c,A135,山东大学,A13506,37,6,25,工程软件（含“钱七虎学堂”）,11,6600,化学,has_reusable_2026_hubei_plan_source,matched,data/external/issue19-b0-b1-official-sources/sdu-2026-hubei-physics-normal-zsjh.json,工程软件,38,2,6600,"物理,化学(2门科目考生均须选考方可报考)",exact_after_normalization,100,mismatch,计划数冲突,false,PDF原页；湖北官方系统；计划数人工复核；专业组边界；调剂范围；家庭接受度,官网证据只作辅证；必须回到 PDF 原页、湖北官方系统/省招办计划、招生章程、家庭接受度和同组调剂结论。
B0B1SIDE-354d74d2b6a71d9c,ADM-565cbf81e9dd38ab,B0B1DIFF-354d74d2b6a71d9c,CLOSEMAJOR-354d74d2b6a71d9c,data/working/issue19-foundation-closure-major-batches.csv,data/working/issue19-b0-b1-public-official-diff-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_b0_b1_official_evidence_sidecar,逐专业招生明细,false,false,false,conflict_review,官网专业名匹配但计划数冲突，优先回看原页和字段列。,PDF原页计划数列；湖北官方系统/省招办计划；OCR字段错位排查,1357,C0-P0证据闭环先核,M-dc3b57515c994b61,G-158e8a85ddd262f3,F902,江苏理工学院,F90202,135,1,03,机械电子工程,5800,,「化学,has_reusable_2026_hubei_plan_source,matched,data/external/issue19-b0-b1-official-sources/jsut-2026-hubei-physics-plan-extracted.csv,机械电子工程,,1,5800,,exact_after_normalization,100,mismatch,计划数冲突,true,PDF原页；湖北官方系统；计划数人工复核；专业组边界；调剂范围；家庭接受度,官网证据只作辅证；必须回到 PDF 原页、湖北官方系统/省招办计划、招生章程、家庭接受度和同组调剂结论。
