官网证据旁挂ID,来源招生明细主表行ID,来源公开官网差异账ID,来源底座闭环批次ID,来源逐专业闭环主表,来源公开官网差异账,来源期号,来源PDF_SHA256,数据阶段,主表粒度,最终可用,可进入下一阶段,能否替代湖北官方计划,官网证据强度,官网证据说明,建议动作,闭环执行总序,闭环执行批次,专业行ID,专业组出现ID,院校代码,院校名称OCR,院校专业组代码OCR规范化,来源页码,专业组内专业序号,专业代号OCR,专业名称及备注OCR短摘,OCR计划数,OCR学费,OCR再选科目,官网来源状态,官网证据匹配状态,最佳官网来源文件,最佳官网专业名称,最佳官网专业代号,最佳官网计划数,最佳官网学费,最佳官网选科,专业名称匹配方式,专业名称匹配分,计划数核验状态,差异字段集合,疑似OCR把学费读入计划数,仍需核验,下一步
B0B1SIDE-04aa11c2bf9c3b3a,ADM-3ed7a3fe83819d78,B0B1DIFF-04aa11c2bf9c3b3a,CLOSEMAJOR-04aa11c2bf9c3b3a,data/working/issue19-foundation-closure-major-batches.csv,data/working/issue19-b0-b1-public-official-diff-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_b0_b1_official_evidence_sidecar,逐专业招生明细,false,false,false,needs_source,尚无可匹配的高校逐专业计划源。,补高校招生网/计划查询/章程来源；再回到逐专业核验,1,C0-P0证据闭环先核,M-db1fe898054aeeb3,G-db1867eb696d3ac0,A022,北京林业大学,A02211,16,4,39,计算机类（计算机科学与技术、数字媒体技术、数据科学与大数据技术三年级北京校区培养，三年级起在雄安校区培养）二年级在北京校区培,,5500,,has_partial_source_needs_followup,no_school_source,,,,,,,no_retained_official_plan_for_school,0,not_covered,官网计划源待补强,false,PDF原页；湖北官方系统；高校官网/章程补强；专业名人工复核；计划数人工复核；专业组边界；调剂范围；家庭接受度,官网证据只作辅证；必须回到 PDF 原页、湖北官方系统/省招办计划、招生章程、家庭接受度和同组调剂结论。
B0B1SIDE-f1125a8788a08a8b,ADM-93fa62a92d1c63a4,B0B1DIFF-f1125a8788a08a8b,CLOSEMAJOR-f1125a8788a08a8b,data/working/issue19-foundation-closure-major-batches.csv,data/working/issue19-b0-b1-public-official-diff-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_b0_b1_official_evidence_sidecar,逐专业招生明细,false,false,false,unmatched,已有学校来源但专业未匹配，需核专业名、限定词和是否串校串行。,PDF原页；高校官网原始计划；专业名称限定词人工比对,2,C0-P0证据闭环先核,M-f7fc1e53365bb4e8,G-9fca3ce8b2adbf9c,A135,山东大学,A13506,37,2,21,计算机类（智能软件与芯片新工科实验班：软件工程；数字媒体技术：数据科学与大数据技术；微电子科学与工程；集成电路设计与集成系统；含人工智能固际班，网安新工科创新买...,10,,,has_reusable_2026_hubei_plan_source,unmatched,,,,,,,unmatched_missing_key_qualifier,55,not_covered,官网专业未匹配,false,PDF原页；湖北官方系统；专业名人工复核；计划数人工复核；专业组边界；调剂范围；家庭接受度,官网证据只作辅证；必须回到 PDF 原页、湖北官方系统/省招办计划、招生章程、家庭接受度和同组调剂结论。
B0B1SIDE-f312ff27de71a43f,ADM-a60bd43c624c87a1,B0B1DIFF-f312ff27de71a43f,CLOSEMAJOR-f312ff27de71a43f,data/working/issue19-foundation-closure-major-batches.csv,data/working/issue19-b0-b1-public-official-diff-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_b0_b1_official_evidence_sidecar,逐专业招生明细,false,false,false,strong_support,官网专业名和计划数匹配，可作为强辅证；仍需 PDF 原页和湖北官方系统复核。,PDF原页；湖北官方系统/省招办计划；专业组边界；家庭接受度；调剂范围,3,C0-P0证据闭环先核,M-9e26fdb0260351e2,G-995f78a388a7f2b5,H002,浙江工业大学,H00204,137,6,10,计算机类（计算机科学与技术、软件工程、网络工程、数字媒体技术：办学地点：朝晖校区）,5,6000,,has_reusable_2026_hubei_plan_source,matched,data/external/issue19-b0-b1-official-sources/zjut-2026-hubei-physics-plan-extracted.csv,计算机类,,5,,,contains_after_normalization,85,match,,false,PDF原页；湖北官方系统；专业组边界；调剂范围；家庭接受度,官网证据只作辅证；必须回到 PDF 原页、湖北官方系统/省招办计划、招生章程、家庭接受度和同组调剂结论。
B0B1SIDE-206aa88565d57c6a,ADM-b90c1647cf0911a4,B0B1DIFF-206aa88565d57c6a,CLOSEMAJOR-206aa88565d57c6a,data/working/issue19-foundation-closure-major-batches.csv,data/working/issue19-b0-b1-public-official-diff-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_b0_b1_official_evidence_sidecar,逐专业招生明细,false,false,false,fill_candidate,OCR计划数缺失但官网有计划数，可作为计划数补缺候选。,PDF原页计划数列；湖北官方系统/省招办计划；高校官网原始证据,9,C0-P0证据闭环先核,M-b11b9f49fcb51333,G-3ed22abc87c8dac2,F305,忻州师范学院,F30508,109,4,18,计算机科学与技术（师范类）,,5280,【化学,has_reusable_2026_hubei_plan_source,matched,data/external/issue19-b0-b1-official-sources/xztu-2026-hubei-physics-plan-extracted.csv,计算机科学与技术(师范),,2,5280,,contains_after_normalization,85,ocr_plan_missing_official_available,,false,PDF原页；湖北官方系统；计划数人工复核；专业组边界；调剂范围；家庭接受度,官网证据只作辅证；必须回到 PDF 原页、湖北官方系统/省招办计划、招生章程、家庭接受度和同组调剂结论。
B0B1SIDE-62f5902d215635a2,ADM-c8e075f13218465e,B0B1DIFF-62f5902d215635a2,CLOSEMAJOR-62f5902d215635a2,data/working/issue19-foundation-closure-major-batches.csv,data/working/issue19-b0-b1-public-official-diff-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_b0_b1_official_evidence_sidecar,逐专业招生明细,false,false,false,fill_candidate,OCR计划数缺失但官网有计划数，可作为计划数补缺候选。,PDF原页计划数列；湖北官方系统/省招办计划；高校官网原始证据,13,C0-P0证据闭环先核,M-3ef576112ee9a076,G-399026bbf2fbbc18,A195,兰州大学,A19511,56,8,42,数字媒体技术（办学地点：甘肃兰州）覓亮計孝院校专业组及专业代号,,5800,,has_reusable_2026_hubei_plan_source,matched,data/external/issue19-b0-b1-official-sources/lzu-2026-hubei-physics-normal-zsjh.json,数字媒体技术,,3,,物理和化学,contains_after_normalization,85,ocr_plan_missing_official_available,,false,PDF原页；湖北官方系统；计划数人工复核；专业组边界；调剂范围；家庭接受度,官网证据只作辅证；必须回到 PDF 原页、湖北官方系统/省招办计划、招生章程、家庭接受度和同组调剂结论。
B0B1SIDE-76c18886f4a13693,ADM-4d313164370ecb12,B0B1DIFF-76c18886f4a13693,CLOSEMAJOR-76c18886f4a13693,data/working/issue19-foundation-closure-major-batches.csv,data/working/issue19-b0-b1-public-official-diff-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_b0_b1_official_evidence_sidecar,逐专业招生明细,false,false,false,strong_support,官网专业名和计划数匹配，可作为强辅证；仍需 PDF 原页和湖北官方系统复核。,PDF原页；湖北官方系统/省招办计划；专业组边界；家庭接受度；调剂范围,16,C0-P0证据闭环先核,M-2e4cfb5c1e02763a,G-06d6761ecafe9d62,C108,江汉大学,C10811,69,7,68,数字媒体技术KA◎Z,25,4000,,has_reusable_2026_hubei_plan_source,matched,data/external/issue19-b0-b1-official-sources/jhun-2026-hubei-physics-normal-lqxx2.json,数字媒体技术,1T,25,,,contains_after_normalization,85,match,,false,PDF原页；湖北官方系统；专业组边界；调剂范围；家庭接受度,官网证据只作辅证；必须回到 PDF 原页、湖北官方系统/省招办计划、招生章程、家庭接受度和同组调剂结论。
B0B1SIDE-1f6de9ed4547b20f,ADM-0c59190cffbb475e,B0B1DIFF-1f6de9ed4547b20f,CLOSEMAJOR-1f6de9ed4547b20f,data/working/issue19-foundation-closure-major-batches.csv,data/working/issue19-b0-b1-public-official-diff-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_b0_b1_official_evidence_sidecar,逐专业招生明细,false,false,false,needs_source,尚无可匹配的高校逐专业计划源。,补高校招生网/计划查询/章程来源；再回到逐专业核验,19,C0-P0证据闭环先核,M-15177b26212882d0,G-4b176ed1a76f733b,C133,湖北师范大学,C13310,78,13,53,数字媒体技术,22,4000,,needs_official_plan_source_search,no_school_source,,,,,,,no_retained_official_plan_for_school,0,not_covered,官网计划源待补强,false,PDF原页；湖北官方系统；高校官网/章程补强；专业名人工复核；计划数人工复核；专业组边界；调剂范围；家庭接受度,官网证据只作辅证；必须回到 PDF 原页、湖北官方系统/省招办计划、招生章程、家庭接受度和同组调剂结论。
B0B1SIDE-e4a01dc3e262dff1,ADM-25c70d33169f9b27,B0B1DIFF-e4a01dc3e262dff1,CLOSEMAJOR-e4a01dc3e262dff1,data/working/issue19-foundation-closure-major-batches.csv,data/working/issue19-b0-b1-public-official-diff-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_b0_b1_official_evidence_sidecar,逐专业招生明细,false,false,false,rules_only,目前只有章程或规则线索，不能作为逐专业计划证据。,继续补高校逐专业计划源；核招生章程限制项,24,C0-P0证据闭环先核,M-0c0edd7d7d82147d,G-8159b57638ce2359,F002,北方工业大学,F00202,92,18,20,数字媒体技术,,4600,,charter_or_rules_only_no_plan,no_school_source,,,,,,,no_retained_official_plan_for_school,0,not_covered,仅章程或规则线索,false,PDF原页；湖北官方系统；高校官网/章程补强；专业名人工复核；计划数人工复核；专业组边界；调剂范围；家庭接受度,官网证据只作辅证；必须回到 PDF 原页、湖北官方系统/省招办计划、招生章程、家庭接受度和同组调剂结论。
B0B1SIDE-75a21ffbe334d016,ADM-8dace26946595f1e,B0B1DIFF-75a21ffbe334d016,CLOSEMAJOR-75a21ffbe334d016,data/working/issue19-foundation-closure-major-batches.csv,data/working/issue19-b0-b1-public-official-diff-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_b0_b1_official_evidence_sidecar,逐专业招生明细,false,false,false,fill_candidate,OCR计划数缺失但官网有计划数，可作为计划数补缺候选。,PDF原页计划数列；湖北官方系统/省招办计划；高校官网原始证据,26,C0-P0证据闭环先核,M-6eb339aae881b3aa,G-3ed22abc87c8dac2,F305,忻州师范学院,F30508,109,2,16,数字媒体技术,,4800,,has_reusable_2026_hubei_plan_source,matched,data/external/issue19-b0-b1-official-sources/xztu-2026-hubei-physics-plan-extracted.csv,数字媒体技术,,1,4800,,exact_after_normalization,100,ocr_plan_missing_official_available,,false,PDF原页；湖北官方系统；计划数人工复核；专业组边界；调剂范围；家庭接受度,官网证据只作辅证；必须回到 PDF 原页、湖北官方系统/省招办计划、招生章程、家庭接受度和同组调剂结论。
B0B1SIDE-644093406ba6146e,ADM-e5aa96ac745a7867,B0B1DIFF-644093406ba6146e,CLOSEMAJOR-644093406ba6146e,data/working/issue19-foundation-closure-major-batches.csv,data/working/issue19-b0-b1-public-official-diff-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_b0_b1_official_evidence_sidecar,逐专业招生明细,false,false,false,fill_candidate,OCR计划数缺失但官网有计划数，可作为计划数补缺候选。,PDF原页计划数列；湖北官方系统/省招办计划；高校官网原始证据,28,C0-P0证据闭环先核,M-93d6111287b31e95,G-2432826275c85956,A033,中国传媒大学,A03313,18,1,26,数字媒体技术（游戏科学与技术方向）,,3,【化学,has_reusable_2026_hubei_plan_source,matched,data/external/issue19-b0-b1-official-sources/cuc-2026-hubei-physics-normal-zsjh.json,数字媒体技术（游戏科学与技术方向）,54,3,5500,"物理,化学(2门科目考生均须选考方可报考)",exact_after_normalization,100,ocr_plan_missing_official_available,,false,PDF原页；湖北官方系统；计划数人工复核；专业组边界；调剂范围；家庭接受度,官网证据只作辅证；必须回到 PDF 原页、湖北官方系统/省招办计划、招生章程、家庭接受度和同组调剂结论。
