学校名称,检索日期,官网URL,是否可核湖北2026,可核字段,局限性,证据类型,置信度,下一步,记录来源
武汉轻工大学,2026-06-27,https://zsb.whpu.edu.cn/,未见,可核本科招生网和招生系统入口归属；未核到湖北2026分省分专业计划字段,当前仅见招生系统入口配置，不能作为2026湖北普通本科物理类计划数证据,官网入口和招生系统配置,中,继续用浏览器或接口复现招生计划查询；未取得湖北2026逐专业计划前不得作为计划数证据,并发官方源检索
湖北师范大学,2026-06-27,https://xxgk.hbnu.edu.cn/3315/list.htm,未见,可核招生信息栏目和2026招生章程入口；不能核湖北分专业计划数,章程只说明计划以主管部门公布为准，未给湖北本科普通批物理类分专业计划,高校官网信息公开页,高,继续等待或查找湖北官方系统/省招办计划；章程只用于规则核验,并发官方源检索
长春工业大学,2026-06-27,https://bzkzs.ccut.edu.cn/zsxx/bzkzsxx/zsjh.htm,未见,可核2026吉林省招生计划及专业分组；不能核湖北计划,官方2026计划当前只见吉林省，不能迁移为湖北计划数证据,招生网栏目和PDF,高,继续查找湖北2026普通本科物理类计划；吉林计划不得作为湖北证据,并发官方源检索
江苏理工学院,2026-06-27,https://zs.jsut.edu.cn/,部分,可核湖北2026物理类普通类专业名称、计划数、学制、学费,计划表来自招生官网入口指向的官方计划图，未给湖北院校专业组代码和专业代号；组边界需回到第19期原页和湖北官方系统,官网入口和官方计划图转录,中高,已转录为逐专业表并接入官网证据匹配；继续核第19期原页、湖北官方系统和组内调剂范围,并发官方源检索
浙江工业大学,2026-06-27,https://zs.zjut.edu.cn/jsp/news.jsp?neId=2569,可能,可确认官方发布2026本科分省分专业招生计划页线索；尚未核到湖北行字段,命令行请求返回403，未能本地抽取湖北物理类、本科普通批、专业计划数,官方招生网页面线索,中,用浏览器人工打开、另存或截图后再归档；未取得湖北行前不得作为计划数字段证据,并发官方源检索
浙江传媒学院,2026-06-27,https://zsw.cuz.edu.cn/static/front/cuz/basic/html_web/zsjh.html,未见,可核官方招生系统接口当前对湖北2026查询返回空列表,空结果只能证明官方接口当前未返回湖北2026数据，不能证明学校一定无计划,官方招生系统API,中高,保留为未见线索；继续等待官网更新或回到湖北官方系统核验,并发官方源检索
韶关学院,2026-06-27,https://www.sgu.edu.cn/zsxxw/zsjh.htm,未见,可核招生计划栏目中最新普通本科相关计划仍为2025；2026仅见普通专升本,2026普通专升本不是普通高考本科普通批；2025省外计划不是2026证据,官方招生信息网栏目,高,继续查找2026湖北普通本科计划；不得使用2025省外计划或专升本计划替代,并发官方源检索
南宁学院,2026-06-27,https://zs.unn.edu.cn/bkzn/zsjh.htm,部分,可核湖北2026普通本科批物理类专业名称、计划数、学费、选科、学院、页面专业组编号,页面专业组编号不是湖北志愿系统院校专业组代码，未给专业代号和湖北专业组边界,官方招生计划网静态表,高,已接入官网证据匹配；继续核第19期原页、湖北官方系统和调剂范围,并发官方源检索
成都师范学院,2026-06-27,https://www.cdnu.edu.cn/,未见,当前只定位到官网入口，未取得可复用湖北2026普通本科物理类计划字段,招生计划页命令行访问遇到站点防护或挑战，尚不能核计划数,官网入口线索,中,用浏览器人工打开招生计划页或等待可访问官方计划；未取得前不得作为计划数证据,并发官方源检索
西安航空学院,2026-06-27,https://zb.xaau.edu.cn/bkzn/zsjh.htm,未见,可核招生计划栏目和2026招生章程入口；当前计划栏目仍以2025计划为主,2026招生章程不能替代湖北2026分省分专业计划，2025计划不得迁移,招生网栏目和章程线索,中高,继续查找2026湖北计划；章程只用于规则、调剂和体检限制核验,并发官方源检索
