复核优先级,冲突类型,招生明细主表行ID,来源页码,院校代码,院校名称,2026院校专业组代码,专业代号OCR,专业名称及备注OCR,OCR计划数候选,官网专业名称,官网计划数,官网学费,官网来源文件,保真处理状态,保真诊断,计划数候选引用方式,核页重点,下一步
P0-计划数疑似学费错位,OCR计划数疑似误取学费,ADM-565cbf81e9dd38ab,135,F902,江苏理工学院,F90202,03,机械电子工程,5800,机械电子工程,1,5800,data/external/issue19-b0-b1-official-sources/jsut-2026-hubei-physics-plan-extracted.csv,官网专业名匹配但计划数冲突-优先核页,OCR计划数与官网学费一致，初判为计划数列/学费列错位；官网计划数只能作为候选值，仍需核PDF原页和湖北官方系统。,官网计划数候选=1；不得直接写入最终表，先核原页计划数列。,回看第19期PDF原页计划数列和学费列；核湖北官方系统同专业组同专业代号；对照高校官网计划数和学费；当前冲突类型：OCR计划数疑似误取学费,先核PDF原页同一行，再核湖北官方系统；若PDF与高校官网冲突，以湖北省招办渠道为准并记录差异。
P0-计划数疑似学费错位,OCR计划数疑似误取学费,ADM-badbdb7ca0061f37,135,F902,江苏理工学院,F90202,04,过程装备与控制工程,5800,过程装备与控制工程,1,5800,data/external/issue19-b0-b1-official-sources/jsut-2026-hubei-physics-plan-extracted.csv,官网专业名匹配但计划数冲突-优先核页,OCR计划数与官网学费一致，初判为计划数列/学费列错位；官网计划数只能作为候选值，仍需核PDF原页和湖北官方系统。,官网计划数候选=1；不得直接写入最终表，先核原页计划数列。,回看第19期PDF原页计划数列和学费列；核湖北官方系统同专业组同专业代号；对照高校官网计划数和学费；当前冲突类型：OCR计划数疑似误取学费,先核PDF原页同一行，再核湖北官方系统；若PDF与高校官网冲突，以湖北省招办渠道为准并记录差异。
P0-计划数疑似学费错位,OCR计划数疑似误取学费,ADM-2ec80a62364d709a,135,F902,江苏理工学院,F90202,05,通信工程,5800,通信工程,1,5800,data/external/issue19-b0-b1-official-sources/jsut-2026-hubei-physics-plan-extracted.csv,官网专业名匹配但计划数冲突-优先核页,OCR计划数与官网学费一致，初判为计划数列/学费列错位；官网计划数只能作为候选值，仍需核PDF原页和湖北官方系统。,官网计划数候选=1；不得直接写入最终表，先核原页计划数列。,回看第19期PDF原页计划数列和学费列；核湖北官方系统同专业组同专业代号；对照高校官网计划数和学费；当前冲突类型：OCR计划数疑似误取学费,先核PDF原页同一行，再核湖北官方系统；若PDF与高校官网冲突，以湖北省招办渠道为准并记录差异。
P0-计划数疑似学费错位,OCR计划数疑似误取学费,ADM-1d7b256dea97f6ce,135,F902,江苏理工学院,F90202,06,电气工程及其自动化,5800,电气工程及其自动化,2,5800,data/external/issue19-b0-b1-official-sources/jsut-2026-hubei-physics-plan-extracted.csv,官网专业名匹配但计划数冲突-优先核页,OCR计划数与官网学费一致，初判为计划数列/学费列错位；官网计划数只能作为候选值，仍需核PDF原页和湖北官方系统。,官网计划数候选=2；不得直接写入最终表，先核原页计划数列。,回看第19期PDF原页计划数列和学费列；核湖北官方系统同专业组同专业代号；对照高校官网计划数和学费；当前冲突类型：OCR计划数疑似误取学费,先核PDF原页同一行，再核湖北官方系统；若PDF与高校官网冲突，以湖北省招办渠道为准并记录差异。
P0-计划数疑似学费错位,OCR计划数疑似误取学费,ADM-b88c534b1f625967,135,F902,江苏理工学院,F90202,07,自动化,5800,自动化,1,5800,data/external/issue19-b0-b1-official-sources/jsut-2026-hubei-physics-plan-extracted.csv,官网专业名匹配但计划数冲突-优先核页,OCR计划数与官网学费一致，初判为计划数列/学费列错位；官网计划数只能作为候选值，仍需核PDF原页和湖北官方系统。,官网计划数候选=1；不得直接写入最终表，先核原页计划数列。,回看第19期PDF原页计划数列和学费列；核湖北官方系统同专业组同专业代号；对照高校官网计划数和学费；当前冲突类型：OCR计划数疑似误取学费,先核PDF原页同一行，再核湖北官方系统；若PDF与高校官网冲突，以湖北省招办渠道为准并记录差异。
P0-计划数疑似学费错位,OCR计划数疑似误取学费,ADM-3a67383dbcfbb998,135,F902,江苏理工学院,F90202,08,软件工程,5800,软件工程,1,5800,data/external/issue19-b0-b1-official-sources/jsut-2026-hubei-physics-plan-extracted.csv,官网专业名匹配但计划数冲突-优先核页,OCR计划数与官网学费一致，初判为计划数列/学费列错位；官网计划数只能作为候选值，仍需核PDF原页和湖北官方系统。,官网计划数候选=1；不得直接写入最终表，先核原页计划数列。,回看第19期PDF原页计划数列和学费列；核湖北官方系统同专业组同专业代号；对照高校官网计划数和学费；当前冲突类型：OCR计划数疑似误取学费,先核PDF原页同一行，再核湖北官方系统；若PDF与高校官网冲突，以湖北省招办渠道为准并记录差异。
P0-计划数疑似学费错位,OCR计划数疑似误取学费,ADM-74a41fab34220efa,135,F902,江苏理工学院,F90202,09,数据科学与大数据技术,5800,数据科学与大数据技术,1,5800,data/external/issue19-b0-b1-official-sources/jsut-2026-hubei-physics-plan-extracted.csv,官网专业名匹配但计划数冲突-优先核页,OCR计划数与官网学费一致，初判为计划数列/学费列错位；官网计划数只能作为候选值，仍需核PDF原页和湖北官方系统。,官网计划数候选=1；不得直接写入最终表，先核原页计划数列。,回看第19期PDF原页计划数列和学费列；核湖北官方系统同专业组同专业代号；对照高校官网计划数和学费；当前冲突类型：OCR计划数疑似误取学费,先核PDF原页同一行，再核湖北官方系统；若PDF与高校官网冲突，以湖北省招办渠道为准并记录差异。
P0-计划数疑似学费错位,OCR计划数疑似误取学费,ADM-6f9830a78dd664d3,135,F902,江苏理工学院,F90202,10,数字媒体技术,5800,数字媒体技术,2,5800,data/external/issue19-b0-b1-official-sources/jsut-2026-hubei-physics-plan-extracted.csv,官网专业名匹配但计划数冲突-优先核页,OCR计划数与官网学费一致，初判为计划数列/学费列错位；官网计划数只能作为候选值，仍需核PDF原页和湖北官方系统。,官网计划数候选=2；不得直接写入最终表，先核原页计划数列。,回看第19期PDF原页计划数列和学费列；核湖北官方系统同专业组同专业代号；对照高校官网计划数和学费；当前冲突类型：OCR计划数疑似误取学费,先核PDF原页同一行，再核湖北官方系统；若PDF与高校官网冲突，以湖北省招办渠道为准并记录差异。
P0-计划数疑似学费错位,OCR计划数疑似误取学费,ADM-ab8d1c3f3e83bc14,135,F902,江苏理工学院,F90202,11,储能科学与工程,5800,储能科学与工程,1,5800,data/external/issue19-b0-b1-official-sources/jsut-2026-hubei-physics-plan-extracted.csv,官网专业名匹配但计划数冲突-优先核页,OCR计划数与官网学费一致，初判为计划数列/学费列错位；官网计划数只能作为候选值，仍需核PDF原页和湖北官方系统。,官网计划数候选=1；不得直接写入最终表，先核原页计划数列。,回看第19期PDF原页计划数列和学费列；核湖北官方系统同专业组同专业代号；对照高校官网计划数和学费；当前冲突类型：OCR计划数疑似误取学费,先核PDF原页同一行，再核湖北官方系统；若PDF与高校官网冲突，以湖北省招办渠道为准并记录差异。
P0-计划数疑似学费错位,OCR计划数疑似误取学费,ADM-6e7b9045ae912486,135,F902,江苏理工学院,F90202,12,功能材料,5800,功能材料,2,5800,data/external/issue19-b0-b1-official-sources/jsut-2026-hubei-physics-plan-extracted.csv,官网专业名匹配但计划数冲突-优先核页,OCR计划数与官网学费一致，初判为计划数列/学费列错位；官网计划数只能作为候选值，仍需核PDF原页和湖北官方系统。,官网计划数候选=2；不得直接写入最终表，先核原页计划数列。,回看第19期PDF原页计划数列和学费列；核湖北官方系统同专业组同专业代号；对照高校官网计划数和学费；当前冲突类型：OCR计划数疑似误取学费,先核PDF原页同一行，再核湖北官方系统；若PDF与高校官网冲突，以湖北省招办渠道为准并记录差异。
P1-计划数冲突待核页,OCR计划数与官网计划数不一致,ADM-56260c9c6f7ba82d,137,H002,浙江工业大学,H00204,05,生木类（士木工程、给排水科学与工程；办学地点：朝晖校区）,4,土木类,7,,data/external/issue19-b0-b1-official-sources/zjut-2026-hubei-physics-plan-extracted.csv,官网专业名匹配但计划数冲突-优先核页,官网专业名为包含式匹配，计划数差异可能来自OCR截断、专业方向差异或官网口径差异，不能自动改数。,不自动给出修正值；先核专业名是否同一专业、是否同一招生口径。,回看第19期PDF原页计划数列和学费列；核湖北官方系统同专业组同专业代号；对照高校官网计划数和学费；当前冲突类型：OCR计划数与官网计划数不一致,先核PDF原页同一行，再核湖北官方系统；若PDF与高校官网冲突，以湖北省招办渠道为准并记录差异。
P1-计划数冲突待核页,OCR计划数与官网计划数不一致,ADM-585a73122d3f5181,169,H450,山东工商学院,H45004,46,通信工程,2,通信工程,1,,data/external/issue19-b0-b1-official-sources/sdtbu-2026-hubei-physics-plan-extracted.csv,官网专业名匹配但计划数冲突-优先核页,OCR计划数与官网计划数不一致，需以PDF原页和湖北官方系统逐字段复核后定值。,不自动给出修正值；先核专业名是否同一专业、是否同一招生口径。,回看第19期PDF原页计划数列和学费列；核湖北官方系统同专业组同专业代号；对照高校官网计划数和学费；当前冲突类型：OCR计划数与官网计划数不一致,先核PDF原页同一行，再核湖北官方系统；若PDF与高校官网冲突，以湖北省招办渠道为准并记录差异。
P0-偏好专业计划数冲突,OCR计划数与官网计划数不一致,ADM-b3e3aea311ce8285,18,A033,中国传媒大学,A03312,25,数字媒体技术,12,数字媒体技术,3,5500,data/external/issue19-b0-b1-official-sources/cuc-2026-hubei-physics-normal-zsjh.json,官网专业名匹配但计划数冲突-优先核页,OCR计划数与官网计划数不一致，需以PDF原页和湖北官方系统逐字段复核后定值。,不自动给出修正值；先核专业名是否同一专业、是否同一招生口径。,回看第19期PDF原页计划数列和学费列；核湖北官方系统同专业组同专业代号；对照高校官网计划数和学费；当前冲突类型：OCR计划数与官网计划数不一致,先核PDF原页同一行，再核湖北官方系统；若PDF与高校官网冲突，以湖北省招办渠道为准并记录差异。
P0-计划数疑似学费错位,OCR计划数疑似误取学费,ADM-d87fc6b5a2e7ad49,199,H945,南宁学院,H94505,22,物联网工程,22500,物联网工程,2,22500,data/external/issue19-b0-b1-official-sources/unn-2026-undergraduate-plan-page.html,官网专业名匹配但计划数冲突-优先核页,OCR计划数与官网学费一致，初判为计划数列/学费列错位；官网计划数只能作为候选值，仍需核PDF原页和湖北官方系统。,官网计划数候选=2；不得直接写入最终表，先核原页计划数列。,回看第19期PDF原页计划数列和学费列；核湖北官方系统同专业组同专业代号；对照高校官网计划数和学费；当前冲突类型：OCR计划数疑似误取学费,先核PDF原页同一行，再核湖北官方系统；若PDF与高校官网冲突，以湖北省招办渠道为准并记录差异。
P0-计划数疑似学费错位,OCR计划数疑似误取学费,ADM-2085e90c6097b446,199,H945,南宁学院,H94505,24,数字媒体技术,22500.,数字媒体技术,3,22500,data/external/issue19-b0-b1-official-sources/unn-2026-undergraduate-plan-page.html,官网专业名匹配但计划数冲突-优先核页,OCR计划数与官网学费一致，初判为计划数列/学费列错位；官网计划数只能作为候选值，仍需核PDF原页和湖北官方系统。,官网计划数候选=3；不得直接写入最终表，先核原页计划数列。,回看第19期PDF原页计划数列和学费列；核湖北官方系统同专业组同专业代号；对照高校官网计划数和学费；当前冲突类型：OCR计划数疑似误取学费,先核PDF原页同一行，再核湖北官方系统；若PDF与高校官网冲突，以湖北省招办渠道为准并记录差异。
