C4C6官网源复用审计ID,来源C4C6执行包表,来源C4C6执行包摘要,来源官网标准化证据表,来源全量字段保真总账,来源期号,来源PDF_SHA256,数据阶段,主表粒度,任务粒度,最终可用,可进入下一阶段,可否进入最终志愿方案,是否允许作为志愿推荐依据,是否允许自动写回主表,是否允许官网证据替代湖北官方计划,是否允许生成学校专业建议,是否允许写回字段事实,C4C6高校源刷新执行包ID,执行总序,执行泳道,院校代码,院校名称OCR,官网辅证自动动作,涉及私有明细数,已有标准化官网证据行数,已有标准化官网来源文件数,已有标准化官网证据类型集合,本轮官网专业名匹配明细数,本轮官网疑似匹配明细数,本轮官网未匹配明细数,本轮无留存结构化官网源明细数,计划数一致候选数,官网可补OCR计划数候选数,计划数冲突候选数,计划数未覆盖数,已有源可生成候选diff明细数,结构化复用优先级,建议下一步自动动作,本地未公开明细CSV证据编号,本地未公开明细CSV_SHA256,本地未公开明细行数,PDF原页核页状态,湖北官方系统或省招办计划核验状态,高校官网源复用状态,字段事实写回状态,公开安全策略,下一步
C4C6REUSE-f733e1d2f6a9820c,data/working/issue19-c4-c6-school-source-refresh-execution-packets.csv,data/working/issue19-c4-c6-school-source-refresh-execution-packets-summary.json,data/working/issue19-b0-b1-retained-official-plan-normalized.csv,data/working/issue19-full-major-field-fidelity-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_c4_c6_retained_source_reuse_audit,C4/C6高校源刷新执行包×已留存官网标准化证据复用,公开包级审计；逐专业匹配候选仅保存在本地未公开明细,false,false,false,false,false,false,false,false,C4C6PACKET-3e5575407e9960c4,1,X3-C4已有部分来源待结构化,A022,北京林业大学,C4-已有部分来源需补结构化或补湖北行,28,0,0,,0,0,0,28,0,0,0,28,0,R3-无留存标准化源但有入口需抓取或补parser,先抓取入口指向的2026湖北物理普通本科计划源，再结构化。,local_c4_c6_retained_source_reuse_detail_csv_not_public,234932bf053b796bfa5af1d1c2b94d0a4633c9067849e378b22084db469b4d41,28,pending_manual_pdf_review,pending_hubei_official_review,retained_source_reuse_audit_not_verified,blocked_until_pdf_hubei_official_review,公开层只保留包级计数、优先级和SHA；逐专业字段值、官网候选值和复核正文不公开。,用本地未公开明细生成候选diff；所有字段仍需PDF原页、湖北官方侧和必要高校辅证闭环。
C4C6REUSE-3f26a7a5aed5eb44,data/working/issue19-c4-c6-school-source-refresh-execution-packets.csv,data/working/issue19-c4-c6-school-source-refresh-execution-packets-summary.json,data/working/issue19-b0-b1-retained-official-plan-normalized.csv,data/working/issue19-full-major-field-fidelity-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_c4_c6_retained_source_reuse_audit,C4/C6高校源刷新执行包×已留存官网标准化证据复用,公开包级审计；逐专业匹配候选仅保存在本地未公开明细,false,false,false,false,false,false,false,false,C4C6PACKET-ffff6976b2f1b377,2,X3-C4已有部分来源待结构化,A032,北京语言大学,C4-已有部分来源需补结构化或补湖北行,11,0,0,,0,0,0,11,0,0,0,11,0,R3-无留存标准化源但有入口需抓取或补parser,先抓取入口指向的2026湖北物理普通本科计划源，再结构化。,local_c4_c6_retained_source_reuse_detail_csv_not_public,234932bf053b796bfa5af1d1c2b94d0a4633c9067849e378b22084db469b4d41,11,pending_manual_pdf_review,pending_hubei_official_review,retained_source_reuse_audit_not_verified,blocked_until_pdf_hubei_official_review,公开层只保留包级计数、优先级和SHA；逐专业字段值、官网候选值和复核正文不公开。,用本地未公开明细生成候选diff；所有字段仍需PDF原页、湖北官方侧和必要高校辅证闭环。
C4C6REUSE-57f7d0180c440220,data/working/issue19-c4-c6-school-source-refresh-execution-packets.csv,data/working/issue19-c4-c6-school-source-refresh-execution-packets-summary.json,data/working/issue19-b0-b1-retained-official-plan-normalized.csv,data/working/issue19-full-major-field-fidelity-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_c4_c6_retained_source_reuse_audit,C4/C6高校源刷新执行包×已留存官网标准化证据复用,公开包级审计；逐专业匹配候选仅保存在本地未公开明细,false,false,false,false,false,false,false,false,C4C6PACKET-2b99974a6ff55bbf,3,X2-C4有入口但未留存结果,A033,中国传媒大学,C4-已有部分来源需补结构化或补湖北行,10,14,1,official_dynamic_ajax_json,5,0,5,0,3,2,0,5,5,R0-已有官网源且存在计划数一致候选,生成候选diff并优先回看PDF原页与湖北官方侧，不写回主表。,local_c4_c6_retained_source_reuse_detail_csv_not_public,234932bf053b796bfa5af1d1c2b94d0a4633c9067849e378b22084db469b4d41,10,pending_manual_pdf_review,pending_hubei_official_review,retained_source_reuse_audit_not_verified,blocked_until_pdf_hubei_official_review,公开层只保留包级计数、优先级和SHA；逐专业字段值、官网候选值和复核正文不公开。,用本地未公开明细生成候选diff；所有字段仍需PDF原页、湖北官方侧和必要高校辅证闭环。
C4C6REUSE-b553107b5f089029,data/working/issue19-c4-c6-school-source-refresh-execution-packets.csv,data/working/issue19-c4-c6-school-source-refresh-execution-packets-summary.json,data/working/issue19-b0-b1-retained-official-plan-normalized.csv,data/working/issue19-full-major-field-fidelity-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_c4_c6_retained_source_reuse_audit,C4/C6高校源刷新执行包×已留存官网标准化证据复用,公开包级审计；逐专业匹配候选仅保存在本地未公开明细,false,false,false,false,false,false,false,false,C4C6PACKET-b77bf47f41683229,4,X2-C4有入口但未留存结果,A135,山东大学,C4-已有部分来源需补结构化或补湖北行,13,24,1,official_dynamic_ajax_json,10,0,3,0,3,7,0,3,10,R0-已有官网源且存在计划数一致候选,生成候选diff并优先回看PDF原页与湖北官方侧，不写回主表。,local_c4_c6_retained_source_reuse_detail_csv_not_public,234932bf053b796bfa5af1d1c2b94d0a4633c9067849e378b22084db469b4d41,13,pending_manual_pdf_review,pending_hubei_official_review,retained_source_reuse_audit_not_verified,blocked_until_pdf_hubei_official_review,公开层只保留包级计数、优先级和SHA；逐专业字段值、官网候选值和复核正文不公开。,用本地未公开明细生成候选diff；所有字段仍需PDF原页、湖北官方侧和必要高校辅证闭环。
C4C6REUSE-e31f5d91781450f9,data/working/issue19-c4-c6-school-source-refresh-execution-packets.csv,data/working/issue19-c4-c6-school-source-refresh-execution-packets-summary.json,data/working/issue19-b0-b1-retained-official-plan-normalized.csv,data/working/issue19-full-major-field-fidelity-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_c4_c6_retained_source_reuse_audit,C4/C6高校源刷新执行包×已留存官网标准化证据复用,公开包级审计；逐专业匹配候选仅保存在本地未公开明细,false,false,false,false,false,false,false,false,C4C6PACKET-1c97f6ee3624a3bb,5,X2-C4有入口但未留存结果,A195,兰州大学,C4-已有部分来源需补结构化或补湖北行,46,56,1,official_dynamic_api_json,40,2,4,0,0,42,0,4,42,R1-已有官网源但计划数需核页或OCR补缺,保留官网候选值，优先核PDF原页计划数和OCR漏识。,local_c4_c6_retained_source_reuse_detail_csv_not_public,234932bf053b796bfa5af1d1c2b94d0a4633c9067849e378b22084db469b4d41,46,pending_manual_pdf_review,pending_hubei_official_review,retained_source_reuse_audit_not_verified,blocked_until_pdf_hubei_official_review,公开层只保留包级计数、优先级和SHA；逐专业字段值、官网候选值和复核正文不公开。,用本地未公开明细生成候选diff；所有字段仍需PDF原页、湖北官方侧和必要高校辅证闭环。
C4C6REUSE-68ddc2e69e203b94,data/working/issue19-c4-c6-school-source-refresh-execution-packets.csv,data/working/issue19-c4-c6-school-source-refresh-execution-packets-summary.json,data/working/issue19-b0-b1-retained-official-plan-normalized.csv,data/working/issue19-full-major-field-fidelity-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_c4_c6_retained_source_reuse_audit,C4/C6高校源刷新执行包×已留存官网标准化证据复用,公开包级审计；逐专业匹配候选仅保存在本地未公开明细,false,false,false,false,false,false,false,false,C4C6PACKET-7d00d0898b0c0031,6,X2-C4有入口但未留存结果,A197,西北民族大学,C4-已有部分来源需补结构化或补湖北行,27,30,1,official_dynamic_api_json,26,0,1,0,19,3,4,1,26,R0-已有官网源且存在计划数一致候选,生成候选diff并优先回看PDF原页与湖北官方侧，不写回主表。,local_c4_c6_retained_source_reuse_detail_csv_not_public,234932bf053b796bfa5af1d1c2b94d0a4633c9067849e378b22084db469b4d41,27,pending_manual_pdf_review,pending_hubei_official_review,retained_source_reuse_audit_not_verified,blocked_until_pdf_hubei_official_review,公开层只保留包级计数、优先级和SHA；逐专业字段值、官网候选值和复核正文不公开。,用本地未公开明细生成候选diff；所有字段仍需PDF原页、湖北官方侧和必要高校辅证闭环。
C4C6REUSE-9a66dd8795c6c982,data/working/issue19-c4-c6-school-source-refresh-execution-packets.csv,data/working/issue19-c4-c6-school-source-refresh-execution-packets-summary.json,data/working/issue19-b0-b1-retained-official-plan-normalized.csv,data/working/issue19-full-major-field-fidelity-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_c4_c6_retained_source_reuse_audit,C4/C6高校源刷新执行包×已留存官网标准化证据复用,公开包级审计；逐专业匹配候选仅保存在本地未公开明细,false,false,false,false,false,false,false,false,C4C6PACKET-3842dcb5f9cebe57,7,X3-C4已有部分来源待结构化,C108,江汉大学,C4-已有部分来源需补结构化或补湖北行,53,51,1,official_dynamic_api_json,38,0,15,0,37,0,1,15,38,R0-已有官网源且存在计划数一致候选,生成候选diff并优先回看PDF原页与湖北官方侧，不写回主表。,local_c4_c6_retained_source_reuse_detail_csv_not_public,234932bf053b796bfa5af1d1c2b94d0a4633c9067849e378b22084db469b4d41,53,pending_manual_pdf_review,pending_hubei_official_review,retained_source_reuse_audit_not_verified,blocked_until_pdf_hubei_official_review,公开层只保留包级计数、优先级和SHA；逐专业字段值、官网候选值和复核正文不公开。,用本地未公开明细生成候选diff；所有字段仍需PDF原页、湖北官方侧和必要高校辅证闭环。
C4C6REUSE-5385445aafa6c777,data/working/issue19-c4-c6-school-source-refresh-execution-packets.csv,data/working/issue19-c4-c6-school-source-refresh-execution-packets-summary.json,data/working/issue19-b0-b1-retained-official-plan-normalized.csv,data/working/issue19-full-major-field-fidelity-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_c4_c6_retained_source_reuse_audit,C4/C6高校源刷新执行包×已留存官网标准化证据复用,公开包级审计；逐专业匹配候选仅保存在本地未公开明细,false,false,false,false,false,false,false,false,C4C6PACKET-9ef8785e3f59bf74,8,X2-C4有入口但未留存结果,F099,天津外国语大学,C4-已有部分来源需补结构化或补湖北行,12,14,1,official_dynamic_api_json,12,0,0,0,0,12,0,0,12,R1-已有官网源但计划数需核页或OCR补缺,保留官网候选值，优先核PDF原页计划数和OCR漏识。,local_c4_c6_retained_source_reuse_detail_csv_not_public,234932bf053b796bfa5af1d1c2b94d0a4633c9067849e378b22084db469b4d41,12,pending_manual_pdf_review,pending_hubei_official_review,retained_source_reuse_audit_not_verified,blocked_until_pdf_hubei_official_review,公开层只保留包级计数、优先级和SHA；逐专业字段值、官网候选值和复核正文不公开。,用本地未公开明细生成候选diff；所有字段仍需PDF原页、湖北官方侧和必要高校辅证闭环。
C4C6REUSE-629a9f54243b4a82,data/working/issue19-c4-c6-school-source-refresh-execution-packets.csv,data/working/issue19-c4-c6-school-source-refresh-execution-packets-summary.json,data/working/issue19-b0-b1-retained-official-plan-normalized.csv,data/working/issue19-full-major-field-fidelity-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_c4_c6_retained_source_reuse_audit,C4/C6高校源刷新执行包×已留存官网标准化证据复用,公开包级审计；逐专业匹配候选仅保存在本地未公开明细,false,false,false,false,false,false,false,false,C4C6PACKET-36f6ae993b75818c,9,X3-C4已有部分来源待结构化,F305,忻州师范学院,C4-已有部分来源需补结构化或补湖北行,8,15,1,official_pdf_table_extracted_csv,7,0,1,0,0,7,0,1,7,R1-已有官网源但计划数需核页或OCR补缺,保留官网候选值，优先核PDF原页计划数和OCR漏识。,local_c4_c6_retained_source_reuse_detail_csv_not_public,234932bf053b796bfa5af1d1c2b94d0a4633c9067849e378b22084db469b4d41,8,pending_manual_pdf_review,pending_hubei_official_review,retained_source_reuse_audit_not_verified,blocked_until_pdf_hubei_official_review,公开层只保留包级计数、优先级和SHA；逐专业字段值、官网候选值和复核正文不公开。,用本地未公开明细生成候选diff；所有字段仍需PDF原页、湖北官方侧和必要高校辅证闭环。
C4C6REUSE-bc2d520b25798087,data/working/issue19-c4-c6-school-source-refresh-execution-packets.csv,data/working/issue19-c4-c6-school-source-refresh-execution-packets-summary.json,data/working/issue19-b0-b1-retained-official-plan-normalized.csv,data/working/issue19-full-major-field-fidelity-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_c4_c6_retained_source_reuse_audit,C4/C6高校源刷新执行包×已留存官网标准化证据复用,公开包级审计；逐专业匹配候选仅保存在本地未公开明细,false,false,false,false,false,false,false,false,C4C6PACKET-c89a684a379363ca,10,X3-C4已有部分来源待结构化,F902,江苏理工学院,C4-已有部分来源需补结构化或补湖北行,2,15,1,official_image_table_extracted_csv,2,0,0,0,0,1,1,0,2,R1-已有官网源但计划数需核页或OCR补缺,保留官网候选值，优先核PDF原页计划数和OCR漏识。,local_c4_c6_retained_source_reuse_detail_csv_not_public,234932bf053b796bfa5af1d1c2b94d0a4633c9067849e378b22084db469b4d41,2,pending_manual_pdf_review,pending_hubei_official_review,retained_source_reuse_audit_not_verified,blocked_until_pdf_hubei_official_review,公开层只保留包级计数、优先级和SHA；逐专业字段值、官网候选值和复核正文不公开。,用本地未公开明细生成候选diff；所有字段仍需PDF原页、湖北官方侧和必要高校辅证闭环。
