来源期号,来源PDF_SHA256,数据阶段,最终可用,候选池学校专业组,候选专业组代码,第19期全量OCR命中,全量专业组表是否出现,全量专业行数,候选复核页码,页面OCR是否出现候选组号,页面OCR命中页码,页面OCR证据,同校第19期OCR专业组,同校第19期OCR页码,异常规则ID,异常类型,严重程度,核验状态,下一步
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_candidate_page_code_audit,false,武汉商学院 C15007 第07组,C15007,是,是,2,81,是,81,第81页第6行含C15007,C15003；C15004；C15005；C15006；C15007,80；81,page_and_structured_match,页面与结构化均命中,低,needs_manual_pdf_review,回看候选页图，逐字段确认该组是否存在、是否被自动切组漏拆、是否为历史组号变化
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_candidate_page_code_audit,false,武汉商学院 C15006 第06组,C15006,是,是,3,80,是,80,第80页第263行含C15006,C15003；C15004；C15005；C15006；C15007,80；81,page_and_structured_match,页面与结构化均命中,低,needs_manual_pdf_review,回看候选页图，逐字段确认该组是否存在、是否被自动切组漏拆、是否为历史组号变化
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_candidate_page_code_audit,false,武汉商学院 C15003 第03组,C15003,是,是,22,80,否,,,C15003；C15004；C15005；C15006；C15007,80；81,structured_hit_page_text_miss,结构化命中但页面OCR未检出组号,中,needs_manual_pdf_review,回看候选页图，逐字段确认该组是否存在、是否被自动切组漏拆、是否为历史组号变化
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_candidate_page_code_audit,false,武汉商学院 C15005 第05组,C15005,是,是,4,80,是,80,第80页第253行含C15005,C15003；C15004；C15005；C15006；C15007,80；81,page_and_structured_match,页面与结构化均命中,低,needs_manual_pdf_review,回看候选页图，逐字段确认该组是否存在、是否被自动切组漏拆、是否为历史组号变化
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_candidate_page_code_audit,false,武汉商学院 C15004 第04组,C15004,是,是,4,80,是,80,第80页第244行含C15004,C15003；C15004；C15005；C15006；C15007,80；81,page_and_structured_match,页面与结构化均命中,低,needs_manual_pdf_review,回看候选页图，逐字段确认该组是否存在、是否被自动切组漏拆、是否为历史组号变化
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_candidate_page_code_audit,false,武汉轻工大学 C12508 第08组,C12508,是,是,21,74,是,74,第74页第21行含C12508,C12505；C12506；C12507；C12508；C12509,73；74,page_and_structured_match,页面与结构化均命中,低,needs_manual_pdf_review,回看候选页图，逐字段确认该组是否存在、是否被自动切组漏拆、是否为历史组号变化
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_candidate_page_code_audit,false,武汉体育学院 C10703 第03组,C10703,是,是,10,69,是,69,第69页第193行含C10703,C10703；C10705,69,page_and_structured_match,页面与结构化均命中,低,needs_manual_pdf_review,回看候选页图，逐字段确认该组是否存在、是否被自动切组漏拆、是否为历史组号变化
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_candidate_page_code_audit,false,武汉体育学院 C10702 第02组,C10702,否,否,0,69,否,,,C10703；C10705,69,candidate_group_missing_in_page_and_structured,复核页未见候选组号且结构化未命中,中,needs_manual_pdf_review,回看候选页图，逐字段确认该组是否存在、是否被自动切组漏拆、是否为历史组号变化
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_candidate_page_code_audit,false,武汉体育学院 C10704 第04组,C10704,否,否,0,69,是,69,第69页第201行含C10704,C10703；C10705,69,candidate_group_page_hit_structured_miss,页面有组号但结构化未拆出,高,needs_manual_pdf_review,回看候选页图，逐字段确认该组是否存在、是否被自动切组漏拆、是否为历史组号变化
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_candidate_page_code_audit,false,西安航空学院 K48703 第03组,K48703,是,是,1,226,是,226,第226页第173行含K48703,K48701；K48702；K48703；K48704,226,page_and_structured_match,页面与结构化均命中,低,needs_manual_pdf_review,回看候选页图，逐字段确认该组是否存在、是否被自动切组漏拆、是否为历史组号变化
