来源期号,来源PDF_SHA256,数据阶段,候选池学校专业组,候选专业组代码,机器初判,组内序号,院校代码,院校名称OCR,来源页码,专业代号OCR,专业名称及备注OCR,再选科目OCR候选,专业计划数OCR候选,学费OCR候选,学费OCR数字候选,偏好和风险标签,字段完整性标记,核验状态,最终可用
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_review_workbench_ocr_draft,武汉商学院 C15007 第07组,C15007,默认排除,1,C150,武汉商学院,81,53,经济与金融（中外合作办学）（“3+“双证培养模式；大一在马影河校区就读，大二起在后官湖校区就读）,不限,35,35000,35000,high_fee_or_coop,low_ocr_confidence,needs_manual_pdf_review,false
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_review_workbench_ocr_draft,武汉商学院 C15007 第07组,C15007,默认排除,2,C150,武汉商学院,81,54,"物流管理（中外合作办学〉（“4+0""双证培养模式；大一在马影河校区就读，大起在后官湖校区就读）C151汉江师范学院（公办）（湖北）",,35,40000,40000,priority_3_teacher;high_fee_or_coop,missing_subject_candidate;low_ocr_confidence,needs_manual_pdf_review,false
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_review_workbench_ocr_draft,武汉商学院 C15006 第06组,C15006,可复核但字段不完整,1,C150,武汉商学院,80,50,烹饪与营养教育（大一在马影河校区就读，大二起在后官湖校区就读）,化学,70,4000,4000,,,needs_manual_pdf_review,false
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_review_workbench_ocr_draft,武汉商学院 C15006 第06组,C15006,可复核但字段不完整,2,C150,武汉商学院,80,51,食品质量与安全（大一在马影河校区就读，大二起在后官湖校区就读）,,77,4000,4000,,missing_subject_candidate,needs_manual_pdf_review,false
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_review_workbench_ocr_draft,武汉商学院 C15006 第06组,C15006,可复核但字段不完整,3,C150,武汉商学院,80,52,食品科学与工程（大一在马影河校区就读，大二起在后官湖校区就读）院校专业组及专业代号,,73,4000,4000,,missing_subject_candidate,needs_manual_pdf_review,false
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_review_workbench_ocr_draft,武汉商学院 C15003 第03组,C15003,高风险暂缓,1,C150,武汉商学院,80,21,零售业管理（智慧运营方向；大一在马影河校区就读，大二起在后官湖校区就读）,不限,9,5200,5200,,,needs_manual_pdf_review,false
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_review_workbench_ocr_draft,武汉商学院 C15003 第03组,C15003,高风险暂缓,2,C150,武汉商学院,80,22,零售业管理（数智营销方向：大一在马影河校区就读，大二起在后官湖校区就读）,,8,5200,5200,,missing_subject_candidate;low_ocr_confidence,needs_manual_pdf_review,false
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_review_workbench_ocr_draft,武汉商学院 C15003 第03组,C15003,高风险暂缓,3,C150,武汉商学院,80,23,大数据管理与应用（大一在马影河校区就读，大二起在后官湖校区就读）,,66,4000,4000,priority_2_computer,missing_subject_candidate,needs_manual_pdf_review,false
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_review_workbench_ocr_draft,武汉商学院 C15003 第03组,C15003,高风险暂缓,4,C150,武汉商学院,80,24,数字经济（大一在马影河校区就读，大資高謝亭院校专业组及专业代号二起在后官湖校区就读）,,63,4000,4000,,missing_subject_candidate,needs_manual_pdf_review,false
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_review_workbench_ocr_draft,武汉商学院 C15003 第03组,C15003,高风险暂缓,5,C150,武汉商学院,80,25,经济与金融（大一在马影河校区就读，大二起在后官湖校区就读）,,10,4000,4000,,missing_subject_candidate,needs_manual_pdf_review,false
