序号,来源期号,来源PDF_SHA256,数据阶段,候选池学校专业组,城市,候选专业组代码,第19期全量OCR命中,第19期OCR院校名称,第19期OCR页码,历史年份覆盖,2023最低分,2024最低分,2025最低分,历史风险初判,OCR专业行数,最大年学费OCR数字候选,优先专业命中数,硬风险专业行数,硬风险标签命中数,硬风险类型,医学护理等风险专业行数,中外合作高收费专业行数,学费超过上限专业行数,体检或色觉限制专业行数,语种或单科限制专业行数,专项预科定向等特殊类型专业行数,数字媒体技术命中数,计算机相关命中数,师范相关命中数,缺再选科目候选专业数,缺计划数候选专业数,缺学费候选专业数,家庭费用上限,明确不接受方向,机器初判,初判原因,核验状态,下一步
1,《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_review_workbench_ocr_draft,武汉商学院 C15007 第07组,武汉,C15007,是,武汉商学院,81,2023/2025,490,,482,保/稳观察,2,40000,1,2,4,中外合作或高收费；学费超过当前上限,0,2,2,0,0,0,0,0,1,1,0,0,15000,医学类；护理类,默认排除,含中外合作/高收费或学费超过当前家庭上限,needs_manual_pdf_review,回看第19期原PDF页并核学校官网/章程
2,《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_review_workbench_ocr_draft,武汉商学院 C15006 第06组,武汉,C15006,是,武汉商学院,80,2023/2025,485,,498,稳观察,3,4000,0,0,0,,0,0,0,0,0,0,0,0,0,2,0,0,15000,医学类；护理类,可复核但字段不完整,OCR 字段存在缺失或非纯数字，需先回看原 PDF 页,needs_manual_pdf_review,回看第19期原PDF页并核学校官网/章程
3,《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_review_workbench_ocr_draft,武汉商学院 C15003 第03组,武汉,C15003,是,武汉商学院,80,2023/2024/2025,501,512,500,稳偏冲,22,5200,1,2,2,语种或单科限制,0,0,0,0,2,0,0,1,0,21,1,0,15000,医学类；护理类,高风险暂缓,组内含需优先复核风险：语种或单科限制,needs_manual_pdf_review,回看第19期原PDF页并核学校官网/章程
4,《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_review_workbench_ocr_draft,武汉商学院 C15005 第05组,武汉,C15005,是,武汉商学院,80,2023/2024/2025,509,517,507,小冲,4,5200,0,0,0,,0,0,0,0,0,0,0,0,0,3,0,0,15000,医学类；护理类,可复核但字段不完整,OCR 字段存在缺失或非纯数字，需先回看原 PDF 页,needs_manual_pdf_review,回看第19期原PDF页并核学校官网/章程
5,《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_review_workbench_ocr_draft,武汉商学院 C15004 第04组,武汉,C15004,是,武汉商学院,80,2023/2024/2025,517,494,513,波动冲,4,5200,4,0,0,,0,0,0,0,0,0,0,4,0,3,0,0,15000,医学类；护理类,可复核但字段不完整,OCR 字段存在缺失或非纯数字，需先回看原 PDF 页,needs_manual_pdf_review,回看第19期原PDF页并核学校官网/章程
6,《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_review_workbench_ocr_draft,武汉轻工大学 C12508 第08组,武汉,C12508,是,武汉轻工大学,74,2023/2024/2025,506,529,498,稳偏冲/高波动,21,5200,0,3,3,医学/护理等排除方向,3,0,0,0,0,0,0,0,0,21,0,0,15000,医学类；护理类,高风险暂缓,组内含需优先复核风险：医学/护理等排除方向,needs_manual_pdf_review,回看第19期原PDF页并核学校官网/章程
7,《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_review_workbench_ocr_draft,武汉体育学院 C10703 第03组,武汉,C10703,是,武汉体育学院,69,2023/2024/2025,506,521,500,稳偏冲/高波动,10,5200,2,0,0,,0,0,0,0,0,0,0,1,1,7,0,0,15000,医学类；护理类,可复核但字段不完整,OCR 字段存在缺失或非纯数字，需先回看原 PDF 页,needs_manual_pdf_review,回看第19期原PDF页并核学校官网/章程
8,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_review_workbench_ocr_draft,武汉体育学院 C10702 第02组,武汉,C10702,否,,,2023/2025,511,,507,小冲,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,15000,医学类；护理类,待定位,未在第19期全量OCR初稿命中，需核对2026组号变化、OCR漏识别或历史组调整,needs_original_page_or_code_change_review,核对2026组号变化、OCR漏识别或历史组调整
9,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_review_workbench_ocr_draft,武汉体育学院 C10704 第04组,武汉,C10704,否,,,2023/2025,509,,510,冲,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,15000,医学类；护理类,待定位,未在第19期全量OCR初稿命中，需核对2026组号变化、OCR漏识别或历史组调整,needs_original_page_or_code_change_review,核对2026组号变化、OCR漏识别或历史组调整
10,《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_review_workbench_ocr_draft,西安航空学院 K48703 第03组,西安,K48703,是,西安航空学院,226,2024/2025,,515,497,稳偏冲/降分需核,1,50000,1,1,2,中外合作或高收费；学费超过当前上限,0,1,1,0,0,0,0,1,0,1,1,0,15000,医学类；护理类,默认排除,含中外合作/高收费或学费超过当前家庭上限,needs_manual_pdf_review,回看第19期原PDF页并核学校官网/章程
11,《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_review_workbench_ocr_draft,西安航空学院 K48704 第04组,西安,K48704,是,西安航空学院,226,2025,,,506,小冲/单年观察,2,50000,0,2,5,中外合作或高收费；医学/护理等排除方向；学费超过当前上限,1,2,2,0,0,0,0,0,0,2,2,0,15000,医学类；护理类,默认排除,含中外合作/高收费或学费超过当前家庭上限,needs_manual_pdf_review,回看第19期原PDF页并核学校官网/章程
12,《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_review_workbench_ocr_draft,西安医学院 K48805 第05组,西安,K48805,是,西安医学院,226,2023/2024/2025,539,534,496,主方案排除/历史样本,1,6500,0,1,1,医学/护理等排除方向,1,0,0,0,0,0,0,0,0,0,1,0,15000,医学类；护理类,默认排除,历史候选池已标记为主方案排除/历史样本,needs_manual_pdf_review,回看第19期原PDF页并核学校官网/章程
13,《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_review_workbench_ocr_draft,西安医学院 K48804 第04组,西安,K48804,是,西安医学院,226,2023/2024/2025,558,564,507,主方案排除/历史样本,1,5000,0,1,1,语种或单科限制,0,0,0,0,1,0,0,0,0,0,1,0,15000,医学类；护理类,默认排除,历史候选池已标记为主方案排除/历史样本,needs_manual_pdf_review,回看第19期原PDF页并核学校官网/章程
