来源期号,来源PDF_SHA256,数据阶段,候选池学校专业组,候选专业组代码,第19期全量OCR命中,候选复核页码,同校第19期OCR专业组,同校第19期OCR页码,OCR专业行数,机器初判,硬风险类型,核验状态,下一步
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_review_page_packet,武汉商学院 C15007 第07组,C15007,是,81,C15003；C15004；C15005；C15006；C15007,80；81,2,默认排除,中外合作或高收费；学费超过当前上限,needs_manual_pdf_review,打开私有页图和页面OCR文本，逐字段核对候选专业组及同校相邻专业组
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_review_page_packet,武汉商学院 C15006 第06组,C15006,是,80,C15003；C15004；C15005；C15006；C15007,80；81,3,可复核但字段不完整,,needs_manual_pdf_review,打开私有页图和页面OCR文本，逐字段核对候选专业组及同校相邻专业组
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_review_page_packet,武汉商学院 C15003 第03组,C15003,是,80,C15003；C15004；C15005；C15006；C15007,80；81,22,高风险暂缓,语种或单科限制,needs_manual_pdf_review,打开私有页图和页面OCR文本，逐字段核对候选专业组及同校相邻专业组
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_review_page_packet,武汉商学院 C15005 第05组,C15005,是,80,C15003；C15004；C15005；C15006；C15007,80；81,4,可复核但字段不完整,,needs_manual_pdf_review,打开私有页图和页面OCR文本，逐字段核对候选专业组及同校相邻专业组
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_review_page_packet,武汉商学院 C15004 第04组,C15004,是,80,C15003；C15004；C15005；C15006；C15007,80；81,4,可复核但字段不完整,,needs_manual_pdf_review,打开私有页图和页面OCR文本，逐字段核对候选专业组及同校相邻专业组
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_review_page_packet,武汉轻工大学 C12508 第08组,C12508,是,74,C12505；C12506；C12507；C12508；C12509,73；74,21,高风险暂缓,医学/护理等排除方向,needs_manual_pdf_review,打开私有页图和页面OCR文本，逐字段核对候选专业组及同校相邻专业组
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_review_page_packet,武汉体育学院 C10703 第03组,C10703,是,69,C10703；C10705,69,10,高风险暂缓,医学/护理等排除方向,needs_manual_pdf_review,打开私有页图和页面OCR文本，逐字段核对候选专业组及同校相邻专业组
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_review_page_packet,武汉体育学院 C10702 第02组,C10702,否,69,C10703；C10705,69,0,待定位,,needs_original_page_or_code_change_review,打开私有页图和页面OCR文本，逐字段核对候选专业组及同校相邻专业组
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_review_page_packet,武汉体育学院 C10704 第04组,C10704,否,69,C10703；C10705,69,0,待定位,,needs_original_page_or_code_change_review,打开私有页图和页面OCR文本，逐字段核对候选专业组及同校相邻专业组
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_review_page_packet,西安航空学院 K48703 第03组,K48703,是,226,K48701；K48702；K48703；K48704,226,1,默认排除,中外合作或高收费；学费超过当前上限,needs_manual_pdf_review,打开私有页图和页面OCR文本，逐字段核对候选专业组及同校相邻专业组
