来源期号,来源PDF_SHA256,数据阶段,页码,页图文件名,页图SHA256,页面OCR文本文件名,页面OCR文本SHA256,关联候选专业组,本页OCR专业组,本页OCR专业组数,公开状态,核验状态
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_review_page_packet,17,page-017.png,c853121e7a99cb28609cd82022a2eb799652434964e73212b8ad541ef187de61,017_page-017.txt,90c74c3dafb62f9f212f7a3968830b625546a6dac3ef3a549f8de4c9937191fe,A03208,A02705；A02706；A03008；A03009；A03206；A03207；A03208；A03209；A03308；A03309；A03310,11,public_metadata_only_private_page_assets,needs_manual_pdf_review
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_review_page_packet,69,page-069.png,6ff6e44cf7b51f54a0ccbfffdfbf1abad11b038412355c1cb50eb1d305f246da,069_page-069.txt,92d421d19ed23f48069c26a16d84c99698fb030d0f8d505491e98e3f173654ad,C10703；C10702；C10704,C10610；C10611；C10612；C10613；C10614；C10615；C10703；C10705；C10808；C10809；C10810；C10811,12,public_metadata_only_private_page_assets,needs_manual_pdf_review
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_review_page_packet,74,page-074.png,ff491a3da8d096f7f2a73410dbeee588792575e1b274b9924143e4742aa3ee40,074_page-074.txt,2f35e2b795bf068679384706de163826161d3f3e1b39cff5510c369ed3cae6e4,C12508,C12508；C12509；C12604；C12605；C12606；C12607；C12608；C12609；C12610；C12611；C12612；C12703；C12704；C12705；C12706；C12707；C12708,17,public_metadata_only_private_page_assets,needs_manual_pdf_review
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_review_page_packet,80,page-080.png,19aa99b47345c817b0477ca2ec84bbf4d25ea260340fd9d33b96c4132d579389,080_page-080.txt,ec3dbfa287d7cf94e3a37cb7b5db46bcb277f080af827a7ef4e47499960798b1,C15006；C15003；C15005；C15004,C13905；C13906；C13907；C13908；C13909；C13910；C13911；C15003；C15004；C15005；C15006,11,public_metadata_only_private_page_assets,needs_manual_pdf_review
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_review_page_packet,81,page-081.png,88e8264c3f18f63a1343fd197fa808d7d42897f73b041c25b2729650a6ed4d8a,081_page-081.txt,1e163ac65473bc0aa14b43a6192a4d93f1ab38bea4e694f1d4fb0b204d728302,C15007,C15007；C15108；C15109；C15110；C15111；C15112；C15113；C15114；C15115；C17002；C17003；C17101；C17102；C17202；C17302；C17303；C20104,17,public_metadata_only_private_page_assets,needs_manual_pdf_review
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_review_page_packet,208,page-208.png,d2a33acfeb7b0318967e259b6f020566eb2719e02abe2841792bda2ea0e88370,208_page-208.txt,c1876766c537b983206cbf900a3a9bd856ed3832b52166dd365c0cd544ec0bdb,K15123,K15008；K15107；K15108；K15109；K15110；K15111；K15112；K15113；K15114；K15115；K15116,11,public_metadata_only_private_page_assets,needs_manual_pdf_review
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_review_page_packet,209,page-209.png,337319545a8e1edf5715aaa7b029ef8d17fe80c292f94c3f2029acb31192c0c6,209_page-209.txt,520d92ba4334d4b40d89fb3db44c45f283e2cfeba5ac01c717626e097c981217,K15123,K15117；K15118；K15207；K15208；K15209；K15303；K15304；K15305；K15306；K15307；K15308,11,public_metadata_only_private_page_assets,needs_manual_pdf_review
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_review_page_packet,212,page-212.png,6b397ca4565e0facde1cc76657acc9eb4ca7729ef4047f7e00f7ececc8acd7f3,212_page-212.txt,e967e3e6ade64e93a4ee586a15efbb263587f44f48a537a1794a274fda4202cd,K17802；K17801；K17903,K16106；K16107；K16202；K16302；K16502；K16602；K16603；K16704；K16705；K16902；K17005；K17006；K17203；K17204；K17205；K17301；K17302；K17402；K17403；K17501；K17502；K17702；K17801；K17802；K17903；K17904；K17905,27,public_metadata_only_private_page_assets,needs_manual_pdf_review
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_review_page_packet,223,page-223.png,17ea866603fb0e29e03f4594305262428f5633eec80da642e21ffa8d5ce65d3d,223_page-223.txt,24c5030002f892dac4af6b1682f48d9978a641d2c7017feea6bfed941adfcd01,K46505,K46204；K46302；K46303；K46304；K46504；K46505；K46506；K46507；K46602；K46603；K46702；K46703；K46704；K46705,14,public_metadata_only_private_page_assets,needs_manual_pdf_review
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_review_page_packet,226,page-226.png,73ef360e7be622ca02a9ca899f1258fa97cafa1f495d4fe787929a8a75f042ab,226_page-226.txt,45fefb3ba866c44d30fb0a050453d4a27945f5cff66e1a3f0bb336155eb42a97,K48703；K48704；K48805；K48804；K48504,K48402；K48502；K48503；K48504；K48602；K48603；K48604；K48605；K48606；K48701；K48702；K48703；K48704；K48804；K48805；K48806；K48807；T48808；K48903；K48904；K48905；K51903,22,public_metadata_only_private_page_assets,needs_manual_pdf_review
