来源期号,来源PDF_SHA256,数据阶段,最终可用,复核状态,复核任务ID,复核对象类型,字段类别,字段名称,关联类型,关联原候选,院校代码,院校名称,2026院校专业组代码,专业组出现ID,专业行ID,组内序号,专业代号,专业名称及备注,来源页码,页图文件名,证据来源,OCR原值,OCR风险提示,原PDF人工确认值,湖北官方系统确认值,高校官网/章程确认值,家庭确认值,私有证据编号,核验责任阶段,字段核验状态,是否阻断候选升级,复核优先级,下一步
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_v2_evidence_ledger,false,pending_manual_field_review,FR-a1bce047acc2279b,专业字段,专业明细,专业代号,历史候选,北京语言大学 A03208 第08组,A032,北京语言大学,A03208,G-553de3a14627ccf4,M-0f7a9fa8c9a117eb,1,29,信息管理与信息系统（中外合作办学）（办学地点：海南国际学院）,17,page-017.png,full_ocr_draft;exact_full_major_match,29,字段完整性标记:tuition_not_plain_number；结构异常规则ID:tuition_not_plain_number;tuition_number_le_500；结构异常类型:学费字段非纯数字；学费数字疑似吞入计划数或截断；风险类型:中外合作或高收费；阻断原因:命中中外合作/高收费或超过当前家庭费用上限；风险说明:中外合作或高收费；页17：专业组11；专业明细52；结构异常14；候选命中1；P0-优先核页,,,,,,核专业代号是否准确,pending,是,P0-字段必须优先核,逐字段核 PDF 原页；补湖北官方系统和高校章程值；再由家庭确认专业接受度。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_v2_evidence_ledger,false,pending_manual_field_review,FR-ac9774763e6c2894,专业字段,专业明细,专业名称,历史候选,北京语言大学 A03208 第08组,A032,北京语言大学,A03208,G-553de3a14627ccf4,M-0f7a9fa8c9a117eb,1,29,信息管理与信息系统（中外合作办学）（办学地点：海南国际学院）,17,page-017.png,full_ocr_draft;exact_full_major_match,信息管理与信息系统（中外合作办学）（办学地点：海南国际学院）,字段完整性标记:tuition_not_plain_number；结构异常规则ID:tuition_not_plain_number;tuition_number_le_500；结构异常类型:学费字段非纯数字；学费数字疑似吞入计划数或截断；风险类型:中外合作或高收费；阻断原因:命中中外合作/高收费或超过当前家庭费用上限；风险说明:中外合作或高收费；页17：专业组11；专业明细52；结构异常14；候选命中1；P0-优先核页,,,,,,核专业名称和方向备注是否准确,pending,是,P0-字段必须优先核,逐字段核 PDF 原页；补湖北官方系统和高校章程值；再由家庭确认专业接受度。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_v2_evidence_ledger,false,pending_manual_field_review,FR-0b3b4bb301d4d71e,专业字段,专业明细,专业接受度,历史候选,北京语言大学 A03208 第08组,A032,北京语言大学,A03208,G-553de3a14627ccf4,M-0f7a9fa8c9a117eb,1,29,信息管理与信息系统（中外合作办学）（办学地点：海南国际学院）,17,page-017.png,full_ocr_draft;exact_full_major_match,默认不进主方案,字段完整性标记:tuition_not_plain_number；结构异常规则ID:tuition_not_plain_number;tuition_number_le_500；结构异常类型:学费字段非纯数字；学费数字疑似吞入计划数或截断；风险类型:中外合作或高收费；阻断原因:命中中外合作/高收费或超过当前家庭费用上限；风险说明:中外合作或高收费；页17：专业组11；专业明细52；结构异常14；候选命中1；P0-优先核页,,,,,,由家庭确认可接受、勉强接受或不能接受,pending,是,P0-字段必须优先核,逐字段核 PDF 原页；补湖北官方系统和高校章程值；再由家庭确认专业接受度。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_v2_evidence_ledger,false,pending_manual_field_review,FR-1533e8d2546588fe,专业字段,专业明细,再选科目,历史候选,北京语言大学 A03208 第08组,A032,北京语言大学,A03208,G-553de3a14627ccf4,M-0f7a9fa8c9a117eb,1,29,信息管理与信息系统（中外合作办学）（办学地点：海南国际学院）,17,page-017.png,full_ocr_draft;exact_full_major_match,不限,字段完整性标记:tuition_not_plain_number；结构异常规则ID:tuition_not_plain_number;tuition_number_le_500；结构异常类型:学费字段非纯数字；学费数字疑似吞入计划数或截断；风险类型:中外合作或高收费；阻断原因:命中中外合作/高收费或超过当前家庭费用上限；风险说明:中外合作或高收费；页17：专业组11；专业明细52；结构异常14；候选命中1；P0-优先核页,,,,,,核再选科目是否匹配化学、地理组合,pending,是,P0-字段必须优先核,逐字段核 PDF 原页；补湖北官方系统和高校章程值；再由家庭确认专业接受度。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_v2_evidence_ledger,false,pending_manual_field_review,FR-a55fffd9ffd18559,专业字段,专业明细,备注/限制,历史候选,北京语言大学 A03208 第08组,A032,北京语言大学,A03208,G-553de3a14627ccf4,M-0f7a9fa8c9a117eb,1,29,信息管理与信息系统（中外合作办学）（办学地点：海南国际学院）,17,page-017.png,full_ocr_draft;exact_full_major_match,信息管理与信息系统（中外合作办学）（办学地点：海南国际学院）,字段完整性标记:tuition_not_plain_number；结构异常规则ID:tuition_not_plain_number;tuition_number_le_500；结构异常类型:学费字段非纯数字；学费数字疑似吞入计划数或截断；风险类型:中外合作或高收费；阻断原因:命中中外合作/高收费或超过当前家庭费用上限；风险说明:中外合作或高收费；页17：专业组11；专业明细52；结构异常14；候选命中1；P0-优先核页,,,,,,核校区、语种、单科、体检、合作办学、专项等备注,pending,是,P0-字段必须优先核,逐字段核 PDF 原页；补湖北官方系统和高校章程值；再由家庭确认专业接受度。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_v2_evidence_ledger,false,pending_manual_field_review,FR-22d3cebd8c067ec1,专业字段,专业明细,学费,历史候选,北京语言大学 A03208 第08组,A032,北京语言大学,A03208,G-553de3a14627ccf4,M-0f7a9fa8c9a117eb,1,29,信息管理与信息系统（中外合作办学）（办学地点：海南国际学院）,17,page-017.png,full_ocr_draft;exact_full_major_match,10万,字段完整性标记:tuition_not_plain_number；结构异常规则ID:tuition_not_plain_number;tuition_number_le_500；结构异常类型:学费字段非纯数字；学费数字疑似吞入计划数或截断；风险类型:中外合作或高收费；阻断原因:命中中外合作/高收费或超过当前家庭费用上限；风险说明:中外合作或高收费；页17：专业组11；专业明细52；结构异常14；候选命中1；P0-优先核页,,,,,,核学费是否为正常学费且不超过家庭上限,pending,是,P0-字段必须优先核,逐字段核 PDF 原页；补湖北官方系统和高校章程值；再由家庭确认专业接受度。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_v2_evidence_ledger,false,pending_manual_field_review,FR-1499e3e6169146bf,专业字段,专业明细,计划数,历史候选,北京语言大学 A03208 第08组,A032,北京语言大学,A03208,G-553de3a14627ccf4,M-0f7a9fa8c9a117eb,1,29,信息管理与信息系统（中外合作办学）（办学地点：海南国际学院）,17,page-017.png,full_ocr_draft;exact_full_major_match,4,字段完整性标记:tuition_not_plain_number；结构异常规则ID:tuition_not_plain_number;tuition_number_le_500；结构异常类型:学费字段非纯数字；学费数字疑似吞入计划数或截断；风险类型:中外合作或高收费；阻断原因:命中中外合作/高收费或超过当前家庭费用上限；风险说明:中外合作或高收费；页17：专业组11；专业明细52；结构异常14；候选命中1；P0-优先核页,,,,,,核招生计划数是否准确,pending,是,P0-字段必须优先核,逐字段核 PDF 原页；补湖北官方系统和高校章程值；再由家庭确认专业接受度。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_v2_evidence_ledger,false,pending_manual_field_review,FR-1340529f74a54a76,专业字段,专业明细,调剂影响,历史候选,北京语言大学 A03208 第08组,A032,北京语言大学,A03208,G-553de3a14627ccf4,M-0f7a9fa8c9a117eb,1,29,信息管理与信息系统（中外合作办学）（办学地点：海南国际学院）,17,page-017.png,full_ocr_draft;exact_full_major_match,是,字段完整性标记:tuition_not_plain_number；结构异常规则ID:tuition_not_plain_number;tuition_number_le_500；结构异常类型:学费字段非纯数字；学费数字疑似吞入计划数或截断；风险类型:中外合作或高收费；阻断原因:命中中外合作/高收费或超过当前家庭费用上限；风险说明:中外合作或高收费；页17：专业组11；专业明细52；结构异常14；候选命中1；P0-优先核页,,,,,,判断该专业是否会影响本组服从调剂,pending,是,P0-字段必须优先核,逐字段核 PDF 原页；补湖北官方系统和高校章程值；再由家庭确认专业接受度。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_v2_evidence_ledger,false,pending_group_evidence_review,FR-552286712090d4c5,专业组字段,专业组,PDF原页,历史候选,北京语言大学 A03208 第08组,A032,北京语言大学,A03208,,,,,,17,page-017.png,full_ocr_draft,17,中外合作或高收费；原PDF页人工核验；湖北官方系统/省招办计划核验；高校官网/招生章程核验；家庭逐专业接受度核验；组内调剂结论；三年投档稳定性复核；OCR结构异常修正；异常学费原页/章程核验；页17：专业组11；专业明细52；结构异常14；候选命中1；P0-优先核页,,,,,,回看第19期原PDF页，确认页码、栏位、组号和组内范围,pending,是,P1-字段高优先核,回看第19期原PDF页；再用湖北官方系统、省招办计划和高校章程交叉核验。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_v2_evidence_ledger,false,pending_group_evidence_review,FR-2afea355c72f0949,专业组字段,专业组,专业组代码,历史候选,北京语言大学 A03208 第08组,A032,北京语言大学,A03208,,,,,,17,page-017.png,full_ocr_draft,A03208,中外合作或高收费；原PDF页人工核验；湖北官方系统/省招办计划核验；高校官网/招生章程核验；家庭逐专业接受度核验；组内调剂结论；三年投档稳定性复核；OCR结构异常修正；异常学费原页/章程核验；页17：专业组11；专业明细52；结构异常14；候选命中1；P0-优先核页,,,,,,核院校专业组代码是否与第19期和官方系统一致,pending,是,P1-字段高优先核,回看第19期原PDF页；再用湖北官方系统、省招办计划和高校章程交叉核验。
