来源期号,来源PDF_SHA256,数据阶段,最终可用,关联类型,关联原候选,原候选专业组代码,2026院校专业组代码,院校代码,院校名称,来源页码,证据来源,页图文件名,页面组号审计,页面组号证据,结构化命中,专业明细行数,结构异常行数,偏好方向,风险类型,最高学费候选,V2定位结论,核验状态,下一步
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_v2_review_seed,false,历史候选,北京语言大学 A03208 第08组,A03208,A03208,A032,北京语言大学,17,full_ocr_draft,page-017.png,页面与结构化均命中,第17页第191行含A03208,是,1,1,,中外合作或高收费,10,需风险复核：中外合作或高收费,needs_manual_pdf_review,回看页图逐字段确认；再核湖北官方系统/高校章程；确认组内全部专业能否接受调剂
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_v2_review_seed,false,历史候选,武汉体育学院 C10702 第02组,C10702,C10702,C107,武汉体育学院,69,page_code_audit_only,,复核页未见候选组号且结构化未命中,,否,0,0,,,,第19期候选页未见该组号，按2026组号变化/旧组号处理,needs_manual_pdf_review,回看页图逐字段确认；再核湖北官方系统/高校章程；确认组内全部专业能否接受调剂
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_v2_review_seed,false,历史候选,武汉体育学院 C10703 第03组,C10703,C10703,C107,武汉体育学院,69,page_visual_review_seed,page-069.png,页面与结构化均命中,第69页第193行含C10703,是,7,3,师范类相关,医学/护理等排除方向,5200,需风险复核：医学/护理等排除方向,needs_manual_pdf_review,回看页图逐字段确认；再核湖北官方系统/高校章程；确认组内全部专业能否接受调剂
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_v2_review_seed,false,历史候选,武汉体育学院 C10704 第04组,C10704,C10704,C107,武汉体育学院,69,page_visual_review_seed,page-069.png,页面有组号但结构化未拆出,第69页第201行含C10704,否,3,0,计算机类相关,医学/护理等排除方向,5200,页面有组号但结构化漏拆，必须按页图重核,needs_manual_pdf_review,回看页图逐字段确认；再核湖北官方系统/高校章程；确认组内全部专业能否接受调剂
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_v2_review_seed,false,同页相邻风险组,武汉体育学院 C10703/C10704 同页边界复核,,C10705,C107,武汉体育学院,69,page_visual_review_seed,page-069.png,,,是,1,2,,中外合作或高收费；医学/护理等排除方向；学费超过当前上限,48000,需风险复核：中外合作或高收费；医学/护理等排除方向；学费超过当前上限,needs_manual_pdf_review,回看页图逐字段确认；再核湖北官方系统/高校章程；确认组内全部专业能否接受调剂
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_v2_review_seed,false,历史候选,武汉轻工大学 C12508 第08组,C12508,C12508,C125,武汉轻工大学,74,full_ocr_draft,page-074.png,页面与结构化均命中,第74页第21行含C12508,是,21,5,,医学/护理等排除方向,5200,需风险复核：医学/护理等排除方向,needs_manual_pdf_review,回看页图逐字段确认；再核湖北官方系统/高校章程；确认组内全部专业能否接受调剂
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_v2_review_seed,false,历史候选,武汉商学院 C15003 第03组,C15003,C15003,C150,武汉商学院,80,full_ocr_draft,page-080.png,结构化命中但页面OCR未检出组号,,是,22,5,计算机类相关,语种或单科限制,5200,需风险复核：语种或单科限制,needs_manual_pdf_review,回看页图逐字段确认；再核湖北官方系统/高校章程；确认组内全部专业能否接受调剂
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_v2_review_seed,false,历史候选,武汉商学院 C15004 第04组,C15004,C15004,C150,武汉商学院,80,full_ocr_draft,page-080.png,页面与结构化均命中,第80页第244行含C15004,是,4,1,计算机类相关,,5200,可进入人工逐字段复核,needs_manual_pdf_review,回看页图逐字段确认；再核湖北官方系统/高校章程；确认组内全部专业能否接受调剂
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_v2_review_seed,false,历史候选,武汉商学院 C15005 第05组,C15005,C15005,C150,武汉商学院,80,full_ocr_draft,page-080.png,页面与结构化均命中,第80页第253行含C15005,是,4,0,,,5200,可进入人工逐字段复核,needs_manual_pdf_review,回看页图逐字段确认；再核湖北官方系统/高校章程；确认组内全部专业能否接受调剂
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_v2_review_seed,false,历史候选,武汉商学院 C15006 第06组,C15006,C15006,C150,武汉商学院,80,full_ocr_draft,page-080.png,页面与结构化均命中,第80页第263行含C15006,是,3,1,,,4000,可进入人工逐字段复核,needs_manual_pdf_review,回看页图逐字段确认；再核湖北官方系统/高校章程；确认组内全部专业能否接受调剂
