来源期号,来源PDF_SHA256,数据阶段,最终可用,关联类型,关联原候选,2026院校专业组代码,组内序号,证据来源,院校代码,院校名称OCR,院校专业组代码,专业组名称,来源页码,页图文件名,页面证据,专业组再选科目候选,专业组计划数候选,专业代号,专业名称及备注,再选科目候选,专业计划数候选,学费候选,学费数字候选,偏好和风险标签,偏好方向,风险类型,字段完整性标记,结构异常规则ID,结构异常类型,视觉复核说明,核验状态,下一步
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_v2_review_seed,false,历史候选,北京语言大学 A03208 第08组,A03208,1,full_ocr_draft,A032,北京语言大学,A03208,A03208/ 北京语言大学第08组,17,page-017.png,全量OCR结构化初稿；需回看页图逐字段确认,不限,4；6,29,信息管理与信息系统（中外合作办学）（办学地点：海南国际学院）,不限,4,10万,10,high_fee_or_coop,,中外合作或高收费,tuition_not_plain_number,tuition_not_plain_number;tuition_number_le_500,学费字段非纯数字；学费数字疑似吞入计划数或截断,,needs_manual_pdf_review,逐字段核对专业代号、专业名称、计划数、学费、选科、备注；再判断调剂可接受性
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_v2_review_seed,false,历史候选,武汉体育学院 C10703 第03组,C10703,1,page_visual_review_seed,C107,武汉体育学院,C10703,武汉体育学院第03组,69,page-069.png,页图第69页右栏；页面OCR第193-200行；C10703后至C10704前,不限,53,05,运动康复,不限,10,5200,5200,rejected_medical,,医学/护理等排除方向,,,,页图显示第03组为不限、合计53人；全量OCR把C10704部分专业误并入C10703，必须按页图重核。,needs_manual_pdf_review,逐字段核对专业代号、专业名称、计划数、学费、选科、备注；再判断调剂可接受性
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_v2_review_seed,false,历史候选,武汉体育学院 C10703 第03组,C10703,2,page_visual_review_seed,C107,武汉体育学院,C10703,武汉体育学院第03组,69,page-069.png,页图第69页右栏；页面OCR第193-200行；C10703后至C10704前,不限,53,06,应用心理学,不限,6,4000,4000,,,,,,,页图显示第03组为不限、合计53人；全量OCR把C10704部分专业误并入C10703，必须按页图重核。,needs_manual_pdf_review,逐字段核对专业代号、专业名称、计划数、学费、选科、备注；再判断调剂可接受性
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_v2_review_seed,false,历史候选,武汉体育学院 C10703 第03组,C10703,3,page_visual_review_seed,C107,武汉体育学院,C10703,武汉体育学院第03组,69,page-069.png,页图第69页右栏；页面OCR第193-200行；C10703后至C10704前,不限,53,07,智能体育工程,不限,8,4000,4000,,,,,,,页图显示第03组为不限、合计53人；全量OCR把C10704部分专业误并入C10703，必须按页图重核。,needs_manual_pdf_review,逐字段核对专业代号、专业名称、计划数、学费、选科、备注；再判断调剂可接受性
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_v2_review_seed,false,历史候选,武汉体育学院 C10703 第03组,C10703,4,page_visual_review_seed,C107,武汉体育学院,C10703,武汉体育学院第03组,69,page-069.png,页图第69页右栏；页面OCR第193-200行；C10703后至C10704前,不限,53,08,教育技术学,不限,2,4000,4000,priority_3_teacher,师范类相关,,,,,页图显示第03组为不限、合计53人；全量OCR把C10704部分专业误并入C10703，必须按页图重核。,needs_manual_pdf_review,逐字段核对专业代号、专业名称、计划数、学费、选科、备注；再判断调剂可接受性
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_v2_review_seed,false,历史候选,武汉体育学院 C10703 第03组,C10703,5,page_visual_review_seed,C107,武汉体育学院,C10703,武汉体育学院第03组,69,page-069.png,页图第69页右栏；页面OCR第193-200行；C10703后至C10704前,不限,53,09,信息管理与信息系统,不限,12,4000,4000,,,,,,,页图显示第03组为不限、合计53人；全量OCR把C10704部分专业误并入C10703，必须按页图重核。,needs_manual_pdf_review,逐字段核对专业代号、专业名称、计划数、学费、选科、备注；再判断调剂可接受性
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_v2_review_seed,false,历史候选,武汉体育学院 C10703 第03组,C10703,6,page_visual_review_seed,C107,武汉体育学院,C10703,武汉体育学院第03组,69,page-069.png,页图第69页右栏；页面OCR第193-200行；C10703后至C10704前,不限,53,10,体育经济与管理,不限,9,4000,4000,,,,,,,页图显示第03组为不限、合计53人；全量OCR把C10704部分专业误并入C10703，必须按页图重核。,needs_manual_pdf_review,逐字段核对专业代号、专业名称、计划数、学费、选科、备注；再判断调剂可接受性
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_v2_review_seed,false,历史候选,武汉体育学院 C10703 第03组,C10703,7,page_visual_review_seed,C107,武汉体育学院,C10703,武汉体育学院第03组,69,page-069.png,页图第69页右栏；页面OCR第193-200行；C10703后至C10704前,不限,53,11,新闻学,不限,6,5200,5200,,,,,,,页图显示第03组为不限、合计53人；全量OCR把C10704部分专业误并入C10703，必须按页图重核。,needs_manual_pdf_review,逐字段核对专业代号、专业名称、计划数、学费、选科、备注；再判断调剂可接受性
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_v2_review_seed,false,历史候选,武汉体育学院 C10704 第04组,C10704,1,page_visual_review_seed,C107,武汉体育学院,C10704,武汉体育学院第04组,69,page-069.png,页图第69页右栏；页面OCR第201-204行；C10704后至C10705前,化学,20,12,中医骨伤科学（学制：五年）,化学,6,5200,5200,rejected_medical,,医学/护理等排除方向,,,,页图和页面OCR均出现C10704，但全量专业组表未拆出；先按页图写入复核种子，不直接作为最终事实。,needs_manual_pdf_review,逐字段核对专业代号、专业名称、计划数、学费、选科、备注；再判断调剂可接受性
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_v2_review_seed,false,历史候选,武汉体育学院 C10704 第04组,C10704,2,page_visual_review_seed,C107,武汉体育学院,C10704,武汉体育学院第04组,69,page-069.png,页图第69页右栏；页面OCR第201-204行；C10704后至C10705前,化学,20,13,康复治疗学,化学,7,5200,5200,rejected_medical,,医学/护理等排除方向,,,,页图和页面OCR均出现C10704，但全量专业组表未拆出；先按页图写入复核种子，不直接作为最终事实。,needs_manual_pdf_review,逐字段核对专业代号、专业名称、计划数、学费、选科、备注；再判断调剂可接受性
