来源期号,来源PDF_SHA256,数据阶段,最终可用,证据矩阵ID,关联类型,关联原候选,院校代码,院校名称,2026院校专业组代码,来源页码,页图文件名,专业明细行数,字段复核任务数,字段P0任务数,原PDF页证据状态,湖北官方系统证据状态,高校官网/章程证据状态,家庭接受度证据状态,调剂结论状态,三年历史线证据状态,第19期PDF底座状态,页级审计摘要,组内调剂机器初判,历史投档线可沿用,当前复核优先级,候选闸门状态,可进入最终候选,升级缺口,下一步
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_v2_evidence_ledger,false,TM-adc21d496a85cc91,历史候选,北京语言大学 A03208 第08组,A032,北京语言大学,A03208,17,page-017.png,1,16,8,pending_original_pdf_page_review,pending_hubei_official_plan_review,pending_school_charter_review,pending_family_acceptance_review,pending_transfer_decision,historical_candidate_pending_2026_confirmation,issue19_foundation_machine_checks_passed_need_pdf_official_review,页17：专业组11；专业明细52；结构异常14；候选命中1；P0-优先核页,默认不可服从：组内含高收费/中外合作/超预算风险,pending,P1-风险或字段异常,pending_verification,false,原PDF页人工核验；湖北官方系统/省招办计划核验；高校官网/招生章程核验；家庭逐专业接受度核验；组内调剂结论；三年投档稳定性复核；OCR结构异常修正；异常学费原页/章程核验；逐字段复核总账待回填；官方系统/官网/家庭调剂结论待补证据,先按字段复核总账回填 PDF 原页值；再补官方系统、官网章程、家庭接受度和调剂证据。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_v2_evidence_ledger,false,TM-6b8cebefb2d29c11,历史候选,武汉体育学院 C10702 第02组,C107,武汉体育学院,C10702,69,,0,8,8,pending_original_pdf_page_review,pending_hubei_official_plan_review,pending_school_charter_review,pending_family_acceptance_review,pending_transfer_decision,group_not_found_or_code_changed,issue19_foundation_machine_checks_passed_need_pdf_official_review,页69：专业组12；专业明细84；结构异常18；候选命中10；P0-优先核页,不可判断：当前无专业明细，需先定位2026专业组或补齐组内专业,false,P0-组号定位和页图边界,pending_verification,false,原PDF页人工核验；湖北官方系统/省招办计划核验；高校官网/招生章程核验；家庭逐专业接受度核验；组内调剂结论；三年投档稳定性复核；2026组号定位或补齐专业明细；逐字段复核总账待回填；官方系统/官网/家庭调剂结论待补证据,先按字段复核总账回填 PDF 原页值；再补官方系统、官网章程、家庭接受度和调剂证据。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_v2_evidence_ledger,false,TM-a08416bf2fc7391b,历史候选,武汉体育学院 C10703 第03组,C107,武汉体育学院,C10703,69,page-069.png,7,64,38,pending_original_pdf_page_review,pending_hubei_official_plan_review,pending_school_charter_review,pending_family_acceptance_review,pending_transfer_decision,historical_candidate_pending_2026_confirmation,issue19_foundation_machine_checks_passed_need_pdf_official_review,页69：专业组12；专业明细84；结构异常18；候选命中10；P0-优先核页,默认不可服从：组内含当前明确不能接受专业,pending,P1-风险或字段异常,pending_verification,false,原PDF页人工核验；湖北官方系统/省招办计划核验；高校官网/招生章程核验；家庭逐专业接受度核验；组内调剂结论；三年投档稳定性复核；逐字段复核总账待回填；官方系统/官网/家庭调剂结论待补证据,先按字段复核总账回填 PDF 原页值；再补官方系统、官网章程、家庭接受度和调剂证据。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_v2_evidence_ledger,false,TM-7f81d6a9263dae5d,历史候选,武汉体育学院 C10704 第04组,C107,武汉体育学院,C10704,69,page-069.png,3,32,29,pending_original_pdf_page_review,pending_hubei_official_plan_review,pending_school_charter_review,pending_family_acceptance_review,pending_transfer_decision,pending_structured_group_repair,issue19_foundation_machine_checks_passed_need_pdf_official_review,页69：专业组12；专业明细84；结构异常18；候选命中10；P0-优先核页,默认不可服从：组内含当前明确不能接受专业,pending,P0-组号定位和页图边界,pending_verification,false,原PDF页人工核验；湖北官方系统/省招办计划核验；高校官网/招生章程核验；家庭逐专业接受度核验；组内调剂结论；三年投档稳定性复核；逐字段复核总账待回填；官方系统/官网/家庭调剂结论待补证据,先按字段复核总账回填 PDF 原页值；再补官方系统、官网章程、家庭接受度和调剂证据。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_v2_evidence_ledger,false,TM-d5edac069a22d3a0,历史候选,武汉轻工大学 C12508 第08组,C125,武汉轻工大学,C12508,74,page-074.png,21,176,120,pending_original_pdf_page_review,pending_hubei_official_plan_review,pending_school_charter_review,pending_family_acceptance_review,pending_transfer_decision,historical_candidate_pending_2026_confirmation,issue19_foundation_machine_checks_passed_need_pdf_official_review,页74：专业组17；专业明细81；结构异常26；候选命中21；P0-优先核页,默认不可服从：组内含当前明确不能接受专业,pending,P1-风险或字段异常,pending_verification,false,原PDF页人工核验；湖北官方系统/省招办计划核验；高校官网/招生章程核验；家庭逐专业接受度核验；组内调剂结论；三年投档稳定性复核；OCR结构异常修正；逐字段复核总账待回填；官方系统/官网/家庭调剂结论待补证据,先按字段复核总账回填 PDF 原页值；再补官方系统、官网章程、家庭接受度和调剂证据。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_v2_evidence_ledger,false,TM-e4360f7facb73321,历史候选,武汉商学院 C15003 第03组,C150,武汉商学院,C15003,80,page-080.png,22,184,110,pending_original_pdf_page_review,pending_hubei_official_plan_review,pending_school_charter_review,pending_family_acceptance_review,pending_transfer_decision,historical_candidate_pending_2026_confirmation,issue19_foundation_machine_checks_passed_need_pdf_official_review,页80：专业组11；专业明细77；结构异常17；候选命中33；P0-优先核页,暂不可判断：组内含体检、色觉、语种、单科或特殊类型限制,pending,P1-风险或字段异常,pending_verification,false,原PDF页人工核验；湖北官方系统/省招办计划核验；高校官网/招生章程核验；家庭逐专业接受度核验；组内调剂结论；三年投档稳定性复核；OCR结构异常修正；逐字段复核总账待回填；官方系统/官网/家庭调剂结论待补证据,先按字段复核总账回填 PDF 原页值；再补官方系统、官网章程、家庭接受度和调剂证据。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_v2_evidence_ledger,false,TM-cd706970ce22a975,历史候选,武汉商学院 C15004 第04组,C150,武汉商学院,C15004,80,page-080.png,4,40,20,pending_original_pdf_page_review,pending_hubei_official_plan_review,pending_school_charter_review,pending_family_acceptance_review,pending_transfer_decision,historical_candidate_pending_2026_confirmation,issue19_foundation_machine_checks_passed_need_pdf_official_review,页80：专业组11；专业明细77；结构异常17；候选命中33；P0-优先核页,暂不可判断：组内存在 OCR 字段或结构异常,pending,P1-风险或字段异常,pending_verification,false,原PDF页人工核验；湖北官方系统/省招办计划核验；高校官网/招生章程核验；家庭逐专业接受度核验；组内调剂结论；三年投档稳定性复核；OCR结构异常修正；逐字段复核总账待回填；官方系统/官网/家庭调剂结论待补证据,先按字段复核总账回填 PDF 原页值；再补官方系统、官网章程、家庭接受度和调剂证据。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_v2_evidence_ledger,false,TM-dc7ede631e0de5e8,历史候选,武汉商学院 C15005 第05组,C150,武汉商学院,C15005,80,page-080.png,4,40,20,pending_original_pdf_page_review,pending_hubei_official_plan_review,pending_school_charter_review,pending_family_acceptance_review,pending_transfer_decision,historical_candidate_pending_2026_confirmation,issue19_foundation_machine_checks_passed_need_pdf_official_review,页80：专业组11；专业明细77；结构异常17；候选命中33；P0-优先核页,暂不可判断：组内存在 OCR 字段或结构异常,pending,P1-风险或字段异常,pending_verification,false,原PDF页人工核验；湖北官方系统/省招办计划核验；高校官网/招生章程核验；家庭逐专业接受度核验；组内调剂结论；三年投档稳定性复核；OCR结构异常修正；逐字段复核总账待回填；官方系统/官网/家庭调剂结论待补证据,先按字段复核总账回填 PDF 原页值；再补官方系统、官网章程、家庭接受度和调剂证据。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_v2_evidence_ledger,false,TM-5b6739da639fc8f4,历史候选,武汉商学院 C15006 第06组,C150,武汉商学院,C15006,80,page-080.png,3,32,15,pending_original_pdf_page_review,pending_hubei_official_plan_review,pending_school_charter_review,pending_family_acceptance_review,pending_transfer_decision,historical_candidate_pending_2026_confirmation,issue19_foundation_machine_checks_passed_need_pdf_official_review,页80：专业组11；专业明细77；结构异常17；候选命中33；P0-优先核页,暂不可判断：组内存在 OCR 字段或结构异常,pending,P1-风险或字段异常,pending_verification,false,原PDF页人工核验；湖北官方系统/省招办计划核验；高校官网/招生章程核验；家庭逐专业接受度核验；组内调剂结论；三年投档稳定性复核；OCR结构异常修正；逐字段复核总账待回填；官方系统/官网/家庭调剂结论待补证据,先按字段复核总账回填 PDF 原页值；再补官方系统、官网章程、家庭接受度和调剂证据。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_v2_evidence_ledger,false,TM-02fc5c42d4dd0fcb,历史候选,武汉商学院 C15007 第07组,C150,武汉商学院,C15007,81,page-081.png,2,24,16,pending_original_pdf_page_review,pending_hubei_official_plan_review,pending_school_charter_review,pending_family_acceptance_review,pending_transfer_decision,historical_candidate_pending_2026_confirmation,issue19_foundation_machine_checks_passed_need_pdf_official_review,页81：专业组17；专业明细64；结构异常14；候选命中2；P0-优先核页,默认不可服从：组内含高收费/中外合作/超预算风险,pending,P1-风险或字段异常,pending_verification,false,原PDF页人工核验；湖北官方系统/省招办计划核验；高校官网/招生章程核验；家庭逐专业接受度核验；组内调剂结论；三年投档稳定性复核；OCR结构异常修正；逐字段复核总账待回填；官方系统/官网/家庭调剂结论待补证据,先按字段复核总账回填 PDF 原页值；再补官方系统、官网章程、家庭接受度和调剂证据。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_v2_evidence_ledger,false,TM-ddc088107894b141,历史候选,成都理工大学 K15123 第23组,K151,成都理工大学,K15123,208；209,,0,8,8,pending_original_pdf_page_review,pending_hubei_official_plan_review,pending_school_charter_review,pending_family_acceptance_review,pending_transfer_decision,group_not_found_or_code_changed,issue19_foundation_machine_checks_passed_need_pdf_official_review,,不可判断：当前无专业明细，需先定位2026专业组或补齐组内专业,false,P0-组号定位和页图边界,pending_verification,false,原PDF页人工核验；湖北官方系统/省招办计划核验；高校官网/招生章程核验；家庭逐专业接受度核验；组内调剂结论；三年投档稳定性复核；2026组号定位或补齐专业明细；逐字段复核总账待回填；官方系统/官网/家庭调剂结论待补证据,先按字段复核总账回填 PDF 原页值；再补官方系统、官网章程、家庭接受度和调剂证据。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_v2_evidence_ledger,false,TM-36f7c0fd7d96b8a6,历史候选,成都医学院 K17801 第01组,K178,成都医学院,K17801,212,page-212.png,1,16,8,pending_original_pdf_page_review,pending_hubei_official_plan_review,pending_school_charter_review,pending_family_acceptance_review,pending_transfer_decision,historical_candidate_pending_2026_confirmation,issue19_foundation_machine_checks_passed_need_pdf_official_review,页212：专业组27；专业明细52；结构异常20；候选命中3；P0-优先核页,默认不可服从：组内含当前明确不能接受专业,pending,P1-风险或字段异常,pending_verification,false,原PDF页人工核验；湖北官方系统/省招办计划核验；高校官网/招生章程核验；家庭逐专业接受度核验；组内调剂结论；三年投档稳定性复核；OCR结构异常修正；逐字段复核总账待回填；官方系统/官网/家庭调剂结论待补证据,先按字段复核总账回填 PDF 原页值；再补官方系统、官网章程、家庭接受度和调剂证据。
