来源期号,来源PDF_SHA256,数据阶段,最终可用,核验状态,组核验包ID,候选V3入口ID,复核批次,入口类型,入口来源说明,院校代码,院校名称OCR,2026院校专业组代码,专业组出现ID,来源页码,私有页图证据编号,私有页图SHA256,私有OCR文本证据编号,专业明细来源,专业明细行数,逐专业核验任务数,偏好专业数,数字媒体技术专业数,计算机类相关专业数,师范类相关专业数,医学护理排除专业数,高收费或超预算专业数,特殊限制待核专业数,机器家庭匹配初判,调剂初判,组质量层级,组复核优先级,组结构异常数,组高严重结构异常数,历史候选匹配,候选池原始项,候选城市,候选年份覆盖,2023同组投档线,2024同组投档线,2025同组投档线,三年同组命中数,等位分差摘要,历史线使用口径,组内招生明细,核页重点,PDF原页核验状态,湖北官方系统核验状态,高校官网章程核验状态,家庭接受度核验状态,调剂结论状态,历史线核验状态,升级判定状态,可进入下一阶段,下一步
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_candidate_v3_b0_b1_review_pack,false,pending_b0_b1_original_page_review,GPK-5ab8fb1ed58ce078,V3-6960b472bcdd44e4,B0-历史候选和组号问题优先核页,历史候选,北京语言大学 A03208 第08组,A032,北京语言大学,A03208,G-553de3a14627ccf4,17,page-017,c853121e7a99cb28609cd82022a2eb799652434964e73212b8ad541ef187de61,017_page-017,candidate_v2_review_seed,1,1,0,0,0,0,0,1,0,默认不进主方案-组内存在高收费/超预算专业,调剂风险线索-组内存在默认不能接受专业,Q1-高风险结构异常,P0-必须优先核页,2,2,是,北京语言大学 A03208 第08组,北京,2024/2025,,581(政),516(不限),2,2024:+84；2025:+22,仅作同组代码历史线索，不能直接证明2026组内专业和投档位次可沿用。,1. 29 信息管理与信息系统（中外合作办学）（办学地点：海南国际学院）｜计划:4｜学费:10万｜选科:不限｜偏好:无｜风险:中外合作或高收费,先核历史候选对应的2026专业组是否真实存在、组号是否变化、组内专业是否完整；组内含高收费/超预算线索，先核学费和办学性质,pending_original_pdf_page_review,pending_hubei_official_plan_review,pending_school_charter_review,pending_family_acceptance_review,pending_transfer_decision,pending_history_line_review,pending_upgrade_decision,false,按页码回看第19期原PDF；逐专业核对后，再补湖北官方系统、省招办计划、高校章程、家庭接受度和调剂结论。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_candidate_v3_b0_b1_review_pack,false,pending_b0_b1_original_page_review,GPK-4c7867d48527472a,V3-47a03921374b3258,B0-历史候选和组号问题优先核页,历史候选,成都理工大学 K15123 第23组,K151,成都理工大学,K15123,,208；209,page-208；page-209,d2a33acfeb7b0318967e259b6f020566eb2719e02abe2841792bda2ea0e88370；337319545a8e1edf5715aaa7b029ef8d17fe80c292f94c3f2029acb31192c0c6,208_page-208；209_page-209,candidate_v2_review_seed,0,1,0,0,0,0,0,0,0,候选V2补充线索-需先核页,不可判断-需先确认2026专业组和明细,,,0,,是,成都理工大学 K15123 第23组,成都,2025,,,503(地),1,2025:+9,2026组号或结构化存在变化/补种问题，历史线不得直接沿用。,,先核历史候选对应的2026专业组是否真实存在、组号是否变化、组内专业是否完整；0明细组必须先补齐或确认2026组号变化/旧组号；历史投档线不得直接沿用，必须重新找2026组证据和可比历史组,pending_original_pdf_page_review,pending_hubei_official_plan_review,pending_school_charter_review,pending_family_acceptance_review,pending_transfer_decision,pending_history_line_review,pending_upgrade_decision,false,按页码回看第19期原PDF；逐专业核对后，再补湖北官方系统、省招办计划、高校章程、家庭接受度和调剂结论。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_candidate_v3_b0_b1_review_pack,false,pending_b0_b1_original_page_review,GPK-d1e7e68b435bd321,V3-bbe0b354a55c0e45,B0-历史候选和组号问题优先核页,历史候选,成都医学院 K17801 第01组,K178,成都医学院,K17801,G-ff098790cb737df6,212,page-212,6b397ca4565e0facde1cc76657acc9eb4ca7729ef4047f7e00f7ececc8acd7f3,212_page-212,candidate_v2_review_seed,1,1,0,0,0,0,1,0,0,默认不进主方案-组内存在医学/护理等排除专业,调剂风险线索-组内存在默认不能接受专业,Q2-重点候选字段待核,P0-必须优先核页,0,0,是,成都医学院 K17801 第01组,成都,2023/2024/2025,514(化),521(化),,2,2023:+33；2024:+24,仅作同组代码历史线索，不能直接证明2026组内专业和投档位次可沿用。,1. 01 医学检验技术（色盲、色弱及单眼失明考生不予录取；办学地点：新都校区）｜计划:｜学费:6670｜选科:｜偏好:无｜风险:体检或色觉限制；医学/护理等排除方向,先核历史候选对应的2026专业组是否真实存在、组号是否变化、组内专业是否完整；组内含医学护理等家庭明确排除方向，先判断是否阻断调剂,pending_original_pdf_page_review,pending_hubei_official_plan_review,pending_school_charter_review,pending_family_acceptance_review,pending_transfer_decision,pending_history_line_review,pending_upgrade_decision,false,按页码回看第19期原PDF；逐专业核对后，再补湖北官方系统、省招办计划、高校章程、家庭接受度和调剂结论。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_candidate_v3_b0_b1_review_pack,false,pending_b0_b1_original_page_review,GPK-bed8c33dad0bc21e,V3-9f00a3b198eb63c8,B0-历史候选和组号问题优先核页,历史候选,成都医学院 K17802 第02组,K178,成都医学院,K17802,G-95e5212bd4e42903,212,page-212,6b397ca4565e0facde1cc76657acc9eb4ca7729ef4047f7e00f7ececc8acd7f3,212_page-212,candidate_v2_review_seed,1,1,1,0,0,1,1,0,0,默认不进主方案-组内存在医学/护理等排除专业,调剂风险线索-组内存在默认不能接受专业,Q1-高风险结构异常,P0-必须优先核页,1,1,是,成都医学院 K17802 第02组,成都,2023/2024/2025,514(化),517(化和生),512(化和生),3,2023:+33；2024:+20；2025:+18,仅作同组代码历史线索，不能直接证明2026组内专业和投档位次可沿用。,1. 02 药学（色真、色弱及单眼失明考生不予录取；办学地点：新都校区）K179成都师范学院（公办）（四川）｜计划:8｜学费:6670｜选科:｜偏好:师范类相关｜风险:体检或色觉限制；医学/护理等排除方向,先核历史候选对应的2026专业组是否真实存在、组号是否变化、组内专业是否完整；组内含医学护理等家庭明确排除方向，先判断是否阻断调剂,pending_original_pdf_page_review,pending_hubei_official_plan_review,pending_school_charter_review,pending_family_acceptance_review,pending_transfer_decision,pending_history_line_review,pending_upgrade_decision,false,按页码回看第19期原PDF；逐专业核对后，再补湖北官方系统、省招办计划、高校章程、家庭接受度和调剂结论。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_candidate_v3_b0_b1_review_pack,false,pending_b0_b1_original_page_review,GPK-5869fc2a6749796f,V3-7dd24a7ede91a643,B0-历史候选和组号问题优先核页,历史候选,成都师范学院 K17903 第03组,K179,成都师范学院,K17903,G-f2b3452ad8a7f8d7,212,page-212,6b397ca4565e0facde1cc76657acc9eb4ca7729ef4047f7e00f7ececc8acd7f3,212_page-212,candidate_v2_review_seed,1,1,0,0,0,0,0,0,0,普通备选待了解-未命中当前偏好且未触发自动阻断,可进入人工调剂接受度判断,Q4-结构相对完整待抽检,P0-必须优先核页,0,0,是,成都师范学院 K17903 第03组,成都,2023/2024/2025,522(不限),536(不限),516(化),3,2023:+41；2024:+39；2025:+22,仅作同组代码历史线索，不能直接证明2026组内专业和投档位次可沿用。,1. 03 食品质量与安全｜计划:2｜学费:5200｜选科:［化学｜偏好:无｜风险:无,先核历史候选对应的2026专业组是否真实存在、组号是否变化、组内专业是否完整,pending_original_pdf_page_review,pending_hubei_official_plan_review,pending_school_charter_review,pending_family_acceptance_review,pending_transfer_decision,pending_history_line_review,pending_upgrade_decision,false,按页码回看第19期原PDF；逐专业核对后，再补湖北官方系统、省招办计划、高校章程、家庭接受度和调剂结论。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_candidate_v3_b0_b1_review_pack,false,pending_b0_b1_original_page_review,GPK-ad068ceca862588e,V3-bd987bdd8dac7025,B0-历史候选和组号问题优先核页,历史候选,西安建筑科技大学 K46505 第05组,K465,西安建筑科技大学,K46505,G-4cec8cf7b8c4e5f3,223,page-223,17ea866603fb0e29e03f4594305262428f5633eec80da642e21ffa8d5ce65d3d,223_page-223,candidate_v2_review_seed,1,1,0,0,0,0,0,1,0,默认不进主方案-组内存在高收费/超预算专业,调剂风险线索-组内存在默认不能接受专业,Q4-结构相对完整待抽检,P0-必须优先核页,0,0,是,西安建筑科技大学 K46505 第05组,西安,2023/2024/2025,561(化),545(化),505(不限),3,2023:+80；2024:+48；2025:+11,仅作同组代码历史线索，不能直接证明2026组内专业和投档位次可沿用。,1. 18 工程管理（中外合作办学）（双学位；办｜计划:4｜学费:70000｜选科:不限｜偏好:无｜风险:中外合作或高收费,先核历史候选对应的2026专业组是否真实存在、组号是否变化、组内专业是否完整；组内含高收费/超预算线索，先核学费和办学性质,pending_original_pdf_page_review,pending_hubei_official_plan_review,pending_school_charter_review,pending_family_acceptance_review,pending_transfer_decision,pending_history_line_review,pending_upgrade_decision,false,按页码回看第19期原PDF；逐专业核对后，再补湖北官方系统、省招办计划、高校章程、家庭接受度和调剂结论。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_candidate_v3_b0_b1_review_pack,false,pending_b0_b1_original_page_review,GPK-00c038546e2d4aa6,V3-87a35f9e4b2dc53d,B0-历史候选和组号问题优先核页,历史候选,西安财经大学 K48504 第04组,K485,西安财经大学,K48504,G-052b32c1ecd65258,226,page-226,73ef360e7be622ca02a9ca899f1258fa97cafa1f495d4fe787929a8a75f042ab,226_page-226,candidate_v2_review_seed,1,1,0,0,0,0,0,1,0,默认不进主方案-组内存在高收费/超预算专业,调剂风险线索-组内存在默认不能接受专业,Q1-高风险结构异常,P0-必须优先核页,2,2,是,西安财经大学 K48504 第04组,西安,2024/2025,,552(化),515(不限),2,2024:+55；2025:+21,仅作同组代码历史线索，不能直接证明2026组内专业和投档位次可沿用。,1. 15 金融学（中外合作办学）（仅招收有此志愿考生：办学地点：长安校区）K486 西安邮电大学（公办）（陕西）｜计划:｜学费:6｜选科:不限｜偏好:无｜风险:中外合作或高收费,先核历史候选对应的2026专业组是否真实存在、组号是否变化、组内专业是否完整；组内含高收费/超预算线索，先核学费和办学性质,pending_original_pdf_page_review,pending_hubei_official_plan_review,pending_school_charter_review,pending_family_acceptance_review,pending_transfer_decision,pending_history_line_review,pending_upgrade_decision,false,按页码回看第19期原PDF；逐专业核对后，再补湖北官方系统、省招办计划、高校章程、家庭接受度和调剂结论。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_candidate_v3_b0_b1_review_pack,false,pending_b0_b1_original_page_review,GPK-e373937382d3cfa1,V3-763cfc43e905fd51,B0-历史候选和组号问题优先核页,历史候选,西安航空学院 K48703 第03组,K487,西安航空学院,K48703,G-59294f9eefd08b10,226,page-226,73ef360e7be622ca02a9ca899f1258fa97cafa1f495d4fe787929a8a75f042ab,226_page-226,candidate_v2_review_seed,1,1,1,0,1,0,0,1,0,默认不进主方案-组内存在高收费/超预算专业,调剂风险线索-组内存在默认不能接受专业,Q2-重点候选字段待核,P0-必须优先核页,0,0,是,西安航空学院 K48703 第03组,西安,2024/2025,,515(化),497(化),2,2024:+18；2025:+3,仅作同组代码历史线索，不能直接证明2026组内专业和投档位次可沿用。,1. 04 计算机科学与技术（中外合作办学）（属于高收费项目；办学地点：阎良｜计划:｜学费:50000｜选科:｜偏好:计算机类相关｜风险:中外合作或高收费,先核历史候选对应的2026专业组是否真实存在、组号是否变化、组内专业是否完整；组内含高收费/超预算线索，先核学费和办学性质,pending_original_pdf_page_review,pending_hubei_official_plan_review,pending_school_charter_review,pending_family_acceptance_review,pending_transfer_decision,pending_history_line_review,pending_upgrade_decision,false,按页码回看第19期原PDF；逐专业核对后，再补湖北官方系统、省招办计划、高校章程、家庭接受度和调剂结论。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_candidate_v3_b0_b1_review_pack,false,pending_b0_b1_original_page_review,GPK-cc3c6494791e7107,V3-9a22f42637edc547,B0-历史候选和组号问题优先核页,历史候选,西安航空学院 K48704 第04组,K487,西安航空学院,K48704,G-935d37c9c17b0a96,226,page-226,73ef360e7be622ca02a9ca899f1258fa97cafa1f495d4fe787929a8a75f042ab,226_page-226,candidate_v2_review_seed,2,2,0,0,0,0,1,1,0,默认不进主方案-组内存在医学/护理等排除专业,调剂风险线索-组内存在默认不能接受专业,Q1-高风险结构异常,P0-必须优先核页,2,2,是,西安航空学院 K48704 第04组,西安,2025,,,506(化),1,2025:+12,仅作同组代码历史线索，不能直接证明2026组内专业和投档位次可沿用。,1. 05 机械设计制造及其自动化（中外合作办学〉（属于高收费项目；办学地点：阎｜计划:｜学费:［50000｜选科:｜偏好:无｜风险:中外合作或高收费；2. 06 直动化（中外合作办学）（属于高收费项自：办学地点：阎良校区）K488 西安医学院（公办）（陕西）｜计划:｜学费:50000｜选科:｜偏好:无｜风险:中外合作或高收费；医学/护理等排除方向,先核历史候选对应的2026专业组是否真实存在、组号是否变化、组内专业是否完整；组内含医学护理等家庭明确排除方向，先判断是否阻断调剂；组内含高收费/超预算线索，先核学费和办学性质,pending_original_pdf_page_review,pending_hubei_official_plan_review,pending_school_charter_review,pending_family_acceptance_review,pending_transfer_decision,pending_history_line_review,pending_upgrade_decision,false,按页码回看第19期原PDF；逐专业核对后，再补湖北官方系统、省招办计划、高校章程、家庭接受度和调剂结论。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_candidate_v3_b0_b1_review_pack,false,pending_b0_b1_original_page_review,GPK-fe4470d2c2ced37a,V3-88feeb8045df4f8a,B0-历史候选和组号问题优先核页,历史候选,西安医学院 K48804 第04组,K488,西安医学院,K48804,G-d93dfb85c8cb1c20,226,page-226,73ef360e7be622ca02a9ca899f1258fa97cafa1f495d4fe787929a8a75f042ab,226_page-226,candidate_v2_review_seed,1,1,0,0,0,0,0,0,1,暂缓进入主方案-组内存在特殊限制待核专业,暂不判断-特殊限制待核,Q2-重点候选字段待核,P0-必须优先核页,0,0,是,西安医学院 K48804 第04组,西安,2023/2024/2025,558(化和生),564(化和生),507(化),3,2023:+77；2024:+67；2025:+13,仅作同组代码历史线索，不能直接证明2026组内专业和投档位次可沿用。,1. 04 英语（外语语种：英语：办学地点：未央校区）｜计划:｜学费:5000｜选科:不限｜偏好:无｜风险:语种或单科限制,先核历史候选对应的2026专业组是否真实存在、组号是否变化、组内专业是否完整,pending_original_pdf_page_review,pending_hubei_official_plan_review,pending_school_charter_review,pending_family_acceptance_review,pending_transfer_decision,pending_history_line_review,pending_upgrade_decision,false,按页码回看第19期原PDF；逐专业核对后，再补湖北官方系统、省招办计划、高校章程、家庭接受度和调剂结论。
