来源期号,来源PDF_SHA256,数据阶段,最终可用,核验状态,官方逐专业校验任务ID,官方交叉校验任务ID,专业核验任务ID,候选V3入口ID,复核批次,入口类型,院校代码,院校名称OCR,2026院校专业组代码,来源页码,专业明细来源,专业行来源,专业行ID,专业组内专业序号,专业代号OCR,专业名称及备注OCR,再选科目OCR候选,专业计划数OCR候选,学费OCR候选,专业偏好方向,专业风险类型,专业字段完整性标记,机器专业接受度初判,机器阻断或待核原因,调剂影响初判,官网来源状态,官网URL,本地留存路径,可核字段,官网来源局限,官方源缺口,PDF字段核验状态,湖北官方系统字段核验状态,高校官网/章程字段核验状态,家庭接受度人工结论状态,调剂影响人工结论状态,字段核验状态,是否阻断组升级,可进入最终专业列表,可进入下一阶段,高校官网计划检索式,招生章程检索式,下一步
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_candidate_v3_b0_b1_official_crosscheck_queue,false,pending_major_official_crosscheck,OMQ-91de7c8a8e157768,OCQ-5ab8fb1ed58ce078,MPK-0edef44888abd67c,V3-6960b472bcdd44e4,B0-历史候选和组号问题优先核页,历史候选,A032,北京语言大学,A03208,17,candidate_v2_review_seed,candidate_v2_major_review_seed,,1,29,信息管理与信息系统（中外合作办学）（办学地点：海南国际学院）,不限,4,10万,,中外合作或高收费,tuition_not_plain_number,默认不能接受-高收费或超预算,中外合作/高收费/超预算风险；字段待核:tuition_not_plain_number；专业行存在高严重结构异常,若服从调剂可能形成不能接受风险,has_partial_source_needs_followup,https://zsb.blcu.edu.cn/sjz/zsdt/xxgk.htm,未留存,招生计划入口；招生章程入口；历年分数入口,需进入动态查询入口核湖北2026，本地尚未留存具体湖北计划结果,已有部分官网线索，但仍需补齐湖北普通本科物理专业组或逐专业字段,pending_original_pdf_page_review,pending_hubei_official_plan_review,pending_school_plan_or_charter_review,pending_family_acceptance_review,pending_transfer_decision,pending,是,false,false,北京语言大学 2026 湖北 招生计划 本科 专业组 招生网,北京语言大学 2026 普通本科 招生章程,逐专业比对PDF原页、湖北官方系统或省招办计划、高校官网/章程和家庭接受度；专业字段未全部确认前不得进入最终专业列表。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_candidate_v3_b0_b1_official_crosscheck_queue,false,pending_major_official_crosscheck,OMQ-5e987b2d26ddf183,OCQ-4c7867d48527472a,MPK-290a1f90206e8573,V3-47a03921374b3258,B0-历史候选和组号问题优先核页,历史候选,K151,成都理工大学,K15123,208；209,candidate_v2_review_seed,zero_detail_group_placeholder,,,,,,,,,0明细组,missing_major_detail,暂不可判断-无专业明细,0明细组，必须先核第19期原页或确认2026组号变化/旧组号,不可判断-无专业明细,has_partial_source_needs_followup,https://zsdata.cdut.edu.cn/zsdata/lqxx/,未留存,官方招生信息动态查询入口；省份/年份/科类筛选,页面需动态查询，本地尚未保存湖北2026物理类结果,已有部分官网线索，但仍需补齐湖北普通本科物理专业组或逐专业字段,pending_original_pdf_page_review,pending_hubei_official_plan_review,pending_school_plan_or_charter_review,pending_family_acceptance_review,pending_transfer_decision,pending,是,false,false,成都理工大学 2026 湖北 招生计划 本科 专业组 招生网,成都理工大学 2026 普通本科 招生章程,逐专业比对PDF原页、湖北官方系统或省招办计划、高校官网/章程和家庭接受度；专业字段未全部确认前不得进入最终专业列表。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_candidate_v3_b0_b1_official_crosscheck_queue,false,pending_major_official_crosscheck,OMQ-7ede4e8dcc84293a,OCQ-d1e7e68b435bd321,MPK-80633eb1d8fc0ec5,V3-bbe0b354a55c0e45,B0-历史候选和组号问题优先核页,历史候选,K178,成都医学院,K17801,212,candidate_v2_review_seed,candidate_v2_major_review_seed,,1,01,医学检验技术（色盲、色弱及单眼失明考生不予录取；办学地点：新都校区）,,,6670,,体检或色觉限制；医学/护理等排除方向,missing_subject_candidate;missing_plan_count_candidate,默认不能接受-医学护理等排除方向,医学/护理等明确排除方向；体检/语种/专项等特殊限制待核；字段待核:missing_subject_candidate;missing_plan_count_candidate,若服从调剂可能形成不能接受风险,charter_or_rules_only_no_plan,https://zs.cmc.edu.cn/page.jsp?urltype=news.NewsContentUrl&wbnewsid=1392&wbtreeid=1004,未留存,招生章程；医学限制；录取规则,不能核专业组计划数,当前只可辅助核招生章程或规则，不能核湖北2026专业组计划,pending_original_pdf_page_review,pending_hubei_official_plan_review,pending_school_plan_or_charter_review,pending_family_acceptance_review,pending_transfer_decision,pending,是,false,false,成都医学院 2026 湖北 招生计划 本科 专业组 招生网,成都医学院 2026 普通本科 招生章程,逐专业比对PDF原页、湖北官方系统或省招办计划、高校官网/章程和家庭接受度；专业字段未全部确认前不得进入最终专业列表。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_candidate_v3_b0_b1_official_crosscheck_queue,false,pending_major_official_crosscheck,OMQ-f69f399974a350bc,OCQ-bed8c33dad0bc21e,MPK-1110e959c6b526d3,V3-9f00a3b198eb63c8,B0-历史候选和组号问题优先核页,历史候选,K178,成都医学院,K17802,212,candidate_v2_review_seed,candidate_v2_major_review_seed,,1,02,药学（色真、色弱及单眼失明考生不予录取；办学地点：新都校区）K179成都师范学院（公办）（四川）,,8,6670,师范类相关,体检或色觉限制；医学/护理等排除方向,missing_subject_candidate,默认不能接受-医学护理等排除方向,医学/护理等明确排除方向；体检/语种/专项等特殊限制待核；字段待核:missing_subject_candidate；专业行存在高严重结构异常,若服从调剂可能形成不能接受风险,charter_or_rules_only_no_plan,https://zs.cmc.edu.cn/page.jsp?urltype=news.NewsContentUrl&wbnewsid=1392&wbtreeid=1004,未留存,招生章程；医学限制；录取规则,不能核专业组计划数,当前只可辅助核招生章程或规则，不能核湖北2026专业组计划,pending_original_pdf_page_review,pending_hubei_official_plan_review,pending_school_plan_or_charter_review,pending_family_acceptance_review,pending_transfer_decision,pending,是,false,false,成都医学院 2026 湖北 招生计划 本科 专业组 招生网,成都医学院 2026 普通本科 招生章程,逐专业比对PDF原页、湖北官方系统或省招办计划、高校官网/章程和家庭接受度；专业字段未全部确认前不得进入最终专业列表。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_candidate_v3_b0_b1_official_crosscheck_queue,false,pending_major_official_crosscheck,OMQ-0c47198fd5777523,OCQ-5869fc2a6749796f,MPK-f8c8d363bbf81a85,V3-7dd24a7ede91a643,B0-历史候选和组号问题优先核页,历史候选,K179,成都师范学院,K17903,212,candidate_v2_review_seed,candidate_v2_major_review_seed,,1,03,食品质量与安全,［化学,2,5200,,,,待了解-未命中当前偏好方向,未触发自动阻断；仍需原PDF和官方来源核验,可作为调剂接受度待家庭判断专业,needs_official_plan_source_search,,未留存,暂无,未定位官方2026湖北计划页,未定位可复用的高校官网湖北2026普通本科物理招生计划，需要优先补源,pending_original_pdf_page_review,pending_hubei_official_plan_review,pending_school_plan_or_charter_review,pending_family_acceptance_review,pending_transfer_decision,pending,是,false,false,成都师范学院 2026 湖北 招生计划 本科 专业组 招生网,成都师范学院 2026 普通本科 招生章程,逐专业比对PDF原页、湖北官方系统或省招办计划、高校官网/章程和家庭接受度；专业字段未全部确认前不得进入最终专业列表。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_candidate_v3_b0_b1_official_crosscheck_queue,false,pending_major_official_crosscheck,OMQ-11490c0df5800848,OCQ-ad068ceca862588e,MPK-25762cf532fc0927,V3-bd987bdd8dac7025,B0-历史候选和组号问题优先核页,历史候选,K465,西安建筑科技大学,K46505,223,candidate_v2_review_seed,candidate_v2_major_review_seed,,1,18,工程管理（中外合作办学）（双学位；办,不限,4,70000,,中外合作或高收费,,默认不能接受-高收费或超预算,中外合作/高收费/超预算风险,若服从调剂可能形成不能接受风险,has_partial_source_needs_followup,https://zhaosheng.xauat.edu.cn/,未留存,招生计划入口；招生章程入口；历年分数入口,首页有招生计划入口但本地未留存湖北2026查询结果,已有部分官网线索，但仍需补齐湖北普通本科物理专业组或逐专业字段,pending_original_pdf_page_review,pending_hubei_official_plan_review,pending_school_plan_or_charter_review,pending_family_acceptance_review,pending_transfer_decision,pending,是,false,false,西安建筑科技大学 2026 湖北 招生计划 本科 专业组 招生网,西安建筑科技大学 2026 普通本科 招生章程,逐专业比对PDF原页、湖北官方系统或省招办计划、高校官网/章程和家庭接受度；专业字段未全部确认前不得进入最终专业列表。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_candidate_v3_b0_b1_official_crosscheck_queue,false,pending_major_official_crosscheck,OMQ-eaccae5e0e563488,OCQ-00c038546e2d4aa6,MPK-bb8a5295cf569b96,V3-87a35f9e4b2dc53d,B0-历史候选和组号问题优先核页,历史候选,K485,西安财经大学,K48504,226,candidate_v2_review_seed,candidate_v2_major_review_seed,,1,15,金融学（中外合作办学）（仅招收有此志愿考生：办学地点：长安校区）K486 西安邮电大学（公办）（陕西）,不限,,6,,中外合作或高收费,missing_plan_count_candidate,默认不能接受-高收费或超预算,中外合作/高收费/超预算风险；字段待核:missing_plan_count_candidate；专业行存在高严重结构异常,若服从调剂可能形成不能接受风险,has_partial_source_needs_followup,https://zhaosheng.xaufe.edu.cn/zsdata/lqxx/,data/external/issue19-b0-b1-official-sources/xaufe-2026-hubei-physics-normal.json,湖北2026理工/物理类普通类专业名称；计划数；专业备注,专业组、专业代号、学费、选科、校区字段为空或不足，不能单独核专业组边界,已有部分官网线索，但仍需补齐湖北普通本科物理专业组或逐专业字段,pending_original_pdf_page_review,pending_hubei_official_plan_review,pending_school_plan_or_charter_review,pending_family_acceptance_review,pending_transfer_decision,pending,是,false,false,西安财经大学 2026 湖北 招生计划 本科 专业组 招生网,西安财经大学 2026 普通本科 招生章程,逐专业比对PDF原页、湖北官方系统或省招办计划、高校官网/章程和家庭接受度；专业字段未全部确认前不得进入最终专业列表。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_candidate_v3_b0_b1_official_crosscheck_queue,false,pending_major_official_crosscheck,OMQ-27c55b1d3f16ac64,OCQ-e373937382d3cfa1,MPK-d774dd3624f6d68e,V3-763cfc43e905fd51,B0-历史候选和组号问题优先核页,历史候选,K487,西安航空学院,K48703,226,candidate_v2_review_seed,candidate_v2_major_review_seed,,1,04,计算机科学与技术（中外合作办学）（属于高收费项目；办学地点：阎良,,,50000,计算机类相关,中外合作或高收费,missing_subject_candidate;missing_plan_count_candidate,默认不能接受-高收费或超预算,中外合作/高收费/超预算风险；字段待核:missing_subject_candidate;missing_plan_count_candidate,若服从调剂可能形成不能接受风险,needs_official_plan_source_search,https://zb.xaau.edu.cn/,未留存,官方招生入口；章程/合作办学线索,未定位湖北2026专页,未定位可复用的高校官网湖北2026普通本科物理招生计划，需要优先补源,pending_original_pdf_page_review,pending_hubei_official_plan_review,pending_school_plan_or_charter_review,pending_family_acceptance_review,pending_transfer_decision,pending,是,false,false,西安航空学院 2026 湖北 招生计划 本科 专业组 招生网,西安航空学院 2026 普通本科 招生章程,逐专业比对PDF原页、湖北官方系统或省招办计划、高校官网/章程和家庭接受度；专业字段未全部确认前不得进入最终专业列表。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_candidate_v3_b0_b1_official_crosscheck_queue,false,pending_major_official_crosscheck,OMQ-e2eb80e9789128f2,OCQ-cc3c6494791e7107,MPK-9ab053b1cdb14c8c,V3-9a22f42637edc547,B0-历史候选和组号问题优先核页,历史候选,K487,西安航空学院,K48704,226,candidate_v2_review_seed,candidate_v2_major_review_seed,,1,05,机械设计制造及其自动化（中外合作办学〉（属于高收费项目；办学地点：阎,,,［50000,,中外合作或高收费,missing_subject_candidate;missing_plan_count_candidate;tuition_not_plain_number,默认不能接受-高收费或超预算,中外合作/高收费/超预算风险；字段待核:missing_subject_candidate;missing_plan_count_candidate;tuition_not_plain_number；专业行存在高严重结构异常,若服从调剂可能形成不能接受风险,needs_official_plan_source_search,https://zb.xaau.edu.cn/,未留存,官方招生入口；章程/合作办学线索,未定位湖北2026专页,未定位可复用的高校官网湖北2026普通本科物理招生计划，需要优先补源,pending_original_pdf_page_review,pending_hubei_official_plan_review,pending_school_plan_or_charter_review,pending_family_acceptance_review,pending_transfer_decision,pending,是,false,false,西安航空学院 2026 湖北 招生计划 本科 专业组 招生网,西安航空学院 2026 普通本科 招生章程,逐专业比对PDF原页、湖北官方系统或省招办计划、高校官网/章程和家庭接受度；专业字段未全部确认前不得进入最终专业列表。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_candidate_v3_b0_b1_official_crosscheck_queue,false,pending_major_official_crosscheck,OMQ-006ec4f5dd2d13db,OCQ-cc3c6494791e7107,MPK-54d424788d3c1dc0,V3-9a22f42637edc547,B0-历史候选和组号问题优先核页,历史候选,K487,西安航空学院,K48704,226,candidate_v2_review_seed,candidate_v2_major_review_seed,,2,06,直动化（中外合作办学）（属于高收费项自：办学地点：阎良校区）K488 西安医学院（公办）（陕西）,,,50000,,中外合作或高收费；医学/护理等排除方向,missing_subject_candidate;missing_plan_count_candidate,默认不能接受-医学护理等排除方向,医学/护理等明确排除方向；中外合作/高收费/超预算风险；字段待核:missing_subject_candidate;missing_plan_count_candidate；专业行存在高严重结构异常,若服从调剂可能形成不能接受风险,needs_official_plan_source_search,https://zb.xaau.edu.cn/,未留存,官方招生入口；章程/合作办学线索,未定位湖北2026专页,未定位可复用的高校官网湖北2026普通本科物理招生计划，需要优先补源,pending_original_pdf_page_review,pending_hubei_official_plan_review,pending_school_plan_or_charter_review,pending_family_acceptance_review,pending_transfer_decision,pending,是,false,false,西安航空学院 2026 湖北 招生计划 本科 专业组 招生网,西安航空学院 2026 普通本科 招生章程,逐专业比对PDF原页、湖北官方系统或省招办计划、高校官网/章程和家庭接受度；专业字段未全部确认前不得进入最终专业列表。
