来源期号,来源PDF_SHA256,数据阶段,最终可用,核验状态,专业核验任务ID,候选V3入口ID,复核批次,入口类型,院校代码,院校名称OCR,2026院校专业组代码,专业组出现ID,来源页码,私有页图证据编号,专业明细来源,专业行来源,专业行ID,专业组内专业序号,专业代号OCR,专业名称及备注OCR,再选科目OCR候选,专业计划数OCR候选,专业计划数是否纯数字,学费OCR候选,学费OCR数字候选,学费是否纯数字,专业偏好方向,专业风险类型,专业字段完整性标记,专业行结构异常数,专业行高严重结构异常数,逐专业复核优先级,机器专业接受度初判,机器阻断或待核原因,调剂影响初判,PDF专业代号确认值,PDF专业名称确认值,PDF计划数确认值,PDF学费确认值,PDF选科确认值,湖北官方系统确认值,高校官网章程确认值,家庭接受度人工结论,调剂影响人工结论,私有证据编号,字段核验状态,是否阻断组升级,可进入最终专业列表,下一步
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_candidate_v3_b0_b1_review_pack,false,pending_b0_b1_major_review,MPK-0edef44888abd67c,V3-6960b472bcdd44e4,B0-历史候选和组号问题优先核页,历史候选,A032,北京语言大学,A03208,G-553de3a14627ccf4,17,page-017,candidate_v2_review_seed,candidate_v2_major_review_seed,,1,29,信息管理与信息系统（中外合作办学）（办学地点：海南国际学院）,不限,4,是,10万,10,否,,中外合作或高收费,tuition_not_plain_number,1,1,P0-逐专业必须核页,默认不能接受-高收费或超预算,中外合作/高收费/超预算风险；字段待核:tuition_not_plain_number；专业行存在高严重结构异常,若服从调剂可能形成不能接受风险,,,,,,,,,,,pending,是,false,逐专业回看第19期原PDF，并与湖北官方系统、省招办计划、高校章程交叉核验；再由家庭确认接受度。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_candidate_v3_b0_b1_review_pack,false,pending_b0_b1_major_review,MPK-290a1f90206e8573,V3-47a03921374b3258,B0-历史候选和组号问题优先核页,历史候选,K151,成都理工大学,K15123,,208；209,page-208；page-209,candidate_v2_review_seed,zero_detail_group_placeholder,,,,,,,,,,,,0明细组,missing_major_detail,,,P0-先补齐组内专业明细,暂不可判断-无专业明细,0明细组，必须先核第19期原页或确认2026组号变化/旧组号,不可判断-无专业明细,,,,,,,,,,,pending,是,false,逐专业回看第19期原PDF，并与湖北官方系统、省招办计划、高校章程交叉核验；再由家庭确认接受度。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_candidate_v3_b0_b1_review_pack,false,pending_b0_b1_major_review,MPK-80633eb1d8fc0ec5,V3-bbe0b354a55c0e45,B0-历史候选和组号问题优先核页,历史候选,K178,成都医学院,K17801,G-ff098790cb737df6,212,page-212,candidate_v2_review_seed,candidate_v2_major_review_seed,,1,01,医学检验技术（色盲、色弱及单眼失明考生不予录取；办学地点：新都校区）,,,否,6670,6670,是,,体检或色觉限制；医学/护理等排除方向,missing_subject_candidate;missing_plan_count_candidate,0,0,P0-逐专业必须核页,默认不能接受-医学护理等排除方向,医学/护理等明确排除方向；体检/语种/专项等特殊限制待核；字段待核:missing_subject_candidate;missing_plan_count_candidate,若服从调剂可能形成不能接受风险,,,,,,,,,,,pending,是,false,逐专业回看第19期原PDF，并与湖北官方系统、省招办计划、高校章程交叉核验；再由家庭确认接受度。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_candidate_v3_b0_b1_review_pack,false,pending_b0_b1_major_review,MPK-1110e959c6b526d3,V3-9f00a3b198eb63c8,B0-历史候选和组号问题优先核页,历史候选,K178,成都医学院,K17802,G-95e5212bd4e42903,212,page-212,candidate_v2_review_seed,candidate_v2_major_review_seed,,1,02,药学（色真、色弱及单眼失明考生不予录取；办学地点：新都校区）K179成都师范学院（公办）（四川）,,8,是,6670,6670,是,师范类相关,体检或色觉限制；医学/护理等排除方向,missing_subject_candidate,1,1,P0-逐专业必须核页,默认不能接受-医学护理等排除方向,医学/护理等明确排除方向；体检/语种/专项等特殊限制待核；字段待核:missing_subject_candidate；专业行存在高严重结构异常,若服从调剂可能形成不能接受风险,,,,,,,,,,,pending,是,false,逐专业回看第19期原PDF，并与湖北官方系统、省招办计划、高校章程交叉核验；再由家庭确认接受度。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_candidate_v3_b0_b1_review_pack,false,pending_b0_b1_major_review,MPK-f8c8d363bbf81a85,V3-7dd24a7ede91a643,B0-历史候选和组号问题优先核页,历史候选,K179,成都师范学院,K17903,G-f2b3452ad8a7f8d7,212,page-212,candidate_v2_review_seed,candidate_v2_major_review_seed,,1,03,食品质量与安全,［化学,2,是,5200,5200,是,,,,0,0,P0-逐专业必须核页,待了解-未命中当前偏好方向,未触发自动阻断；仍需原PDF和官方来源核验,可作为调剂接受度待家庭判断专业,,,,,,,,,,,pending,是,false,逐专业回看第19期原PDF，并与湖北官方系统、省招办计划、高校章程交叉核验；再由家庭确认接受度。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_candidate_v3_b0_b1_review_pack,false,pending_b0_b1_major_review,MPK-25762cf532fc0927,V3-bd987bdd8dac7025,B0-历史候选和组号问题优先核页,历史候选,K465,西安建筑科技大学,K46505,G-4cec8cf7b8c4e5f3,223,page-223,candidate_v2_review_seed,candidate_v2_major_review_seed,,1,18,工程管理（中外合作办学）（双学位；办,不限,4,是,70000,70000,是,,中外合作或高收费,,0,0,P0-逐专业必须核页,默认不能接受-高收费或超预算,中外合作/高收费/超预算风险,若服从调剂可能形成不能接受风险,,,,,,,,,,,pending,是,false,逐专业回看第19期原PDF，并与湖北官方系统、省招办计划、高校章程交叉核验；再由家庭确认接受度。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_candidate_v3_b0_b1_review_pack,false,pending_b0_b1_major_review,MPK-bb8a5295cf569b96,V3-87a35f9e4b2dc53d,B0-历史候选和组号问题优先核页,历史候选,K485,西安财经大学,K48504,G-052b32c1ecd65258,226,page-226,candidate_v2_review_seed,candidate_v2_major_review_seed,,1,15,金融学（中外合作办学）（仅招收有此志愿考生：办学地点：长安校区）K486 西安邮电大学（公办）（陕西）,不限,,否,6,6,是,,中外合作或高收费,missing_plan_count_candidate,1,1,P0-逐专业必须核页,默认不能接受-高收费或超预算,中外合作/高收费/超预算风险；字段待核:missing_plan_count_candidate；专业行存在高严重结构异常,若服从调剂可能形成不能接受风险,,,,,,,,,,,pending,是,false,逐专业回看第19期原PDF，并与湖北官方系统、省招办计划、高校章程交叉核验；再由家庭确认接受度。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_candidate_v3_b0_b1_review_pack,false,pending_b0_b1_major_review,MPK-d774dd3624f6d68e,V3-763cfc43e905fd51,B0-历史候选和组号问题优先核页,历史候选,K487,西安航空学院,K48703,G-59294f9eefd08b10,226,page-226,candidate_v2_review_seed,candidate_v2_major_review_seed,,1,04,计算机科学与技术（中外合作办学）（属于高收费项目；办学地点：阎良,,,否,50000,50000,是,计算机类相关,中外合作或高收费,missing_subject_candidate;missing_plan_count_candidate,0,0,P0-逐专业必须核页,默认不能接受-高收费或超预算,中外合作/高收费/超预算风险；字段待核:missing_subject_candidate;missing_plan_count_candidate,若服从调剂可能形成不能接受风险,,,,,,,,,,,pending,是,false,逐专业回看第19期原PDF，并与湖北官方系统、省招办计划、高校章程交叉核验；再由家庭确认接受度。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_candidate_v3_b0_b1_review_pack,false,pending_b0_b1_major_review,MPK-9ab053b1cdb14c8c,V3-9a22f42637edc547,B0-历史候选和组号问题优先核页,历史候选,K487,西安航空学院,K48704,G-935d37c9c17b0a96,226,page-226,candidate_v2_review_seed,candidate_v2_major_review_seed,,1,05,机械设计制造及其自动化（中外合作办学〉（属于高收费项目；办学地点：阎,,,否,［50000,50000,否,,中外合作或高收费,missing_subject_candidate;missing_plan_count_candidate;tuition_not_plain_number,1,1,P0-逐专业必须核页,默认不能接受-高收费或超预算,中外合作/高收费/超预算风险；字段待核:missing_subject_candidate;missing_plan_count_candidate;tuition_not_plain_number；专业行存在高严重结构异常,若服从调剂可能形成不能接受风险,,,,,,,,,,,pending,是,false,逐专业回看第19期原PDF，并与湖北官方系统、省招办计划、高校章程交叉核验；再由家庭确认接受度。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_candidate_v3_b0_b1_review_pack,false,pending_b0_b1_major_review,MPK-54d424788d3c1dc0,V3-9a22f42637edc547,B0-历史候选和组号问题优先核页,历史候选,K487,西安航空学院,K48704,G-935d37c9c17b0a96,226,page-226,candidate_v2_review_seed,candidate_v2_major_review_seed,,2,06,直动化（中外合作办学）（属于高收费项自：办学地点：阎良校区）K488 西安医学院（公办）（陕西）,,,否,50000,50000,是,,中外合作或高收费；医学/护理等排除方向,missing_subject_candidate;missing_plan_count_candidate,1,1,P0-逐专业必须核页,默认不能接受-医学护理等排除方向,医学/护理等明确排除方向；中外合作/高收费/超预算风险；字段待核:missing_subject_candidate;missing_plan_count_candidate；专业行存在高严重结构异常,若服从调剂可能形成不能接受风险,,,,,,,,,,,pending,是,false,逐专业回看第19期原PDF，并与湖北官方系统、省招办计划、高校章程交叉核验；再由家庭确认接受度。
