来源期号,来源PDF_SHA256,数据阶段,最终可用,核验状态,官方交叉校验任务ID,候选V3入口ID,复核批次,入口类型,院校代码,院校名称OCR,2026院校专业组代码,来源页码,专业明细来源,专业明细行数,逐专业核验任务数,风险线索,历史线使用口径,官网来源状态,官网URL,本地留存路径,可核字段,官网来源局限,官方源缺口,必须核验字段,湖北官方系统核验状态,高校官网计划核验状态,招生章程核验状态,PDF原页核验状态,家庭接受度核验状态,调剂结论状态,交叉校验结论,可进入下一阶段,高校官网计划检索式,招生章程检索式,下一步
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_candidate_v3_b0_b1_official_crosscheck_queue,false,pending_group_official_crosscheck,OCQ-5ab8fb1ed58ce078,V3-6960b472bcdd44e4,B0-历史候选和组号问题优先核页,历史候选,A032,北京语言大学,A03208,17,candidate_v2_review_seed,1,1,高收费或超预算,仅作同组代码历史线索，不能直接证明2026组内专业和投档位次可沿用。,has_partial_source_needs_followup,https://zsb.blcu.edu.cn/sjz/zsdt/xxgk.htm,未留存,招生计划入口；招生章程入口；历年分数入口,需进入动态查询入口核湖北2026，本地尚未留存具体湖北计划结果,已有部分官网线索，但仍需补齐湖北普通本科物理专业组或逐专业字段,院校代码；院校名称；院校专业组代码；专业组边界和组内全部专业；专业代号；专业名称及备注；专业计划数；学费；学制；校区；再选科目；特殊备注；招生章程录取规则；体检/语种/单科限制；办学性质和高收费/中外合作,pending_hubei_official_plan_review,pending_school_plan_review,pending_school_charter_review,pending_original_pdf_page_review,pending_family_acceptance_review,pending_transfer_decision,pending,false,北京语言大学 2026 湖北 招生计划 本科 专业组 招生网,北京语言大学 2026 普通本科 招生章程,先补高校官网/章程来源，再按必须核验字段逐项比对第19期、湖北官方系统和高校官网；不一致时以省招办渠道为准并记录差异。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_candidate_v3_b0_b1_official_crosscheck_queue,false,pending_group_official_crosscheck,OCQ-4c7867d48527472a,V3-47a03921374b3258,B0-历史候选和组号问题优先核页,历史候选,K151,成都理工大学,K15123,208；209,candidate_v2_review_seed,0,1,0明细组；历史线不得直接沿用,2026组号或结构化存在变化/补种问题，历史线不得直接沿用。,has_partial_source_needs_followup,https://zsdata.cdut.edu.cn/zsdata/lqxx/,未留存,官方招生信息动态查询入口；省份/年份/科类筛选,页面需动态查询，本地尚未保存湖北2026物理类结果,已有部分官网线索，但仍需补齐湖北普通本科物理专业组或逐专业字段,院校代码；院校名称；院校专业组代码；专业组边界和组内全部专业；专业代号；专业名称及备注；专业计划数；学费；学制；校区；再选科目；特殊备注；招生章程录取规则；体检/语种/单科限制；办学性质和高收费/中外合作,pending_hubei_official_plan_review,pending_school_plan_review,pending_school_charter_review,pending_original_pdf_page_review,pending_family_acceptance_review,pending_transfer_decision,pending,false,成都理工大学 2026 湖北 招生计划 本科 专业组 招生网,成都理工大学 2026 普通本科 招生章程,先补高校官网/章程来源，再按必须核验字段逐项比对第19期、湖北官方系统和高校官网；不一致时以省招办渠道为准并记录差异。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_candidate_v3_b0_b1_official_crosscheck_queue,false,pending_group_official_crosscheck,OCQ-d1e7e68b435bd321,V3-bbe0b354a55c0e45,B0-历史候选和组号问题优先核页,历史候选,K178,成都医学院,K17801,212,candidate_v2_review_seed,1,1,医学护理排除方向,仅作同组代码历史线索，不能直接证明2026组内专业和投档位次可沿用。,charter_or_rules_only_no_plan,https://zs.cmc.edu.cn/page.jsp?urltype=news.NewsContentUrl&wbnewsid=1392&wbtreeid=1004,未留存,招生章程；医学限制；录取规则,不能核专业组计划数,当前只可辅助核招生章程或规则，不能核湖北2026专业组计划,院校代码；院校名称；院校专业组代码；专业组边界和组内全部专业；专业代号；专业名称及备注；专业计划数；学费；学制；校区；再选科目；特殊备注；招生章程录取规则；体检/语种/单科限制；办学性质和高收费/中外合作,pending_hubei_official_plan_review,pending_school_plan_review,pending_school_charter_review,pending_original_pdf_page_review,pending_family_acceptance_review,pending_transfer_decision,pending,false,成都医学院 2026 湖北 招生计划 本科 专业组 招生网,成都医学院 2026 普通本科 招生章程,先补高校官网/章程来源，再按必须核验字段逐项比对第19期、湖北官方系统和高校官网；不一致时以省招办渠道为准并记录差异。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_candidate_v3_b0_b1_official_crosscheck_queue,false,pending_group_official_crosscheck,OCQ-bed8c33dad0bc21e,V3-9f00a3b198eb63c8,B0-历史候选和组号问题优先核页,历史候选,K178,成都医学院,K17802,212,candidate_v2_review_seed,1,1,医学护理排除方向,仅作同组代码历史线索，不能直接证明2026组内专业和投档位次可沿用。,charter_or_rules_only_no_plan,https://zs.cmc.edu.cn/page.jsp?urltype=news.NewsContentUrl&wbnewsid=1392&wbtreeid=1004,未留存,招生章程；医学限制；录取规则,不能核专业组计划数,当前只可辅助核招生章程或规则，不能核湖北2026专业组计划,院校代码；院校名称；院校专业组代码；专业组边界和组内全部专业；专业代号；专业名称及备注；专业计划数；学费；学制；校区；再选科目；特殊备注；招生章程录取规则；体检/语种/单科限制；办学性质和高收费/中外合作,pending_hubei_official_plan_review,pending_school_plan_review,pending_school_charter_review,pending_original_pdf_page_review,pending_family_acceptance_review,pending_transfer_decision,pending,false,成都医学院 2026 湖北 招生计划 本科 专业组 招生网,成都医学院 2026 普通本科 招生章程,先补高校官网/章程来源，再按必须核验字段逐项比对第19期、湖北官方系统和高校官网；不一致时以省招办渠道为准并记录差异。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_candidate_v3_b0_b1_official_crosscheck_queue,false,pending_group_official_crosscheck,OCQ-5869fc2a6749796f,V3-7dd24a7ede91a643,B0-历史候选和组号问题优先核页,历史候选,K179,成都师范学院,K17903,212,candidate_v2_review_seed,1,1,无,仅作同组代码历史线索，不能直接证明2026组内专业和投档位次可沿用。,needs_official_plan_source_search,,未留存,暂无,未定位官方2026湖北计划页,未定位可复用的高校官网湖北2026普通本科物理招生计划，需要优先补源,院校代码；院校名称；院校专业组代码；专业组边界和组内全部专业；专业代号；专业名称及备注；专业计划数；学费；学制；校区；再选科目；特殊备注；招生章程录取规则；体检/语种/单科限制；办学性质和高收费/中外合作,pending_hubei_official_plan_review,pending_school_plan_review,pending_school_charter_review,pending_original_pdf_page_review,pending_family_acceptance_review,pending_transfer_decision,pending,false,成都师范学院 2026 湖北 招生计划 本科 专业组 招生网,成都师范学院 2026 普通本科 招生章程,先补高校官网/章程来源，再按必须核验字段逐项比对第19期、湖北官方系统和高校官网；不一致时以省招办渠道为准并记录差异。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_candidate_v3_b0_b1_official_crosscheck_queue,false,pending_group_official_crosscheck,OCQ-ad068ceca862588e,V3-bd987bdd8dac7025,B0-历史候选和组号问题优先核页,历史候选,K465,西安建筑科技大学,K46505,223,candidate_v2_review_seed,1,1,高收费或超预算,仅作同组代码历史线索，不能直接证明2026组内专业和投档位次可沿用。,has_partial_source_needs_followup,https://zhaosheng.xauat.edu.cn/,未留存,招生计划入口；招生章程入口；历年分数入口,首页有招生计划入口但本地未留存湖北2026查询结果,已有部分官网线索，但仍需补齐湖北普通本科物理专业组或逐专业字段,院校代码；院校名称；院校专业组代码；专业组边界和组内全部专业；专业代号；专业名称及备注；专业计划数；学费；学制；校区；再选科目；特殊备注；招生章程录取规则；体检/语种/单科限制；办学性质和高收费/中外合作,pending_hubei_official_plan_review,pending_school_plan_review,pending_school_charter_review,pending_original_pdf_page_review,pending_family_acceptance_review,pending_transfer_decision,pending,false,西安建筑科技大学 2026 湖北 招生计划 本科 专业组 招生网,西安建筑科技大学 2026 普通本科 招生章程,先补高校官网/章程来源，再按必须核验字段逐项比对第19期、湖北官方系统和高校官网；不一致时以省招办渠道为准并记录差异。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_candidate_v3_b0_b1_official_crosscheck_queue,false,pending_group_official_crosscheck,OCQ-00c038546e2d4aa6,V3-87a35f9e4b2dc53d,B0-历史候选和组号问题优先核页,历史候选,K485,西安财经大学,K48504,226,candidate_v2_review_seed,1,1,高收费或超预算,仅作同组代码历史线索，不能直接证明2026组内专业和投档位次可沿用。,needs_official_plan_source_search,,,,,未定位可复用的高校官网湖北2026普通本科物理招生计划，需要优先补源,院校代码；院校名称；院校专业组代码；专业组边界和组内全部专业；专业代号；专业名称及备注；专业计划数；学费；学制；校区；再选科目；特殊备注；招生章程录取规则；体检/语种/单科限制；办学性质和高收费/中外合作,pending_hubei_official_plan_review,pending_school_plan_review,pending_school_charter_review,pending_original_pdf_page_review,pending_family_acceptance_review,pending_transfer_decision,pending,false,西安财经大学 2026 湖北 招生计划 本科 专业组 招生网,西安财经大学 2026 普通本科 招生章程,先补高校官网/章程来源，再按必须核验字段逐项比对第19期、湖北官方系统和高校官网；不一致时以省招办渠道为准并记录差异。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_candidate_v3_b0_b1_official_crosscheck_queue,false,pending_group_official_crosscheck,OCQ-e373937382d3cfa1,V3-763cfc43e905fd51,B0-历史候选和组号问题优先核页,历史候选,K487,西安航空学院,K48703,226,candidate_v2_review_seed,1,1,高收费或超预算,仅作同组代码历史线索，不能直接证明2026组内专业和投档位次可沿用。,needs_official_plan_source_search,https://zb.xaau.edu.cn/,未留存,官方招生入口；章程/合作办学线索,未定位湖北2026专页,未定位可复用的高校官网湖北2026普通本科物理招生计划，需要优先补源,院校代码；院校名称；院校专业组代码；专业组边界和组内全部专业；专业代号；专业名称及备注；专业计划数；学费；学制；校区；再选科目；特殊备注；招生章程录取规则；体检/语种/单科限制；办学性质和高收费/中外合作,pending_hubei_official_plan_review,pending_school_plan_review,pending_school_charter_review,pending_original_pdf_page_review,pending_family_acceptance_review,pending_transfer_decision,pending,false,西安航空学院 2026 湖北 招生计划 本科 专业组 招生网,西安航空学院 2026 普通本科 招生章程,先补高校官网/章程来源，再按必须核验字段逐项比对第19期、湖北官方系统和高校官网；不一致时以省招办渠道为准并记录差异。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_candidate_v3_b0_b1_official_crosscheck_queue,false,pending_group_official_crosscheck,OCQ-cc3c6494791e7107,V3-9a22f42637edc547,B0-历史候选和组号问题优先核页,历史候选,K487,西安航空学院,K48704,226,candidate_v2_review_seed,2,2,医学护理排除方向；高收费或超预算,仅作同组代码历史线索，不能直接证明2026组内专业和投档位次可沿用。,needs_official_plan_source_search,https://zb.xaau.edu.cn/,未留存,官方招生入口；章程/合作办学线索,未定位湖北2026专页,未定位可复用的高校官网湖北2026普通本科物理招生计划，需要优先补源,院校代码；院校名称；院校专业组代码；专业组边界和组内全部专业；专业代号；专业名称及备注；专业计划数；学费；学制；校区；再选科目；特殊备注；招生章程录取规则；体检/语种/单科限制；办学性质和高收费/中外合作,pending_hubei_official_plan_review,pending_school_plan_review,pending_school_charter_review,pending_original_pdf_page_review,pending_family_acceptance_review,pending_transfer_decision,pending,false,西安航空学院 2026 湖北 招生计划 本科 专业组 招生网,西安航空学院 2026 普通本科 招生章程,先补高校官网/章程来源，再按必须核验字段逐项比对第19期、湖北官方系统和高校官网；不一致时以省招办渠道为准并记录差异。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_candidate_v3_b0_b1_official_crosscheck_queue,false,pending_group_official_crosscheck,OCQ-fe4470d2c2ced37a,V3-88feeb8045df4f8a,B0-历史候选和组号问题优先核页,历史候选,K488,西安医学院,K48804,226,candidate_v2_review_seed,1,1,特殊限制待核,仅作同组代码历史线索，不能直接证明2026组内专业和投档位次可沿用。,needs_official_plan_source_search,,未留存,暂无,未定位官方湖北2026招生计划页,未定位可复用的高校官网湖北2026普通本科物理招生计划，需要优先补源,院校代码；院校名称；院校专业组代码；专业组边界和组内全部专业；专业代号；专业名称及备注；专业计划数；学费；学制；校区；再选科目；特殊备注；招生章程录取规则；体检/语种/单科限制；办学性质和高收费/中外合作,pending_hubei_official_plan_review,pending_school_plan_review,pending_school_charter_review,pending_original_pdf_page_review,pending_family_acceptance_review,pending_transfer_decision,pending,false,西安医学院 2026 湖北 招生计划 本科 专业组 招生网,西安医学院 2026 普通本科 招生章程,先补高校官网/章程来源，再按必须核验字段逐项比对第19期、湖北官方系统和高校官网；不一致时以省招办渠道为准并记录差异。
