学校名称,官网来源优先级,官网URL,本地留存路径,是否可核湖北2026,可核字段,局限性,下一步
北京语言大学,中,https://zsb.blcu.edu.cn/sjz/zsdt/xxgk.htm,未留存,可能,招生计划入口；招生章程入口；历年分数入口,需进入动态查询入口核湖北2026，本地尚未留存具体湖北计划结果,优先用官方招生计划入口查询湖北2026并本地留存
北京林业大学,中,https://zsb.bjfu.edu.cn/zsw/zsjh.html,data/external/issue19-b0-b1-official-sources/bjfu-zsjh-entry.html,可能,官方招生计划入口；筛选维度；页面模板含专业、科类、类型、学制、计划数、专业组,API端点已定位但命令行请求返回禁止访问，尚未留存湖北2026物理类结果，不能核计划字段,后续用浏览器XHR复现湖北2026物理类结果；未取得结果前不得作为计划数证据
中国传媒大学,高,http://zszx.cuc.edu.cn/f/ajax_zsjh,data/external/issue19-b0-b1-official-sources/cuc-2026-hubei-physics-normal-zsjh.json,是,湖北2026物理类普通类专业名称；专业代码；专业代号；计划数；学制；学费；选科；校区；专业组名称,未直接给出湖北院校专业组代码，专业组边界需同第19期原页和湖北官方系统对齐,用官方API核专业名称、计划数、学制、学费、选科和校区；组边界回到湖北官方系统
山东大学,高,http://www.bkzssys.sdu.edu.cn/f/ajax_zsjh,data/external/issue19-b0-b1-official-sources/sdu-2026-hubei-physics-normal-zsjh.json,是,湖北2026物理类普通类专业名称；专业代码；专业代号；计划数；学制；学费；选科；校区；专业组名称,未直接给出湖北院校专业组代码，专业组边界需同第19期原页和湖北官方系统对齐,用官方API核专业名称、计划数、学制、学费、选科和校区；组边界回到湖北官方系统
兰州大学,高,https://zsdata.lzu.edu.cn/lqxx/s/api/front/lqxx2/getList?type=zsjh,data/external/issue19-b0-b1-official-sources/lzu-2026-hubei-physics-normal-zsjh.json,是,湖北2026物理类普通类专业名称；计划数；学制；选科；专业组线索,学费和校区为空，专业组不是湖北院校专业组代码，边界仍需湖北官方系统确认,用官方API核专业名称、计划数、学制和选科；学费、校区、组边界回到第19期和湖北官方系统
西北民族大学,高,http://210.26.14.219/lqxx/s/api/front/lqxx2/getList?type=zsjh,data/external/issue19-b0-b1-official-sources/xbmu-2026-hubei-physics-normal-zsjh.json,是,湖北2026物理类普通类专业名称；计划数；科类；类别；校区,学制、学费、选科、专业组字段为空，无湖北院校专业组代码和边界,用官方API核专业名称、湖北计划数和校区；其他字段回到第19期、湖北官方系统和章程
天津外国语大学,高,https://luquchaxun.tjfsu.edu.cn/api/zhaoshengjihuas/listjihua/2026?enrollmentunit=%E6%B9%96%E5%8C%97&enrollorder=%E6%9C%AC%E7%A7%91%E6%99%AE%E9%80%9A%E6%89%B9&kelei=%E7%89%A9%E7%90%86,data/external/issue19-b0-b1-official-sources/tjfsu-2026-hubei-physics-normal-zsjh.json,是,湖北2026本科普通批物理专业名称；计划数；科类；批次；省份,不含学费、学制、选科、校区/备注、院校专业组代码,用官方API核专业名称和计划数；其他字段回到第19期、湖北官方系统和章程
忻州师范学院,高,https://zs.xztu.edu.cn/info/1015/1095.htm,data/external/issue19-b0-b1-official-sources/xztu-2026-province-major-plan.pdf,部分,2026分省分专业计划PDF；湖北计划数；专业名称；科类；学费；学制；校区,PDF附件未结构化到湖北院校专业组代码和组内边界，计划字段需与第19期原页及湖北官方系统对齐,先留存PDF原件作为高校官网佐证；后续用OCR或人工核对湖北物理类专业和计划数
杭州电子科技大学,高,https://zhaosheng.hdu.edu.cn/art.php?aid=2471,data/external/issue19-b0-b1-official-sources/hdu-2026-hubei-plan.xlsx,部分,湖北2026逐专业计划；科类；批次；选考科目；计划数；学制；就学地点,官网附件未直接给出湖北院校专业组代码和专业代号，组内边界需回到第19期原页及湖北官方系统确认,用官网XLSX核专业名称、科类、批次、选科、计划数、学制和就学地点；组边界回到第19期和湖北官方系统
山东财经大学,中,https://zhaosheng.sdufe.edu.cn/zsw/zsjh.html,data/external/issue19-b0-b1-official-sources/sdufe-zsjh-entry.html,可能,官方招生计划动态入口；页面包含计划查询线索,命令行未成功取得湖北2026物理类返回结果，尚不能核专业计划数和专业组字段,后续用浏览器XHR复现湖北2026物理类查询；未取得结果前不得作为计划数证据
山东工商学院,高,https://zs.sdtbu.edu.cn/info/2018/6284.htm,data/external/issue19-b0-b1-official-sources/sdtbu-2026-province-major-plan.pdf,部分,2026分省分专业计划PDF；专业名称；湖北计划数；学费等附件字段,PDF附件未直接结构化到湖北院校专业组代码和专业代号，需与第19期原页及湖北官方系统对齐,先留存PDF原件作为高校官网佐证；后续用OCR或人工核对湖北物理类专业和计划数
成都理工大学,中,https://zsdata.cdut.edu.cn/zsdata/lqxx/,未留存,可能,官方招生信息动态查询入口；省份/年份/科类筛选,页面需动态查询，本地尚未保存湖北2026物理类结果,用浏览器或接口查询湖北2026物理类并本地留存
成都信息工程大学,高,https://zs.cuit.edu.cn/info/1096/1688.htm,data/external/issue19-b0-b1-official-sources/cuit-2026-undergraduate-plan.html,部分,湖北2026分专业计划；专业代码；湖北计划数；学费；学院；校区,未直接给出湖北院校专业组代码和专业代号，需与第19期原页及湖北官方系统对齐,用官网表核专业名称、湖北计划数、学费、学院和校区；组边界回到第19期及湖北官方系统核验
江汉大学,高,https://zsdata.jhun.edu.cn/zsdata/lqxx/,data/external/issue19-b0-b1-official-sources/jhun-2026-hubei-physics-normal-lqxx2.json,部分,湖北2026物理类普通类专业名称；专业代码；专业代号；计划数；学制；专业备注,官方接口未直接给出湖北院校专业组代码和组内边界，且汇总为湖北物理类普通批全量专业,用接口结果核专业与计划；专业组边界、面向武汉类别和调剂范围必须回看第19期及湖北官方系统
西安建筑科技大学,中,https://zhaosheng.xauat.edu.cn/,未留存,部分,招生计划入口；招生章程入口；历年分数入口,首页有招生计划入口但本地未留存湖北2026查询结果,优先查询官方招生计划入口中的湖北2026并本地留存
