来源期号,来源PDF_SHA256,数据阶段,最终可用,核验状态,学校官方来源队列ID,院校代码,院校名称OCR,B0组数,B1组数,B0B1专业组数,逐专业核验任务数,涉及专业组代码,涉及PDF页码,官网来源状态,官网来源优先级,官网URL,本地留存路径,本地留存状态,是否可核湖北2026,可核字段,局限性,官方源缺口,补源优先级,高校官网计划检索式,招生章程检索式,下一步
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_candidate_v3_b0_b1_official_crosscheck_queue,false,pending_school_official_source_review,SSQ-8629b3cb6c4f85ec,A022,北京林业大学,0,1,1,8,A02211,16,has_partial_source_needs_followup,中,https://zsb.bjfu.edu.cn/zsw/zsjh.html,data/external/issue19-b0-b1-official-sources/bjfu-zsjh-entry.html,has_local_retention_metadata,可能,官方招生计划入口；筛选维度；页面模板含专业、科类、类型、学制、计划数、专业组,API端点已定位但命令行请求返回禁止访问，尚未留存湖北2026物理类结果，不能核计划字段,已有部分官网线索，但仍需补齐湖北普通本科物理专业组或逐专业字段,S3-B1单组学校按页码推进,北京林业大学 2026 湖北 招生计划 本科 专业组 招生网,北京林业大学 2026 普通本科 招生章程,优先找高校官网湖北2026普通本科物理招生计划；若没有固定计划页，则至少补招生章程，并回到湖北官方系统或省招办计划兜底。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_candidate_v3_b0_b1_official_crosscheck_queue,false,pending_school_official_source_review,SSQ-6bda02ad65e820e1,A032,北京语言大学,1,0,1,1,A03208,17,has_partial_source_needs_followup,中,https://zsb.blcu.edu.cn/sjz/zsdt/xxgk.htm,未留存,pending_local_retention,可能,招生计划入口；招生章程入口；历年分数入口,需进入动态查询入口核湖北2026，本地尚未留存具体湖北计划结果,已有部分官网线索，但仍需补齐湖北普通本科物理专业组或逐专业字段,S0-B0历史候选学校优先补源,北京语言大学 2026 湖北 招生计划 本科 专业组 招生网,北京语言大学 2026 普通本科 招生章程,优先找高校官网湖北2026普通本科物理招生计划；若没有固定计划页，则至少补招生章程，并回到湖北官方系统或省招办计划兜底。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_candidate_v3_b0_b1_official_crosscheck_queue,false,pending_school_official_source_review,SSQ-a956af714641bfb2,A033,中国传媒大学,0,2,2,9,A03312；A03313,18,has_reusable_2026_hubei_plan_source,高,http://zszx.cuc.edu.cn/f/ajax_zsjh,data/external/issue19-b0-b1-official-sources/cuc-2026-hubei-physics-normal-zsjh.json,has_local_retention_metadata,是,湖北2026物理类普通类专业名称；专业代码；专业代号；计划数；学制；学费；选科；校区；专业组名称,未直接给出湖北院校专业组代码，专业组边界需同第19期原页和湖北官方系统对齐,需逐字段比对第19期、湖北官方系统和高校官网字段,S1-已有官网计划源先做字段对照,中国传媒大学 2026 湖北 招生计划 本科 专业组 招生网,中国传媒大学 2026 普通本科 招生章程,优先找高校官网湖北2026普通本科物理招生计划；若没有固定计划页，则至少补招生章程，并回到湖北官方系统或省招办计划兜底。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_candidate_v3_b0_b1_official_crosscheck_queue,false,pending_school_official_source_review,SSQ-726b92ca38c19793,A135,山东大学,0,1,1,6,A13506,36,has_reusable_2026_hubei_plan_source,高,http://www.bkzssys.sdu.edu.cn/f/ajax_zsjh,data/external/issue19-b0-b1-official-sources/sdu-2026-hubei-physics-normal-zsjh.json,has_local_retention_metadata,是,湖北2026物理类普通类专业名称；专业代码；专业代号；计划数；学制；学费；选科；校区；专业组名称,未直接给出湖北院校专业组代码，专业组边界需同第19期原页和湖北官方系统对齐,需逐字段比对第19期、湖北官方系统和高校官网字段,S1-已有官网计划源先做字段对照,山东大学 2026 湖北 招生计划 本科 专业组 招生网,山东大学 2026 普通本科 招生章程,优先找高校官网湖北2026普通本科物理招生计划；若没有固定计划页，则至少补招生章程，并回到湖北官方系统或省招办计划兜底。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_candidate_v3_b0_b1_official_crosscheck_queue,false,pending_school_official_source_review,SSQ-62762b221f744c7b,A195,兰州大学,0,1,1,8,A19511,56,has_reusable_2026_hubei_plan_source,高,https://zsdata.lzu.edu.cn/lqxx/s/api/front/lqxx2/getList?type=zsjh,data/external/issue19-b0-b1-official-sources/lzu-2026-hubei-physics-normal-zsjh.json,has_local_retention_metadata,是,湖北2026物理类普通类专业名称；计划数；学制；选科；专业组线索,学费和校区为空，专业组不是湖北院校专业组代码，边界仍需湖北官方系统确认,需逐字段比对第19期、湖北官方系统和高校官网字段,S1-已有官网计划源先做字段对照,兰州大学 2026 湖北 招生计划 本科 专业组 招生网,兰州大学 2026 普通本科 招生章程,优先找高校官网湖北2026普通本科物理招生计划；若没有固定计划页，则至少补招生章程，并回到湖北官方系统或省招办计划兜底。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_candidate_v3_b0_b1_official_crosscheck_queue,false,pending_school_official_source_review,SSQ-e691c5f660a9d7bc,A197,西北民族大学,0,1,1,4,A19722,57,has_reusable_2026_hubei_plan_source,高,http://210.26.14.219/lqxx/s/api/front/lqxx2/getList?type=zsjh,data/external/issue19-b0-b1-official-sources/xbmu-2026-hubei-physics-normal-zsjh.json,has_local_retention_metadata,是,湖北2026物理类普通类专业名称；计划数；科类；类别；校区,学制、学费、选科、专业组字段为空，无湖北院校专业组代码和边界,需逐字段比对第19期、湖北官方系统和高校官网字段,S1-已有官网计划源先做字段对照,西北民族大学 2026 湖北 招生计划 本科 专业组 招生网,西北民族大学 2026 普通本科 招生章程,优先找高校官网湖北2026普通本科物理招生计划；若没有固定计划页，则至少补招生章程，并回到湖北官方系统或省招办计划兜底。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_candidate_v3_b0_b1_official_crosscheck_queue,false,pending_school_official_source_review,SSQ-572e3ac50be84606,C107,武汉体育学院,3,0,3,11,C10702；C10703；C10704,69,charter_or_rules_only_no_plan,低,https://zs.whsu.edu.cn/info/1151/22357.htm,未留存,pending_local_retention,否,招生章程；录取规则；专业范围,未找到湖北专业组计划页,当前只可辅助核招生章程或规则，不能核湖北2026专业组计划,S0-B0历史候选学校优先补源,武汉体育学院 2026 湖北 招生计划 本科 专业组 招生网,武汉体育学院 2026 普通本科 招生章程,优先找高校官网湖北2026普通本科物理招生计划；若没有固定计划页，则至少补招生章程，并回到湖北官方系统或省招办计划兜底。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_candidate_v3_b0_b1_official_crosscheck_queue,false,pending_school_official_source_review,SSQ-592213f0fbc6d1a2,C108,江汉大学,0,2,2,19,C10811；C10820,69；70,has_partial_source_needs_followup,高,https://zsdata.jhun.edu.cn/zsdata/lqxx/,data/external/issue19-b0-b1-official-sources/jhun-2026-hubei-physics-normal-lqxx2.json,has_local_retention_metadata,部分,湖北2026物理类普通类专业名称；专业代码；专业代号；计划数；学制；专业备注,官方接口未直接给出湖北院校专业组代码和组内边界，且汇总为湖北物理类普通批全量专业,已有部分官网线索，但仍需补齐湖北普通本科物理专业组或逐专业字段,S2-多组学校优先补源,江汉大学 2026 湖北 招生计划 本科 专业组 招生网,江汉大学 2026 普通本科 招生章程,优先找高校官网湖北2026普通本科物理招生计划；若没有固定计划页，则至少补招生章程，并回到湖北官方系统或省招办计划兜底。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_candidate_v3_b0_b1_official_crosscheck_queue,false,pending_school_official_source_review,SSQ-fc2c8ede0a31d365,C125,武汉轻工大学,1,0,1,21,C12508,74,needs_official_plan_source_search,中低,,未留存,pending_local_retention,未见,暂无,未定位官方2026湖北普通本科计划页,未定位可复用的高校官网湖北2026普通本科物理招生计划，需要优先补源,S0-B0历史候选学校优先补源,武汉轻工大学 2026 湖北 招生计划 本科 专业组 招生网,武汉轻工大学 2026 普通本科 招生章程,优先找高校官网湖北2026普通本科物理招生计划；若没有固定计划页，则至少补招生章程，并回到湖北官方系统或省招办计划兜底。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_candidate_v3_b0_b1_official_crosscheck_queue,false,pending_school_official_source_review,SSQ-c29b9732fa4b4b2f,C133,湖北师范大学,0,1,1,15,C13310,78,needs_official_plan_source_search,待补源,,,pending_local_retention,未见,,,未定位可复用的高校官网湖北2026普通本科物理招生计划，需要优先补源,S3-B1单组学校按页码推进,湖北师范大学 2026 湖北 招生计划 本科 专业组 招生网,湖北师范大学 2026 普通本科 招生章程,优先找高校官网湖北2026普通本科物理招生计划；若没有固定计划页，则至少补招生章程，并回到湖北官方系统或省招办计划兜底。
