D0原页证据ID,来源D0工作台文件,来源D0任务数,真实招生明细行数,0明细占位行数,来源D0工作台ID列表,来源招生明细主表行ID列表,来源期号,来源PDF_SHA256,数据阶段,最终可用,核验状态,院校代码,院校名称OCR,建议完整院校名称,2026院校专业组代码,是否0明细占位组,D0问题类型汇总,疑似字符混淆,代码冲突标记汇总,来源页码汇总,PDF证据页码,私有页图证据编号,私有页图SHA256,私有OCR文本证据编号,私有OCR文本SHA256,OCR引擎,渲染DPI,OCR语言,页面OCR匹配方式,OCR标题命中状态,OCR命中变体,标题代码与2026组代码关系,OCR标题行号,OCR标题行置信度,OCR标题行SHA256,OCR标题行原文,OCR标题提取组号,标题组号与代码组号是否一致,标题院校名与建议是否一致,同页同校专业组线索,同页同校专业组页码,结构化组表是否出现,结构化专业明细数,结构化组表专业行数,结构异常规则ID,结构异常类型,结构异常严重程度,保守等级,PDF原页OCR核验结论,是否可写回D0建议,可进入下一阶段,下一步
D0PDF-6b5adf7bd61bbc25,data/working/issue19-candidate-v3-d0-resolution-workbench.csv,1,0,1,D0-3b7c8663eada4601,V3D-20e180e2797225f8,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_candidate_v3_d0_pdf_page_evidence,false,pdf_page_ocr_evidence_only_pending_manual_image_and_official_system_review,C107,武汉体育学院,,C10702,true,0明细占位；专业组边界或明细缺失,否,,69,69,page-069,6ff6e44cf7b51f54a0ccbfffdfbf1abad11b038412355c1cb50eb1d305f246da,069_page-069,92d421d19ed23f48069c26a16d84c99698fb030d0f8d505491e98e3f173654ad,apple_vision,120,"zh-Hans,en-US",missing_in_page_and_structured,未命中候选组号-0明细占位保持阻断,,未命中候选组号,,,,,,,,C10703；C10705,69,否,0,0,,,,P0-必须人工原页核验,候选组号未在原页OCR命中，保持0明细占位；需核2026组号是否变化、取消或OCR漏识。,false,false,人工查看PDF原页截图；再对湖北官方系统/省招办计划和高校官网/章程。不得仅凭本表升级为最终候选。
D0PDF-ce93ccafde78d112,data/working/issue19-candidate-v3-d0-resolution-workbench.csv,1,1,0,D0-1a4901b0adba414d,V3D-cffd2d44c8727eb9,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_candidate_v3_d0_pdf_page_evidence,false,pdf_page_ocr_evidence_only_pending_manual_image_and_official_system_review,C107,武汉体育学院,武汉体育学院,C10705,false,专业组边界或明细缺失,否,,69,69,page-069,6ff6e44cf7b51f54a0ccbfffdfbf1abad11b038412355c1cb50eb1d305f246da,069_page-069,92d421d19ed23f48069c26a16d84c99698fb030d0f8d505491e98e3f173654ad,apple_vision,120,"zh-Hans,en-US",exact_match,精确命中专业组标题行-只作原页OCR佐证,C10705,精确命中,205,0.3000,047a3b985c923f3e64f2d6b86336490ef922317bd80c2d90ceebca1c41ce73da,C10705|武汉体育学院第 05 组,05,是,是,,,是,1,1,major_text_embeds_other_school_marker；plan_count_number_ge_1000,专业名称疑似串入下一院校；专业计划数疑似吞入学费或备注,高,P0-必须人工原页核验,原页OCR标题行可佐证完整院校名和专业组标题；仍需人工看原图并对湖北官方系统。,false,false,人工查看PDF原页截图；再对湖北官方系统/省招办计划和高校官网/章程。不得仅凭本表升级为最终候选。
D0PDF-7f74e96e9d8936ce,data/working/issue19-candidate-v3-d0-resolution-workbench.csv,2,2,0,D0-f666e7f438a4ace7；D0-b6d0fe9c1576ecde,V3D-1a8617e095e97d0d；V3D-05bb10e35d35f931,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_candidate_v3_d0_pdf_page_evidence,false,pdf_page_ocr_evidence_only_pending_manual_image_and_official_system_review,C137,湖北,湖北第二师范学院,C13709,false,院校名称OCR疑似截断；专业组边界或明细缺失,否,,78,78,page-078,5e03a3236a2cb8e8355d8504e3a591b6ad7ad86b6c43b19adaf5e4ff958e566f,078_page-078,d621f973b28de123295d98eaa53ba827ff465b6f0a53f0a2ab4a3048cda842e2,apple_vision,120,"zh-Hans,en-US",exact_match,精确命中专业组标题行-只作原页OCR佐证,C13709,精确命中,230,0.5000,15df4f1defb9aed90f65deb36f51ce1258eaa3b3518784a3ae4c2677e4cf35ad,C13709 湖北第二师范学院第 09组,09,是,是,,,是,2,2,,,,P1-低置信页优先核验,原页OCR标题行可佐证完整院校名和专业组标题；仍需人工看原图并对湖北官方系统。,false,false,人工查看PDF原页截图；再对湖北官方系统/省招办计划和高校官网/章程。不得仅凭本表升级为最终候选。
D0PDF-01d8ba6f648f77ea,data/working/issue19-candidate-v3-d0-resolution-workbench.csv,8,8,0,D0-681959a846720e8f；D0-2f7868bc5c61ea58；D0-6a4ab23005e4b41d；D0-e0488b9a9d3912b7；D0-c3c28ecff32c7dd2；D0-243761c99bbc8d91；D0-1049d167d233cc43；D0-5ea4aa1d422b2312,V3D-8352066b687fb80e；V3D-78271c4cda32ca5f；V3D-bbea25dea7dbd514；V3D-e094262f5fdf9d2a；V3D-867db2fc2b51b298；V3D-f2a7e9a4e045cb2f；V3D-4f43f1896f2b940f；V3D-b0383ad868e4543e,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_candidate_v3_d0_pdf_page_evidence,false,pdf_page_ocr_evidence_only_pending_manual_image_and_official_system_review,C137,湖北,湖北第二师范学院,C13710,false,院校名称OCR疑似截断；专业组边界或明细缺失,否,,78,78,page-078,5e03a3236a2cb8e8355d8504e3a591b6ad7ad86b6c43b19adaf5e4ff958e566f,078_page-078,d621f973b28de123295d98eaa53ba827ff465b6f0a53f0a2ab4a3048cda842e2,apple_vision,120,"zh-Hans,en-US",exact_match,精确命中专业组标题行-只作原页OCR佐证,C13710,精确命中,234,0.5000,2bba44b6a5fe1c56d00e93f6ef8a8f3f5a005e06a5addf0919ec1d085abc2271,［C13710 湖北第二师范学院第 10组,10,是,是,,,是,8,8,low_ocr_confidence,OCR置信度低,中,P0-必须人工原页核验,原页OCR标题行可佐证完整院校名和专业组标题；仍需人工看原图并对湖北官方系统。,false,false,人工查看PDF原页截图；再对湖北官方系统/省招办计划和高校官网/章程。不得仅凭本表升级为最终候选。
D0PDF-3c80cbd4c7b3bb8e,data/working/issue19-candidate-v3-d0-resolution-workbench.csv,5,5,0,D0-7d19ea809128baca；D0-6635eec4d4c7bb80；D0-74d0d104dd39d17f；D0-2437b98e97fe8276；D0-91bf3d201cbef29b,V3D-568b3c75ff664e1c；V3D-3a7031c87dd3a18a；V3D-ebd45140d3cdd3d1；V3D-69687e14bf70358c；V3D-83008176646c9dbe,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_candidate_v3_d0_pdf_page_evidence,false,pdf_page_ocr_evidence_only_pending_manual_image_and_official_system_review,C137,湖北,湖北第二师范学院,C13712,false,院校名称OCR疑似截断；专业组边界或明细缺失,否,,78,78,page-078,5e03a3236a2cb8e8355d8504e3a591b6ad7ad86b6c43b19adaf5e4ff958e566f,078_page-078,d621f973b28de123295d98eaa53ba827ff465b6f0a53f0a2ab4a3048cda842e2,apple_vision,120,"zh-Hans,en-US",exact_match,精确命中专业组标题行-只作原页OCR佐证,C13712,精确命中,253,0.3000,49383168169821cac4f39c30ada5edebe1c091ce055ef26a381d7f30e182238c,C13712 湖北第二师范学院第 12组,12,是,是,,,是,5,5,major_text_embeds_page_header；low_ocr_confidence,专业名称疑似串入页眉或栏目文字；OCR置信度低,中,P0-必须人工原页核验,原页OCR标题行可佐证完整院校名和专业组标题；仍需人工看原图并对湖北官方系统。,false,false,人工查看PDF原页截图；再对湖北官方系统/省招办计划和高校官网/章程。不得仅凭本表升级为最终候选。
D0PDF-b8b7cc663e89775b,data/working/issue19-candidate-v3-d0-resolution-workbench.csv,4,4,0,D0-c70f92424babfba9；D0-b89514af761dac86；D0-53336ee3cbb66102；D0-d7b3f084b2b19037,V3D-246d8f58e69f0244；V3D-cc5d910c593a2bef；V3D-7db28749ba774546；V3D-98c9cc42e6f06319,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_candidate_v3_d0_pdf_page_evidence,false,pdf_page_ocr_evidence_only_pending_manual_image_and_official_system_review,C137,湖北,湖北第二师范学院,C13714,false,院校名称OCR疑似截断；专业组边界或明细缺失,否,,79,79,page-079,cb970fa76d27a4cd162055f78c6629ff04d72509c3f36f99692d109c55b89b8e,079_page-079,aa832277db8da6485232e48e4283d79aed17048f422c57010a110730a0f7358c,apple_vision,120,"zh-Hans,en-US",exact_match,精确命中专业组标题行-只作原页OCR佐证,C13714,精确命中,17,0.5000,d546cc52559b70c78aac2f79ef10734b80d4dc07f977f22d3a18cd69e1fb5945,C13714 湖北第二师范学院第14组,14,是,是,,,是,4,4,low_ocr_confidence,OCR置信度低,中,P0-必须人工原页核验,原页OCR标题行可佐证完整院校名和专业组标题；仍需人工看原图并对湖北官方系统。,false,false,人工查看PDF原页截图；再对湖北官方系统/省招办计划和高校官网/章程。不得仅凭本表升级为最终候选。
D0PDF-062442c8821b83c0,data/working/issue19-candidate-v3-d0-resolution-workbench.csv,1,1,0,D0-353e718e4fa402d8,V3D-346f3fb57f131105,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_candidate_v3_d0_pdf_page_evidence,false,pdf_page_ocr_evidence_only_pending_manual_image_and_official_system_review,C137,湖北,湖北第二师范学院,C13715,false,院校名称OCR疑似截断；专业组边界或明细缺失,否,,79,79,page-079,cb970fa76d27a4cd162055f78c6629ff04d72509c3f36f99692d109c55b89b8e,079_page-079,aa832277db8da6485232e48e4283d79aed17048f422c57010a110730a0f7358c,apple_vision,120,"zh-Hans,en-US",exact_match,精确命中专业组标题行-只作原页OCR佐证,C13715,精确命中,23,0.3000,9f4cf8d3aa87a03baa933954b88f49f583bbd02f6c89ac28abab2d1bac18b73b,C13715湖北第二师范学院第15 组,15,是,是,,,是,1,1,,,,P1-标题命中但仍需人工核验,原页OCR标题行可佐证完整院校名和专业组标题；仍需人工看原图并对湖北官方系统。,false,false,人工查看PDF原页截图；再对湖北官方系统/省招办计划和高校官网/章程。不得仅凭本表升级为最终候选。
D0PDF-2f7c31a793978328,data/working/issue19-candidate-v3-d0-resolution-workbench.csv,1,1,0,D0-d4643708a4d51540,V3D-5a775819f0bfa784,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_candidate_v3_d0_pdf_page_evidence,false,pdf_page_ocr_evidence_only_pending_manual_image_and_official_system_review,C137,湖北,湖北第二师范学院,C13718,false,院校名称OCR疑似截断；专业组边界或明细缺失,否,,79,79,page-079,cb970fa76d27a4cd162055f78c6629ff04d72509c3f36f99692d109c55b89b8e,079_page-079,aa832277db8da6485232e48e4283d79aed17048f422c57010a110730a0f7358c,apple_vision,120,"zh-Hans,en-US",exact_match,精确命中专业组标题行-只作原页OCR佐证,C13718,精确命中,40,0.5000,f07e8409b6fd0b53133c599394b938ca39a41f008bb1f0cf2b53d0045bcb9dab,C13718湖北第二师范学院第18 组,18,是,是,,,是,1,1,,,,P1-标题命中但仍需人工核验,原页OCR标题行可佐证完整院校名和专业组标题；仍需人工看原图并对湖北官方系统。,false,false,人工查看PDF原页截图；再对湖北官方系统/省招办计划和高校官网/章程。不得仅凭本表升级为最终候选。
D0PDF-2e44501122e4519a,data/working/issue19-candidate-v3-d0-resolution-workbench.csv,1,1,0,D0-677c298b3b3d2b4a,V3D-ccbd350d4f7359f9,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_candidate_v3_d0_pdf_page_evidence,false,pdf_page_ocr_evidence_only_pending_manual_image_and_official_system_review,C137,湖北,湖北第二师范学院,C13719,false,院校名称OCR疑似截断；专业组边界或明细缺失,否,,79,79,page-079,cb970fa76d27a4cd162055f78c6629ff04d72509c3f36f99692d109c55b89b8e,079_page-079,aa832277db8da6485232e48e4283d79aed17048f422c57010a110730a0f7358c,apple_vision,120,"zh-Hans,en-US",exact_match,精确命中专业组标题行-只作原页OCR佐证,C13719,精确命中,43,0.5000,6ec2b71f80c6d3fe0d2fb5fe5baaaa210f8fc3722cc429f06b1511e8df546a09,C13719/湖北第二师范学院第 19 组,19,是,是,,,是,1,1,,,,P1-标题命中但仍需人工核验,原页OCR标题行可佐证完整院校名和专业组标题；仍需人工看原图并对湖北官方系统。,false,false,人工查看PDF原页截图；再对湖北官方系统/省招办计划和高校官网/章程。不得仅凭本表升级为最终候选。
D0PDF-cd03629a83bfa446,data/working/issue19-candidate-v3-d0-resolution-workbench.csv,2,2,0,D0-95964001cefce1f8；D0-3c8ea03a86a1f4fa,V3D-4d281e60938ca696；V3D-8f20242d8d5a3a88,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_candidate_v3_d0_pdf_page_evidence,false,pdf_page_ocr_evidence_only_pending_manual_image_and_official_system_review,F012,北京,北京第二外国语学院,F01203,false,院校名称OCR疑似截断；专业组边界或明细缺失,是,OCR含F/O/P/0易混字符,93,93,page-093,93bffc68e348f752482eda714dd886e982d0a3935b749d6607c333b0c18f14a0,093_page-093,261c15e10e62ca9443e62fce9cc36aca7f83830a085d631778e0b11cb370edfb,apple_vision,120,"zh-Hans,en-US",normalized_o0_match,疑似字符混淆命中-只作人工核页线索,FO1203,字符混淆命中-禁止自动写回,173,0.3000,911e9e44f832609dd9f79b6539f0ae89047693c1b5b76e47f2273605bc1b438f,FO1203/北京第二外国语学院第 03组,03,是,是,,,是,2,2,low_ocr_confidence,OCR置信度低,中,P0-必须人工原页核验,原页OCR标题可提示完整院校名，但专业组代码存在F/O/P/0字符混淆；禁止自动修正，必须人工看原图并对湖北官方系统。,false,false,人工查看PDF原页截图；再对湖北官方系统/省招办计划和高校官网/章程。不得仅凭本表升级为最终候选。
