D0工作台ID,来源逐专业复核队列ID,招生明细主表行ID,来源期号,来源PDF_SHA256,数据阶段,最终可用,D0问题类型,核验结论状态,院校代码,院校名称OCR,建议完整院校名称,建议来源,建议证据强度,同代码专业组标题建议名称一致性,历年投档线命中年份,历年投档线院校名线索,历年投档线样例,是否需要历年代码校名佐证,代码冲突标记,疑似字符混淆,修正建议状态,2026院校专业组代码,专业组标题OCR原文,来源页码,版面列,私有页图证据编号,私有页图SHA256,私有OCR文本证据编号,私有OCR文本SHA256,页面OCR是否出现候选组号,页面OCR命中页码,同校第19期OCR专业组,同校第19期OCR页码,页面组号异常类型,页面组号异常规则ID,专业行来源,是否真实招生明细,是否0明细占位,专业代号OCR,专业名称及备注OCR,专业计划数OCR候选,学费OCR候选,专业字段完整性标记,同组调剂机器风险,是否可自动写回主表,可进入下一阶段,下一步
D0-3b7c8663eada4601,V3Q-36be676d79db4df5,V3D-20e180e2797225f8,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_candidate_v3_d0_resolution_workbench,false,0明细占位；专业组边界或明细缺失,pending_d0_manual_review,C107,武汉体育学院,,,G0-无完整院校名提取线索-需原页/官方系统确认,无标题建议,2023；2024；2025,武汉体育学院,2023 C10702 武汉体育学院第02组 不限 511；2023 C10703 武汉体育学院第03组 不限 506；2023 C10704 武汉体育学院第04组 化 509；2024 C10703 武汉体育学院第03组 不限 521；2024 C10705 武汉体育学院第05组 化 515；2024 C10706 武汉体育学院第06组 招化 516,否,,否,未在全量结构化专业组表/页面OCR命中-需核2026组号是否变化或取消,C10702,,69,,page-069,6ff6e44cf7b51f54a0ccbfffdfbf1abad11b038412355c1cb50eb1d305f246da,069_page-069,92d421d19ed23f48069c26a16d84c99698fb030d0f8d505491e98e3f173654ad,否,,C10703；C10705,69,复核页未见候选组号且结构化未命中,candidate_group_missing_in_page_and_structured,zero_detail_group_placeholder,false,true,,,,,zero_detail_group,T0-不可判断：专业明细缺失,false,false,先回看私有页图和湖北官方系统，确认该候选组号是否存在；若不存在，标记为历史组号变化或取消，不得进入最终候选。
D0-1a4901b0adba414d,V3Q-45df9e3ab8b22d32,V3D-cffd2d44c8727eb9,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_candidate_v3_d0_resolution_workbench,false,专业组边界或明细缺失,pending_d0_manual_review,C107,武汉体育学院,武汉体育学院,专业组标题OCR原文,G1-专业组标题可提取完整院校名-仍需原页确认,待核-同代码多组一致,2023；2024；2025,武汉体育学院,2023 C10702 武汉体育学院第02组 不限 511；2023 C10703 武汉体育学院第03组 不限 506；2023 C10704 武汉体育学院第04组 化 509；2024 C10703 武汉体育学院第03组 不限 521；2024 C10705 武汉体育学院第05组 化 515；2024 C10706 武汉体育学院第06组 招化 516,否,,否,专业组标题可辅助确认院校名-仍需核专业组边界,C10705,C10705|武汉体育学院第 05 组,69,right,page-069,6ff6e44cf7b51f54a0ccbfffdfbf1abad11b038412355c1cb50eb1d305f246da,069_page-069,92d421d19ed23f48069c26a16d84c99698fb030d0f8d505491e98e3f173654ad,,,,,,,candidate_v2_major_review_seed,true,false,15,康复治疗学（中外合作办学）,7,48000,,T1-高：同组存在默认不能接受专业,false,false,先回看同页上下文，确认该专业行是否串入下一院校或相邻专业组。
D0-f666e7f438a4ace7,V3Q-4ec00e7b2c5a60c7,V3D-1a8617e095e97d0d,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_candidate_v3_d0_resolution_workbench,false,院校名称OCR疑似截断；专业组边界或明细缺失,pending_d0_manual_review,C137,湖北,湖北第二师范学院,专业组标题OCR原文,G1-专业组标题可提取完整院校名-仍需原页确认,待核-同代码多组一致,2023；2024；2025,湖北第二师范学院,2023 C13709 学湖北第二师范学院第09组 不限 516；2023 C13710 湖北第二师范学院第10组 北不限 523；2023 C13711 等湖湖北第二师范学院第11组 不限 525；2023 C13712 高湖北第二师范学院第12组 不限 512；2023 C13713 【湖北第二师范学院第13组 不限 516；2023 C13714 省号湖北第二师范学院第14组 化 515,是,,否,可从专业组标题OCR提取完整院校名-仍需PDF原页和官方系统核验,C13709,C13709 湖北第二师范学院第 09组,78,right,page-078,5e03a3236a2cb8e8355d8504e3a591b6ad7ad86b6c43b19adaf5e4ff958e566f,078_page-078,d621f973b28de123295d98eaa53ba827ff465b6f0a53f0a2ab4a3048cda842e2,,,,,,,family_fit_major_detail,true,false,31,汉语言文学（师范类）,41,4000,,T3-待家庭确认：机器未见自动阻断,false,false,先核 PDF 原页学校标题和专业组标题，再用湖北官方系统确认院校代码、完整院校名和专业组边界。
D0-b6d0fe9c1576ecde,V3Q-e3682af8f356d4b8,V3D-05bb10e35d35f931,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_candidate_v3_d0_resolution_workbench,false,院校名称OCR疑似截断；专业组边界或明细缺失,pending_d0_manual_review,C137,湖北,湖北第二师范学院,专业组标题OCR原文,G1-专业组标题可提取完整院校名-仍需原页确认,待核-同代码多组一致,2023；2024；2025,湖北第二师范学院,2023 C13709 学湖北第二师范学院第09组 不限 516；2023 C13710 湖北第二师范学院第10组 北不限 523；2023 C13711 等湖湖北第二师范学院第11组 不限 525；2023 C13712 高湖北第二师范学院第12组 不限 512；2023 C13713 【湖北第二师范学院第13组 不限 516；2023 C13714 省号湖北第二师范学院第14组 化 515,是,,否,可从专业组标题OCR提取完整院校名-仍需PDF原页和官方系统核验,C13709,C13709 湖北第二师范学院第 09组,78,right,page-078,5e03a3236a2cb8e8355d8504e3a591b6ad7ad86b6c43b19adaf5e4ff958e566f,078_page-078,d621f973b28de123295d98eaa53ba827ff465b6f0a53f0a2ab4a3048cda842e2,,,,,,,family_fit_major_detail,true,false,32,汉语国际教育（师范类）,13,4000,missing_subject_candidate,T3-待家庭确认：机器未见自动阻断,false,false,先核 PDF 原页学校标题和专业组标题，再用湖北官方系统确认院校代码、完整院校名和专业组边界。
D0-681959a846720e8f,V3Q-a75d2c0a00794ddd,V3D-8352066b687fb80e,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_candidate_v3_d0_resolution_workbench,false,院校名称OCR疑似截断；专业组边界或明细缺失,pending_d0_manual_review,C137,湖北,湖北第二师范学院,专业组标题OCR原文,G1-专业组标题可提取完整院校名-仍需原页确认,待核-同代码多组一致,2023；2024；2025,湖北第二师范学院,2023 C13709 学湖北第二师范学院第09组 不限 516；2023 C13710 湖北第二师范学院第10组 北不限 523；2023 C13711 等湖湖北第二师范学院第11组 不限 525；2023 C13712 高湖北第二师范学院第12组 不限 512；2023 C13713 【湖北第二师范学院第13组 不限 516；2023 C13714 省号湖北第二师范学院第14组 化 515,是,,否,可从专业组标题OCR提取完整院校名-仍需PDF原页和官方系统核验,C13710,［C13710 湖北第二师范学院第 10组,78,right,page-078,5e03a3236a2cb8e8355d8504e3a591b6ad7ad86b6c43b19adaf5e4ff958e566f,078_page-078,d621f973b28de123295d98eaa53ba827ff465b6f0a53f0a2ab4a3048cda842e2,,,,,,,family_fit_major_detail,true,false,33,日语（外语语种：不限）,10,4000,,T2-中：同组存在特殊限制待核专业,false,false,先核 PDF 原页学校标题和专业组标题，再用湖北官方系统确认院校代码、完整院校名和专业组边界。
D0-2f7868bc5c61ea58,V3Q-22b7cf04711c54d8,V3D-78271c4cda32ca5f,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_candidate_v3_d0_resolution_workbench,false,院校名称OCR疑似截断；专业组边界或明细缺失,pending_d0_manual_review,C137,湖北,湖北第二师范学院,专业组标题OCR原文,G1-专业组标题可提取完整院校名-仍需原页确认,待核-同代码多组一致,2023；2024；2025,湖北第二师范学院,2023 C13709 学湖北第二师范学院第09组 不限 516；2023 C13710 湖北第二师范学院第10组 北不限 523；2023 C13711 等湖湖北第二师范学院第11组 不限 525；2023 C13712 高湖北第二师范学院第12组 不限 512；2023 C13713 【湖北第二师范学院第13组 不限 516；2023 C13714 省号湖北第二师范学院第14组 化 515,是,,否,可从专业组标题OCR提取完整院校名-仍需PDF原页和官方系统核验,C13710,［C13710 湖北第二师范学院第 10组,78,right,page-078,5e03a3236a2cb8e8355d8504e3a591b6ad7ad86b6c43b19adaf5e4ff958e566f,078_page-078,d621f973b28de123295d98eaa53ba827ff465b6f0a53f0a2ab4a3048cda842e2,,,,,,,family_fit_major_detail,true,false,34,商务英语（外语语种：英语）,36,5200,missing_subject_candidate,T2-中：同组存在特殊限制待核专业,false,false,先核 PDF 原页学校标题和专业组标题，再用湖北官方系统确认院校代码、完整院校名和专业组边界。
D0-6a4ab23005e4b41d,V3Q-3f126875ba421971,V3D-bbea25dea7dbd514,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_candidate_v3_d0_resolution_workbench,false,院校名称OCR疑似截断；专业组边界或明细缺失,pending_d0_manual_review,C137,湖北,湖北第二师范学院,专业组标题OCR原文,G1-专业组标题可提取完整院校名-仍需原页确认,待核-同代码多组一致,2023；2024；2025,湖北第二师范学院,2023 C13709 学湖北第二师范学院第09组 不限 516；2023 C13710 湖北第二师范学院第10组 北不限 523；2023 C13711 等湖湖北第二师范学院第11组 不限 525；2023 C13712 高湖北第二师范学院第12组 不限 512；2023 C13713 【湖北第二师范学院第13组 不限 516；2023 C13714 省号湖北第二师范学院第14组 化 515,是,,否,可从专业组标题OCR提取完整院校名-仍需PDF原页和官方系统核验,C13710,［C13710 湖北第二师范学院第 10组,78,right,page-078,5e03a3236a2cb8e8355d8504e3a591b6ad7ad86b6c43b19adaf5e4ff958e566f,078_page-078,d621f973b28de123295d98eaa53ba827ff465b6f0a53f0a2ab4a3048cda842e2,,,,,,,family_fit_major_detail,true,false,35,英语（师范类；外语语种：英语）,16,4000,missing_subject_candidate,T2-中：同组存在特殊限制待核专业,false,false,先核 PDF 原页学校标题和专业组标题，再用湖北官方系统确认院校代码、完整院校名和专业组边界。
D0-e0488b9a9d3912b7,V3Q-9a2e6c397855c44d,V3D-e094262f5fdf9d2a,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_candidate_v3_d0_resolution_workbench,false,院校名称OCR疑似截断；专业组边界或明细缺失,pending_d0_manual_review,C137,湖北,湖北第二师范学院,专业组标题OCR原文,G1-专业组标题可提取完整院校名-仍需原页确认,待核-同代码多组一致,2023；2024；2025,湖北第二师范学院,2023 C13709 学湖北第二师范学院第09组 不限 516；2023 C13710 湖北第二师范学院第10组 北不限 523；2023 C13711 等湖湖北第二师范学院第11组 不限 525；2023 C13712 高湖北第二师范学院第12组 不限 512；2023 C13713 【湖北第二师范学院第13组 不限 516；2023 C13714 省号湖北第二师范学院第14组 化 515,是,,否,可从专业组标题OCR提取完整院校名-仍需PDF原页和官方系统核验,C13710,［C13710 湖北第二师范学院第 10组,78,right,page-078,5e03a3236a2cb8e8355d8504e3a591b6ad7ad86b6c43b19adaf5e4ff958e566f,078_page-078,d621f973b28de123295d98eaa53ba827ff465b6f0a53f0a2ab4a3048cda842e2,,,,,,,family_fit_major_detail,true,false,36,小学教育（师范类）,5,4000,missing_subject_candidate,T2-中：同组存在特殊限制待核专业,false,false,先核 PDF 原页学校标题和专业组标题，再用湖北官方系统确认院校代码、完整院校名和专业组边界。
D0-c3c28ecff32c7dd2,V3Q-5151be735e0c34ab,V3D-867db2fc2b51b298,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_candidate_v3_d0_resolution_workbench,false,院校名称OCR疑似截断；专业组边界或明细缺失,pending_d0_manual_review,C137,湖北,湖北第二师范学院,专业组标题OCR原文,G1-专业组标题可提取完整院校名-仍需原页确认,待核-同代码多组一致,2023；2024；2025,湖北第二师范学院,2023 C13709 学湖北第二师范学院第09组 不限 516；2023 C13710 湖北第二师范学院第10组 北不限 523；2023 C13711 等湖湖北第二师范学院第11组 不限 525；2023 C13712 高湖北第二师范学院第12组 不限 512；2023 C13713 【湖北第二师范学院第13组 不限 516；2023 C13714 省号湖北第二师范学院第14组 化 515,是,,否,可从专业组标题OCR提取完整院校名-仍需PDF原页和官方系统核验,C13710,［C13710 湖北第二师范学院第 10组,78,right,page-078,5e03a3236a2cb8e8355d8504e3a591b6ad7ad86b6c43b19adaf5e4ff958e566f,078_page-078,d621f973b28de123295d98eaa53ba827ff465b6f0a53f0a2ab4a3048cda842e2,,,,,,,family_fit_major_detail,true,false,37,学前教育（师范类）,10,4000,missing_subject_candidate,T2-中：同组存在特殊限制待核专业,false,false,先核 PDF 原页学校标题和专业组标题，再用湖北官方系统确认院校代码、完整院校名和专业组边界。
D0-243761c99bbc8d91,V3Q-434a7ec80d3cadd0,V3D-f2a7e9a4e045cb2f,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_candidate_v3_d0_resolution_workbench,false,院校名称OCR疑似截断；专业组边界或明细缺失,pending_d0_manual_review,C137,湖北,湖北第二师范学院,专业组标题OCR原文,G1-专业组标题可提取完整院校名-仍需原页确认,待核-同代码多组一致,2023；2024；2025,湖北第二师范学院,2023 C13709 学湖北第二师范学院第09组 不限 516；2023 C13710 湖北第二师范学院第10组 北不限 523；2023 C13711 等湖湖北第二师范学院第11组 不限 525；2023 C13712 高湖北第二师范学院第12组 不限 512；2023 C13713 【湖北第二师范学院第13组 不限 516；2023 C13714 省号湖北第二师范学院第14组 化 515,是,,否,可从专业组标题OCR提取完整院校名-仍需PDF原页和官方系统核验,C13710,［C13710 湖北第二师范学院第 10组,78,right,page-078,5e03a3236a2cb8e8355d8504e3a591b6ad7ad86b6c43b19adaf5e4ff958e566f,078_page-078,d621f973b28de123295d98eaa53ba827ff465b6f0a53f0a2ab4a3048cda842e2,,,,,,,family_fit_major_detail,true,false,38,应用心理学,31,4000,missing_subject_candidate;low_ocr_confidence,T2-中：同组存在特殊限制待核专业,false,false,先核 PDF 原页学校标题和专业组标题，再用湖北官方系统确认院校代码、完整院校名和专业组边界。
