板块,指标,当前值,来源,说明
全量结构化,院校数,1103,data/working/issue19-stable-foundation-v0-status-summary.json；data/exports/issue19-stable-foundation-*-browser.csv,
全量结构化,院校专业组数,3329,data/working/issue19-stable-foundation-v0-status-summary.json；data/exports/issue19-stable-foundation-*-browser.csv,
全量结构化,逐专业招生明细数,13736,data/working/issue19-stable-foundation-v0-status-summary.json；data/exports/issue19-stable-foundation-*-browser.csv,
全量结构化,字段核验任务数,41208,data/working/issue19-stable-foundation-v0-status-summary.json；data/exports/issue19-stable-foundation-*-browser.csv,
全量结构化,PDF页数,231,data/working/issue19-stable-foundation-v0-status-summary.json；data/exports/issue19-stable-foundation-*-browser.csv,
全量结构化,页列数,462,data/working/issue19-stable-foundation-v0-status-summary.json；data/exports/issue19-stable-foundation-*-browser.csv,
第一闭环,页列数,37,data/exports/issue19-closure-and-shortlist-v1-summary.json；data/working/issue19-stable-foundation-first-closure-*-summary.json,
第一闭环,逐任务数,206,data/exports/issue19-closure-and-shortlist-v1-summary.json；data/working/issue19-stable-foundation-first-closure-*-summary.json,
第一闭环,PDF原页待核任务数,206,data/exports/issue19-closure-and-shortlist-v1-summary.json；data/working/issue19-stable-foundation-first-closure-*-summary.json,
第一闭环,湖北官方侧待核任务数,206,data/exports/issue19-closure-and-shortlist-v1-summary.json；data/working/issue19-stable-foundation-first-closure-*-summary.json,
第一闭环,需要高校辅证任务数,180,data/exports/issue19-closure-and-shortlist-v1-summary.json；data/working/issue19-stable-foundation-first-closure-*-summary.json,
第一闭环,需要双人复核任务数,91,data/exports/issue19-closure-and-shortlist-v1-summary.json；data/working/issue19-stable-foundation-first-closure-*-summary.json,
第一闭环,字段可写回任务数,0,data/exports/issue19-closure-and-shortlist-v1-summary.json；data/working/issue19-stable-foundation-first-closure-*-summary.json,
第一闭环,执行泳道：E0-冲突异常双人优先核验,18,data/exports/issue19-closure-and-shortlist-v1-summary.json；data/working/issue19-stable-foundation-first-closure-*-summary.json,
第一闭环,执行泳道：E1-计划数补缺或偏大优先核验,11,data/exports/issue19-closure-and-shortlist-v1-summary.json；data/working/issue19-stable-foundation-first-closure-*-summary.json,
第一闭环,执行泳道：E2-官网未匹配专业名归属核验,8,data/exports/issue19-closure-and-shortlist-v1-summary.json；data/working/issue19-stable-foundation-first-closure-*-summary.json,
门禁,字段写回允许数,0,data/exports/issue19-closure-and-shortlist-v1-summary.json,
门禁,可作为志愿推荐依据数,0,data/exports/issue19-closure-and-shortlist-v1-summary.json,
门禁,最终可用数,0,data/exports/issue19-closure-and-shortlist-v1-summary.json,
高校官网辅证,官网辅证任务数,80,data/exports/issue19-closure-and-shortlist-v1-summary.json；data/working/issue19-school-source-live-20260629-ledger.csv,
高校官网辅证,涉及学校数,36,data/exports/issue19-closure-and-shortlist-v1-summary.json；data/working/issue19-school-source-live-20260629-ledger.csv,
高校官网辅证,live补源尝试数,8,data/exports/issue19-closure-and-shortlist-v1-summary.json；data/working/issue19-school-source-live-20260629-ledger.csv,
高校官网辅证,已取得湖北物理计划明细的live学校数,1,data/exports/issue19-closure-and-shortlist-v1-summary.json；data/working/issue19-school-source-live-20260629-ledger.csv,
候选压缩,Round4优先讨论专业组,120,data/exports/issue19-closure-and-shortlist-v1-summary.json,
候选压缩,本轮重点核验专业组,55,data/exports/issue19-closure-and-shortlist-v1-summary.json,
候选压缩,暂缓专业组,65,data/exports/issue19-closure-and-shortlist-v1-summary.json,
候选压缩,重点组完整专业明细,458,data/exports/issue19-closure-and-shortlist-v1-summary.json,
