全量字段页列核验队列ID,来源字段事实核验任务队列,来源页级保真复核队列,来源期号,来源PDF_SHA256,数据阶段,主表粒度,任务粒度,最终可用,可进入下一阶段,机器是否允许自动写回主表,机器是否允许自动回填候选,是否允许写回字段,是否允许作为志愿推荐依据,是否允许生成学校专业建议,页列执行总序,来源页码,版面列,页码版面键,页列核验优先级桶,页列核验优先级数值,页列首要动作,包内字段任务数,包内专业行数,包内专业组数,包内院校代码数,包内字段名分布,包内字段核验优先级分布,包内字段事实阻断等级分布,包内Q0无候选阻断任务数,包内Q1有候选待人工核验任务数,包内Q2OCR齐全待三方闭环任务数,包内专业计划数字段任务数,包内学费字段任务数,包内再选科目字段任务数,包内PDF原页核验待完成任务数,包内湖北官方核验待完成任务数,包内高校官网辅证线索任务数,包内源证据P0任务数,包内源证据P1任务数,页面复核优先级,页面阻断等级,页级保真队列ID,私有页图证据编号,私有页图SHA256,私有识别材料证据编号,私有识别材料SHA256,OCR平均置信度,OCR_QC_P0数,OCR_QC_P1数,页面专业明细数,页面结构异常数,页面高严重结构异常数,字段任务ID集合SHA256,专业行ID集合SHA256,专业组出现ID集合SHA256,院校代码集合SHA256,下钻筛选键,PDF原页核页状态,湖北官方系统或省招办计划核验状态,字段事实写回状态,公开安全策略,下一步
FIELDPSIDE-5eaaf4f03c4e88bb,data/working/issue19-field-fact-verification-tasks.csv,data/working/issue19-page-fidelity-review-queue.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_field_fact_page_side_verification_queue,PDF页码×版面列,PDF页码×版面列×全量字段事实核验任务,false,false,false,false,false,false,false,1,236,right,236-right,V0-Q0无候选阻断页列先核,0,先按页列重读无候选字段，优先补专业计划数、再选科目和学费缺口。,147,49,5,3,专业计划数:49；再选科目:49；学费:49,P0-字段无候选原页重读:89；P1-字段有候选回看原页和官方:1；P3-OCR齐全字段三方闭环:57,Q0-字段缺口无候选阻断:138；Q1-字段缺口有候选待人工核验:3；Q2-OCR字段齐全但PDF和官方未闭环:6,138,3,6,49,49,49,147,147,0,0,105,P0-必须优先核页,F0-本页存在阻断级专业行,PAGEFID-e4352812f6059648,page-236,53137187bd51357592dfbb89c1ae4fa507b2ceb9e70d1cd0b75d7cccbf23b1bf,236_page-236,32de8ecc12a4d2434ae5e7a42c79041b2e345a68c03922de1fdbce44ddf2f830,0.6987,62,101,85,29,14,0d633affa08d3b68b0a8546140cb077e945469e1cf3146e57cfb3bda2fb837fe,f3e9daa98f113b2b2c84e8bf5081f91580b92483147302b17b73d7c612adab11,429b1945f8da6c39da84c92682271a93bd17fa7bf81ef9a40ba40b4c98b6e70c,416608b0ef46b0d01bcb0c77547d01e37a9677b4dca35726d8be94757a35d86a,来源页码=236；版面列=right,pending_manual_pdf_review,pending_hubei_official_review,blocked_until_pdf_and_hubei_official_fields_verified,只公开页列执行顺序、任务数量、状态、证据编号、SHA和任务集合哈希；不公开字段候选值、人工确认值、私有识别材料、图片路径、院校名、专业名、专业代号或专业组代码。,先按页列重读无候选字段，优先补专业计划数、再选科目和学费缺口。 完成后仍需湖北官方系统或省招办计划核验。
FIELDPSIDE-ca01f6c3276f8022,data/working/issue19-field-fact-verification-tasks.csv,data/working/issue19-page-fidelity-review-queue.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_field_fact_page_side_verification_queue,PDF页码×版面列,PDF页码×版面列×全量字段事实核验任务,false,false,false,false,false,false,false,2,98,right,098-right,V0-Q0无候选阻断页列先核,0,先按页列重读无候选字段，优先补专业计划数、再选科目和学费缺口。,129,43,10,3,专业计划数:43；再选科目:43；学费:43,P0-字段无候选原页重读:81；P1-字段有候选回看原页和官方:3；P3-OCR齐全字段三方闭环:45,Q0-字段缺口无候选阻断:120；Q1-字段缺口有候选待人工核验:9,120,9,0,43,43,43,129,129,0,0,84,P0-必须优先核页,F0-本页存在阻断级专业行,PAGEFID-2b7ae792e3ad138e,page-098,72386e23e2d260342fd6bd64984b79fb247fbcad32c40007eda124804725e939,098_page-098,fb1d0bf7d3431977b3be31fa5567d8d9fc7d1fe10b07201b87d16ae85b7e9edd,0.7293,63,98,78,36,27,9a9e1986256532b4f5e971bb1cf90000deea1a597c2f90ed0fbcd17286f404d0,075805be0ed9de2b2268aef6dd2e869699ed72140d5d86dbe13d8620191107a3,57bd5b34e70a5b1da170fa26f4b912761c50d7039c323a58fd9529ded0e794d6,3939b738f1ddcf668e47ab3210792d44705a7fbd1168ee3f458c1e4d0a49fcee,来源页码=98；版面列=right,pending_manual_pdf_review,pending_hubei_official_review,blocked_until_pdf_and_hubei_official_fields_verified,只公开页列执行顺序、任务数量、状态、证据编号、SHA和任务集合哈希；不公开字段候选值、人工确认值、私有识别材料、图片路径、院校名、专业名、专业代号或专业组代码。,先按页列重读无候选字段，优先补专业计划数、再选科目和学费缺口。 完成后仍需湖北官方系统或省招办计划核验。
FIELDPSIDE-802f71a83160d9c6,data/working/issue19-field-fact-verification-tasks.csv,data/working/issue19-page-fidelity-review-queue.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_field_fact_page_side_verification_queue,PDF页码×版面列,PDF页码×版面列×全量字段事实核验任务,false,false,false,false,false,false,false,3,228,right,228-right,V0-Q0无候选阻断页列先核,0,先按页列重读无候选字段，优先补专业计划数、再选科目和学费缺口。,120,40,4,3,专业计划数:40；再选科目:40；学费:40,P0-字段无候选原页重读:79；P1-字段有候选回看原页和官方:1；P3-OCR齐全字段三方闭环:40,Q0-字段缺口无候选阻断:117；Q1-字段缺口有候选待人工核验:3,117,3,0,40,40,40,120,120,0,0,75,P0-必须优先核页,F0-本页存在阻断级专业行,PAGEFID-f362f3d6e1a194c1,page-228,8354b79db115b694cb25cfbd96dc6dac5f6b3a5277bd01910847f93d75aa3e6e,228_page-228,6f8e8f438a72e152fcb77d62df54ad61def90c32c415ac2a7a542639b9807ab8,0.7059,63,96,72,43,32,6fd0a1df551091265ac2e4032e344e77bca1d4d4a04e1ae701076522d150900d,e03a1d856d70b9fa18ff37f68f655db09c065c67fa68a28ecc09b2de0124c29e,9a49308aac3649e8601bb78f670add9d403846910b2da78eaa1a3a921bdd6838,5d338de85a73ea8a21281c78b0a07232a531a144ee77564833c86806d3ad5212,来源页码=228；版面列=right,pending_manual_pdf_review,pending_hubei_official_review,blocked_until_pdf_and_hubei_official_fields_verified,只公开页列执行顺序、任务数量、状态、证据编号、SHA和任务集合哈希；不公开字段候选值、人工确认值、私有识别材料、图片路径、院校名、专业名、专业代号或专业组代码。,先按页列重读无候选字段，优先补专业计划数、再选科目和学费缺口。 完成后仍需湖北官方系统或省招办计划核验。
FIELDPSIDE-f9485575ab0a7789,data/working/issue19-field-fact-verification-tasks.csv,data/working/issue19-page-fidelity-review-queue.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_field_fact_page_side_verification_queue,PDF页码×版面列,PDF页码×版面列×全量字段事实核验任务,false,false,false,false,false,false,false,4,165,right,165-right,V0-Q0无候选阻断页列先核,0,先按页列重读无候选字段，优先补专业计划数、再选科目和学费缺口。,153,51,6,2,专业计划数:51；再选科目:51；学费:51,P0-字段无候选原页重读:66；P1-字段有候选回看原页和官方:14；P3-OCR齐全字段三方闭环:73,Q0-字段缺口无候选阻断:111；Q1-字段缺口有候选待人工核验:42,111,42,0,51,51,51,153,153,0,0,84,P0-必须优先核页,F0-本页存在阻断级专业行,PAGEFID-16a28d2c51115019,page-165,96af63b107f83263af1f7698b363cc1d1c19045f3d24d9d1d76afdc2c55e018e,165_page-165,ff9f9a95513d474f044e4066883a8ce46e8bb25fba2c2a27bebf5b34b0fcc53d,0.7358,68,78,89,63,41,207310afe051e90122b87177ed0fa5c0556716dc5c387a4d66478c376a033a7f,ffed7b401f3a63793df0018f8327252bd270da189c4f6260bab17b624e69267e,e4dd4fac015c279520e01da7c40d038a5e3ab484f357b744e002d9d22456cd72,e8b97bc19f207d37588e9be991381852fcf53593cf20945113dd0267561822ab,来源页码=165；版面列=right,pending_manual_pdf_review,pending_hubei_official_review,blocked_until_pdf_and_hubei_official_fields_verified,只公开页列执行顺序、任务数量、状态、证据编号、SHA和任务集合哈希；不公开字段候选值、人工确认值、私有识别材料、图片路径、院校名、专业名、专业代号或专业组代码。,先按页列重读无候选字段，优先补专业计划数、再选科目和学费缺口。 完成后仍需湖北官方系统或省招办计划核验。
FIELDPSIDE-dedf0ed14daf3105,data/working/issue19-field-fact-verification-tasks.csv,data/working/issue19-page-fidelity-review-queue.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_field_fact_page_side_verification_queue,PDF页码×版面列,PDF页码×版面列×全量字段事实核验任务,false,false,false,false,false,false,false,5,208,left,208-left,V0-Q0无候选阻断页列先核,0,先按页列重读无候选字段，优先补专业计划数、再选科目和学费缺口。,120,40,5,2,专业计划数:40；再选科目:40；学费:40,P0-字段无候选原页重读:53；P1-字段有候选回看原页和官方:5；P3-OCR齐全字段三方闭环:62,Q0-字段缺口无候选阻断:102；Q1-字段缺口有候选待人工核验:15；Q2-OCR字段齐全但PDF和官方未闭环:3,102,15,3,40,40,40,120,120,24,0,57,P0-必须优先核页,F0-本页存在阻断级专业行,PAGEFID-e8863c0a16fd3160,page-208,d2a33acfeb7b0318967e259b6f020566eb2719e02abe2841792bda2ea0e88370,208_page-208,c1876766c537b983206cbf900a3a9bd856ed3832b52166dd365c0cd544ec0bdb,0.7385,85,58,83,19,7,bcf09bc31e2c281e37f80446faff3029e77b5751a686570abb9bba5290d48eaa,d0816ee69fef3e61a0dbb66482b0561d614f2bf833b922194a4ff29f2d8290a7,2b056f3100d021ca21dfc4f10df394e8869b8be02e2c4d3e06f7606d1e6b649d,81f16fdeb81cd61be0a2e6d4e2a038817491534a22e8a3bb5aa594dc1459526f,来源页码=208；版面列=left,pending_manual_pdf_review,pending_hubei_official_review,blocked_until_pdf_and_hubei_official_fields_verified,只公开页列执行顺序、任务数量、状态、证据编号、SHA和任务集合哈希；不公开字段候选值、人工确认值、私有识别材料、图片路径、院校名、专业名、专业代号或专业组代码。,先按页列重读无候选字段，优先补专业计划数、再选科目和学费缺口。 完成后仍需湖北官方系统或省招办计划核验。
FIELDPSIDE-b8a31bb384723b72,data/working/issue19-field-fact-verification-tasks.csv,data/working/issue19-page-fidelity-review-queue.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_field_fact_page_side_verification_queue,PDF页码×版面列,PDF页码×版面列×全量字段事实核验任务,false,false,false,false,false,false,false,6,134,right,134-right,V0-Q0无候选阻断页列先核,0,先按页列重读无候选字段，优先补专业计划数、再选科目和学费缺口。,105,35,10,5,专业计划数:35；再选科目:35；学费:35,P0-字段无候选原页重读:69；P1-字段有候选回看原页和官方:1；P3-OCR齐全字段三方闭环:35,Q0-字段缺口无候选阻断:102；Q1-字段缺口有候选待人工核验:3,102,3,0,35,35,35,105,105,0,0,60,P0-必须优先核页,F0-本页存在阻断级专业行,PAGEFID-7f4d9c5aa788cbfa,page-134,f76364ef3f48f3452d1a1d54c0dd88fe0b36d12b029d3a6733373efe0a6dd203,134_page-134,7e6378e11d5d02a9ea7b3255c990b0227a496a16d663fb643bc3a6d37f3c8100,0.7141,85,69,64,36,30,9406d99b59f4c5ab9a0d4c0efdf16590ff5cb9ed48b9f7c6af87ae6a1487c6b2,53175b1a726ca900db030003eb088220d0318977bfc1ada157510eab51e062f6,1b8105e87bb74d38f8a912a7057c3cb60a6e92a9f1cc1a71f491102bc5900a4d,956efe250d2558ed77e30b0f17e6a98fcbb84de27339acb8425930b7ce3368c5,来源页码=134；版面列=right,pending_manual_pdf_review,pending_hubei_official_review,blocked_until_pdf_and_hubei_official_fields_verified,只公开页列执行顺序、任务数量、状态、证据编号、SHA和任务集合哈希；不公开字段候选值、人工确认值、私有识别材料、图片路径、院校名、专业名、专业代号或专业组代码。,先按页列重读无候选字段，优先补专业计划数、再选科目和学费缺口。 完成后仍需湖北官方系统或省招办计划核验。
FIELDPSIDE-5565ddffa1849af7,data/working/issue19-field-fact-verification-tasks.csv,data/working/issue19-page-fidelity-review-queue.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_field_fact_page_side_verification_queue,PDF页码×版面列,PDF页码×版面列×全量字段事实核验任务,false,false,false,false,false,false,false,7,107,right,107-right,V0-Q0无候选阻断页列先核,0,先按页列重读无候选字段，优先补专业计划数、再选科目和学费缺口。,135,45,7,2,专业计划数:45；再选科目:45；学费:45,P0-字段无候选原页重读:46；P1-字段有候选回看原页和官方:7；P3-OCR齐全字段三方闭环:82,Q0-字段缺口无候选阻断:99；Q1-字段缺口有候选待人工核验:21；Q2-OCR字段齐全但PDF和官方未闭环:15,99,21,15,45,45,45,135,135,0,0,63,P0-必须优先核页,F0-本页存在阻断级专业行,PAGEFID-4e9adbfac72f6970,page-107,7e303265f415a1e02e9080c0651a360e30d072c265a8c9ff0d43fc22ad70425c,107_page-107,c207c69b694235c183d5fd69e1d2c9ada9b4d17f642006c3ca077465f68adc05,0.7493,82,62,82,12,2,5d21ea58bdb659a73a6ab579bb83822021463a909f97bb668d9376e4cf272ce2,f86258fc3ec479ee72687ef93f4332bff788f1113b6101ad7eb4b9123c9a2bec,1bb8ff7414d0200f7c67a95c4c0ce8504382a6a9a171692b2e626fc2ef297554,b4f46b797dac6468d2e6897d99f4f4a94b6d015cad87f684979b312a5b4dbcce,来源页码=107；版面列=right,pending_manual_pdf_review,pending_hubei_official_review,blocked_until_pdf_and_hubei_official_fields_verified,只公开页列执行顺序、任务数量、状态、证据编号、SHA和任务集合哈希；不公开字段候选值、人工确认值、私有识别材料、图片路径、院校名、专业名、专业代号或专业组代码。,先按页列重读无候选字段，优先补专业计划数、再选科目和学费缺口。 完成后仍需湖北官方系统或省招办计划核验。
FIELDPSIDE-a7f51eb3797f3850,data/working/issue19-field-fact-verification-tasks.csv,data/working/issue19-page-fidelity-review-queue.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_field_fact_page_side_verification_queue,PDF页码×版面列,PDF页码×版面列×全量字段事实核验任务,false,false,false,false,false,false,false,8,182,right,182-right,V0-Q0无候选阻断页列先核,0,先按页列重读无候选字段，优先补专业计划数、再选科目和学费缺口。,123,41,4,2,专业计划数:41；再选科目:41；学费:41,P0-字段无候选原页重读:63；P1-字段有候选回看原页和官方:6；P3-OCR齐全字段三方闭环:54,Q0-字段缺口无候选阻断:99；Q1-字段缺口有候选待人工核验:18；Q2-OCR字段齐全但PDF和官方未闭环:6,99,18,6,41,41,41,123,123,0,0,48,P0-必须优先核页,F0-本页存在阻断级专业行,PAGEFID-14471a232ef48026,page-182,f3eab65ffcede47b5e9392937d5f2546b5b1bad959afb7e120ffbc8691d27012,182_page-182,345922a7fa69d6407a13250bb1096490e1b43699daa067acdf97ec311170a52c,0.7132,86,62,70,19,6,abac7d92eb6ae256551508051954b1b409cac2324c84e6193905617b2e6cacbb,22f49a0bff0790a8d4c2364eca704541f69a43b377924c98c40e26c4e56180f5,fbbac6941a2fdb4ca7e64727bdd388528b3bf6fafb03e78fe4892f8df496ea08,0b63f66c163173045e26243bc8d8a254cc4e25c8272ccc1753b368e9d3467bf2,来源页码=182；版面列=right,pending_manual_pdf_review,pending_hubei_official_review,blocked_until_pdf_and_hubei_official_fields_verified,只公开页列执行顺序、任务数量、状态、证据编号、SHA和任务集合哈希；不公开字段候选值、人工确认值、私有识别材料、图片路径、院校名、专业名、专业代号或专业组代码。,先按页列重读无候选字段，优先补专业计划数、再选科目和学费缺口。 完成后仍需湖北官方系统或省招办计划核验。
FIELDPSIDE-a4c918ab7a204e30,data/working/issue19-field-fact-verification-tasks.csv,data/working/issue19-page-fidelity-review-queue.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_field_fact_page_side_verification_queue,PDF页码×版面列,PDF页码×版面列×全量字段事实核验任务,false,false,false,false,false,false,false,9,26,left,026-left,V0-Q0无候选阻断页列先核,0,先按页列重读无候选字段，优先补专业计划数、再选科目和学费缺口。,108,36,3,1,专业计划数:36；再选科目:36；学费:36,P0-字段无候选原页重读:64；P1-字段有候选回看原页和官方:3；P3-OCR齐全字段三方闭环:41,Q0-字段缺口无候选阻断:96；Q1-字段缺口有候选待人工核验:9；Q2-OCR字段齐全但PDF和官方未闭环:3,96,9,3,36,36,36,108,108,0,0,84,P0-必须优先核页,F0-本页存在阻断级专业行,PAGEFID-f05b16d9e5a82985,page-026,e2fe120b0521de7d0ae6abdff24e36844696008de5bb63a4b8503d55d401a409,026_page-026,b23c1752f751f0e10cbc25298f79194ed3d9dd2282f04d11fd9cffff5679770c,0.6837,49,99,50,22,17,6d633f0cb78e83ca735fa33a13aed3d3781ff02950b7ee5e51be4fed778319f6,361d985fbfd260acbc32db9d33393a3cbf7e62d5d897a3fefb066afa8f00e697,e1991cdb315891de02ea2a4bc50ce5e6677625efa52f2906776fff9af4d36ca9,2fc375c302161c4d4dd06dde9ac5eb8f27d576c451ce4b86eff13ffc4e3a65ce,来源页码=26；版面列=left,pending_manual_pdf_review,pending_hubei_official_review,blocked_until_pdf_and_hubei_official_fields_verified,只公开页列执行顺序、任务数量、状态、证据编号、SHA和任务集合哈希；不公开字段候选值、人工确认值、私有识别材料、图片路径、院校名、专业名、专业代号或专业组代码。,先按页列重读无候选字段，优先补专业计划数、再选科目和学费缺口。 完成后仍需湖北官方系统或省招办计划核验。
FIELDPSIDE-bc2f1e823cd4ea4e,data/working/issue19-field-fact-verification-tasks.csv,data/working/issue19-page-fidelity-review-queue.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_field_fact_page_side_verification_queue,PDF页码×版面列,PDF页码×版面列×全量字段事实核验任务,false,false,false,false,false,false,false,10,164,right,164-right,V0-Q0无候选阻断页列先核,0,先按页列重读无候选字段，优先补专业计划数、再选科目和学费缺口。,105,35,8,3,专业计划数:35；再选科目:35；学费:35,P0-字段无候选原页重读:64；P1-字段有候选回看原页和官方:3；P3-OCR齐全字段三方闭环:38,Q0-字段缺口无候选阻断:96；Q1-字段缺口有候选待人工核验:9,96,9,0,35,35,35,105,105,0,0,36,P0-必须优先核页,F0-本页存在阻断级专业行,PAGEFID-0bc7be5ffcbaa47b,page-164,2c0e2ecd289f9fb1c7837e2c729ce3bc1c2b39e9800f18d97638061b662d1eb5,164_page-164,eaf538849b4f21b93a9554d2e06026f808fef0403235d26b949efa55f5abfe69,0.7315,86,57,78,31,18,b35e2d812e7084b489fc0f45d6770c724aa5ba1bd2cb0dae7c07ceab69c07ed9,760f140dd41e7abf3106b43ca6fb0889f53a97068dce50963f3e90605aaac200,5c017c71f11bba6c610b6e82ccd6bb0841383c70b9fe36f629a33c5e1ee35df7,7da07645d4eee1a92a9f9f0b1718d9b7eb97433c53da0b09a57170fbeb738a15,来源页码=164；版面列=right,pending_manual_pdf_review,pending_hubei_official_review,blocked_until_pdf_and_hubei_official_fields_verified,只公开页列执行顺序、任务数量、状态、证据编号、SHA和任务集合哈希；不公开字段候选值、人工确认值、私有识别材料、图片路径、院校名、专业名、专业代号或专业组代码。,先按页列重读无候选字段，优先补专业计划数、再选科目和学费缺口。 完成后仍需湖北官方系统或省招办计划核验。
