第一闭环证据仲裁页列汇总ID,来源第一闭环证据仲裁表,来源第一闭环核验结果页列汇总,来源G0字段W0W1候选分层页列汇总,来源期号,来源PDF_SHA256,生成日期,数据阶段,主表粒度,任务粒度,最终可用,可进入下一阶段,可否进入最终志愿方案,是否允许作为志愿推荐依据,是否允许自动写回主表,是否允许官网证据替代湖北官方计划,是否允许生成学校专业建议,是否允许写回字段事实,页列汇总序号,页码版面键,来源页码,版面列,第一闭环任务数,G0命中任务数,G0字段事实数,G0缺口任务数,G0当前可并行通道数,G0前置阻断通道数,G0待PDF原页记录数,G0待湖北官方记录数,G0待高校辅证核验数,G0待冲突处理数,G0待双人复核数,G0待三方一致性数,G0待字段确认数,G0待写回评审数,任务结果桶分布,PDF原页状态分布,OCR提示状态分布,高校官网辅证状态分布,冲突状态分布,证据准出阶段分布,G0候选分层分布,页列最小核验动作,页列任务集合SHA256,页列G0事实集合SHA256,页列G0缺口任务集合SHA256,公开安全策略
FIRST-ADJ-PAGE-b39830bf7574069a,data/working/issue19-first-closure-evidence-adjudication-board-v1-public-ledger.csv,data/working/issue19-first-closure-verification-result-page-summary.csv,data/working/issue19-first-closure-g0-conflict-field-w0-w1-candidate-triage-v1-page-summary.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_evidence_adjudication_board_v1,PDF页码×版面列,37页列叠加G0 W0/W1字段事实准出状态,false,false,false,false,false,false,false,false,1,014-left,14,left,1,0,0,0,0,0,0,0,0,0,0,0,0,0,R2-机器坐标辅助核PDF原页:1,P1-有机器坐标提示，仍待PDF原页人工核验:1,O4-无PDFOCR但有机器坐标提示:1,S0-无高校字段线索，本任务高校辅证不适用:1,C4-无可比候选，需人工看图或随页列闭环:1,A3-非G0本轮子集但仍待第一闭环:1,,按第一闭环总看板继续核页。,7e850f28b678a87881484377ba045780e975fef1bbd1528ce5c2ac3a46896c29,,,页列汇总只公开状态分布、数量和SHA；不公开敏感明细或学校专业文本。
FIRST-ADJ-PAGE-ea39e9aaf90b1acd,data/working/issue19-first-closure-evidence-adjudication-board-v1-public-ledger.csv,data/working/issue19-first-closure-verification-result-page-summary.csv,data/working/issue19-first-closure-g0-conflict-field-w0-w1-candidate-triage-v1-page-summary.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_evidence_adjudication_board_v1,PDF页码×版面列,37页列叠加G0 W0/W1字段事实准出状态,false,false,false,false,false,false,false,false,2,018-left,18,left,17,4,12,87,39,48,12,12,12,12,3,12,12,12,R0-冲突优先双人核PDF原页和湖北官方侧:4；R2-机器坐标辅助核PDF原页:5；R3-无稳定候选需人工看图:3；R5-多源一致线索仍待湖北官方侧:5,P0-有冲突线索，PDF原页优先人工核验:4；P1-有机器坐标提示，仍待PDF原页人工核验:5；P2-有PDFOCR提示，仍待PDF原页人工确认:5；P3-无稳定OCR提示，需人工看PDF原页:3,O0-PDFOCR与高校辅证冲突:4；O1-PDFOCR与高校辅证有一致字段但仍待官方闭环:5；O4-无PDFOCR但有机器坐标提示:5；O5-无公开OCR候选提示:3,S1-有高校辅证线索或自动官网任务，待私有辅证记录:17,C0-PDFOCR与高校辅证冲突，必须回PDF原页和湖北官方侧:4；C2-多源有一致线索，仍待湖北官方侧闭环:5；C4-无可比候选，需人工看图或随页列闭环:8,A0-G0候选冲突阻断准出:4；A3-非G0本轮子集但仍待第一闭环:13,C0-双侧候选冲突优先核:6；C1-双侧候选一致但仍待核:1；C3-仅高校辅证候选需核原页:5,优先处理G0 W0/W1冲突字段。,1bb4f0706ba76fdc414cdc4b869964dd2c65b36fdc558894d36f31ef50b3ef19,15f0b165d329f19ed1fb2ee8e85d0acca8f8372868a422fdf2e1b03f714303f7,b88599e424ddffdce52ab9261fdabd63d5c9797cbca11364000c457cb3b0f31e,页列汇总只公开状态分布、数量和SHA；不公开敏感明细或学校专业文本。
FIRST-ADJ-PAGE-aebf3287f05ad7c4,data/working/issue19-first-closure-evidence-adjudication-board-v1-public-ledger.csv,data/working/issue19-first-closure-verification-result-page-summary.csv,data/working/issue19-first-closure-g0-conflict-field-w0-w1-candidate-triage-v1-page-summary.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_evidence_adjudication_board_v1,PDF页码×版面列,37页列叠加G0 W0/W1字段事实准出状态,false,false,false,false,false,false,false,false,3,023-left,23,left,1,0,0,0,0,0,0,0,0,0,0,0,0,0,R2-机器坐标辅助核PDF原页:1,P1-有机器坐标提示，仍待PDF原页人工核验:1,O4-无PDFOCR但有机器坐标提示:1,S0-无高校字段线索，本任务高校辅证不适用:1,C4-无可比候选，需人工看图或随页列闭环:1,A3-非G0本轮子集但仍待第一闭环:1,,按第一闭环总看板继续核页。,4c7aead077eb4e85dbb59736d253f9129ae0430c4342a4a0d8f9564abd268d4e,,,页列汇总只公开状态分布、数量和SHA；不公开敏感明细或学校专业文本。
FIRST-ADJ-PAGE-c47626feba1a5614,data/working/issue19-first-closure-evidence-adjudication-board-v1-public-ledger.csv,data/working/issue19-first-closure-verification-result-page-summary.csv,data/working/issue19-first-closure-g0-conflict-field-w0-w1-candidate-triage-v1-page-summary.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_evidence_adjudication_board_v1,PDF页码×版面列,37页列叠加G0 W0/W1字段事实准出状态,false,false,false,false,false,false,false,false,4,032-right,32,right,1,0,0,0,0,0,0,0,0,0,0,0,0,0,R2-机器坐标辅助核PDF原页:1,P1-有机器坐标提示，仍待PDF原页人工核验:1,O4-无PDFOCR但有机器坐标提示:1,S0-无高校字段线索，本任务高校辅证不适用:1,C4-无可比候选，需人工看图或随页列闭环:1,A3-非G0本轮子集但仍待第一闭环:1,,按第一闭环总看板继续核页。,9e605a53a1548ab0639dbd7dd0afb9f45f176370c03c1c397031ed2c3a68e288,,,页列汇总只公开状态分布、数量和SHA；不公开敏感明细或学校专业文本。
FIRST-ADJ-PAGE-eb2d2e703716d80e,data/working/issue19-first-closure-evidence-adjudication-board-v1-public-ledger.csv,data/working/issue19-first-closure-verification-result-page-summary.csv,data/working/issue19-first-closure-g0-conflict-field-w0-w1-candidate-triage-v1-page-summary.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_evidence_adjudication_board_v1,PDF页码×版面列,37页列叠加G0 W0/W1字段事实准出状态,false,false,false,false,false,false,false,false,5,033-right,33,right,1,0,0,0,0,0,0,0,0,0,0,0,0,0,R2-机器坐标辅助核PDF原页:1,P1-有机器坐标提示，仍待PDF原页人工核验:1,O4-无PDFOCR但有机器坐标提示:1,S0-无高校字段线索，本任务高校辅证不适用:1,C4-无可比候选，需人工看图或随页列闭环:1,A3-非G0本轮子集但仍待第一闭环:1,,按第一闭环总看板继续核页。,6495b02e5c41ed42069d0301b1caa693994598ab97dc224394cf593e1d1f9555,,,页列汇总只公开状态分布、数量和SHA；不公开敏感明细或学校专业文本。
FIRST-ADJ-PAGE-8b89d71f856026a2,data/working/issue19-first-closure-evidence-adjudication-board-v1-public-ledger.csv,data/working/issue19-first-closure-verification-result-page-summary.csv,data/working/issue19-first-closure-g0-conflict-field-w0-w1-candidate-triage-v1-page-summary.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_evidence_adjudication_board_v1,PDF页码×版面列,37页列叠加G0 W0/W1字段事实准出状态,false,false,false,false,false,false,false,false,6,036-right,36,right,1,0,0,0,0,0,0,0,0,0,0,0,0,0,R4-PDFOCR候选人工确认:1,P2-有PDFOCR提示，仍待PDF原页人工确认:1,O3-仅PDFOCR候选待人工核页:1,S1-有高校辅证线索或自动官网任务，待私有辅证记录:1,C3-仅PDFOCR候选，需人工核页:1,A3-非G0本轮子集但仍待第一闭环:1,,按第一闭环总看板继续核页。,8fdede619281e7cec7924bc0d60188ef0306f6779900ee34a74f2382618dcf7e,,,页列汇总只公开状态分布、数量和SHA；不公开敏感明细或学校专业文本。
FIRST-ADJ-PAGE-cbf6bbef03290bcf,data/working/issue19-first-closure-evidence-adjudication-board-v1-public-ledger.csv,data/working/issue19-first-closure-verification-result-page-summary.csv,data/working/issue19-first-closure-g0-conflict-field-w0-w1-candidate-triage-v1-page-summary.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_evidence_adjudication_board_v1,PDF页码×版面列,37页列叠加G0 W0/W1字段事实准出状态,false,false,false,false,false,false,false,false,7,037-left,37,left,5,1,3,24,12,12,3,3,3,3,3,3,3,3,R0-冲突优先双人核PDF原页和湖北官方侧:1；R3-无稳定候选需人工看图:2；R4-PDFOCR候选人工确认:2,P0-有冲突线索，PDF原页优先人工核验:1；P2-有PDFOCR提示，仍待PDF原页人工确认:2；P3-无稳定OCR提示，需人工看PDF原页:2,O0-PDFOCR与高校辅证冲突:1；O3-仅PDFOCR候选待人工核页:2；O5-无公开OCR候选提示:2,S1-有高校辅证线索或自动官网任务，待私有辅证记录:5,C0-PDFOCR与高校辅证冲突，必须回PDF原页和湖北官方侧:1；C3-仅PDFOCR候选，需人工核页:2；C4-无可比候选，需人工看图或随页列闭环:2,A0-G0候选冲突阻断准出:1；A3-非G0本轮子集但仍待第一闭环:4,C0-双侧候选冲突优先核:2；C1-双侧候选一致但仍待核:1,优先处理G0 W0/W1冲突字段。,313d5e49ea1bdebdb2caba7493cf60bd06e976b784a724ebb1de88cf1f751266,45a47415a02e026a0c68c7386f360c02d6967355370f7892307a66cd48cf81e8,39c146fb223b760e503f7736ef16049eef02491306b8d6dc4ee7b87323610435,页列汇总只公开状态分布、数量和SHA；不公开敏感明细或学校专业文本。
FIRST-ADJ-PAGE-4393b7d34cf9a8db,data/working/issue19-first-closure-evidence-adjudication-board-v1-public-ledger.csv,data/working/issue19-first-closure-verification-result-page-summary.csv,data/working/issue19-first-closure-g0-conflict-field-w0-w1-candidate-triage-v1-page-summary.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_evidence_adjudication_board_v1,PDF页码×版面列,37页列叠加G0 W0/W1字段事实准出状态,false,false,false,false,false,false,false,false,8,038-right,38,right,2,0,0,0,0,0,0,0,0,0,0,0,0,0,R2-机器坐标辅助核PDF原页:2,P1-有机器坐标提示，仍待PDF原页人工核验:2,O4-无PDFOCR但有机器坐标提示:2,S0-无高校字段线索，本任务高校辅证不适用:2,C4-无可比候选，需人工看图或随页列闭环:2,A3-非G0本轮子集但仍待第一闭环:2,,按第一闭环总看板继续核页。,96335cfef72df9a01428870252323fa79a823b3729cc6511433a46264c755c5e,,,页列汇总只公开状态分布、数量和SHA；不公开敏感明细或学校专业文本。
FIRST-ADJ-PAGE-69e63945f93ddb05,data/working/issue19-first-closure-evidence-adjudication-board-v1-public-ledger.csv,data/working/issue19-first-closure-verification-result-page-summary.csv,data/working/issue19-first-closure-g0-conflict-field-w0-w1-candidate-triage-v1-page-summary.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_evidence_adjudication_board_v1,PDF页码×版面列,37页列叠加G0 W0/W1字段事实准出状态,false,false,false,false,false,false,false,false,9,040-right,40,right,1,0,0,0,0,0,0,0,0,0,0,0,0,0,R2-机器坐标辅助核PDF原页:1,P1-有机器坐标提示，仍待PDF原页人工核验:1,O4-无PDFOCR但有机器坐标提示:1,S0-无高校字段线索，本任务高校辅证不适用:1,C4-无可比候选，需人工看图或随页列闭环:1,A3-非G0本轮子集但仍待第一闭环:1,,按第一闭环总看板继续核页。,f64746a5c4cf0a5c56e4f36317127b5326a6488e525ebe098189208b10e7dcf6,,,页列汇总只公开状态分布、数量和SHA；不公开敏感明细或学校专业文本。
FIRST-ADJ-PAGE-24739674855759fd,data/working/issue19-first-closure-evidence-adjudication-board-v1-public-ledger.csv,data/working/issue19-first-closure-verification-result-page-summary.csv,data/working/issue19-first-closure-g0-conflict-field-w0-w1-candidate-triage-v1-page-summary.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_evidence_adjudication_board_v1,PDF页码×版面列,37页列叠加G0 W0/W1字段事实准出状态,false,false,false,false,false,false,false,false,10,043-left,43,left,1,0,0,0,0,0,0,0,0,0,0,0,0,0,R2-机器坐标辅助核PDF原页:1,P1-有机器坐标提示，仍待PDF原页人工核验:1,O4-无PDFOCR但有机器坐标提示:1,S0-无高校字段线索，本任务高校辅证不适用:1,C4-无可比候选，需人工看图或随页列闭环:1,A3-非G0本轮子集但仍待第一闭环:1,,按第一闭环总看板继续核页。,eb2d08e51be33bc330fc5e094c1d4d85fa8bba8f5f78db4f835a5924cbf248b3,,,页列汇总只公开状态分布、数量和SHA；不公开敏感明细或学校专业文本。
