第一闭环证据仲裁ID,来源第一闭环核验结果看板,来源第一闭环字段确认公开账本,来源G0字段补证缺口任务公开账本,来源G0字段W0W1候选分层清单,来源W0B0高校源字段回接队列,来源期号,来源PDF_SHA256,生成日期,数据阶段,主表粒度,任务粒度,最终可用,可进入下一阶段,可否进入最终志愿方案,是否允许作为志愿推荐依据,是否允许自动写回主表,是否允许官网证据替代湖北官方计划,是否允许生成学校专业建议,是否允许写回字段事实,仲裁序号,第一闭环核验结果ID,第一闭环字段确认公开账本ID,稳定基座第一闭环明细任务ID,稳定基座第一闭环页列包ID,页码版面键,来源页码,版面列,专业行ID,专业组出现ID,院校代码,任务来源类型,字段名,执行泳道,核验动作层级,任务结果桶,PDF原页证据状态,OCR提示状态,机器坐标提示状态,高校官网辅证状态,湖北官方侧状态,冲突状态,三方闭环状态,字段写回门禁,字段确认公开状态,双人复核公开状态,G0字段闭环命中状态,G0字段事实数,G0缺口任务数,G0当前可并行通道数,G0前置阻断通道数,G0待PDF原页记录数,G0待湖北官方记录数,G0待高校辅证核验数,G0待冲突处理数,G0待双人复核数,G0待三方一致性数,G0待字段确认数,G0待写回评审数,G0候选分层分布,G0候选主桶,G0高校源回接事实数,G0结构化接入候选字段数,G0高校源可DoubleCheck字段数,G0计划数一致提示字段数,G0计划数冲突提示字段数,证据准出阶段,证据准出阻断原因,下一步最小核验动作,任务内G0事实集合SHA256,任务内G0缺口任务集合SHA256,任务内G0回接集合SHA256,公开安全策略
FIRST-ADJ-205b663ba81d9f33,data/working/issue19-first-closure-verification-result-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-field-confirmation-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-tasks-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-w0-w1-candidate-triage-v1-public-ledger.csv,data/working/issue19-w0-b0-school-source-field-backlink-queue-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_evidence_adjudication_board_v1,第一闭环高风险明细任务,206明细任务叠加G0 W0/W1字段事实准出状态,false,false,false,false,false,false,false,false,1,FIRSTRESULT-376e2cb7c2aac408,FIRSTFCONF-1abd0beec638e8e9,FIRSTDETAIL-9bf7591b36b04599,FIRSTPAGE-1d715f85ac144ecb,014-left,14,left,M-0e3eab5eafd98476,G-3a0c940c9affcb18,A010,P0人工字段任务,专业计划数,E1-计划数补缺或偏大优先核验,N2-机器坐标辅助核PDF原页,R2-机器坐标辅助核PDF原页,P1-有机器坐标提示，仍待PDF原页人工核验,O4-无PDFOCR但有机器坐标提示,M1-有机器坐标提示可辅助定位,S0-无高校字段线索，本任务高校辅证不适用,pending_hubei_official_review,C4-无可比候选，需人工看图或随页列闭环,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,private_first_closure_field_confirmation_workbench_generated,pending_double_review,非G0-W0W1字段事实子集,0,0,0,0,0,0,0,0,0,0,0,0,,T9-非G0候选分层范围,0,0,0,0,0,A3-非G0本轮子集但仍待第一闭环,未进入G0 W0/W1字段事实子集；仍按第一闭环总看板待核。,按第一闭环总看板继续核页；本表仅追踪G0 W0/W1字段事实子集。,,,,只公开状态、分桶、计数、ID和SHA；不公开敏感明细、学校专业文本或最终志愿建议。
FIRST-ADJ-c53a3b98eb7e7c1a,data/working/issue19-first-closure-verification-result-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-field-confirmation-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-tasks-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-w0-w1-candidate-triage-v1-public-ledger.csv,data/working/issue19-w0-b0-school-source-field-backlink-queue-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_evidence_adjudication_board_v1,第一闭环高风险明细任务,206明细任务叠加G0 W0/W1字段事实准出状态,false,false,false,false,false,false,false,false,2,FIRSTRESULT-9bb5a0770cde9499,FIRSTFCONF-17761d3776eedd60,FIRSTDETAIL-0a008f059b306a64,FIRSTPAGE-ffc90431edf15154,018-left,18,left,M-f588b8040b4edb64,G-2432826275c85956,A033,自动官网辅证任务,专业计划数；学费；再选科目,E0-冲突异常双人优先核验,N0-先双人核PDF原页冲突,R0-冲突优先双人核PDF原页和湖北官方侧,P0-有冲突线索，PDF原页优先人工核验,O0-PDFOCR与高校辅证冲突,M0-无机器坐标提示,S1-有高校辅证线索或自动官网任务，待私有辅证记录,pending_hubei_official_review,C0-PDFOCR与高校辅证冲突，必须回PDF原页和湖北官方侧,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,private_first_closure_field_confirmation_workbench_generated,double_review_not_required,G0-W0W1字段事实命中,3,21,9,12,3,3,3,3,0,3,3,3,C0-双侧候选冲突优先核:1；C3-仅高校辅证候选需核原页:2,T0-候选冲突优先核PDF原页与湖北官方,3,0,3,27,0,A0-G0候选冲突阻断准出,G0-缺PDF原页记录:3；G1-缺湖北官方记录:3；G2b-高校辅证种子待人工核验:3；G3-冲突未处理:3；G5-三方一致性未闭环:3；G6-字段确认未填写:3；G7-写回评审建议未填写:3,先核PDF原页并补湖北官方侧记录；冲突字段完成双人复核后再做三方一致性。,4201616e33bf7a4d0cb39db5ef581f396dc779c779b7ac23a01f9958206f36f5,fdba62fd62219f0b573c325bfd70afe5203e0b049363be0cd732f11572d2458d,81c29ec598735d980d7f2c8aafe6bb8a261cbced2c8cf93b019ea85629379512,只公开状态、分桶、计数、ID和SHA；不公开敏感明细、学校专业文本或最终志愿建议。
FIRST-ADJ-ce4f052c6642d98e,data/working/issue19-first-closure-verification-result-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-field-confirmation-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-tasks-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-w0-w1-candidate-triage-v1-public-ledger.csv,data/working/issue19-w0-b0-school-source-field-backlink-queue-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_evidence_adjudication_board_v1,第一闭环高风险明细任务,206明细任务叠加G0 W0/W1字段事实准出状态,false,false,false,false,false,false,false,false,3,FIRSTRESULT-e75f529fa30e4df4,FIRSTFCONF-83cb8d3b6e656ecc,FIRSTDETAIL-6e2d3b4c7f4c6ceb,FIRSTPAGE-ffc90431edf15154,018-left,18,left,M-1313bee178d7d0ee,G-df1242f8618d3971,A033,自动官网辅证任务,专业计划数；学费；再选科目,E0-冲突异常双人优先核验,N0-先双人核PDF原页冲突,R0-冲突优先双人核PDF原页和湖北官方侧,P0-有冲突线索，PDF原页优先人工核验,O0-PDFOCR与高校辅证冲突,M0-无机器坐标提示,S1-有高校辅证线索或自动官网任务，待私有辅证记录,pending_hubei_official_review,C0-PDFOCR与高校辅证冲突，必须回PDF原页和湖北官方侧,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,private_first_closure_field_confirmation_workbench_generated,pending_double_review,G0-W0W1字段事实命中,3,24,12,12,3,3,3,3,3,3,3,3,C0-双侧候选冲突优先核:2；C3-仅高校辅证候选需核原页:1,T0-候选冲突优先核PDF原页与湖北官方,3,0,3,27,0,A0-G0候选冲突阻断准出,G0-缺PDF原页记录:3；G1-缺湖北官方记录:3；G2b-高校辅证种子待人工核验:3；G3-冲突未处理:3；G4-双人复核未完成:3；G5-三方一致性未闭环:3；G6-字段确认未填写:3；G7-写回评审建议未填写:3,先核PDF原页并补湖北官方侧记录；冲突字段完成双人复核后再做三方一致性。,e7ea32bab9dcd95d0bbefe9cb3890944c8f5f6fe35b95cd9dd826bba62cdd728,970480af79743b625538a83a09b04374e8d678920b4c2fa3dcc713a7059d1419,27a16d50be9a00216eeb52ef9dbb6bdb22e60bb0b93d509beebc05d2a8c85671,只公开状态、分桶、计数、ID和SHA；不公开敏感明细、学校专业文本或最终志愿建议。
FIRST-ADJ-f8ef53bbfae3b3eb,data/working/issue19-first-closure-verification-result-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-field-confirmation-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-tasks-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-w0-w1-candidate-triage-v1-public-ledger.csv,data/working/issue19-w0-b0-school-source-field-backlink-queue-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_evidence_adjudication_board_v1,第一闭环高风险明细任务,206明细任务叠加G0 W0/W1字段事实准出状态,false,false,false,false,false,false,false,false,4,FIRSTRESULT-44737be2e755c649,FIRSTFCONF-3942aec82a357e63,FIRSTDETAIL-8bf313b58dad8c1d,FIRSTPAGE-ffc90431edf15154,018-left,18,left,M-93d6111287b31e95,G-2432826275c85956,A033,自动官网辅证任务,专业计划数；学费；再选科目,E0-冲突异常双人优先核验,N0-先双人核PDF原页冲突,R0-冲突优先双人核PDF原页和湖北官方侧,P0-有冲突线索，PDF原页优先人工核验,O0-PDFOCR与高校辅证冲突,M0-无机器坐标提示,S1-有高校辅证线索或自动官网任务，待私有辅证记录,pending_hubei_official_review,C0-PDFOCR与高校辅证冲突，必须回PDF原页和湖北官方侧,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,private_first_closure_field_confirmation_workbench_generated,double_review_not_required,G0-W0W1字段事实命中,3,21,9,12,3,3,3,3,0,3,3,3,C0-双侧候选冲突优先核:2；C3-仅高校辅证候选需核原页:1,T0-候选冲突优先核PDF原页与湖北官方,3,0,3,27,0,A0-G0候选冲突阻断准出,G0-缺PDF原页记录:3；G1-缺湖北官方记录:3；G2b-高校辅证种子待人工核验:3；G3-冲突未处理:3；G5-三方一致性未闭环:3；G6-字段确认未填写:3；G7-写回评审建议未填写:3,先核PDF原页并补湖北官方侧记录；冲突字段完成双人复核后再做三方一致性。,92a1136cf0dc483d0cb7d136de44ccdeb7ac0c84e7408388fd557d99307241e5,e32f7bc510f6bc3c0e4e828a0480bb74f5ad647e2e0a6db6cffe83e1b3b8cc5c,bfd9f28a258895f4de8a166b1b4b32ab32d9010f3ed58058bdc1ed08dfe6a0e5,只公开状态、分桶、计数、ID和SHA；不公开敏感明细、学校专业文本或最终志愿建议。
FIRST-ADJ-c5a2f303d06b1dfc,data/working/issue19-first-closure-verification-result-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-field-confirmation-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-tasks-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-w0-w1-candidate-triage-v1-public-ledger.csv,data/working/issue19-w0-b0-school-source-field-backlink-queue-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_evidence_adjudication_board_v1,第一闭环高风险明细任务,206明细任务叠加G0 W0/W1字段事实准出状态,false,false,false,false,false,false,false,false,5,FIRSTRESULT-d1494dbd258b6f14,FIRSTFCONF-bcb1e24de45ad9fc,FIRSTDETAIL-ab6063ed0b37268b,FIRSTPAGE-ffc90431edf15154,018-left,18,left,M-84b7a37c3bcb4125,G-df1242f8618d3971,A033,自动官网辅证任务,专业计划数；学费；再选科目,E0-冲突异常双人优先核验,N0-先双人核PDF原页冲突,R0-冲突优先双人核PDF原页和湖北官方侧,P0-有冲突线索，PDF原页优先人工核验,O0-PDFOCR与高校辅证冲突,M0-无机器坐标提示,S1-有高校辅证线索或自动官网任务，待私有辅证记录,pending_hubei_official_review,C0-PDFOCR与高校辅证冲突，必须回PDF原页和湖北官方侧,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,private_first_closure_field_confirmation_workbench_generated,double_review_not_required,G0-W0W1字段事实命中,3,21,9,12,3,3,3,3,0,3,3,3,C0-双侧候选冲突优先核:1；C1-双侧候选一致但仍待核:1；C3-仅高校辅证候选需核原页:1,T0-候选冲突优先核PDF原页与湖北官方,3,0,3,27,0,A0-G0候选冲突阻断准出,G0-缺PDF原页记录:3；G1-缺湖北官方记录:3；G2b-高校辅证种子待人工核验:3；G3-冲突未处理:3；G5-三方一致性未闭环:3；G6-字段确认未填写:3；G7-写回评审建议未填写:3,先核PDF原页并补湖北官方侧记录；冲突字段完成双人复核后再做三方一致性。,e8eb5c1bed461c55c7f8a6cd36704b86bbe49c4c8abeb0ffa881e5983e892d9c,c456604f210421b023ca29eb3712d587b783630e6f2265a22cdb7e923968c672,9523f73b2f5c61e734ba7a459c19e09a3b8d55fc2b790f9854388f4e74d62273,只公开状态、分桶、计数、ID和SHA；不公开敏感明细、学校专业文本或最终志愿建议。
FIRST-ADJ-ee7f64facf4c5f09,data/working/issue19-first-closure-verification-result-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-field-confirmation-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-tasks-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-w0-w1-candidate-triage-v1-public-ledger.csv,data/working/issue19-w0-b0-school-source-field-backlink-queue-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_evidence_adjudication_board_v1,第一闭环高风险明细任务,206明细任务叠加G0 W0/W1字段事实准出状态,false,false,false,false,false,false,false,false,6,FIRSTRESULT-f18ec005bea7d5dc,FIRSTFCONF-8c1e59bfd7e3e7f7,FIRSTDETAIL-18f6e592f362a091,FIRSTPAGE-ffc90431edf15154,018-left,18,left,M-fddc2e8a1a4582a1,G-2432826275c85956,A033,P0人工字段任务,专业计划数,E0-冲突异常双人优先核验,N2-机器坐标辅助核PDF原页,R2-机器坐标辅助核PDF原页,P1-有机器坐标提示，仍待PDF原页人工核验,O4-无PDFOCR但有机器坐标提示,M1-有机器坐标提示可辅助定位,S1-有高校辅证线索或自动官网任务，待私有辅证记录,pending_hubei_official_review,C4-无可比候选，需人工看图或随页列闭环,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,private_first_closure_field_confirmation_workbench_generated,double_review_not_required,非G0-W0W1字段事实子集,0,0,0,0,0,0,0,0,0,0,0,0,,T9-非G0候选分层范围,0,0,0,0,0,A3-非G0本轮子集但仍待第一闭环,未进入G0 W0/W1字段事实子集；仍按第一闭环总看板待核。,按第一闭环总看板继续核页；本表仅追踪G0 W0/W1字段事实子集。,,,,只公开状态、分桶、计数、ID和SHA；不公开敏感明细、学校专业文本或最终志愿建议。
FIRST-ADJ-2898e46bad8d97eb,data/working/issue19-first-closure-verification-result-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-field-confirmation-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-tasks-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-w0-w1-candidate-triage-v1-public-ledger.csv,data/working/issue19-w0-b0-school-source-field-backlink-queue-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_evidence_adjudication_board_v1,第一闭环高风险明细任务,206明细任务叠加G0 W0/W1字段事实准出状态,false,false,false,false,false,false,false,false,7,FIRSTRESULT-3ae21056a083958b,FIRSTFCONF-7b42fa23376383cc,FIRSTDETAIL-5386851502856401,FIRSTPAGE-ffc90431edf15154,018-left,18,left,M-93d6111287b31e95,G-2432826275c85956,A033,P0人工字段任务,专业计划数,E0-冲突异常双人优先核验,N2-机器坐标辅助核PDF原页,R2-机器坐标辅助核PDF原页,P1-有机器坐标提示，仍待PDF原页人工核验,O4-无PDFOCR但有机器坐标提示,M1-有机器坐标提示可辅助定位,S1-有高校辅证线索或自动官网任务，待私有辅证记录,pending_hubei_official_review,C4-无可比候选，需人工看图或随页列闭环,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,private_first_closure_field_confirmation_workbench_generated,double_review_not_required,非G0-W0W1字段事实子集,0,0,0,0,0,0,0,0,0,0,0,0,,T9-非G0候选分层范围,0,0,0,0,0,A3-非G0本轮子集但仍待第一闭环,未进入G0 W0/W1字段事实子集；仍按第一闭环总看板待核。,按第一闭环总看板继续核页；本表仅追踪G0 W0/W1字段事实子集。,,,,只公开状态、分桶、计数、ID和SHA；不公开敏感明细、学校专业文本或最终志愿建议。
FIRST-ADJ-ce82990c5974f1ec,data/working/issue19-first-closure-verification-result-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-field-confirmation-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-tasks-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-w0-w1-candidate-triage-v1-public-ledger.csv,data/working/issue19-w0-b0-school-source-field-backlink-queue-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_evidence_adjudication_board_v1,第一闭环高风险明细任务,206明细任务叠加G0 W0/W1字段事实准出状态,false,false,false,false,false,false,false,false,8,FIRSTRESULT-f2a51c3dc4a5d268,FIRSTFCONF-f3e1b56fabe4295a,FIRSTDETAIL-72a68e80599c0d0d,FIRSTPAGE-ffc90431edf15154,018-left,18,left,M-84b7a37c3bcb4125,G-df1242f8618d3971,A033,P0人工字段任务,专业计划数,E0-冲突异常双人优先核验,N2-机器坐标辅助核PDF原页,R2-机器坐标辅助核PDF原页,P1-有机器坐标提示，仍待PDF原页人工核验,O4-无PDFOCR但有机器坐标提示,M1-有机器坐标提示可辅助定位,S1-有高校辅证线索或自动官网任务，待私有辅证记录,pending_hubei_official_review,C4-无可比候选，需人工看图或随页列闭环,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,private_first_closure_field_confirmation_workbench_generated,double_review_not_required,非G0-W0W1字段事实子集,0,0,0,0,0,0,0,0,0,0,0,0,,T9-非G0候选分层范围,0,0,0,0,0,A3-非G0本轮子集但仍待第一闭环,未进入G0 W0/W1字段事实子集；仍按第一闭环总看板待核。,按第一闭环总看板继续核页；本表仅追踪G0 W0/W1字段事实子集。,,,,只公开状态、分桶、计数、ID和SHA；不公开敏感明细、学校专业文本或最终志愿建议。
FIRST-ADJ-543f92b69d70ddd5,data/working/issue19-first-closure-verification-result-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-field-confirmation-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-tasks-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-w0-w1-candidate-triage-v1-public-ledger.csv,data/working/issue19-w0-b0-school-source-field-backlink-queue-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_evidence_adjudication_board_v1,第一闭环高风险明细任务,206明细任务叠加G0 W0/W1字段事实准出状态,false,false,false,false,false,false,false,false,9,FIRSTRESULT-cdca081e210c570a,FIRSTFCONF-1bfc913708d9e3b7,FIRSTDETAIL-83d8fa6dcdc1b3f9,FIRSTPAGE-ffc90431edf15154,018-left,18,left,M-d52b9b951aa3b3b1,G-2432826275c85956,A033,P0人工字段任务,专业计划数,E0-冲突异常双人优先核验,N2-机器坐标辅助核PDF原页,R2-机器坐标辅助核PDF原页,P1-有机器坐标提示，仍待PDF原页人工核验,O4-无PDFOCR但有机器坐标提示,M1-有机器坐标提示可辅助定位,S1-有高校辅证线索或自动官网任务，待私有辅证记录,pending_hubei_official_review,C4-无可比候选，需人工看图或随页列闭环,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,private_first_closure_field_confirmation_workbench_generated,double_review_not_required,非G0-W0W1字段事实子集,0,0,0,0,0,0,0,0,0,0,0,0,,T9-非G0候选分层范围,0,0,0,0,0,A3-非G0本轮子集但仍待第一闭环,未进入G0 W0/W1字段事实子集；仍按第一闭环总看板待核。,按第一闭环总看板继续核页；本表仅追踪G0 W0/W1字段事实子集。,,,,只公开状态、分桶、计数、ID和SHA；不公开敏感明细、学校专业文本或最终志愿建议。
FIRST-ADJ-f48eef211ed5374f,data/working/issue19-first-closure-verification-result-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-field-confirmation-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-tasks-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-w0-w1-candidate-triage-v1-public-ledger.csv,data/working/issue19-w0-b0-school-source-field-backlink-queue-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_evidence_adjudication_board_v1,第一闭环高风险明细任务,206明细任务叠加G0 W0/W1字段事实准出状态,false,false,false,false,false,false,false,false,10,FIRSTRESULT-9b27bde188924bcd,FIRSTFCONF-f324b32acc9e5ec2,FIRSTDETAIL-bbe99b50911e7f34,FIRSTPAGE-ffc90431edf15154,018-left,18,left,M-f588b8040b4edb64,G-2432826275c85956,A033,P0人工字段任务,专业计划数,E0-冲突异常双人优先核验,N2-机器坐标辅助核PDF原页,R2-机器坐标辅助核PDF原页,P1-有机器坐标提示，仍待PDF原页人工核验,O4-无PDFOCR但有机器坐标提示,M1-有机器坐标提示可辅助定位,S1-有高校辅证线索或自动官网任务，待私有辅证记录,pending_hubei_official_review,C4-无可比候选，需人工看图或随页列闭环,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,private_first_closure_field_confirmation_workbench_generated,double_review_not_required,非G0-W0W1字段事实子集,0,0,0,0,0,0,0,0,0,0,0,0,,T9-非G0候选分层范围,0,0,0,0,0,A3-非G0本轮子集但仍待第一闭环,未进入G0 W0/W1字段事实子集；仍按第一闭环总看板待核。,按第一闭环总看板继续核页；本表仅追踪G0 W0/W1字段事实子集。,,,,只公开状态、分桶、计数、ID和SHA；不公开敏感明细、学校专业文本或最终志愿建议。
