事实动作包ID,来源事实证据通道工作台,来源准出执行叠加表,来源高校官网辅证进度看板,来源期号,来源PDF_SHA256,生成日期,数据阶段,主表粒度,任务粒度,最终可用,可进入下一阶段,可否进入最终志愿方案,是否允许作为志愿推荐依据,是否允许自动写回主表,是否允许官网证据替代湖北官方计划,是否允许生成学校专业建议,是否允许写回字段事实,是否允许进入私有写回评审,事实动作包序号,来源执行顺序,页码版面键,来源页码,版面列,准出闭环波次,执行泳道,第一闭环页列优先级,事实核验动作组,动作组排序,包执行优先级,页列事实总数,动作包事实数,动作包字段事实数,动作包专业名归属事实数,动作包专业组边界事实数,专业计划数字段事实数,学费字段事实数,再选科目字段事实数,待人工判定字段事实数,涉及任务数,涉及字段状态数,涉及专业行数,涉及专业组出现数,涉及院校代码数,PDF原页通道状态分布,OCR提示通道状态分布,机器坐标通道状态分布,高校官网辅证通道状态分布,湖北官方侧通道状态分布,冲突处理通道状态分布,双人复核通道状态分布,三方闭环通道状态分布,专业名归属通道状态分布,专业组边界通道状态分布,仍需PDF原页事实数,仍需湖北官方侧事实数,仍需高校辅证事实数,仍需冲突处理事实数,仍需双人复核事实数,仍需三方闭环事实数,仍需专业名归属事实数,仍需专业组边界事实数,同校高校源任务去重数,同校高校源最高证据层级分布,同校高校源下一批优先级分布,同校高校源留存状态分布,同校高校源候选diff去重数,同校高校源冲突候选去重数,同校高校源补缺候选去重数,事实集合SHA16,任务集合SHA16,字段状态集合SHA16,院校代码集合SHA16,包级完成证据要求,包级主阻断原因,包级下一步最小核验动作,公开安全策略
FCFACTPACK-4c54083134b5a251,data/working/issue19-first-closure-fact-evidence-channel-workbench-v1-public-ledger.csv,data/working/issue19-first-closure-resolution-execution-overlay-v1.csv,data/working/issue19-school-source-progress-board-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_fact_action_packets_v1,第一闭环页列×事实核验动作组,同页列同动作组事实包,false,false,false,false,false,false,false,false,false,1,1,135-left,135,left,R0-W0B0冲突事实先闭环,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,A0-W0B0冲突事实先核,0,001-00,22,22,21,0,1,10,10,1,0,10,21,10,1,1,P0-有冲突线索，PDF原页优先人工核验×21；blocked_pending_pdf_page_review×1,O0-PDFOCR与高校辅证冲突×21；not_applicable_structure_fact_pdf_hubei_first×1,M0-无机器坐标提示×21；not_applicable_structure_fact_pdf_hubei_first×1,S1-有高校辅证线索或自动官网任务，待私有辅证记录×21；pdf_hubei_first_school_source_later×1,blocked_pending_hubei_official_plan_review×1；pending_hubei_official_review×21,C0-PDFOCR与高校辅证冲突，必须回PDF原页和湖北官方侧×21；blocked_b0_conflict_not_closed×1,blocked_pending_double_review×22,blocked_pending_three_way_closure×1；pending_private_three_way_field_confirmation×21,not_applicable×22,not_applicable×21；pending_pdf_hubei_closure×1,22,22,21,22,22,22,0,1,4,L3-已有湖北物理结构化或候选diff线索×4,P0-冲突优先回PDF原页和湖北官方侧×4,R0-已有公开来源文件或URL留存×4,8,14,4,b9997a61561ca9b5,4b5c932e832ca2fe,72b274468d1056a0,8920ff86c3af081e,PDF原页；湖北官方侧；冲突处理；双人复核；三方闭环；专业组边界×1；PDF原页；湖北官方侧；高校官网辅证；冲突处理；双人复核；三方闭环×21,W0/B0核心事实仍缺PDF原页与湖北官方侧闭环×22,先按同一页列核 PDF 原页和湖北官方侧；冲突事实需要双人复核，高校官网只作 double check 提示。,not_final；fact_action_packet_only；no_field_values；no_school_names；no_major_names；dedup_school_source_context；no_private_paths；no_ocr_text；no_recommendation
FCFACTPACK-cd21cd2120a65ab0,data/working/issue19-first-closure-fact-evidence-channel-workbench-v1-public-ledger.csv,data/working/issue19-first-closure-resolution-execution-overlay-v1.csv,data/working/issue19-school-source-progress-board-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_fact_action_packets_v1,第一闭环页列×事实核验动作组,同页列同动作组事实包,false,false,false,false,false,false,false,false,false,2,2,199-left,199,left,R0-W0B0冲突事实先闭环,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,A0-W0B0冲突事实先核,0,002-00,13,13,11,1,1,4,4,3,0,5,11,5,1,1,P0-有冲突线索，PDF原页优先人工核验×9；P1-有机器坐标提示，仍待PDF原页人工核验×1；P2-有PDFOCR提示，仍待PDF原页人工确认×2；blocked_pending_pdf_page_review×1,O0-PDFOCR与高校辅证冲突×9；O3-仅PDFOCR候选待人工核页×2；O4-无PDFOCR但有机器坐标提示×1；not_applicable_structure_fact_pdf_hubei_first×1,M0-无机器坐标提示×11；M1-有机器坐标提示可辅助定位×1；not_applicable_structure_fact_pdf_hubei_first×1,S1-有高校辅证线索或自动官网任务，待私有辅证记录×12；pdf_hubei_first_school_source_later×1,blocked_pending_hubei_official_plan_review×1；pending_hubei_official_review×12,C0-PDFOCR与高校辅证冲突，必须回PDF原页和湖北官方侧×9；C3-仅PDFOCR候选，需人工核页×2；C4-无可比候选，需人工看图或随页列闭环×1；blocked_b0_conflict_not_closed×1,blocked_pending_double_review×11；not_required_or_task_level_pending×2,blocked_pending_three_way_closure×1；pending_private_three_way_field_confirmation×12,not_applicable×12；pending_pdf_hubei_closure×1,not_applicable×12；pending_pdf_hubei_closure×1,13,13,9,13,11,13,1,1,4,L3-已有湖北物理结构化或候选diff线索×4,P0-冲突优先回PDF原页和湖北官方侧×4,R0-已有公开来源文件或URL留存×4,60,31,32,abdbddc44f6fe8b0,35d5e9e75dc9c4b6,864f9726e7c5fd70,fb61c7c1175189cf,PDF原页；湖北官方侧；冲突处理；三方闭环×1；PDF原页；湖北官方侧；冲突处理；三方闭环；专业名归属×1；PDF原页；湖北官方侧；冲突处理；双人复核；三方闭环×1；PDF原页；湖北官方侧；冲突处理；双人复核；三方闭环；专业组边界×1；PDF原页；湖北官方侧；高校官网辅证；冲突处理；双人复核；三方闭环×9,B0同页伴生事实仍缺冲突处理、PDF原页与湖北官方侧闭环×2；W0/B0核心事实仍缺PDF原页与湖北官方侧闭环×11,先按同一页列核 PDF 原页和湖北官方侧；冲突事实需要双人复核，高校官网只作 double check 提示。,not_final；fact_action_packet_only；no_field_values；no_school_names；no_major_names；dedup_school_source_context；no_private_paths；no_ocr_text；no_recommendation
FCFACTPACK-a93235a5d145cef9,data/working/issue19-first-closure-fact-evidence-channel-workbench-v1-public-ledger.csv,data/working/issue19-first-closure-resolution-execution-overlay-v1.csv,data/working/issue19-school-source-progress-board-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_fact_action_packets_v1,第一闭环页列×事实核验动作组,同页列同动作组事实包,false,false,false,false,false,false,false,false,false,3,3,209-right,209,right,R0-W0B0冲突事实先闭环,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,A0-W0B0冲突事实先核,0,003-00,31,31,27,3,1,12,9,6,0,13,27,9,1,1,P0-有冲突线索，PDF原页优先人工核验×6；P2-有PDFOCR提示，仍待PDF原页人工确认×20；P3-无稳定OCR提示，需人工看PDF原页×4；blocked_pending_pdf_page_review×1,O0-PDFOCR与高校辅证冲突×6；O1-PDFOCR与高校辅证有一致字段但仍待官方闭环×12；O3-仅PDFOCR候选待人工核页×8；O5-无公开OCR候选提示×4；not_applicable_structure_fact_pdf_hubei_first×1,M0-无机器坐标提示×30；not_applicable_structure_fact_pdf_hubei_first×1,S1-有高校辅证线索或自动官网任务，待私有辅证记录×30；pdf_hubei_first_school_source_later×1,blocked_pending_hubei_official_plan_review×1；pending_hubei_official_review×30,C0-PDFOCR与高校辅证冲突，必须回PDF原页和湖北官方侧×6；C2-多源有一致线索，仍待湖北官方侧闭环×12；C3-仅PDFOCR候选，需人工核页×8；C4-无可比候选，需人工看图或随页列闭环×4；blocked_b0_conflict_not_closed×1,blocked_pending_double_review×9；not_required_or_task_level_pending×22,blocked_pending_three_way_closure×1；pending_private_three_way_field_confirmation×30,not_applicable×28；pending_pdf_hubei_closure×3,not_applicable×30；pending_pdf_hubei_closure×1,31,31,18,31,9,31,3,1,5,L3-已有湖北物理结构化或候选diff线索×5,P0-冲突优先回PDF原页和湖北官方侧×1；P1-官网补缺线索回页×4,R0-已有公开来源文件或URL留存×5,30,2,24,1980f09f4e49e694,2b6dac3f008ab633,a1812d3e2e3093e1,a764f5f65a608731,PDF原页；湖北官方侧；冲突处理；三方闭环×7；PDF原页；湖北官方侧；冲突处理；三方闭环；专业名归属×3；PDF原页；湖北官方侧；冲突处理；双人复核；三方闭环×2；PDF原页；湖北官方侧；冲突处理；双人复核；三方闭环；专业组边界×1；PDF原页；湖北官方侧；高校官网辅证；冲突处理；三方闭环×12；PDF原页；湖北官方侧；高校官网辅证；冲突处理；双人复核；三方闭环×6,B0同页伴生事实仍缺冲突处理、PDF原页与湖北官方侧闭环×21；W0/B0核心事实仍缺PDF原页与湖北官方侧闭环×10,先按同一页列核 PDF 原页和湖北官方侧；冲突事实需要双人复核，高校官网只作 double check 提示。,not_final；fact_action_packet_only；no_field_values；no_school_names；no_major_names；dedup_school_source_context；no_private_paths；no_ocr_text；no_recommendation
FCFACTPACK-69f646246a22f197,data/working/issue19-first-closure-fact-evidence-channel-workbench-v1-public-ledger.csv,data/working/issue19-first-closure-resolution-execution-overlay-v1.csv,data/working/issue19-school-source-progress-board-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_fact_action_packets_v1,第一闭环页列×事实核验动作组,同页列同动作组事实包,false,false,false,false,false,false,false,false,false,4,4,169-right,169,right,R0-W0B0冲突事实先闭环,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,A0-W0B0冲突事实先核,0,004-00,37,37,35,1,1,22,12,1,0,22,35,12,1,1,P0-有冲突线索，PDF原页优先人工核验×2；P2-有PDFOCR提示，仍待PDF原页人工确认×24；P3-无稳定OCR提示，需人工看PDF原页×10；blocked_pending_pdf_page_review×1,O0-PDFOCR与高校辅证冲突×2；O2-高校有线索但PDFOCR缺候选×21；O3-仅PDFOCR候选待人工核页×3；O5-无公开OCR候选提示×10；not_applicable_structure_fact_pdf_hubei_first×1,M0-无机器坐标提示×36；not_applicable_structure_fact_pdf_hubei_first×1,S1-有高校辅证线索或自动官网任务，待私有辅证记录×36；pdf_hubei_first_school_source_later×1,blocked_pending_hubei_official_plan_review×1；pending_hubei_official_review×36,C0-PDFOCR与高校辅证冲突，必须回PDF原页和湖北官方侧×2；C1-高校补缺线索，PDF原页缺候选需人工看图×21；C3-仅PDFOCR候选，需人工核页×3；C4-无可比候选，需人工看图或随页列闭环×10；blocked_b0_conflict_not_closed×1,blocked_pending_double_review×12；not_required_or_task_level_pending×25,blocked_pending_three_way_closure×1；pending_private_three_way_field_confirmation×36,not_applicable×36；pending_pdf_hubei_closure×1,not_applicable×36；pending_pdf_hubei_closure×1,37,37,23,37,12,37,1,1,5,L3-已有湖北物理结构化或候选diff线索×5,P0-冲突优先回PDF原页和湖北官方侧×5,R0-已有公开来源文件或URL留存×5,40,11,15,5aa1793e9d49dbe9,f450896d976d918f,563f4f8f3707bef2,e33aa8070796cc4b,PDF原页；湖北官方侧；冲突处理；三方闭环×3；PDF原页；湖北官方侧；冲突处理；三方闭环；专业名归属×1；PDF原页；湖北官方侧；冲突处理；双人复核；三方闭环×9；PDF原页；湖北官方侧；冲突处理；双人复核；三方闭环；专业组边界×1；PDF原页；湖北官方侧；高校官网辅证；冲突处理；三方闭环×21；PDF原页；湖北官方侧；高校官网辅证；冲突处理；双人复核；三方闭环×2,B0同页伴生事实仍缺冲突处理、PDF原页与湖北官方侧闭环×33；W0/B0核心事实仍缺PDF原页与湖北官方侧闭环×4,先按同一页列核 PDF 原页和湖北官方侧；冲突事实需要双人复核，高校官网只作 double check 提示。,not_final；fact_action_packet_only；no_field_values；no_school_names；no_major_names；dedup_school_source_context；no_private_paths；no_ocr_text；no_recommendation
FCFACTPACK-0377532b88253711,data/working/issue19-first-closure-fact-evidence-channel-workbench-v1-public-ledger.csv,data/working/issue19-first-closure-resolution-execution-overlay-v1.csv,data/working/issue19-school-source-progress-board-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_fact_action_packets_v1,第一闭环页列×事实核验动作组,同页列同动作组事实包,false,false,false,false,false,false,false,false,false,5,5,018-left,18,left,R0-W0B0冲突事实先闭环,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,A0-W0B0冲突事实先核,0,005-00,36,36,35,0,1,17,9,9,0,17,35,9,2,1,P0-有冲突线索，PDF原页优先人工核验×12；P1-有机器坐标提示，仍待PDF原页人工核验×5；P2-有PDFOCR提示，仍待PDF原页人工确认×15；P3-无稳定OCR提示，需人工看PDF原页×3；blocked_pending_pdf_page_review×1,O0-PDFOCR与高校辅证冲突×12；O1-PDFOCR与高校辅证有一致字段但仍待官方闭环×15；O4-无PDFOCR但有机器坐标提示×5；O5-无公开OCR候选提示×3；not_applicable_structure_fact_pdf_hubei_first×1,M0-无机器坐标提示×30；M1-有机器坐标提示可辅助定位×5；not_applicable_structure_fact_pdf_hubei_first×1,S1-有高校辅证线索或自动官网任务，待私有辅证记录×35；pdf_hubei_first_school_source_later×1,blocked_pending_hubei_official_plan_review×1；pending_hubei_official_review×35,C0-PDFOCR与高校辅证冲突，必须回PDF原页和湖北官方侧×12；C2-多源有一致线索，仍待湖北官方侧闭环×15；C4-无可比候选，需人工看图或随页列闭环×8；blocked_b0_conflict_not_closed×1,blocked_pending_double_review×7；not_required_or_task_level_pending×29,blocked_pending_three_way_closure×1；pending_private_three_way_field_confirmation×35,not_applicable×36,not_applicable×35；pending_pdf_hubei_closure×1,36,36,27,36,7,36,0,1,3,L3-已有湖北物理结构化或候选diff线索×3,P0-冲突优先回PDF原页和湖北官方侧×1；P1-官网补缺线索回页×2,R0-已有公开来源文件或URL留存×3,15,1,14,6c0d176f702c3df4,6d0475e597528d7a,ba4fde08c55413dc,840bc543dcc720ba,PDF原页；湖北官方侧；冲突处理；三方闭环×5；PDF原页；湖北官方侧；冲突处理；双人复核；三方闭环×3；PDF原页；湖北官方侧；冲突处理；双人复核；三方闭环；专业组边界×1；PDF原页；湖北官方侧；高校官网辅证；冲突处理；三方闭环×24；PDF原页；湖北官方侧；高校官网辅证；冲突处理；双人复核；三方闭环×3,B0同页伴生事实仍缺冲突处理、PDF原页与湖北官方侧闭环×23；W0/B0核心事实仍缺PDF原页与湖北官方侧闭环×13,先按同一页列核 PDF 原页和湖北官方侧；冲突事实需要双人复核，高校官网只作 double check 提示。,not_final；fact_action_packet_only；no_field_values；no_school_names；no_major_names；dedup_school_source_context；no_private_paths；no_ocr_text；no_recommendation
FCFACTPACK-3ae1c6d13dda0f57,data/working/issue19-first-closure-fact-evidence-channel-workbench-v1-public-ledger.csv,data/working/issue19-first-closure-resolution-execution-overlay-v1.csv,data/working/issue19-school-source-progress-board-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_fact_action_packets_v1,第一闭环页列×事实核验动作组,同页列同动作组事实包,false,false,false,false,false,false,false,false,false,6,6,037-left,37,left,R0-W0B0冲突事实先闭环,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,A0-W0B0冲突事实先核,0,006-00,11,11,8,2,1,3,2,3,0,5,8,5,1,1,P0-有冲突线索，PDF原页优先人工核验×3；P2-有PDFOCR提示，仍待PDF原页人工确认×5；P3-无稳定OCR提示，需人工看PDF原页×2；blocked_pending_pdf_page_review×1,O0-PDFOCR与高校辅证冲突×3；O3-仅PDFOCR候选待人工核页×5；O5-无公开OCR候选提示×2；not_applicable_structure_fact_pdf_hubei_first×1,M0-无机器坐标提示×10；not_applicable_structure_fact_pdf_hubei_first×1,S1-有高校辅证线索或自动官网任务，待私有辅证记录×10；pdf_hubei_first_school_source_later×1,blocked_pending_hubei_official_plan_review×1；pending_hubei_official_review×10,C0-PDFOCR与高校辅证冲突，必须回PDF原页和湖北官方侧×3；C3-仅PDFOCR候选，需人工核页×5；C4-无可比候选，需人工看图或随页列闭环×2；blocked_b0_conflict_not_closed×1,blocked_pending_double_review×6；not_required_or_task_level_pending×5,blocked_pending_three_way_closure×1；pending_private_three_way_field_confirmation×10,not_applicable×9；pending_pdf_hubei_closure×2,not_applicable×10；pending_pdf_hubei_closure×1,11,11,3,11,6,11,2,1,4,L3-已有湖北物理结构化或候选diff线索×4,P0-冲突优先回PDF原页和湖北官方侧×1；P1-官网补缺线索回页×3,R0-已有公开来源文件或URL留存×4,40,1,28,c6a0c341bd372587,dd4dc3738d81ee7a,c96268487bd03e9a,acbf576b6b2a67d7,PDF原页；湖北官方侧；冲突处理；三方闭环×3；PDF原页；湖北官方侧；冲突处理；三方闭环；专业名归属×2；PDF原页；湖北官方侧；冲突处理；双人复核；三方闭环×2；PDF原页；湖北官方侧；冲突处理；双人复核；三方闭环；专业组边界×1；PDF原页；湖北官方侧；高校官网辅证；冲突处理；双人复核；三方闭环×3,B0同页伴生事实仍缺冲突处理、PDF原页与湖北官方侧闭环×5；W0/B0核心事实仍缺PDF原页与湖北官方侧闭环×6,先按同一页列核 PDF 原页和湖北官方侧；冲突事实需要双人复核，高校官网只作 double check 提示。,not_final；fact_action_packet_only；no_field_values；no_school_names；no_major_names；dedup_school_source_context；no_private_paths；no_ocr_text；no_recommendation
FCFACTPACK-c9cc8e430a74375c,data/working/issue19-first-closure-fact-evidence-channel-workbench-v1-public-ledger.csv,data/working/issue19-first-closure-resolution-execution-overlay-v1.csv,data/working/issue19-school-source-progress-board-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_fact_action_packets_v1,第一闭环页列×事实核验动作组,同页列同动作组事实包,false,false,false,false,false,false,false,false,false,7,7,137-right,137,right,R0-W0B0冲突事实先闭环,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,A0-W0B0冲突事实先核,0,007-00,4,4,3,0,1,1,1,1,0,1,3,1,1,1,P0-有冲突线索，PDF原页优先人工核验×3；blocked_pending_pdf_page_review×1,O0-PDFOCR与高校辅证冲突×3；not_applicable_structure_fact_pdf_hubei_first×1,M0-无机器坐标提示×3；not_applicable_structure_fact_pdf_hubei_first×1,S1-有高校辅证线索或自动官网任务，待私有辅证记录×3；pdf_hubei_first_school_source_later×1,blocked_pending_hubei_official_plan_review×1；pending_hubei_official_review×3,C0-PDFOCR与高校辅证冲突，必须回PDF原页和湖北官方侧×3；blocked_b0_conflict_not_closed×1,blocked_pending_double_review×4,blocked_pending_three_way_closure×1；pending_private_three_way_field_confirmation×3,not_applicable×4,not_applicable×3；pending_pdf_hubei_closure×1,4,4,3,4,4,4,0,1,3,L3-已有湖北物理结构化或候选diff线索×3,P0-冲突优先回PDF原页和湖北官方侧×3,R0-已有公开来源文件或URL留存×2；R2-已有账本线索但需补结构化留存×1,9,4,0,cef159c36a36333b,5ca8c98107449f25,ac1d5e30ed5d52d6,67c655f4d9411562,PDF原页；湖北官方侧；冲突处理；双人复核；三方闭环；专业组边界×1；PDF原页；湖北官方侧；高校官网辅证；冲突处理；双人复核；三方闭环×3,W0/B0核心事实仍缺PDF原页与湖北官方侧闭环×4,先按同一页列核 PDF 原页和湖北官方侧；冲突事实需要双人复核，高校官网只作 double check 提示。,not_final；fact_action_packet_only；no_field_values；no_school_names；no_major_names；dedup_school_source_context；no_private_paths；no_ocr_text；no_recommendation
FCFACTPACK-35f432f445151427,data/working/issue19-first-closure-fact-evidence-channel-workbench-v1-public-ledger.csv,data/working/issue19-first-closure-resolution-execution-overlay-v1.csv,data/working/issue19-school-source-progress-board-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_fact_action_packets_v1,第一闭环页列×事实核验动作组,同页列同动作组事实包,false,false,false,false,false,false,false,false,false,8,8,194-left,194,left,R2-双人复核事实先闭环,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,A2-专业组边界事实随页先核,2,008-02,8,1,0,0,1,0,0,0,0,0,0,0,0,0,blocked_pending_pdf_page_review×1,not_applicable_structure_fact_pdf_hubei_first×1,not_applicable_structure_fact_pdf_hubei_first×1,not_applicable_or_sidecar_only×1,blocked_pending_hubei_official_plan_review×1,blocked_conflict_review_not_closed_or_not_required×1,not_required_or_task_level_pending×1,blocked_pending_three_way_closure×1,not_applicable×1,pending_pdf_hubei_closure×1,1,1,0,0,0,1,0,1,0,,,,0,0,0,207fdc5bb0517829,,,,PDF原页；湖北官方侧；三方闭环；专业组边界×1,结构事实仍缺PDF原页与湖北官方侧闭环×1,随页核专业组边界、左右列和组内专业范围，防止后续字段串组。,not_final；fact_action_packet_only；no_field_values；no_school_names；no_major_names；dedup_school_source_context；no_private_paths；no_ocr_text；no_recommendation
FCFACTPACK-c28d2656f84b9945,data/working/issue19-first-closure-fact-evidence-channel-workbench-v1-public-ledger.csv,data/working/issue19-first-closure-resolution-execution-overlay-v1.csv,data/working/issue19-school-source-progress-board-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_fact_action_packets_v1,第一闭环页列×事实核验动作组,同页列同动作组事实包,false,false,false,false,false,false,false,false,false,9,8,194-left,194,left,R2-双人复核事实先闭环,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,A3-双人复核事实先核,3,008-03,8,7,7,0,0,7,0,0,0,7,7,7,2,1,P1-有机器坐标提示，仍待PDF原页人工核验×7,O4-无PDFOCR但有机器坐标提示×7,M1-有机器坐标提示可辅助定位×7,S0-无高校字段线索，本任务高校辅证不适用×7,pending_hubei_official_review×7,C4-无可比候选，需人工看图或随页列闭环×7,blocked_pending_double_review×7,pending_private_three_way_field_confirmation×7,not_applicable×7,not_applicable×7,7,7,0,0,7,7,0,0,0,,,,0,0,0,67055a21d6644834,d863a28d6b83c275,b3366fbbe5525bca,9404a186764f4c68,PDF原页；湖北官方侧；双人复核；三方闭环×7,双人复核事实仍缺复核、PDF原页与湖北官方侧闭环×7,先完成双人复核，再回补 PDF 原页、湖北官方侧和必要高校辅证状态。,not_final；fact_action_packet_only；no_field_values；no_school_names；no_major_names；dedup_school_source_context；no_private_paths；no_ocr_text；no_recommendation
FCFACTPACK-3d537dd87773627e,data/working/issue19-first-closure-fact-evidence-channel-workbench-v1-public-ledger.csv,data/working/issue19-first-closure-resolution-execution-overlay-v1.csv,data/working/issue19-school-source-progress-board-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_fact_action_packets_v1,第一闭环页列×事实核验动作组,同页列同动作组事实包,false,false,false,false,false,false,false,false,false,10,9,056-left,56,left,R0-W0B0冲突事实先闭环,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,A0-W0B0冲突事实先核,0,009-00,32,32,30,1,1,15,8,7,0,16,30,9,2,2,P0-有冲突线索，PDF原页优先人工核验×3；P1-有机器坐标提示，仍待PDF原页人工核验×5；P2-有PDFOCR提示，仍待PDF原页人工确认×20；P3-无稳定OCR提示，需人工看PDF原页×3；blocked_pending_pdf_page_review×1,O0-PDFOCR与高校辅证冲突×3；O2-高校有线索但PDFOCR缺候选×18；O3-仅PDFOCR候选待人工核页×2；O4-无PDFOCR但有机器坐标提示×5；O5-无公开OCR候选提示×3；not_applicable_structure_fact_pdf_hubei_first×1,M0-无机器坐标提示×26；M1-有机器坐标提示可辅助定位×5；not_applicable_structure_fact_pdf_hubei_first×1,S0-无高校字段线索，本任务高校辅证不适用×1；S1-有高校辅证线索或自动官网任务，待私有辅证记录×30；pdf_hubei_first_school_source_later×1,blocked_pending_hubei_official_plan_review×1；pending_hubei_official_review×31,C0-PDFOCR与高校辅证冲突，必须回PDF原页和湖北官方侧×3；C1-高校补缺线索，PDF原页缺候选需人工看图×18；C3-仅PDFOCR候选，需人工核页×2；C4-无可比候选，需人工看图或随页列闭环×8；blocked_b0_conflict_not_closed×1,blocked_pending_double_review×4；not_required_or_task_level_pending×28,blocked_pending_three_way_closure×1；pending_private_three_way_field_confirmation×31,not_applicable×31；pending_pdf_hubei_closure×1,not_applicable×31；pending_pdf_hubei_closure×1,32,32,21,32,4,32,1,1,3,L3-已有湖北物理结构化或候选diff线索×3,P1-官网补缺线索回页×3,R0-已有公开来源文件或URL留存×3,126,0,133,eb529bdba7f5711b,ba8efc01022de607,a23f7758fc6ff6e2,e171c52ec8cc8e00,PDF原页；湖北官方侧；冲突处理；三方闭环×6；PDF原页；湖北官方侧；冲突处理；三方闭环；专业名归属×1；PDF原页；湖北官方侧；冲突处理；双人复核；三方闭环×3；PDF原页；湖北官方侧；冲突处理；双人复核；三方闭环；专业组边界×1；PDF原页；湖北官方侧；高校官网辅证；冲突处理；三方闭环×21,B0同页伴生事实仍缺冲突处理、PDF原页与湖北官方侧闭环×27；W0/B0核心事实仍缺PDF原页与湖北官方侧闭环×5,先按同一页列核 PDF 原页和湖北官方侧；冲突事实需要双人复核，高校官网只作 double check 提示。,not_final；fact_action_packet_only；no_field_values；no_school_names；no_major_names；dedup_school_source_context；no_private_paths；no_ocr_text；no_recommendation
