事实证据通道工作台ID,来源事实准出门禁账本,来源准出执行叠加表,来源第一闭环核验结果看板,来源第一闭环字段级公开状态,来源高校官网辅证进度看板,来源期号,来源PDF_SHA256,生成日期,数据阶段,主表粒度,任务粒度,最终可用,可进入下一阶段,可否进入最终志愿方案,是否允许作为志愿推荐依据,是否允许自动写回主表,是否允许官网证据替代湖北官方计划,是否允许生成学校专业建议,是否允许写回字段事实,是否允许进入私有写回评审,事实工作台序号,来源准出序号,来源执行顺序,页码版面键,来源页码,版面列,准出闭环波次,执行泳道,核验动作层级,第一闭环页列优先级,事实核验动作组,事实通道优先级,事实准出门禁ID,第一闭环事实范围缺口公开账本ID,稳定基座第一闭环明细任务ID,稳定基座第一闭环页列包ID,第一闭环核验结果ID,第一闭环字段核验状态ID,专业行ID,专业组出现ID,院校代码,事实域,事实类型,事实粒度,字段类别,字段事实状态,字段核验优先级,字段事实闭环等级,字段事实阻断等级,PDF原页通道状态,OCR提示通道状态,机器坐标通道状态,高校官网辅证通道状态,湖北官方侧通道状态,冲突处理通道状态,双人复核通道状态,三方闭环通道状态,字段写回评审状态,专业名归属通道状态,专业组边界通道状态,同校高校源进度任务数,同校高校源最高证据层级分布,同校高校源下一批优先级分布,同校高校源留存状态分布,同校高校源候选diff数,同校高校源冲突候选数,同校高校源补缺候选数,是否仍需PDF原页,是否仍需湖北官方侧,是否仍需高校辅证,是否仍需冲突处理,是否仍需双人复核,是否仍需三方闭环,是否仍需专业名归属,是否仍需专业组边界,是否可进入私有写回评审,完成证据要求,当前阻断原因,下一步最小核验动作,公开安全策略
FCFACTCHANNEL-b8c5a0809334b13a,data/working/issue19-first-closure-fact-resolution-gate-v1-public-ledger.csv,data/working/issue19-first-closure-resolution-execution-overlay-v1.csv,data/working/issue19-first-closure-verification-result-public-ledger.csv,data/working/issue19-first-closure-field-verification-status-public-ledger.csv,data/working/issue19-school-source-progress-board-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_fact_evidence_channel_workbench_v1,第一闭环事实范围×证据通道工作台,事实范围×PDF/OCR/机器坐标/高校官网/湖北官方/冲突/复核通道,false,false,false,false,false,false,false,false,false,1,1,1,135-left,135,left,R0-W0B0冲突事实先闭环,E0-冲突异常双人优先核验,N0-先双人核PDF原页冲突,Q0-冲突页列第一批先核,A0-W0B0冲突事实先核,00-001-001,FCFACTRESGATE-b8c5a0809334b13a,FIRSTSCOPE-8ab312cd14027fc8,FIRSTDETAIL-0dada9bf9ecaa6e1,FIRSTPAGE-49426baa76375e44,FIRSTRESULT-ce8aee286ee99e18,FIRSTFIELDSTATUS-835295bfa9620449,M-4b0ca5231b5e0dda,G-158e8a85ddd262f3,F902,字段事实,字段事实-专业计划数,第一闭环任务×字段,专业计划数,K1-字段缺口有候选待PDF原页和官方核验,P1-字段有候选回看原页和官方,L1-两字段缺口优先补证,Q1-字段缺口有候选待人工核验,P0-有冲突线索，PDF原页优先人工核验,O0-PDFOCR与高校辅证冲突,M0-无机器坐标提示,S1-有高校辅证线索或自动官网任务，待私有辅证记录,pending_hubei_official_review,C0-PDFOCR与高校辅证冲突，必须回PDF原页和湖北官方侧,blocked_pending_double_review,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,not_applicable,not_applicable,4,L3-已有湖北物理结构化或候选diff线索×4,P0-冲突优先回PDF原页和湖北官方侧×4,R0-已有公开来源文件或URL留存×4,8,14,4,true,true,true,true,true,true,false,false,false,PDF原页；湖北官方侧；高校官网辅证；冲突处理；双人复核；三方闭环,W0/B0核心事实仍缺PDF原页与湖北官方侧闭环,回PDF原页和湖北官方侧核同一事实；有高校官网辅证时只作double check，冲突事实完成双人复核后再评估写回。,not_final；fact_channel_workbench_only；no_field_values；no_school_names；no_major_names；no_private_paths；no_ocr_text；no_recommendation
FCFACTCHANNEL-f5a923b784043f39,data/working/issue19-first-closure-fact-resolution-gate-v1-public-ledger.csv,data/working/issue19-first-closure-resolution-execution-overlay-v1.csv,data/working/issue19-first-closure-verification-result-public-ledger.csv,data/working/issue19-first-closure-field-verification-status-public-ledger.csv,data/working/issue19-school-source-progress-board-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_fact_evidence_channel_workbench_v1,第一闭环事实范围×证据通道工作台,事实范围×PDF/OCR/机器坐标/高校官网/湖北官方/冲突/复核通道,false,false,false,false,false,false,false,false,false,2,2,1,135-left,135,left,R0-W0B0冲突事实先闭环,E0-冲突异常双人优先核验,N0-先双人核PDF原页冲突,Q0-冲突页列第一批先核,A0-W0B0冲突事实先核,00-001-002,FCFACTRESGATE-f5a923b784043f39,FIRSTSCOPE-18753b9ad3a0efe8,FIRSTDETAIL-0dada9bf9ecaa6e1,FIRSTPAGE-49426baa76375e44,FIRSTRESULT-ce8aee286ee99e18,FIRSTFIELDSTATUS-79b43b92e2ac51c9,M-4b0ca5231b5e0dda,G-158e8a85ddd262f3,F902,字段事实,字段事实-学费,第一闭环任务×字段,学费,K2-OCR候选存在但三方核验未闭环,P3-OCR齐全字段三方闭环,L1-两字段缺口优先补证,Q1-字段缺口有候选待人工核验,P0-有冲突线索，PDF原页优先人工核验,O0-PDFOCR与高校辅证冲突,M0-无机器坐标提示,S1-有高校辅证线索或自动官网任务，待私有辅证记录,pending_hubei_official_review,C0-PDFOCR与高校辅证冲突，必须回PDF原页和湖北官方侧,blocked_pending_double_review,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,not_applicable,not_applicable,4,L3-已有湖北物理结构化或候选diff线索×4,P0-冲突优先回PDF原页和湖北官方侧×4,R0-已有公开来源文件或URL留存×4,8,14,4,true,true,true,true,true,true,false,false,false,PDF原页；湖北官方侧；高校官网辅证；冲突处理；双人复核；三方闭环,W0/B0核心事实仍缺PDF原页与湖北官方侧闭环,回PDF原页和湖北官方侧核同一事实；有高校官网辅证时只作double check，冲突事实完成双人复核后再评估写回。,not_final；fact_channel_workbench_only；no_field_values；no_school_names；no_major_names；no_private_paths；no_ocr_text；no_recommendation
FCFACTCHANNEL-50fcbd1cde7943e7,data/working/issue19-first-closure-fact-resolution-gate-v1-public-ledger.csv,data/working/issue19-first-closure-resolution-execution-overlay-v1.csv,data/working/issue19-first-closure-verification-result-public-ledger.csv,data/working/issue19-first-closure-field-verification-status-public-ledger.csv,data/working/issue19-school-source-progress-board-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_fact_evidence_channel_workbench_v1,第一闭环事实范围×证据通道工作台,事实范围×PDF/OCR/机器坐标/高校官网/湖北官方/冲突/复核通道,false,false,false,false,false,false,false,false,false,3,3,1,135-left,135,left,R0-W0B0冲突事实先闭环,E0-冲突异常双人优先核验,N0-先双人核PDF原页冲突,Q0-冲突页列第一批先核,A0-W0B0冲突事实先核,00-001-003,FCFACTRESGATE-50fcbd1cde7943e7,FIRSTSCOPE-e4964e5da2943b52,FIRSTDETAIL-0e930ca33ab1b3b9,FIRSTPAGE-49426baa76375e44,FIRSTRESULT-d807d43d8b5dad3c,FIRSTFIELDSTATUS-57de7c8b566ea8f1,M-af973281700f5eb7,G-158e8a85ddd262f3,F902,字段事实,字段事实-专业计划数,第一闭环任务×字段,专业计划数,K1-字段缺口有候选待PDF原页和官方核验,P1-字段有候选回看原页和官方,L1-两字段缺口优先补证,Q1-字段缺口有候选待人工核验,P0-有冲突线索，PDF原页优先人工核验,O0-PDFOCR与高校辅证冲突,M0-无机器坐标提示,S1-有高校辅证线索或自动官网任务，待私有辅证记录,pending_hubei_official_review,C0-PDFOCR与高校辅证冲突，必须回PDF原页和湖北官方侧,blocked_pending_double_review,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,not_applicable,not_applicable,4,L3-已有湖北物理结构化或候选diff线索×4,P0-冲突优先回PDF原页和湖北官方侧×4,R0-已有公开来源文件或URL留存×4,8,14,4,true,true,true,true,true,true,false,false,false,PDF原页；湖北官方侧；高校官网辅证；冲突处理；双人复核；三方闭环,W0/B0核心事实仍缺PDF原页与湖北官方侧闭环,回PDF原页和湖北官方侧核同一事实；有高校官网辅证时只作double check，冲突事实完成双人复核后再评估写回。,not_final；fact_channel_workbench_only；no_field_values；no_school_names；no_major_names；no_private_paths；no_ocr_text；no_recommendation
FCFACTCHANNEL-228077e41a48fd1e,data/working/issue19-first-closure-fact-resolution-gate-v1-public-ledger.csv,data/working/issue19-first-closure-resolution-execution-overlay-v1.csv,data/working/issue19-first-closure-verification-result-public-ledger.csv,data/working/issue19-first-closure-field-verification-status-public-ledger.csv,data/working/issue19-school-source-progress-board-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_fact_evidence_channel_workbench_v1,第一闭环事实范围×证据通道工作台,事实范围×PDF/OCR/机器坐标/高校官网/湖北官方/冲突/复核通道,false,false,false,false,false,false,false,false,false,4,4,1,135-left,135,left,R0-W0B0冲突事实先闭环,E0-冲突异常双人优先核验,N0-先双人核PDF原页冲突,Q0-冲突页列第一批先核,A0-W0B0冲突事实先核,00-001-004,FCFACTRESGATE-228077e41a48fd1e,FIRSTSCOPE-cdf2408a919e944a,FIRSTDETAIL-0e930ca33ab1b3b9,FIRSTPAGE-49426baa76375e44,FIRSTRESULT-d807d43d8b5dad3c,FIRSTFIELDSTATUS-a0cae1ab0cea0605,M-af973281700f5eb7,G-158e8a85ddd262f3,F902,字段事实,字段事实-学费,第一闭环任务×字段,学费,K2-OCR候选存在但三方核验未闭环,P3-OCR齐全字段三方闭环,L1-两字段缺口优先补证,Q1-字段缺口有候选待人工核验,P0-有冲突线索，PDF原页优先人工核验,O0-PDFOCR与高校辅证冲突,M0-无机器坐标提示,S1-有高校辅证线索或自动官网任务，待私有辅证记录,pending_hubei_official_review,C0-PDFOCR与高校辅证冲突，必须回PDF原页和湖北官方侧,blocked_pending_double_review,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,not_applicable,not_applicable,4,L3-已有湖北物理结构化或候选diff线索×4,P0-冲突优先回PDF原页和湖北官方侧×4,R0-已有公开来源文件或URL留存×4,8,14,4,true,true,true,true,true,true,false,false,false,PDF原页；湖北官方侧；高校官网辅证；冲突处理；双人复核；三方闭环,W0/B0核心事实仍缺PDF原页与湖北官方侧闭环,回PDF原页和湖北官方侧核同一事实；有高校官网辅证时只作double check，冲突事实完成双人复核后再评估写回。,not_final；fact_channel_workbench_only；no_field_values；no_school_names；no_major_names；no_private_paths；no_ocr_text；no_recommendation
FCFACTCHANNEL-db5e19de0de489b8,data/working/issue19-first-closure-fact-resolution-gate-v1-public-ledger.csv,data/working/issue19-first-closure-resolution-execution-overlay-v1.csv,data/working/issue19-first-closure-verification-result-public-ledger.csv,data/working/issue19-first-closure-field-verification-status-public-ledger.csv,data/working/issue19-school-source-progress-board-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_fact_evidence_channel_workbench_v1,第一闭环事实范围×证据通道工作台,事实范围×PDF/OCR/机器坐标/高校官网/湖北官方/冲突/复核通道,false,false,false,false,false,false,false,false,false,5,5,1,135-left,135,left,R0-W0B0冲突事实先闭环,E0-冲突异常双人优先核验,N0-先双人核PDF原页冲突,Q0-冲突页列第一批先核,A0-W0B0冲突事实先核,00-001-005,FCFACTRESGATE-db5e19de0de489b8,FIRSTSCOPE-8f0a5623d7488bf8,FIRSTDETAIL-202127380ebfe86a,FIRSTPAGE-49426baa76375e44,FIRSTRESULT-dd359c51980ad4d0,FIRSTFIELDSTATUS-14407717a7491af2,M-cf6e2346e326fb75,G-158e8a85ddd262f3,F902,字段事实,字段事实-专业计划数,第一闭环任务×字段,专业计划数,K1-字段缺口有候选待PDF原页和官方核验,P1-字段有候选回看原页和官方,L0-三字段缺口优先阻断,Q1-字段缺口有候选待人工核验,P0-有冲突线索，PDF原页优先人工核验,O0-PDFOCR与高校辅证冲突,M0-无机器坐标提示,S1-有高校辅证线索或自动官网任务，待私有辅证记录,pending_hubei_official_review,C0-PDFOCR与高校辅证冲突，必须回PDF原页和湖北官方侧,blocked_pending_double_review,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,not_applicable,not_applicable,4,L3-已有湖北物理结构化或候选diff线索×4,P0-冲突优先回PDF原页和湖北官方侧×4,R0-已有公开来源文件或URL留存×4,8,14,4,true,true,true,true,true,true,false,false,false,PDF原页；湖北官方侧；高校官网辅证；冲突处理；双人复核；三方闭环,W0/B0核心事实仍缺PDF原页与湖北官方侧闭环,回PDF原页和湖北官方侧核同一事实；有高校官网辅证时只作double check，冲突事实完成双人复核后再评估写回。,not_final；fact_channel_workbench_only；no_field_values；no_school_names；no_major_names；no_private_paths；no_ocr_text；no_recommendation
FCFACTCHANNEL-cdbb61042e6f8bb4,data/working/issue19-first-closure-fact-resolution-gate-v1-public-ledger.csv,data/working/issue19-first-closure-resolution-execution-overlay-v1.csv,data/working/issue19-first-closure-verification-result-public-ledger.csv,data/working/issue19-first-closure-field-verification-status-public-ledger.csv,data/working/issue19-school-source-progress-board-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_fact_evidence_channel_workbench_v1,第一闭环事实范围×证据通道工作台,事实范围×PDF/OCR/机器坐标/高校官网/湖北官方/冲突/复核通道,false,false,false,false,false,false,false,false,false,6,6,1,135-left,135,left,R0-W0B0冲突事实先闭环,E0-冲突异常双人优先核验,N0-先双人核PDF原页冲突,Q0-冲突页列第一批先核,A0-W0B0冲突事实先核,00-001-006,FCFACTRESGATE-cdbb61042e6f8bb4,FIRSTSCOPE-b54035da4c9cb0c3,FIRSTDETAIL-202127380ebfe86a,FIRSTPAGE-49426baa76375e44,FIRSTRESULT-dd359c51980ad4d0,FIRSTFIELDSTATUS-cb8305c4950a501a,M-cf6e2346e326fb75,G-158e8a85ddd262f3,F902,字段事实,字段事实-学费,第一闭环任务×字段,学费,K1-字段缺口有候选待PDF原页和官方核验,P1-字段有候选回看原页和官方,L0-三字段缺口优先阻断,Q1-字段缺口有候选待人工核验,P0-有冲突线索，PDF原页优先人工核验,O0-PDFOCR与高校辅证冲突,M0-无机器坐标提示,S1-有高校辅证线索或自动官网任务，待私有辅证记录,pending_hubei_official_review,C0-PDFOCR与高校辅证冲突，必须回PDF原页和湖北官方侧,blocked_pending_double_review,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,not_applicable,not_applicable,4,L3-已有湖北物理结构化或候选diff线索×4,P0-冲突优先回PDF原页和湖北官方侧×4,R0-已有公开来源文件或URL留存×4,8,14,4,true,true,true,true,true,true,false,false,false,PDF原页；湖北官方侧；高校官网辅证；冲突处理；双人复核；三方闭环,W0/B0核心事实仍缺PDF原页与湖北官方侧闭环,回PDF原页和湖北官方侧核同一事实；有高校官网辅证时只作double check，冲突事实完成双人复核后再评估写回。,not_final；fact_channel_workbench_only；no_field_values；no_school_names；no_major_names；no_private_paths；no_ocr_text；no_recommendation
FCFACTCHANNEL-2d5c0e3ad4b58c7d,data/working/issue19-first-closure-fact-resolution-gate-v1-public-ledger.csv,data/working/issue19-first-closure-resolution-execution-overlay-v1.csv,data/working/issue19-first-closure-verification-result-public-ledger.csv,data/working/issue19-first-closure-field-verification-status-public-ledger.csv,data/working/issue19-school-source-progress-board-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_fact_evidence_channel_workbench_v1,第一闭环事实范围×证据通道工作台,事实范围×PDF/OCR/机器坐标/高校官网/湖北官方/冲突/复核通道,false,false,false,false,false,false,false,false,false,7,7,1,135-left,135,left,R0-W0B0冲突事实先闭环,E0-冲突异常双人优先核验,N0-先双人核PDF原页冲突,Q0-冲突页列第一批先核,A0-W0B0冲突事实先核,00-001-007,FCFACTRESGATE-2d5c0e3ad4b58c7d,FIRSTSCOPE-474aa99203156821,FIRSTDETAIL-28da3744d1bbd3b1,FIRSTPAGE-49426baa76375e44,FIRSTRESULT-b4e6efe55d1d20da,FIRSTFIELDSTATUS-82b80d681a0d78e6,M-7af5985c525e29ba,G-158e8a85ddd262f3,F902,字段事实,字段事实-专业计划数,第一闭环任务×字段,专业计划数,K1-字段缺口有候选待PDF原页和官方核验,P1-字段有候选回看原页和官方,L0-三字段缺口优先阻断,Q1-字段缺口有候选待人工核验,P0-有冲突线索，PDF原页优先人工核验,O0-PDFOCR与高校辅证冲突,M0-无机器坐标提示,S1-有高校辅证线索或自动官网任务，待私有辅证记录,pending_hubei_official_review,C0-PDFOCR与高校辅证冲突，必须回PDF原页和湖北官方侧,blocked_pending_double_review,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,not_applicable,not_applicable,4,L3-已有湖北物理结构化或候选diff线索×4,P0-冲突优先回PDF原页和湖北官方侧×4,R0-已有公开来源文件或URL留存×4,8,14,4,true,true,true,true,true,true,false,false,false,PDF原页；湖北官方侧；高校官网辅证；冲突处理；双人复核；三方闭环,W0/B0核心事实仍缺PDF原页与湖北官方侧闭环,回PDF原页和湖北官方侧核同一事实；有高校官网辅证时只作double check，冲突事实完成双人复核后再评估写回。,not_final；fact_channel_workbench_only；no_field_values；no_school_names；no_major_names；no_private_paths；no_ocr_text；no_recommendation
FCFACTCHANNEL-5e8e3778fb68ee51,data/working/issue19-first-closure-fact-resolution-gate-v1-public-ledger.csv,data/working/issue19-first-closure-resolution-execution-overlay-v1.csv,data/working/issue19-first-closure-verification-result-public-ledger.csv,data/working/issue19-first-closure-field-verification-status-public-ledger.csv,data/working/issue19-school-source-progress-board-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_fact_evidence_channel_workbench_v1,第一闭环事实范围×证据通道工作台,事实范围×PDF/OCR/机器坐标/高校官网/湖北官方/冲突/复核通道,false,false,false,false,false,false,false,false,false,8,8,1,135-left,135,left,R0-W0B0冲突事实先闭环,E0-冲突异常双人优先核验,N0-先双人核PDF原页冲突,Q0-冲突页列第一批先核,A0-W0B0冲突事实先核,00-001-008,FCFACTRESGATE-5e8e3778fb68ee51,FIRSTSCOPE-e421b5e74982f10d,FIRSTDETAIL-28da3744d1bbd3b1,FIRSTPAGE-49426baa76375e44,FIRSTRESULT-b4e6efe55d1d20da,FIRSTFIELDSTATUS-8a06e533823429aa,M-7af5985c525e29ba,G-158e8a85ddd262f3,F902,字段事实,字段事实-学费,第一闭环任务×字段,学费,K1-字段缺口有候选待PDF原页和官方核验,P1-字段有候选回看原页和官方,L0-三字段缺口优先阻断,Q1-字段缺口有候选待人工核验,P0-有冲突线索，PDF原页优先人工核验,O0-PDFOCR与高校辅证冲突,M0-无机器坐标提示,S1-有高校辅证线索或自动官网任务，待私有辅证记录,pending_hubei_official_review,C0-PDFOCR与高校辅证冲突，必须回PDF原页和湖北官方侧,blocked_pending_double_review,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,not_applicable,not_applicable,4,L3-已有湖北物理结构化或候选diff线索×4,P0-冲突优先回PDF原页和湖北官方侧×4,R0-已有公开来源文件或URL留存×4,8,14,4,true,true,true,true,true,true,false,false,false,PDF原页；湖北官方侧；高校官网辅证；冲突处理；双人复核；三方闭环,W0/B0核心事实仍缺PDF原页与湖北官方侧闭环,回PDF原页和湖北官方侧核同一事实；有高校官网辅证时只作double check，冲突事实完成双人复核后再评估写回。,not_final；fact_channel_workbench_only；no_field_values；no_school_names；no_major_names；no_private_paths；no_ocr_text；no_recommendation
FCFACTCHANNEL-a069bc9de910448c,data/working/issue19-first-closure-fact-resolution-gate-v1-public-ledger.csv,data/working/issue19-first-closure-resolution-execution-overlay-v1.csv,data/working/issue19-first-closure-verification-result-public-ledger.csv,data/working/issue19-first-closure-field-verification-status-public-ledger.csv,data/working/issue19-school-source-progress-board-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_fact_evidence_channel_workbench_v1,第一闭环事实范围×证据通道工作台,事实范围×PDF/OCR/机器坐标/高校官网/湖北官方/冲突/复核通道,false,false,false,false,false,false,false,false,false,9,9,1,135-left,135,left,R0-W0B0冲突事实先闭环,E0-冲突异常双人优先核验,N0-先双人核PDF原页冲突,Q0-冲突页列第一批先核,A0-W0B0冲突事实先核,00-001-009,FCFACTRESGATE-a069bc9de910448c,FIRSTSCOPE-7318dcdb8cb04b0f,FIRSTDETAIL-726fddd63013332a,FIRSTPAGE-49426baa76375e44,FIRSTRESULT-be2fd427ba97d27d,FIRSTFIELDSTATUS-76e0e402f88516af,M-78343e2534bdcb7c,G-158e8a85ddd262f3,F902,字段事实,字段事实-专业计划数,第一闭环任务×字段,专业计划数,K1-字段缺口有候选待PDF原页和官方核验,P1-字段有候选回看原页和官方,L1-两字段缺口优先补证,Q1-字段缺口有候选待人工核验,P0-有冲突线索，PDF原页优先人工核验,O0-PDFOCR与高校辅证冲突,M0-无机器坐标提示,S1-有高校辅证线索或自动官网任务，待私有辅证记录,pending_hubei_official_review,C0-PDFOCR与高校辅证冲突，必须回PDF原页和湖北官方侧,blocked_pending_double_review,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,not_applicable,not_applicable,4,L3-已有湖北物理结构化或候选diff线索×4,P0-冲突优先回PDF原页和湖北官方侧×4,R0-已有公开来源文件或URL留存×4,8,14,4,true,true,true,true,true,true,false,false,false,PDF原页；湖北官方侧；高校官网辅证；冲突处理；双人复核；三方闭环,W0/B0核心事实仍缺PDF原页与湖北官方侧闭环,回PDF原页和湖北官方侧核同一事实；有高校官网辅证时只作double check，冲突事实完成双人复核后再评估写回。,not_final；fact_channel_workbench_only；no_field_values；no_school_names；no_major_names；no_private_paths；no_ocr_text；no_recommendation
FCFACTCHANNEL-63ddf5afcd156068,data/working/issue19-first-closure-fact-resolution-gate-v1-public-ledger.csv,data/working/issue19-first-closure-resolution-execution-overlay-v1.csv,data/working/issue19-first-closure-verification-result-public-ledger.csv,data/working/issue19-first-closure-field-verification-status-public-ledger.csv,data/working/issue19-school-source-progress-board-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_fact_evidence_channel_workbench_v1,第一闭环事实范围×证据通道工作台,事实范围×PDF/OCR/机器坐标/高校官网/湖北官方/冲突/复核通道,false,false,false,false,false,false,false,false,false,10,10,1,135-left,135,left,R0-W0B0冲突事实先闭环,E0-冲突异常双人优先核验,N0-先双人核PDF原页冲突,Q0-冲突页列第一批先核,A0-W0B0冲突事实先核,00-001-010,FCFACTRESGATE-63ddf5afcd156068,FIRSTSCOPE-19bf840a793e0d77,FIRSTDETAIL-726fddd63013332a,FIRSTPAGE-49426baa76375e44,FIRSTRESULT-be2fd427ba97d27d,FIRSTFIELDSTATUS-86374d79f2894a41,M-78343e2534bdcb7c,G-158e8a85ddd262f3,F902,字段事实,字段事实-学费,第一闭环任务×字段,学费,K2-OCR候选存在但三方核验未闭环,P3-OCR齐全字段三方闭环,L1-两字段缺口优先补证,Q1-字段缺口有候选待人工核验,P0-有冲突线索，PDF原页优先人工核验,O0-PDFOCR与高校辅证冲突,M0-无机器坐标提示,S1-有高校辅证线索或自动官网任务，待私有辅证记录,pending_hubei_official_review,C0-PDFOCR与高校辅证冲突，必须回PDF原页和湖北官方侧,blocked_pending_double_review,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,not_applicable,not_applicable,4,L3-已有湖北物理结构化或候选diff线索×4,P0-冲突优先回PDF原页和湖北官方侧×4,R0-已有公开来源文件或URL留存×4,8,14,4,true,true,true,true,true,true,false,false,false,PDF原页；湖北官方侧；高校官网辅证；冲突处理；双人复核；三方闭环,W0/B0核心事实仍缺PDF原页与湖北官方侧闭环,回PDF原页和湖北官方侧核同一事实；有高校官网辅证时只作double check，冲突事实完成双人复核后再评估写回。,not_final；fact_channel_workbench_only；no_field_values；no_school_names；no_major_names；no_private_paths；no_ocr_text；no_recommendation
