第一闭环事实准入页列汇总ID,来源第一闭环事实准入门禁账本,来源第一闭环事实进度页列汇总,来源期号,来源PDF_SHA256,生成日期,数据阶段,主表粒度,任务粒度,最终可用,可进入下一阶段,可否进入最终志愿方案,是否允许作为志愿推荐依据,是否允许自动写回主表,是否允许官网证据替代湖北官方计划,是否允许生成学校专业建议,是否允许写回字段事实,是否允许进入私有写回评审,页列汇总序号,页码版面键,来源页码,版面列,事实范围数,字段事实数,专业名归属事实数,专业组边界事实数,涉及任务数,涉及院校代码数,事实类型分布,准入阻断等级分布,核验动作层级分布,执行泳道分布,W0B0命中事实数,高校源double_check事实数,PDF湖北官方先行事实数,B0冲突事实数,需要双人复核事实数,需要人工看图事实数,结构化接入候选事实数,PDF待核事实数,湖北官方待核事实数,准入总状态分布,事实集合SHA16,任务集合SHA16,院校代码集合SHA16,证据集合SHA16,页列准入动作,公开安全策略
FCFACTGATEPAGE-342a80bcffb9ddc6,data/working/issue19-first-closure-fact-gate-public-ledger.csv,data/working/issue19-first-closure-fact-progress-page-summary.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_fact_gate,第一闭环事实准入页列汇总,PDF页码×版面列×事实范围缺口,false,false,false,false,false,false,false,false,false,1,014-left,14,left,2,1,0,1,1,1,专业组边界事实×1；字段事实-专业计划数×1,G2-结构事实PDF湖北官方先行×1；G3-双人复核待完成×1,N2-机器坐标辅助核PDF原页×1；N6-专业组边界PDF湖北官方侧核验×1,E1-计划数补缺或偏大优先核验×2,0,0,0,0,1,1,0,2,2,blocked_not_ready_for_next_stage×2,d1cffaa6b5c87a7c,7e850f28b678a878,1f064950c2205f57,a40a9049b884072b,按页列补齐PDF原页和湖北官方侧记录；高校源只作提示，不允许字段事实写回。,not_final；fact_gate_only；no_field_values；no_private_paths；no_ocr_text；no_recommendation
FCFACTGATEPAGE-9d09fa448802d3c6,data/working/issue19-first-closure-fact-gate-public-ledger.csv,data/working/issue19-first-closure-fact-progress-page-summary.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_fact_gate,第一闭环事实准入页列汇总,PDF页码×版面列×事实范围缺口,false,false,false,false,false,false,false,false,false,2,018-left,18,left,36,35,0,1,17,1,专业组边界事实×1；字段事实-专业计划数×17；字段事实-再选科目×9；字段事实-学费×9,G0-W0B0核心事实优先阻断×13；G1-B0同页伴生事实阻断×23,N0-先双人核PDF原页冲突×12；N2-机器坐标辅助核PDF原页×5；N3-无稳定候选人工看图×3；N5-多源一致仍待湖北官方侧×15；N6-专业组边界PDF湖北官方侧核验×1,E0-冲突异常双人优先核验×36,13,12,1,36,7,35,0,36,36,blocked_not_ready_for_next_stage×36,6c0d176f702c3df4,6d0475e597528d7a,840bc543dcc720ba,ee24cf483ac57dbd,按页列补齐PDF原页和湖北官方侧记录；高校源只作提示，不允许字段事实写回。,not_final；fact_gate_only；no_field_values；no_private_paths；no_ocr_text；no_recommendation
FCFACTGATEPAGE-5204e3839b5946b3,data/working/issue19-first-closure-fact-gate-public-ledger.csv,data/working/issue19-first-closure-fact-progress-page-summary.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_fact_gate,第一闭环事实准入页列汇总,PDF页码×版面列×事实范围缺口,false,false,false,false,false,false,false,false,false,3,023-left,23,left,2,1,0,1,1,1,专业组边界事实×1；字段事实-专业计划数×1,G2-结构事实PDF湖北官方先行×1；G3-双人复核待完成×1,N2-机器坐标辅助核PDF原页×1；N6-专业组边界PDF湖北官方侧核验×1,E0-冲突异常双人优先核验×2,0,0,0,0,1,1,0,2,2,blocked_not_ready_for_next_stage×2,57d328a18ea596ce,4c7aead077eb4e85,88e612b40aa08044,8d5a8f1dbb9deac3,按页列补齐PDF原页和湖北官方侧记录；高校源只作提示，不允许字段事实写回。,not_final；fact_gate_only；no_field_values；no_private_paths；no_ocr_text；no_recommendation
FCFACTGATEPAGE-8476c4a86c805e7b,data/working/issue19-first-closure-fact-gate-public-ledger.csv,data/working/issue19-first-closure-fact-progress-page-summary.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_fact_gate,第一闭环事实准入页列汇总,PDF页码×版面列×事实范围缺口,false,false,false,false,false,false,false,false,false,4,032-right,32,right,2,1,0,1,1,1,专业组边界事实×1；字段事实-专业计划数×1,G2-结构事实PDF湖北官方先行×1；G3-双人复核待完成×1,N2-机器坐标辅助核PDF原页×1；N6-专业组边界PDF湖北官方侧核验×1,E1-计划数补缺或偏大优先核验×2,0,0,0,0,1,1,0,2,2,blocked_not_ready_for_next_stage×2,d3b591ef8a1cfcc6,9e605a53a1548ab0,c2b4dc8516cfc3e8,76dc3ce7380e2990,按页列补齐PDF原页和湖北官方侧记录；高校源只作提示，不允许字段事实写回。,not_final；fact_gate_only；no_field_values；no_private_paths；no_ocr_text；no_recommendation
FCFACTGATEPAGE-a393e45e86f3e1a6,data/working/issue19-first-closure-fact-gate-public-ledger.csv,data/working/issue19-first-closure-fact-progress-page-summary.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_fact_gate,第一闭环事实准入页列汇总,PDF页码×版面列×事实范围缺口,false,false,false,false,false,false,false,false,false,5,033-right,33,right,2,1,0,1,1,1,专业组边界事实×1；字段事实-专业计划数×1,G2-结构事实PDF湖北官方先行×1；G3-双人复核待完成×1,N2-机器坐标辅助核PDF原页×1；N6-专业组边界PDF湖北官方侧核验×1,E1-计划数补缺或偏大优先核验×2,0,0,0,0,1,1,0,2,2,blocked_not_ready_for_next_stage×2,65e441244168cae1,6495b02e5c41ed42,f4d03d1f4f7f755d,3560460ed4efc9e1,按页列补齐PDF原页和湖北官方侧记录；高校源只作提示，不允许字段事实写回。,not_final；fact_gate_only；no_field_values；no_private_paths；no_ocr_text；no_recommendation
FCFACTGATEPAGE-7e311f642ec9d20a,data/working/issue19-first-closure-fact-gate-public-ledger.csv,data/working/issue19-first-closure-fact-progress-page-summary.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_fact_gate,第一闭环事实准入页列汇总,PDF页码×版面列×事实范围缺口,false,false,false,false,false,false,false,false,false,6,036-right,36,right,4,2,1,1,1,1,专业名归属事实×1；专业组边界事实×1；字段事实-再选科目×1；字段事实-学费×1,G2-结构事实PDF湖北官方先行×2；G6-常规PDF湖北官方闭环待完成×2,N4-PDFOCR候选人工确认×3；N6-专业组边界PDF湖北官方侧核验×1,E2-官网未匹配专业名归属核验×4,0,0,0,0,0,2,0,4,4,blocked_not_ready_for_next_stage×4,456f2eb1a6a99948,8fdede619281e7ce,acbf576b6b2a67d7,347f3bcf41165e92,按页列补齐PDF原页和湖北官方侧记录；高校源只作提示，不允许字段事实写回。,not_final；fact_gate_only；no_field_values；no_private_paths；no_ocr_text；no_recommendation
FCFACTGATEPAGE-39cfc7bcbd00517f,data/working/issue19-first-closure-fact-gate-public-ledger.csv,data/working/issue19-first-closure-fact-progress-page-summary.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_fact_gate,第一闭环事实准入页列汇总,PDF页码×版面列×事实范围缺口,false,false,false,false,false,false,false,false,false,7,037-left,37,left,11,8,2,1,5,1,专业名归属事实×2；专业组边界事实×1；字段事实-专业计划数×3；字段事实-再选科目×3；字段事实-学费×2,G0-W0B0核心事实优先阻断×6；G1-B0同页伴生事实阻断×5,N0-先双人核PDF原页冲突×3；N3-无稳定候选人工看图×2；N4-PDFOCR候选人工确认×5；N6-专业组边界PDF湖北官方侧核验×1,E0-冲突异常双人优先核验×11,6,3,3,11,6,8,0,11,11,blocked_not_ready_for_next_stage×11,c6a0c341bd372587,dd4dc3738d81ee7a,acbf576b6b2a67d7,607da3fcee7122b9,按页列补齐PDF原页和湖北官方侧记录；高校源只作提示，不允许字段事实写回。,not_final；fact_gate_only；no_field_values；no_private_paths；no_ocr_text；no_recommendation
FCFACTGATEPAGE-15418e56c9b437c0,data/working/issue19-first-closure-fact-gate-public-ledger.csv,data/working/issue19-first-closure-fact-progress-page-summary.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_fact_gate,第一闭环事实准入页列汇总,PDF页码×版面列×事实范围缺口,false,false,false,false,false,false,false,false,false,8,038-right,38,right,3,2,0,1,2,1,专业组边界事实×1；字段事实-专业计划数×2,G2-结构事实PDF湖北官方先行×1；G3-双人复核待完成×2,N2-机器坐标辅助核PDF原页×2；N6-专业组边界PDF湖北官方侧核验×1,E1-计划数补缺或偏大优先核验×3,0,0,0,0,2,2,0,3,3,blocked_not_ready_for_next_stage×3,3e17d4a39452a833,5076c550f887ad56,b3fab222db08be81,26d04fb35b9441aa,按页列补齐PDF原页和湖北官方侧记录；高校源只作提示，不允许字段事实写回。,not_final；fact_gate_only；no_field_values；no_private_paths；no_ocr_text；no_recommendation
FCFACTGATEPAGE-d6c25bfbf7838eed,data/working/issue19-first-closure-fact-gate-public-ledger.csv,data/working/issue19-first-closure-fact-progress-page-summary.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_fact_gate,第一闭环事实准入页列汇总,PDF页码×版面列×事实范围缺口,false,false,false,false,false,false,false,false,false,9,040-right,40,right,2,1,0,1,1,1,专业组边界事实×1；字段事实-专业计划数×1,G2-结构事实PDF湖北官方先行×1；G3-双人复核待完成×1,N2-机器坐标辅助核PDF原页×1；N6-专业组边界PDF湖北官方侧核验×1,E0-冲突异常双人优先核验×2,0,0,0,0,1,1,0,2,2,blocked_not_ready_for_next_stage×2,12b5b3764ab161b2,f64746a5c4cf0a5c,09b3429c6f3f27c6,62410b9b7fdeaffd,按页列补齐PDF原页和湖北官方侧记录；高校源只作提示，不允许字段事实写回。,not_final；fact_gate_only；no_field_values；no_private_paths；no_ocr_text；no_recommendation
FCFACTGATEPAGE-d5c22e054a46950f,data/working/issue19-first-closure-fact-gate-public-ledger.csv,data/working/issue19-first-closure-fact-progress-page-summary.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_fact_gate,第一闭环事实准入页列汇总,PDF页码×版面列×事实范围缺口,false,false,false,false,false,false,false,false,false,10,043-left,43,left,2,1,0,1,1,1,专业组边界事实×1；字段事实-专业计划数×1,G2-结构事实PDF湖北官方先行×1；G3-双人复核待完成×1,N2-机器坐标辅助核PDF原页×1；N6-专业组边界PDF湖北官方侧核验×1,E0-冲突异常双人优先核验×2,0,0,0,0,1,1,0,2,2,blocked_not_ready_for_next_stage×2,c38225f7f5d80150,eb2d08e51be33bc3,c39bd26cf469f511,b993236efae786a3,按页列补齐PDF原页和湖北官方侧记录；高校源只作提示，不允许字段事实写回。,not_final；fact_gate_only；no_field_values；no_private_paths；no_ocr_text；no_recommendation
