第一闭环事实进度页列汇总ID,来源第一闭环事实进度账本,来源第一闭环公开证据地图,来源期号,来源PDF_SHA256,生成日期,数据阶段,主表粒度,任务粒度,最终可用,可进入下一阶段,可否进入最终志愿方案,是否允许作为志愿推荐依据,是否允许自动写回主表,是否允许官网证据替代湖北官方计划,是否允许生成学校专业建议,是否允许写回字段事实,页列汇总序号,来源页码,版面列,页码版面键,执行泳道,页列主阻断,事实范围数,字段事实数,专业名归属事实数,专业组边界事实数,涉及任务数,涉及专业行数,涉及院校代码数,事实类型分布,字段类别分布,PDF原页进度桶分布,OCR提示进度桶分布,机器坐标进度桶分布,高校官网辅证进度桶分布,冲突进度桶分布,湖北官方侧进度桶分布,双人复核进度桶分布,B0冲突事实数,需要双人复核事实数,需要人工看图事实数,私有页图SHA256,私有OCR文本SHA256,私有页列CSV_SHA256,私有页列HTML_SHA256,事实范围集合SHA16,任务集合SHA16,专业行集合SHA16,院校代码集合SHA16,PDF原页核页状态,湖北官方系统或省招办计划核验状态,高校官网源状态,字段事实写回状态,完成条件,页列下一步核验动作,公开安全策略
FCFACTPAGE-342a80bcffb9ddc6,data/working/issue19-first-closure-fact-progress-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-public-evidence-map.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_fact_progress_public_ledger,第一闭环事实进度页列汇总,PDF页码×版面列,false,false,false,false,false,false,false,false,1,14,left,014-left,E1-计划数补缺或偏大优先核验,B2-机器坐标候选辅助核页,2,1,0,1,1,1,1,专业组边界事实×1；字段事实-专业计划数×1,专业计划数×1,P1-有机器坐标提示，仍待PDF原页人工核验×1；pending_pdf_page_review×1,O4-无PDFOCR但有机器坐标提示×1；OZ-页列或事实级待人工核验×1,M1-有机器坐标提示可辅助定位×1；MZ-无任务级机器坐标提示×1,S0-无高校字段线索，本任务高校辅证不适用×1；for_double_check_only_not_official_plan_replacement×1,C4-无可比候选，需人工看图或随页列闭环×1；G2-专业组边界待闭环×1,pending_hubei_official_plan_review×2,double_review_not_required_or_task_level×1；pending_double_review×1,0,1,1,2eefb744e7de8cc887bc3babf0224d92281686d772c1673e2ab00f260320dca7,59a529e98c7ab5d0161f5a067b75aaab3d244ece7cbcc58dfff9089f04fe5a14,0566718e0e6c730c071808b181a94393692f12beb92df70f0a5a6fdbc4b921e6,6e29982ec725f38c49e07fea91dde1e6bd58414dd7d1132c58f976ed07936f87,d1cffaa6b5c87a7c,7e850f28b678a878,8c71bee2692e470d,1f064950c2205f57,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,PDF原页、湖北官方侧、必要高校辅证和三方一致性均闭环后，才可进入字段写回评估。,按机器坐标提示定位字段，但仍以PDF原页人工记录和湖北官方侧为准。,not_final；fact_progress_only；no_field_values；no_private_paths；no_ocr_text；no_recommendation
FCFACTPAGE-9d09fa448802d3c6,data/working/issue19-first-closure-fact-progress-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-public-evidence-map.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_fact_progress_public_ledger,第一闭环事实进度页列汇总,PDF页码×版面列,false,false,false,false,false,false,false,false,2,18,left,018-left,E0-冲突异常双人优先核验,B0-PDFOCR与高校辅证冲突,36,35,0,1,17,9,1,专业组边界事实×1；字段事实-专业计划数×17；字段事实-再选科目×9；字段事实-学费×9,专业计划数×17；再选科目×9；学费×9,P0-有冲突线索，PDF原页优先人工核验×12；P1-有机器坐标提示，仍待PDF原页人工核验×5；P2-有PDFOCR提示，仍待PDF原页人工确认×15；P3-无稳定OCR提示，需人工看PDF原页×3；pending_pdf_page_review×1,O0-PDFOCR与高校辅证冲突×12；O1-PDFOCR与高校辅证有一致字段但仍待官方闭环×15；O4-无PDFOCR但有机器坐标提示×5；O5-无公开OCR候选提示×3；OZ-页列或事实级待人工核验×1,M0-无机器坐标提示×30；M1-有机器坐标提示可辅助定位×5；MZ-无任务级机器坐标提示×1,S1-有高校辅证线索或自动官网任务，待私有辅证记录×35；for_double_check_only_not_official_plan_replacement×1,C0-PDFOCR与高校辅证冲突，必须回PDF原页和湖北官方侧×12；C2-多源有一致线索，仍待湖北官方侧闭环×15；C4-无可比候选，需人工看图或随页列闭环×8；P1-多字段冲突或双人复核较多，优先核PDF原页×1,pending_hubei_official_plan_review×36,double_review_not_required×29；pending_double_review×7,36,7,35,2e91f8dd3ddf578f1c137e511205ccfa4349e914cc6897563e39219ad2331f1c,14f4ea716ab5b84c083b7b1a282fd39062c23426ccdcbc8b72b3b5d3f0d27279,e5db700c3d348ad32aaa855c50252ecd06a1d096dbcac34daf8c341d9c123381,cb2abee631aa17b696bcd8cd73f6cde0449b63381bae7fa13dba0d9daba1103c,6c0d176f702c3df4,6d0475e597528d7a,ae12d7b637e9b866,840bc543dcc720ba,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,PDF原页、湖北官方侧、必要高校辅证和三方一致性均闭环后，才可进入字段写回评估。,先按私有页列材料核PDF原页；冲突字段必须双人复核，并等待湖北官方侧记录后再判定。,not_final；fact_progress_only；no_field_values；no_private_paths；no_ocr_text；no_recommendation
FCFACTPAGE-5204e3839b5946b3,data/working/issue19-first-closure-fact-progress-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-public-evidence-map.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_fact_progress_public_ledger,第一闭环事实进度页列汇总,PDF页码×版面列,false,false,false,false,false,false,false,false,3,23,left,023-left,E0-冲突异常双人优先核验,B2-机器坐标候选辅助核页,2,1,0,1,1,1,1,专业组边界事实×1；字段事实-专业计划数×1,专业计划数×1,P1-有机器坐标提示，仍待PDF原页人工核验×1；pending_pdf_page_review×1,O4-无PDFOCR但有机器坐标提示×1；OZ-页列或事实级待人工核验×1,M1-有机器坐标提示可辅助定位×1；MZ-无任务级机器坐标提示×1,S0-无高校字段线索，本任务高校辅证不适用×1；for_double_check_only_not_official_plan_replacement×1,C4-无可比候选，需人工看图或随页列闭环×1；G2-专业组边界待闭环×1,pending_hubei_official_plan_review×2,double_review_not_required_or_task_level×1；pending_double_review×1,0,1,1,1f5622b697b4c0a1fa2c8d56049ae4127722d02df64fb0adf48ac14435696268,c42197e5a0ce2ec3bf44a8cb1189943558709229b3d40d18f99a8fcfce79c65c,81dee0189d85627cfc98a950fd90f8b55d488a762fa8d4878be5f26d18d740b1,fd354007552335ea321c72cf896934c89026a153bd83568a4a44aa90223ae20c,57d328a18ea596ce,4c7aead077eb4e85,6901b00e7d063cd5,88e612b40aa08044,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,PDF原页、湖北官方侧、必要高校辅证和三方一致性均闭环后，才可进入字段写回评估。,按机器坐标提示定位字段，但仍以PDF原页人工记录和湖北官方侧为准。,not_final；fact_progress_only；no_field_values；no_private_paths；no_ocr_text；no_recommendation
FCFACTPAGE-8476c4a86c805e7b,data/working/issue19-first-closure-fact-progress-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-public-evidence-map.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_fact_progress_public_ledger,第一闭环事实进度页列汇总,PDF页码×版面列,false,false,false,false,false,false,false,false,4,32,right,032-right,E1-计划数补缺或偏大优先核验,B2-机器坐标候选辅助核页,2,1,0,1,1,1,1,专业组边界事实×1；字段事实-专业计划数×1,专业计划数×1,P1-有机器坐标提示，仍待PDF原页人工核验×1；pending_pdf_page_review×1,O4-无PDFOCR但有机器坐标提示×1；OZ-页列或事实级待人工核验×1,M1-有机器坐标提示可辅助定位×1；MZ-无任务级机器坐标提示×1,S0-无高校字段线索，本任务高校辅证不适用×1；for_double_check_only_not_official_plan_replacement×1,C4-无可比候选，需人工看图或随页列闭环×1；G2-专业组边界待闭环×1,pending_hubei_official_plan_review×2,double_review_not_required_or_task_level×1；pending_double_review×1,0,1,1,5af9b4b7c811c1cd0fb177880b052c2c297fd70b1c01acf7f6046ff0ca2263c2,6fcde5a681250cb6e8c9bba7725975fe82cd3db74fafb227bbf47b40f4f19055,da84901515cf0b4838a38ea744dbc3cf037942d2f8f7e94f6716253ea217081a,d95dbe32a8905776266ccc384e179d13d816de6df0a7e198b733cd1b3bb5aa24,d3b591ef8a1cfcc6,9e605a53a1548ab0,66ebdc7c588f6532,c2b4dc8516cfc3e8,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,PDF原页、湖北官方侧、必要高校辅证和三方一致性均闭环后，才可进入字段写回评估。,按机器坐标提示定位字段，但仍以PDF原页人工记录和湖北官方侧为准。,not_final；fact_progress_only；no_field_values；no_private_paths；no_ocr_text；no_recommendation
FCFACTPAGE-a393e45e86f3e1a6,data/working/issue19-first-closure-fact-progress-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-public-evidence-map.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_fact_progress_public_ledger,第一闭环事实进度页列汇总,PDF页码×版面列,false,false,false,false,false,false,false,false,5,33,right,033-right,E1-计划数补缺或偏大优先核验,B2-机器坐标候选辅助核页,2,1,0,1,1,1,1,专业组边界事实×1；字段事实-专业计划数×1,专业计划数×1,P1-有机器坐标提示，仍待PDF原页人工核验×1；pending_pdf_page_review×1,O4-无PDFOCR但有机器坐标提示×1；OZ-页列或事实级待人工核验×1,M1-有机器坐标提示可辅助定位×1；MZ-无任务级机器坐标提示×1,S0-无高校字段线索，本任务高校辅证不适用×1；for_double_check_only_not_official_plan_replacement×1,C4-无可比候选，需人工看图或随页列闭环×1；G2-专业组边界待闭环×1,pending_hubei_official_plan_review×2,double_review_not_required_or_task_level×1；pending_double_review×1,0,1,1,71061053b75c3329ba82f409f86cae9b21db863d511d2e18fb292a436e5d1415,bcd0e17581bd37751cad12c6943eb49e264038c6098b9acfd592677ae28ffebc,07a42cb3ce978d8f816c9f121b8b0992c363256f851911ba3a0fb8f36b107853,e6d4d04aa8692ff904c6799f77ebfcd5dfd92e28d6aa7b936c9019f48a360306,65e441244168cae1,6495b02e5c41ed42,ddd3a6764beab160,f4d03d1f4f7f755d,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,PDF原页、湖北官方侧、必要高校辅证和三方一致性均闭环后，才可进入字段写回评估。,按机器坐标提示定位字段，但仍以PDF原页人工记录和湖北官方侧为准。,not_final；fact_progress_only；no_field_values；no_private_paths；no_ocr_text；no_recommendation
FCFACTPAGE-7e311f642ec9d20a,data/working/issue19-first-closure-fact-progress-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-public-evidence-map.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_fact_progress_public_ledger,第一闭环事实进度页列汇总,PDF页码×版面列,false,false,false,false,false,false,false,false,6,36,right,036-right,E2-官网未匹配专业名归属核验,B3-仅PDFOCR候选待人工确认,4,2,1,1,1,1,1,专业名归属事实×1；专业组边界事实×1；字段事实-再选科目×1；字段事实-学费×1,再选科目×1；学费×1；学费；再选科目×1,P2-有PDFOCR提示，仍待PDF原页人工确认×3；pending_pdf_page_review×1,O3-仅PDFOCR候选待人工核页×3；OZ-页列或事实级待人工核验×1,M0-无机器坐标提示×3；MZ-无任务级机器坐标提示×1,S1-有高校辅证线索或自动官网任务，待私有辅证记录×3；for_double_check_only_not_official_plan_replacement×1,C3-仅PDFOCR候选，需人工核页×3；G2-专业组边界待闭环×1,pending_hubei_official_plan_review×4,double_review_not_required×3；double_review_not_required_or_task_level×1,0,0,2,3f61fdab5d7bc5f1e51617a4c0014c9a1d8b4195f1cac9221f3e9813ea52161b,6e6db40dcfd572d05ffb59958407ba6bfb598bbf17691041f5c4b4ec4390808e,15d387c0b7493b9d5270e156191c1d925bbbdff82fe558cdd0a08b855bad55c6,5510355a5c966fd04c9dff876a437ab43c0e8d298d50e14649b3f8755c40f218,456f2eb1a6a99948,8fdede619281e7ce,ac036c02f48f7d5b,acbf576b6b2a67d7,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,PDF原页、湖北官方侧、必要高校辅证和三方一致性均闭环后，才可进入字段写回评估。,按PDFOCR提示逐条核原页；确认后再做湖北官方侧和高校侧闭环。,not_final；fact_progress_only；no_field_values；no_private_paths；no_ocr_text；no_recommendation
FCFACTPAGE-39cfc7bcbd00517f,data/working/issue19-first-closure-fact-progress-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-public-evidence-map.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_fact_progress_public_ledger,第一闭环事实进度页列汇总,PDF页码×版面列,false,false,false,false,false,false,false,false,7,37,left,037-left,E0-冲突异常双人优先核验,B0-PDFOCR与高校辅证冲突,11,8,2,1,5,5,1,专业名归属事实×2；专业组边界事实×1；字段事实-专业计划数×3；字段事实-再选科目×3；字段事实-学费×2,专业计划数×4；专业计划数；学费×1；再选科目×3；学费×2,P0-有冲突线索，PDF原页优先人工核验×3；P2-有PDFOCR提示，仍待PDF原页人工确认×5；P3-无稳定OCR提示，需人工看PDF原页×2；pending_pdf_page_review×1,O0-PDFOCR与高校辅证冲突×3；O3-仅PDFOCR候选待人工核页×5；O5-无公开OCR候选提示×2；OZ-页列或事实级待人工核验×1,M0-无机器坐标提示×10；MZ-无任务级机器坐标提示×1,S1-有高校辅证线索或自动官网任务，待私有辅证记录×10；for_double_check_only_not_official_plan_replacement×1,C0-PDFOCR与高校辅证冲突，必须回PDF原页和湖北官方侧×3；C3-仅PDFOCR候选，需人工核页×5；C4-无可比候选，需人工看图或随页列闭环×2；P3-单点冲突，随同页列材料完成核验×1,pending_hubei_official_plan_review×11,double_review_not_required×5；pending_double_review×6,11,6,8,0f71485e0cc4cbe486a173fab6d3297d5f95051a59147d56aa098be032713dff,15166656bdbaad58678026a88161e252db2e9bce912ead6631331d738f676ce9,45764205a4d1dca12cc954cf6ef874a8854e8fd28dea0d7dc448d3a45d6b5ae9,401fda4efc6a1ec2cf5d5139d953f0079eef34a2bdf3ee8db49e6f32f5795b09,c6a0c341bd372587,dd4dc3738d81ee7a,671b6d45c15cb61d,acbf576b6b2a67d7,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,PDF原页、湖北官方侧、必要高校辅证和三方一致性均闭环后，才可进入字段写回评估。,先按私有页列材料核PDF原页；冲突字段必须双人复核，并等待湖北官方侧记录后再判定。,not_final；fact_progress_only；no_field_values；no_private_paths；no_ocr_text；no_recommendation
FCFACTPAGE-15418e56c9b437c0,data/working/issue19-first-closure-fact-progress-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-public-evidence-map.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_fact_progress_public_ledger,第一闭环事实进度页列汇总,PDF页码×版面列,false,false,false,false,false,false,false,false,8,38,right,038-right,E1-计划数补缺或偏大优先核验,B2-机器坐标候选辅助核页,3,2,0,1,2,2,1,专业组边界事实×1；字段事实-专业计划数×2,专业计划数×2,P1-有机器坐标提示，仍待PDF原页人工核验×2；pending_pdf_page_review×1,O4-无PDFOCR但有机器坐标提示×2；OZ-页列或事实级待人工核验×1,M1-有机器坐标提示可辅助定位×2；MZ-无任务级机器坐标提示×1,S0-无高校字段线索，本任务高校辅证不适用×2；for_double_check_only_not_official_plan_replacement×1,C4-无可比候选，需人工看图或随页列闭环×2；G2-专业组边界待闭环×1,pending_hubei_official_plan_review×3,double_review_not_required_or_task_level×1；pending_double_review×2,0,2,2,e336306298258cea36730867530134573f62ab9cf9275fa752ca3e626bd61107,cde51d612a09e160aad4bee78cdf9beedf2afd1d88b1bad2bb8e14b8b54cbff4,d33ca55018c447ccfb203f2c44ce97223f1cf77eb9de69cef38ef5dfdc4af45a,5760c40a65f37507754993c443f5521f80bef8e5f6db46b52e5a3888b93888d3,3e17d4a39452a833,5076c550f887ad56,32c402bce04b5c4d,b3fab222db08be81,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,PDF原页、湖北官方侧、必要高校辅证和三方一致性均闭环后，才可进入字段写回评估。,按机器坐标提示定位字段，但仍以PDF原页人工记录和湖北官方侧为准。,not_final；fact_progress_only；no_field_values；no_private_paths；no_ocr_text；no_recommendation
FCFACTPAGE-d6c25bfbf7838eed,data/working/issue19-first-closure-fact-progress-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-public-evidence-map.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_fact_progress_public_ledger,第一闭环事实进度页列汇总,PDF页码×版面列,false,false,false,false,false,false,false,false,9,40,right,040-right,E0-冲突异常双人优先核验,B2-机器坐标候选辅助核页,2,1,0,1,1,1,1,专业组边界事实×1；字段事实-专业计划数×1,专业计划数×1,P1-有机器坐标提示，仍待PDF原页人工核验×1；pending_pdf_page_review×1,O4-无PDFOCR但有机器坐标提示×1；OZ-页列或事实级待人工核验×1,M1-有机器坐标提示可辅助定位×1；MZ-无任务级机器坐标提示×1,S0-无高校字段线索，本任务高校辅证不适用×1；for_double_check_only_not_official_plan_replacement×1,C4-无可比候选，需人工看图或随页列闭环×1；G2-专业组边界待闭环×1,pending_hubei_official_plan_review×2,double_review_not_required_or_task_level×1；pending_double_review×1,0,1,1,27fd7f973876c95cf16623bbf2c84b18765c51396d5ee89cb552d54b2f9907f9,8d2844b1e7e3ca7923bdfa4db72c7d9b081ca8279d822c8653ade4787d69e33e,b13ec5f26d30602dbd5292ea331822813ec393dd2eaddf10c028c249e88b8bbf,ab2e0003f208a79112417c197965713ec8f98a0dd14f319e8f8fc0c9ce4616ae,12b5b3764ab161b2,f64746a5c4cf0a5c,689361afb565f744,09b3429c6f3f27c6,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,PDF原页、湖北官方侧、必要高校辅证和三方一致性均闭环后，才可进入字段写回评估。,按机器坐标提示定位字段，但仍以PDF原页人工记录和湖北官方侧为准。,not_final；fact_progress_only；no_field_values；no_private_paths；no_ocr_text；no_recommendation
FCFACTPAGE-d5c22e054a46950f,data/working/issue19-first-closure-fact-progress-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-public-evidence-map.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_fact_progress_public_ledger,第一闭环事实进度页列汇总,PDF页码×版面列,false,false,false,false,false,false,false,false,10,43,left,043-left,E0-冲突异常双人优先核验,B2-机器坐标候选辅助核页,2,1,0,1,1,1,1,专业组边界事实×1；字段事实-专业计划数×1,专业计划数×1,P1-有机器坐标提示，仍待PDF原页人工核验×1；pending_pdf_page_review×1,O4-无PDFOCR但有机器坐标提示×1；OZ-页列或事实级待人工核验×1,M1-有机器坐标提示可辅助定位×1；MZ-无任务级机器坐标提示×1,S0-无高校字段线索，本任务高校辅证不适用×1；for_double_check_only_not_official_plan_replacement×1,C4-无可比候选，需人工看图或随页列闭环×1；G2-专业组边界待闭环×1,pending_hubei_official_plan_review×2,double_review_not_required_or_task_level×1；pending_double_review×1,0,1,1,6cf910bcb2079114eac92f46e510fc9d46751bde2773992136869d89a9848216,45f13e3e0f91a701309b5e778164c6cfd0165ccfd7a8b51f9388e094dc67b29c,bb896cb0de82a29d3199039d87a6ab89e66f7a3fb5b234e059a83c3f86d1d62f,5509e94281347ba9fd4782f77f6caf4e342abc188730ab4400726919adc74ede,c38225f7f5d80150,eb2d08e51be33bc3,acbf20b43e5a2176,c39bd26cf469f511,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,PDF原页、湖北官方侧、必要高校辅证和三方一致性均闭环后，才可进入字段写回评估。,按机器坐标提示定位字段，但仍以PDF原页人工记录和湖北官方侧为准。,not_final；fact_progress_only；no_field_values；no_private_paths；no_ocr_text；no_recommendation
