事实准出页列汇总ID,来源事实准出门禁账本,来源期号,来源PDF_SHA256,生成日期,数据阶段,主表粒度,任务粒度,最终可用,可进入下一阶段,可否进入最终志愿方案,是否允许作为志愿推荐依据,是否允许自动写回主表,是否允许官网证据替代湖北官方计划,是否允许生成学校专业建议,是否允许写回字段事实,是否允许进入私有写回评审,页列汇总序号,页码版面键,来源页码,版面列,事实范围数,字段事实数,专业名归属事实数,专业组边界事实数,涉及任务数,涉及院校代码数,事实准出状态分布,事实准出阻断等级分布,事实类型分布,PDF待补事实数,湖北官方待补事实数,高校辅证待补事实数,冲突待处理事实数,双人复核待完成事实数,三方闭环待完成事实数,专业名归属待闭环事实数,专业组边界待闭环事实数,可进入私有写回评审事实数,事实集合SHA16,任务集合SHA16,院校代码集合SHA16,页列准出动作,公开安全策略
FCFACTRESPAGE-342a80bcffb9ddc6,data/working/issue19-first-closure-fact-resolution-gate-v1-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_fact_resolution_gate_v1,第一闭环事实准出页列汇总,PDF页码×版面列×事实准出门禁,false,false,false,false,false,false,false,false,false,1,014-left,14,left,2,1,0,1,1,1,blocked_double_review_pdf_hubei×1；blocked_structure_pdf_hubei×1,G2-结构事实PDF湖北官方先行×1；G3-双人复核待完成×1,专业组边界事实×1；字段事实-专业计划数×1,2,2,0,0,1,2,0,1,0,d1cffaa6b5c87a7c,7e850f28b678a878,1f064950c2205f57,页列内事实仍缺PDF原页和湖北官方侧闭环；不得写回字段事实或生成推荐。,not_final；resolution_gate_only；no_field_values；no_school_names；no_major_names；no_private_paths；no_ocr_text；no_recommendation
FCFACTRESPAGE-9d09fa448802d3c6,data/working/issue19-first-closure-fact-resolution-gate-v1-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_fact_resolution_gate_v1,第一闭环事实准出页列汇总,PDF页码×版面列×事实准出门禁,false,false,false,false,false,false,false,false,false,2,018-left,18,left,36,35,0,1,17,1,blocked_b0_companion_pdf_hubei×23；blocked_w0_b0_core_pdf_hubei×13,G0-W0B0核心事实优先阻断×13；G1-B0同页伴生事实阻断×23,专业组边界事实×1；字段事实-专业计划数×17；字段事实-再选科目×9；字段事实-学费×9,36,36,27,36,7,36,0,1,0,6c0d176f702c3df4,6d0475e597528d7a,840bc543dcc720ba,页列内事实仍缺PDF原页和湖北官方侧闭环；不得写回字段事实或生成推荐。,not_final；resolution_gate_only；no_field_values；no_school_names；no_major_names；no_private_paths；no_ocr_text；no_recommendation
FCFACTRESPAGE-5204e3839b5946b3,data/working/issue19-first-closure-fact-resolution-gate-v1-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_fact_resolution_gate_v1,第一闭环事实准出页列汇总,PDF页码×版面列×事实准出门禁,false,false,false,false,false,false,false,false,false,3,023-left,23,left,2,1,0,1,1,1,blocked_double_review_pdf_hubei×1；blocked_structure_pdf_hubei×1,G2-结构事实PDF湖北官方先行×1；G3-双人复核待完成×1,专业组边界事实×1；字段事实-专业计划数×1,2,2,0,0,1,2,0,1,0,57d328a18ea596ce,4c7aead077eb4e85,88e612b40aa08044,页列内事实仍缺PDF原页和湖北官方侧闭环；不得写回字段事实或生成推荐。,not_final；resolution_gate_only；no_field_values；no_school_names；no_major_names；no_private_paths；no_ocr_text；no_recommendation
FCFACTRESPAGE-8476c4a86c805e7b,data/working/issue19-first-closure-fact-resolution-gate-v1-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_fact_resolution_gate_v1,第一闭环事实准出页列汇总,PDF页码×版面列×事实准出门禁,false,false,false,false,false,false,false,false,false,4,032-right,32,right,2,1,0,1,1,1,blocked_double_review_pdf_hubei×1；blocked_structure_pdf_hubei×1,G2-结构事实PDF湖北官方先行×1；G3-双人复核待完成×1,专业组边界事实×1；字段事实-专业计划数×1,2,2,0,0,1,2,0,1,0,d3b591ef8a1cfcc6,9e605a53a1548ab0,c2b4dc8516cfc3e8,页列内事实仍缺PDF原页和湖北官方侧闭环；不得写回字段事实或生成推荐。,not_final；resolution_gate_only；no_field_values；no_school_names；no_major_names；no_private_paths；no_ocr_text；no_recommendation
FCFACTRESPAGE-a393e45e86f3e1a6,data/working/issue19-first-closure-fact-resolution-gate-v1-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_fact_resolution_gate_v1,第一闭环事实准出页列汇总,PDF页码×版面列×事实准出门禁,false,false,false,false,false,false,false,false,false,5,033-right,33,right,2,1,0,1,1,1,blocked_double_review_pdf_hubei×1；blocked_structure_pdf_hubei×1,G2-结构事实PDF湖北官方先行×1；G3-双人复核待完成×1,专业组边界事实×1；字段事实-专业计划数×1,2,2,0,0,1,2,0,1,0,65e441244168cae1,6495b02e5c41ed42,f4d03d1f4f7f755d,页列内事实仍缺PDF原页和湖北官方侧闭环；不得写回字段事实或生成推荐。,not_final；resolution_gate_only；no_field_values；no_school_names；no_major_names；no_private_paths；no_ocr_text；no_recommendation
FCFACTRESPAGE-7e311f642ec9d20a,data/working/issue19-first-closure-fact-resolution-gate-v1-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_fact_resolution_gate_v1,第一闭环事实准出页列汇总,PDF页码×版面列×事实准出门禁,false,false,false,false,false,false,false,false,false,6,036-right,36,right,4,2,1,1,1,1,blocked_regular_pdf_hubei×2；blocked_structure_pdf_hubei×2,G2-结构事实PDF湖北官方先行×2；G6-常规PDF湖北官方闭环待完成×2,专业名归属事实×1；专业组边界事实×1；字段事实-再选科目×1；字段事实-学费×1,4,4,0,0,0,4,1,1,0,456f2eb1a6a99948,8fdede619281e7ce,acbf576b6b2a67d7,页列内事实仍缺PDF原页和湖北官方侧闭环；不得写回字段事实或生成推荐。,not_final；resolution_gate_only；no_field_values；no_school_names；no_major_names；no_private_paths；no_ocr_text；no_recommendation
FCFACTRESPAGE-39cfc7bcbd00517f,data/working/issue19-first-closure-fact-resolution-gate-v1-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_fact_resolution_gate_v1,第一闭环事实准出页列汇总,PDF页码×版面列×事实准出门禁,false,false,false,false,false,false,false,false,false,7,037-left,37,left,11,8,2,1,5,1,blocked_b0_companion_pdf_hubei×5；blocked_w0_b0_core_pdf_hubei×6,G0-W0B0核心事实优先阻断×6；G1-B0同页伴生事实阻断×5,专业名归属事实×2；专业组边界事实×1；字段事实-专业计划数×3；字段事实-再选科目×3；字段事实-学费×2,11,11,3,11,6,11,2,1,0,c6a0c341bd372587,dd4dc3738d81ee7a,acbf576b6b2a67d7,页列内事实仍缺PDF原页和湖北官方侧闭环；不得写回字段事实或生成推荐。,not_final；resolution_gate_only；no_field_values；no_school_names；no_major_names；no_private_paths；no_ocr_text；no_recommendation
FCFACTRESPAGE-15418e56c9b437c0,data/working/issue19-first-closure-fact-resolution-gate-v1-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_fact_resolution_gate_v1,第一闭环事实准出页列汇总,PDF页码×版面列×事实准出门禁,false,false,false,false,false,false,false,false,false,8,038-right,38,right,3,2,0,1,2,1,blocked_double_review_pdf_hubei×2；blocked_structure_pdf_hubei×1,G2-结构事实PDF湖北官方先行×1；G3-双人复核待完成×2,专业组边界事实×1；字段事实-专业计划数×2,3,3,0,0,2,3,0,1,0,3e17d4a39452a833,5076c550f887ad56,b3fab222db08be81,页列内事实仍缺PDF原页和湖北官方侧闭环；不得写回字段事实或生成推荐。,not_final；resolution_gate_only；no_field_values；no_school_names；no_major_names；no_private_paths；no_ocr_text；no_recommendation
FCFACTRESPAGE-d6c25bfbf7838eed,data/working/issue19-first-closure-fact-resolution-gate-v1-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_fact_resolution_gate_v1,第一闭环事实准出页列汇总,PDF页码×版面列×事实准出门禁,false,false,false,false,false,false,false,false,false,9,040-right,40,right,2,1,0,1,1,1,blocked_double_review_pdf_hubei×1；blocked_structure_pdf_hubei×1,G2-结构事实PDF湖北官方先行×1；G3-双人复核待完成×1,专业组边界事实×1；字段事实-专业计划数×1,2,2,0,0,1,2,0,1,0,12b5b3764ab161b2,f64746a5c4cf0a5c,09b3429c6f3f27c6,页列内事实仍缺PDF原页和湖北官方侧闭环；不得写回字段事实或生成推荐。,not_final；resolution_gate_only；no_field_values；no_school_names；no_major_names；no_private_paths；no_ocr_text；no_recommendation
FCFACTRESPAGE-d5c22e054a46950f,data/working/issue19-first-closure-fact-resolution-gate-v1-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_fact_resolution_gate_v1,第一闭环事实准出页列汇总,PDF页码×版面列×事实准出门禁,false,false,false,false,false,false,false,false,false,10,043-left,43,left,2,1,0,1,1,1,blocked_double_review_pdf_hubei×1；blocked_structure_pdf_hubei×1,G2-结构事实PDF湖北官方先行×1；G3-双人复核待完成×1,专业组边界事实×1；字段事实-专业计划数×1,2,2,0,0,1,2,0,1,0,c38225f7f5d80150,eb2d08e51be33bc3,c39bd26cf469f511,页列内事实仍缺PDF原页和湖北官方侧闭环；不得写回字段事实或生成推荐。,not_final；resolution_gate_only；no_field_values；no_school_names；no_major_names；no_private_paths；no_ocr_text；no_recommendation
FCFACTRESPAGE-9453ddd744d297c5,data/working/issue19-first-closure-fact-resolution-gate-v1-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_fact_resolution_gate_v1,第一闭环事实准出页列汇总,PDF页码×版面列×事实准出门禁,false,false,false,false,false,false,false,false,false,11,053-right,53,right,2,1,0,1,1,1,blocked_double_review_pdf_hubei×1；blocked_structure_pdf_hubei×1,G2-结构事实PDF湖北官方先行×1；G3-双人复核待完成×1,专业组边界事实×1；字段事实-学费×1,2,2,0,0,1,2,0,1,0,a2963e9e29b15256,d50f1d6657cd1231,1b9997d0d2b2ce31,页列内事实仍缺PDF原页和湖北官方侧闭环；不得写回字段事实或生成推荐。,not_final；resolution_gate_only；no_field_values；no_school_names；no_major_names；no_private_paths；no_ocr_text；no_recommendation
FCFACTRESPAGE-49dfd962eacfb463,data/working/issue19-first-closure-fact-resolution-gate-v1-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_fact_resolution_gate_v1,第一闭环事实准出页列汇总,PDF页码×版面列×事实准出门禁,false,false,false,false,false,false,false,false,false,12,056-left,56,left,32,30,1,1,16,2,blocked_b0_companion_pdf_hubei×27；blocked_w0_b0_core_pdf_hubei×5,G0-W0B0核心事实优先阻断×5；G1-B0同页伴生事实阻断×27,专业名归属事实×1；专业组边界事实×1；字段事实-专业计划数×15；字段事实-再选科目×7；字段事实-学费×8,32,32,21,32,4,32,1,1,0,eb529bdba7f5711b,ba8efc01022de607,e171c52ec8cc8e00,页列内事实仍缺PDF原页和湖北官方侧闭环；不得写回字段事实或生成推荐。,not_final；resolution_gate_only；no_field_values；no_school_names；no_major_names；no_private_paths；no_ocr_text；no_recommendation
FCFACTRESPAGE-f96632d08a87c463,data/working/issue19-first-closure-fact-resolution-gate-v1-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_fact_resolution_gate_v1,第一闭环事实准出页列汇总,PDF页码×版面列×事实准出门禁,false,false,false,false,false,false,false,false,false,13,057-left,57,left,4,2,1,1,1,1,blocked_regular_pdf_hubei×2；blocked_structure_pdf_hubei×2,G2-结构事实PDF湖北官方先行×2；G6-常规PDF湖北官方闭环待完成×2,专业名归属事实×1；专业组边界事实×1；字段事实-专业计划数×1；字段事实-学费×1,4,4,0,0,0,4,1,1,0,9a70a3aec90e4c89,caa6b829247f35e8,8f84db9a9b75369c,页列内事实仍缺PDF原页和湖北官方侧闭环；不得写回字段事实或生成推荐。,not_final；resolution_gate_only；no_field_values；no_school_names；no_major_names；no_private_paths；no_ocr_text；no_recommendation
FCFACTRESPAGE-e6bb7a68cf2f9948,data/working/issue19-first-closure-fact-resolution-gate-v1-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_fact_resolution_gate_v1,第一闭环事实准出页列汇总,PDF页码×版面列×事实准出门禁,false,false,false,false,false,false,false,false,false,14,070-left,70,left,4,2,1,1,2,1,blocked_double_review_pdf_hubei×1；blocked_regular_pdf_hubei×1；blocked_structure_pdf_hubei×2,G2-结构事实PDF湖北官方先行×2；G3-双人复核待完成×1；G6-常规PDF湖北官方闭环待完成×1,专业名归属事实×1；专业组边界事实×1；字段事实-专业计划数×1；字段事实-再选科目×1,4,4,0,0,1,4,1,1,0,a651ea37f3c11e91,4d3edfee1e74ceda,9fd3efd1c6e4aa5c,页列内事实仍缺PDF原页和湖北官方侧闭环；不得写回字段事实或生成推荐。,not_final；resolution_gate_only；no_field_values；no_school_names；no_major_names；no_private_paths；no_ocr_text；no_recommendation
FCFACTRESPAGE-f8f6bd246859ef8f,data/working/issue19-first-closure-fact-resolution-gate-v1-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_fact_resolution_gate_v1,第一闭环事实准出页列汇总,PDF页码×版面列×事实准出门禁,false,false,false,false,false,false,false,false,false,15,070-right,70,right,31,19,11,1,11,1,blocked_regular_pdf_hubei×19；blocked_structure_pdf_hubei×12,G2-结构事实PDF湖北官方先行×12；G6-常规PDF湖北官方闭环待完成×19,专业名归属事实×11；专业组边界事实×1；字段事实-专业计划数×7；字段事实-再选科目×1；字段事实-学费×11,31,31,0,0,0,31,11,1,0,234c294680177548,361dcd0eb0b9fc64,9fd3efd1c6e4aa5c,页列内事实仍缺PDF原页和湖北官方侧闭环；不得写回字段事实或生成推荐。,not_final；resolution_gate_only；no_field_values；no_school_names；no_major_names；no_private_paths；no_ocr_text；no_recommendation
FCFACTRESPAGE-436561705643ed1d,data/working/issue19-first-closure-fact-resolution-gate-v1-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_fact_resolution_gate_v1,第一闭环事实准出页列汇总,PDF页码×版面列×事实准出门禁,false,false,false,false,false,false,false,false,false,16,080-right,80,right,38,19,18,1,18,1,blocked_double_review_pdf_hubei×17；blocked_regular_pdf_hubei×2；blocked_structure_pdf_hubei×19,G2-结构事实PDF湖北官方先行×19；G3-双人复核待完成×17；G6-常规PDF湖北官方闭环待完成×2,专业名归属事实×18；专业组边界事实×1；字段事实-专业计划数×1；字段事实-再选科目×17；字段事实-学费×1,38,38,0,0,34,38,18,1,0,39f49d044d6c7dcf,b88cbc7c0a804165,f0d53abbf1e2b5c3,页列内事实仍缺PDF原页和湖北官方侧闭环；不得写回字段事实或生成推荐。,not_final；resolution_gate_only；no_field_values；no_school_names；no_major_names；no_private_paths；no_ocr_text；no_recommendation
FCFACTRESPAGE-566910e5591006db,data/working/issue19-first-closure-fact-resolution-gate-v1-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_fact_resolution_gate_v1,第一闭环事实准出页列汇总,PDF页码×版面列×事实准出门禁,false,false,false,false,false,false,false,false,false,17,081-left,81,left,4,2,1,1,1,1,blocked_regular_pdf_hubei×2；blocked_structure_pdf_hubei×2,G2-结构事实PDF湖北官方先行×2；G6-常规PDF湖北官方闭环待完成×2,专业名归属事实×1；专业组边界事实×1；字段事实-专业计划数×1；字段事实-学费×1,4,4,0,0,0,4,1,1,0,f9fd416212b9c743,e98fe92f2fbf49df,f0d53abbf1e2b5c3,页列内事实仍缺PDF原页和湖北官方侧闭环；不得写回字段事实或生成推荐。,not_final；resolution_gate_only；no_field_values；no_school_names；no_major_names；no_private_paths；no_ocr_text；no_recommendation
FCFACTRESPAGE-ccac3d29a794177b,data/working/issue19-first-closure-fact-resolution-gate-v1-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_fact_resolution_gate_v1,第一闭环事实准出页列汇总,PDF页码×版面列×事实准出门禁,false,false,false,false,false,false,false,false,false,18,082-right,82,right,3,2,0,1,2,1,blocked_double_review_pdf_hubei×2；blocked_structure_pdf_hubei×1,G2-结构事实PDF湖北官方先行×1；G3-双人复核待完成×2,专业组边界事实×1；字段事实-专业计划数×2,3,3,0,0,2,3,0,1,0,9d2f3f2040968e21,e3ac0d0fd3ef2f0f,1ce846951063accf,页列内事实仍缺PDF原页和湖北官方侧闭环；不得写回字段事实或生成推荐。,not_final；resolution_gate_only；no_field_values；no_school_names；no_major_names；no_private_paths；no_ocr_text；no_recommendation
FCFACTRESPAGE-440cbfb88696a9b3,data/working/issue19-first-closure-fact-resolution-gate-v1-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_fact_resolution_gate_v1,第一闭环事实准出页列汇总,PDF页码×版面列×事实准出门禁,false,false,false,false,false,false,false,false,false,19,093-left,93,left,2,1,0,1,1,1,blocked_double_review_pdf_hubei×1；blocked_structure_pdf_hubei×1,G2-结构事实PDF湖北官方先行×1；G3-双人复核待完成×1,专业组边界事实×1；字段事实-学费×1,2,2,0,0,1,2,0,1,0,4a0784f6eff27a7f,ae2df87d63bcf9d1,f4e5570aeafff0fa,页列内事实仍缺PDF原页和湖北官方侧闭环；不得写回字段事实或生成推荐。,not_final；resolution_gate_only；no_field_values；no_school_names；no_major_names；no_private_paths；no_ocr_text；no_recommendation
FCFACTRESPAGE-d6be3fcb12ff43f9,data/working/issue19-first-closure-fact-resolution-gate-v1-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_fact_resolution_gate_v1,第一闭环事实准出页列汇总,PDF页码×版面列×事实准出门禁,false,false,false,false,false,false,false,false,false,20,096-right,96,right,3,1,1,1,1,1,blocked_regular_pdf_hubei×1；blocked_structure_pdf_hubei×2,G2-结构事实PDF湖北官方先行×2；G6-常规PDF湖北官方闭环待完成×1,专业名归属事实×1；专业组边界事实×1；字段事实-学费×1,3,3,0,0,0,3,1,1,0,57e23f400a952a3d,952f2610c4fdd1ef,4a75d61ffc947153,页列内事实仍缺PDF原页和湖北官方侧闭环；不得写回字段事实或生成推荐。,not_final；resolution_gate_only；no_field_values；no_school_names；no_major_names；no_private_paths；no_ocr_text；no_recommendation
