事实准出任务汇总ID,来源事实准出门禁账本,来源期号,来源PDF_SHA256,生成日期,数据阶段,主表粒度,任务粒度,最终可用,可进入下一阶段,可否进入最终志愿方案,是否允许作为志愿推荐依据,是否允许自动写回主表,是否允许官网证据替代湖北官方计划,是否允许生成学校专业建议,是否允许写回字段事实,是否允许进入私有写回评审,任务汇总序号,稳定基座第一闭环明细任务ID,第一闭环核验结果ID,第一闭环证据状态公开账本ID,第一闭环下一步动作ID,稳定基座第一闭环页列包ID,页码版面键,来源页码,版面列,专业行ID,专业组出现ID,院校代码,字段名,执行泳道,核验动作层级,第一闭环页列优先级,事实范围数,字段事实数,专业名归属事实数,专业组边界事实数,事实准出状态分布,事实准出阻断等级分布,事实类型分布,PDF待补事实数,湖北官方待补事实数,高校辅证待补事实数,冲突待处理事实数,双人复核待完成事实数,三方闭环待完成事实数,可进入私有写回评审事实数,事实集合SHA16,任务准出动作,公开安全策略
FCFACTRESTASK-5537f327df1e0d54,data/working/issue19-first-closure-fact-resolution-gate-v1-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_fact_resolution_gate_v1,第一闭环事实准出任务汇总,稳定基座第一闭环明细任务ID×事实准出门禁,false,false,false,false,false,false,false,false,false,1,FIRSTDETAIL-0179bfd42b7b1ca7,FIRSTRESULT-2beb577aa5d19d56,FIRSTEVID-1fe26f18946c7e8d,FIRSTNEXT-741af958da48a1e2,FIRSTPAGE-4c8c5f6279a32c04,070-right,70,right,M-ec0d83fb4e950a93,G-facec610841ca140,C108,学费,E2-官网未匹配专业名归属核验,N4-PDFOCR候选人工确认,Q2-官网未匹配或高校辅证页列先核,2,1,1,0,blocked_regular_pdf_hubei×1；blocked_structure_pdf_hubei×1,G2-结构事实PDF湖北官方先行×1；G6-常规PDF湖北官方闭环待完成×1,专业名归属事实×1；字段事实-学费×1,2,2,0,0,0,2,0,58add5499c161d8f,任务内事实仍缺PDF原页和湖北官方侧闭环；不得写回字段事实或生成推荐。,not_final；resolution_gate_only；no_field_values；no_school_names；no_major_names；no_private_paths；no_ocr_text；no_recommendation
FCFACTRESTASK-77614d76bfb2918d,data/working/issue19-first-closure-fact-resolution-gate-v1-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_fact_resolution_gate_v1,第一闭环事实准出任务汇总,稳定基座第一闭环明细任务ID×事实准出门禁,false,false,false,false,false,false,false,false,false,2,FIRSTDETAIL-0343054865ae6f8f,FIRSTRESULT-ce031a59999bf8a9,FIRSTEVID-421c64e14e58c60c,FIRSTNEXT-d7aae497a883ee5a,FIRSTPAGE-551d0b213dbd2529,109-left,109,left,M-68e8615d3ab753b9,G-3ed22abc87c8dac2,F305,专业计划数,E1-计划数补缺或偏大优先核验,N3-无稳定候选人工看图,Q1-补缺或计划数偏大页列先核,1,1,0,0,blocked_double_review_pdf_hubei×1,G3-双人复核待完成×1,字段事实-专业计划数×1,1,1,0,0,1,1,0,d76a49b44dc5ef9b,任务内事实仍缺PDF原页和湖北官方侧闭环；不得写回字段事实或生成推荐。,not_final；resolution_gate_only；no_field_values；no_school_names；no_major_names；no_private_paths；no_ocr_text；no_recommendation
FCFACTRESTASK-ea764de5217b8976,data/working/issue19-first-closure-fact-resolution-gate-v1-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_fact_resolution_gate_v1,第一闭环事实准出任务汇总,稳定基座第一闭环明细任务ID×事实准出门禁,false,false,false,false,false,false,false,false,false,3,FIRSTDETAIL-03ffc5cb476ac461,FIRSTRESULT-bee58eabd75645be,FIRSTEVID-e9317ba721e336b6,FIRSTNEXT-a5a2f65d72259208,FIRSTPAGE-815b76bed7962001,169-right,169,right,M-7489ddca4dfd3dd8,G-69a8112ee16cf2ba,H450,专业计划数,E0-冲突异常双人优先核验,N1-高校补缺线索回PDF原页,Q0-冲突页列第一批先核,2,2,0,0,blocked_b0_companion_pdf_hubei×2,G1-B0同页伴生事实阻断×2,字段事实-专业计划数×1；字段事实-学费×1,2,2,2,2,0,2,0,dc2bb09d8267bd75,任务内事实仍缺PDF原页和湖北官方侧闭环；不得写回字段事实或生成推荐。,not_final；resolution_gate_only；no_field_values；no_school_names；no_major_names；no_private_paths；no_ocr_text；no_recommendation
FCFACTRESTASK-1f36041c6bb4b315,data/working/issue19-first-closure-fact-resolution-gate-v1-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_fact_resolution_gate_v1,第一闭环事实准出任务汇总,稳定基座第一闭环明细任务ID×事实准出门禁,false,false,false,false,false,false,false,false,false,4,FIRSTDETAIL-04f5273e386af8c6,FIRSTRESULT-e0092adbe28116fd,FIRSTEVID-a47d493e05989c17,FIRSTNEXT-fe4a1a0671e539e4,FIRSTPAGE-815b76bed7962001,169-right,169,right,M-90b2fc54c5bc2e5c,G-69a8112ee16cf2ba,H450,专业计划数,E0-冲突异常双人优先核验,N3-无稳定候选人工看图,Q0-冲突页列第一批先核,1,1,0,0,blocked_b0_companion_pdf_hubei×1,G1-B0同页伴生事实阻断×1,字段事实-专业计划数×1,1,1,0,1,0,1,0,0597ea6becdab0d5,任务内事实仍缺PDF原页和湖北官方侧闭环；不得写回字段事实或生成推荐。,not_final；resolution_gate_only；no_field_values；no_school_names；no_major_names；no_private_paths；no_ocr_text；no_recommendation
FCFACTRESTASK-7160d9bdce7f3009,data/working/issue19-first-closure-fact-resolution-gate-v1-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_fact_resolution_gate_v1,第一闭环事实准出任务汇总,稳定基座第一闭环明细任务ID×事实准出门禁,false,false,false,false,false,false,false,false,false,5,FIRSTDETAIL-06b9748c821af613,FIRSTRESULT-92ce4cc2f1446c26,FIRSTEVID-fba62a0df34d599f,FIRSTNEXT-193e9146d77e017c,FIRSTPAGE-ffc90431edf15154,018-left,18,left,M-83af574ae53d478b,G-df1242f8618d3971,A033,专业计划数,E0-冲突异常双人优先核验,N5-多源一致仍待湖北官方侧,Q0-冲突页列第一批先核,3,3,0,0,blocked_b0_companion_pdf_hubei×3,G1-B0同页伴生事实阻断×3,字段事实-专业计划数×1；字段事实-再选科目×1；字段事实-学费×1,3,3,3,3,0,3,0,a4dce7402dc48ab9,任务内事实仍缺PDF原页和湖北官方侧闭环；不得写回字段事实或生成推荐。,not_final；resolution_gate_only；no_field_values；no_school_names；no_major_names；no_private_paths；no_ocr_text；no_recommendation
FCFACTRESTASK-81ab3d1323743239,data/working/issue19-first-closure-fact-resolution-gate-v1-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_fact_resolution_gate_v1,第一闭环事实准出任务汇总,稳定基座第一闭环明细任务ID×事实准出门禁,false,false,false,false,false,false,false,false,false,6,FIRSTDETAIL-06bdcbfe6216116c,FIRSTRESULT-18907c06cb48af60,FIRSTEVID-dcad8d8708cb602f,FIRSTNEXT-92edff312412c7b2,FIRSTPAGE-b1715d7e0fecab9a,053-right,53,right,M-0948630e9c96d719,G-09c809b3416aa6ab,A185,学费,E0-冲突异常双人优先核验,N2-机器坐标辅助核PDF原页,Q0-冲突页列第一批先核,1,1,0,0,blocked_double_review_pdf_hubei×1,G3-双人复核待完成×1,字段事实-学费×1,1,1,0,0,1,1,0,a0c93018da0bf5a8,任务内事实仍缺PDF原页和湖北官方侧闭环；不得写回字段事实或生成推荐。,not_final；resolution_gate_only；no_field_values；no_school_names；no_major_names；no_private_paths；no_ocr_text；no_recommendation
FCFACTRESTASK-b021952453855681,data/working/issue19-first-closure-fact-resolution-gate-v1-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_fact_resolution_gate_v1,第一闭环事实准出任务汇总,稳定基座第一闭环明细任务ID×事实准出门禁,false,false,false,false,false,false,false,false,false,7,FIRSTDETAIL-0775ff576577408b,FIRSTRESULT-8c4a13300c9fbce1,FIRSTEVID-12d168f5389140c1,FIRSTNEXT-2ed38387e067ff07,FIRSTPAGE-cfa201a8f79e7d0e,082-right,82,right,M-8609461d123ec08d,G-a0f94f54d9c97a68,C202,专业计划数,E1-计划数补缺或偏大优先核验,N2-机器坐标辅助核PDF原页,Q1-补缺或计划数偏大页列先核,1,1,0,0,blocked_double_review_pdf_hubei×1,G3-双人复核待完成×1,字段事实-专业计划数×1,1,1,0,0,1,1,0,e88d6a57551868e4,任务内事实仍缺PDF原页和湖北官方侧闭环；不得写回字段事实或生成推荐。,not_final；resolution_gate_only；no_field_values；no_school_names；no_major_names；no_private_paths；no_ocr_text；no_recommendation
FCFACTRESTASK-0fc98c71076c6e78,data/working/issue19-first-closure-fact-resolution-gate-v1-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_fact_resolution_gate_v1,第一闭环事实准出任务汇总,稳定基座第一闭环明细任务ID×事实准出门禁,false,false,false,false,false,false,false,false,false,8,FIRSTDETAIL-0a008f059b306a64,FIRSTRESULT-9bb5a0770cde9499,FIRSTEVID-f841a32701e6db43,FIRSTNEXT-a9159d1aa92823f3,FIRSTPAGE-ffc90431edf15154,018-left,18,left,M-f588b8040b4edb64,G-2432826275c85956,A033,专业计划数,E0-冲突异常双人优先核验,N0-先双人核PDF原页冲突,Q0-冲突页列第一批先核,3,3,0,0,blocked_w0_b0_core_pdf_hubei×3,G0-W0B0核心事实优先阻断×3,字段事实-专业计划数×1；字段事实-再选科目×1；字段事实-学费×1,3,3,3,3,0,3,0,ed166a9d730135f7,任务内事实仍缺PDF原页和湖北官方侧闭环；不得写回字段事实或生成推荐。,not_final；resolution_gate_only；no_field_values；no_school_names；no_major_names；no_private_paths；no_ocr_text；no_recommendation
FCFACTRESTASK-1602f939779de6f6,data/working/issue19-first-closure-fact-resolution-gate-v1-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_fact_resolution_gate_v1,第一闭环事实准出任务汇总,稳定基座第一闭环明细任务ID×事实准出门禁,false,false,false,false,false,false,false,false,false,9,FIRSTDETAIL-0be9752f6cd20305,FIRSTRESULT-6aa26d21f54b6eba,FIRSTEVID-6f708b6eaf93f016,FIRSTNEXT-f7f6b0588670afa4,FIRSTPAGE-b55961124bc8610b,226-left,226,left,M-697f5f955ecc00c8,G-01338c1d774310d5,K486,专业计划数,E1-计划数补缺或偏大优先核验,N1-高校补缺线索回PDF原页,Q1-补缺或计划数偏大页列先核,3,3,0,0,blocked_b0_companion_pdf_hubei×3,G1-B0同页伴生事实阻断×3,字段事实-专业计划数×1；字段事实-再选科目×1；字段事实-学费×1,3,3,3,3,0,3,0,94ace9688a65ba65,任务内事实仍缺PDF原页和湖北官方侧闭环；不得写回字段事实或生成推荐。,not_final；resolution_gate_only；no_field_values；no_school_names；no_major_names；no_private_paths；no_ocr_text；no_recommendation
FCFACTRESTASK-ba05114a59b0118d,data/working/issue19-first-closure-fact-resolution-gate-v1-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_fact_resolution_gate_v1,第一闭环事实准出任务汇总,稳定基座第一闭环明细任务ID×事实准出门禁,false,false,false,false,false,false,false,false,false,10,FIRSTDETAIL-0c2c7f71cddb2ffe,FIRSTRESULT-e664f26c275daf62,FIRSTEVID-de0dbb51d9cea1ed,FIRSTNEXT-1599394d9161b7ac,FIRSTPAGE-b55961124bc8610b,226-left,226,left,M-c1f8f0fd7414b38f,G-01338c1d774310d5,K486,专业计划数,E1-计划数补缺或偏大优先核验,N2-机器坐标辅助核PDF原页,Q1-补缺或计划数偏大页列先核,1,1,0,0,blocked_b0_companion_pdf_hubei×1,G1-B0同页伴生事实阻断×1,字段事实-专业计划数×1,1,1,0,1,0,1,0,c83b8ef02f8ab1ca,任务内事实仍缺PDF原页和湖北官方侧闭环；不得写回字段事实或生成推荐。,not_final；resolution_gate_only；no_field_values；no_school_names；no_major_names；no_private_paths；no_ocr_text；no_recommendation
