第一闭环字段核验状态ID,来源第一闭环下一步动作矩阵,来源字段事实核验任务,来源高校源E0人工回页队列,来源期号,来源PDF_SHA256,生成日期,数据阶段,主表粒度,任务粒度,最终可用,可进入下一阶段,可否进入最终志愿方案,是否允许作为志愿推荐依据,是否允许自动写回主表,是否允许官网证据替代湖北官方计划,是否允许生成学校专业建议,是否允许写回字段事实,字段状态序号,第一闭环下一步动作ID,稳定基座第一闭环明细任务ID,稳定基座第一闭环页列包ID,来源页码,版面列,页码版面键,专业行ID,专业组出现ID,院校代码,任务来源类型,字段名,字段映射状态,字段事实核验任务ID,字段事实状态,字段核验优先级,字段PDF核验状态,字段湖北官方核验状态,字段事实闭环等级,字段事实阻断等级,字段事实缺口类型,PDF原页证据状态,OCR提示状态,机器坐标提示状态,高校辅证证据状态,湖北官方侧状态,冲突状态,三方闭环状态,核验动作层级,执行泳道,同校高校源可用性,同校高校源最高证据层级,同校E0人工回页任务数,同校E0风险桶分布,PDF原页核页状态,湖北官方系统或省招办计划核验状态,高校官网源状态,字段事实写回状态,当前阻断原因,下一步核验动作,公开安全策略
FIRSTFIELDSTATUS-c64821e360a95d56,data/working/issue19-stable-foundation-first-closure-next-action-matrix.csv,data/working/issue19-field-fact-verification-tasks.csv,data/working/issue19-school-source-e0-manual-page-review-queue-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_field_verification_status,第一闭环明细任务×待核字段,拆分后的字段级公开核验状态；不保存字段读数或候选文本,false,false,false,false,false,false,false,false,1,FIRSTNEXT-6f42905cd03d102c,FIRSTDETAIL-9bf7591b36b04599,FIRSTPAGE-1d715f85ac144ecb,14,left,014-left,M-0e3eab5eafd98476,G-3a0c940c9affcb18,A010,P0人工字段任务,专业计划数,M1-已映射字段事实核验任务,FIELDVERIFY-b25e9932c1f05eeb,K0-字段缺口无候选需原页重读,P0-字段无候选原页重读,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,L3-单字段缺口无候选需重读,Q0-字段缺口无候选阻断,专业计划数,P1-有机器坐标提示，仍待PDF原页人工核验,O4-无PDFOCR但有机器坐标提示,M1-有机器坐标提示可辅助定位,S0-无高校字段线索，本任务高校辅证不适用,pending_hubei_official_review,C4-无可比候选，需人工看图或随页列闭环,pending_private_three_way_field_confirmation,N2-机器坐标辅助核PDF原页,E1-计划数补缺或偏大优先核验,SNA-同校不在80条高校源任务内,LX-同校暂无高校源对齐任务,0,,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,PDF原页未完成逐字段核页；湖北官方系统或省招办计划未核验；字段无稳定提示需原页重读,按机器坐标提示定位原页字段，完成人工记录后再核湖北官方侧。,字段级公开状态只保存ID、状态桶、计数和核验动作；不保存院校名称、专业名称、字段读数、OCR正文、人工记录、图片路径或登录态。
FIRSTFIELDSTATUS-1ed9272873b4c63c,data/working/issue19-stable-foundation-first-closure-next-action-matrix.csv,data/working/issue19-field-fact-verification-tasks.csv,data/working/issue19-school-source-e0-manual-page-review-queue-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_field_verification_status,第一闭环明细任务×待核字段,拆分后的字段级公开核验状态；不保存字段读数或候选文本,false,false,false,false,false,false,false,false,2,FIRSTNEXT-193e9146d77e017c,FIRSTDETAIL-06b9748c821af613,FIRSTPAGE-ffc90431edf15154,18,left,018-left,M-83af574ae53d478b,G-df1242f8618d3971,A033,自动官网辅证任务,专业计划数,M1-已映射字段事实核验任务,FIELDVERIFY-33ecf2bef3ac4177,K0-字段缺口无候选需原页重读,P0-字段无候选原页重读,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,L1-两字段缺口优先补证,Q1-字段缺口有候选待人工核验,再选科目；专业计划数,P2-有PDFOCR提示，仍待PDF原页人工确认,O1-PDFOCR与高校辅证有一致字段但仍待官方闭环,M0-无机器坐标提示,S1-有高校辅证线索或自动官网任务，待私有辅证记录,pending_hubei_official_review,C2-多源有一致线索，仍待湖北官方侧闭环,pending_private_three_way_field_confirmation,N5-多源一致仍待湖北官方侧,E0-冲突异常双人优先核验,S3-同校已有结构化或diff线索可作核页提示,L3-已有湖北物理结构化或候选diff线索,2,M0-计划数冲突或高校侧差异先核×1；M1-OCR补缺线索先核×1,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,PDF原页未完成逐字段核页；湖北官方系统或省招办计划未核验；字段无稳定提示需原页重读,保留多源一致线索，但必须等湖北官方侧确认后才能评估写回。,字段级公开状态只保存ID、状态桶、计数和核验动作；不保存院校名称、专业名称、字段读数、OCR正文、人工记录、图片路径或登录态。
FIRSTFIELDSTATUS-b3bdb42d49401361,data/working/issue19-stable-foundation-first-closure-next-action-matrix.csv,data/working/issue19-field-fact-verification-tasks.csv,data/working/issue19-school-source-e0-manual-page-review-queue-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_field_verification_status,第一闭环明细任务×待核字段,拆分后的字段级公开核验状态；不保存字段读数或候选文本,false,false,false,false,false,false,false,false,3,FIRSTNEXT-193e9146d77e017c,FIRSTDETAIL-06b9748c821af613,FIRSTPAGE-ffc90431edf15154,18,left,018-left,M-83af574ae53d478b,G-df1242f8618d3971,A033,自动官网辅证任务,再选科目,M1-已映射字段事实核验任务,FIELDVERIFY-b38720a88ad26c49,K1-字段缺口有候选待PDF原页和官方核验,P1-字段有候选回看原页和官方,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,L1-两字段缺口优先补证,Q1-字段缺口有候选待人工核验,再选科目；专业计划数,P2-有PDFOCR提示，仍待PDF原页人工确认,O1-PDFOCR与高校辅证有一致字段但仍待官方闭环,M0-无机器坐标提示,S1-有高校辅证线索或自动官网任务，待私有辅证记录,pending_hubei_official_review,C2-多源有一致线索，仍待湖北官方侧闭环,pending_private_three_way_field_confirmation,N5-多源一致仍待湖北官方侧,E0-冲突异常双人优先核验,S3-同校已有结构化或diff线索可作核页提示,L3-已有湖北物理结构化或候选diff线索,2,M0-计划数冲突或高校侧差异先核×1；M1-OCR补缺线索先核×1,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,PDF原页未完成逐字段核页；湖北官方系统或省招办计划未核验,保留多源一致线索，但必须等湖北官方侧确认后才能评估写回。,字段级公开状态只保存ID、状态桶、计数和核验动作；不保存院校名称、专业名称、字段读数、OCR正文、人工记录、图片路径或登录态。
FIRSTFIELDSTATUS-3c5b577dd1fc354c,data/working/issue19-stable-foundation-first-closure-next-action-matrix.csv,data/working/issue19-field-fact-verification-tasks.csv,data/working/issue19-school-source-e0-manual-page-review-queue-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_field_verification_status,第一闭环明细任务×待核字段,拆分后的字段级公开核验状态；不保存字段读数或候选文本,false,false,false,false,false,false,false,false,4,FIRSTNEXT-193e9146d77e017c,FIRSTDETAIL-06b9748c821af613,FIRSTPAGE-ffc90431edf15154,18,left,018-left,M-83af574ae53d478b,G-df1242f8618d3971,A033,自动官网辅证任务,学费,M1-已映射字段事实核验任务,FIELDVERIFY-97c435281800a6c5,K2-OCR候选存在但三方核验未闭环,P3-OCR齐全字段三方闭环,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,L1-两字段缺口优先补证,Q1-字段缺口有候选待人工核验,再选科目；专业计划数,P2-有PDFOCR提示，仍待PDF原页人工确认,O1-PDFOCR与高校辅证有一致字段但仍待官方闭环,M0-无机器坐标提示,S1-有高校辅证线索或自动官网任务，待私有辅证记录,pending_hubei_official_review,C2-多源有一致线索，仍待湖北官方侧闭环,pending_private_three_way_field_confirmation,N5-多源一致仍待湖北官方侧,E0-冲突异常双人优先核验,S3-同校已有结构化或diff线索可作核页提示,L3-已有湖北物理结构化或候选diff线索,2,M0-计划数冲突或高校侧差异先核×1；M1-OCR补缺线索先核×1,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,PDF原页未完成逐字段核页；湖北官方系统或省招办计划未核验,保留多源一致线索，但必须等湖北官方侧确认后才能评估写回。,字段级公开状态只保存ID、状态桶、计数和核验动作；不保存院校名称、专业名称、字段读数、OCR正文、人工记录、图片路径或登录态。
FIRSTFIELDSTATUS-6f78b3ee481b553d,data/working/issue19-stable-foundation-first-closure-next-action-matrix.csv,data/working/issue19-field-fact-verification-tasks.csv,data/working/issue19-school-source-e0-manual-page-review-queue-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_field_verification_status,第一闭环明细任务×待核字段,拆分后的字段级公开核验状态；不保存字段读数或候选文本,false,false,false,false,false,false,false,false,5,FIRSTNEXT-a9159d1aa92823f3,FIRSTDETAIL-0a008f059b306a64,FIRSTPAGE-ffc90431edf15154,18,left,018-left,M-f588b8040b4edb64,G-2432826275c85956,A033,自动官网辅证任务,专业计划数,M1-已映射字段事实核验任务,FIELDVERIFY-65e622eed2dee75e,K0-字段缺口无候选需原页重读,P0-字段无候选原页重读,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,L1-两字段缺口优先补证,Q1-字段缺口有候选待人工核验,再选科目；专业计划数,P0-有冲突线索，PDF原页优先人工核验,O0-PDFOCR与高校辅证冲突,M0-无机器坐标提示,S1-有高校辅证线索或自动官网任务，待私有辅证记录,pending_hubei_official_review,C0-PDFOCR与高校辅证冲突，必须回PDF原页和湖北官方侧,pending_private_three_way_field_confirmation,N0-先双人核PDF原页冲突,E0-冲突异常双人优先核验,S3-同校已有结构化或diff线索可作核页提示,L3-已有湖北物理结构化或候选diff线索,2,M0-计划数冲突或高校侧差异先核×1；M1-OCR补缺线索先核×1,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,PDF原页未完成逐字段核页；湖北官方系统或省招办计划未核验；字段无稳定提示需原页重读；存在PDFOCR与高校辅证冲突线索,双人回看PDF原页，先判定PDFOCR与高校辅证冲突字段，再核湖北官方侧。,字段级公开状态只保存ID、状态桶、计数和核验动作；不保存院校名称、专业名称、字段读数、OCR正文、人工记录、图片路径或登录态。
FIRSTFIELDSTATUS-f43e418a4a9f10a4,data/working/issue19-stable-foundation-first-closure-next-action-matrix.csv,data/working/issue19-field-fact-verification-tasks.csv,data/working/issue19-school-source-e0-manual-page-review-queue-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_field_verification_status,第一闭环明细任务×待核字段,拆分后的字段级公开核验状态；不保存字段读数或候选文本,false,false,false,false,false,false,false,false,6,FIRSTNEXT-a9159d1aa92823f3,FIRSTDETAIL-0a008f059b306a64,FIRSTPAGE-ffc90431edf15154,18,left,018-left,M-f588b8040b4edb64,G-2432826275c85956,A033,自动官网辅证任务,再选科目,M1-已映射字段事实核验任务,FIELDVERIFY-c75e4df1f5beca0d,K1-字段缺口有候选待PDF原页和官方核验,P1-字段有候选回看原页和官方,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,L1-两字段缺口优先补证,Q1-字段缺口有候选待人工核验,再选科目；专业计划数,P0-有冲突线索，PDF原页优先人工核验,O0-PDFOCR与高校辅证冲突,M0-无机器坐标提示,S1-有高校辅证线索或自动官网任务，待私有辅证记录,pending_hubei_official_review,C0-PDFOCR与高校辅证冲突，必须回PDF原页和湖北官方侧,pending_private_three_way_field_confirmation,N0-先双人核PDF原页冲突,E0-冲突异常双人优先核验,S3-同校已有结构化或diff线索可作核页提示,L3-已有湖北物理结构化或候选diff线索,2,M0-计划数冲突或高校侧差异先核×1；M1-OCR补缺线索先核×1,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,PDF原页未完成逐字段核页；湖北官方系统或省招办计划未核验；存在PDFOCR与高校辅证冲突线索,双人回看PDF原页，先判定PDFOCR与高校辅证冲突字段，再核湖北官方侧。,字段级公开状态只保存ID、状态桶、计数和核验动作；不保存院校名称、专业名称、字段读数、OCR正文、人工记录、图片路径或登录态。
FIRSTFIELDSTATUS-61740be8abd131e9,data/working/issue19-stable-foundation-first-closure-next-action-matrix.csv,data/working/issue19-field-fact-verification-tasks.csv,data/working/issue19-school-source-e0-manual-page-review-queue-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_field_verification_status,第一闭环明细任务×待核字段,拆分后的字段级公开核验状态；不保存字段读数或候选文本,false,false,false,false,false,false,false,false,7,FIRSTNEXT-a9159d1aa92823f3,FIRSTDETAIL-0a008f059b306a64,FIRSTPAGE-ffc90431edf15154,18,left,018-left,M-f588b8040b4edb64,G-2432826275c85956,A033,自动官网辅证任务,学费,M1-已映射字段事实核验任务,FIELDVERIFY-0d14f2589e1a34f7,K2-OCR候选存在但三方核验未闭环,P3-OCR齐全字段三方闭环,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,L1-两字段缺口优先补证,Q1-字段缺口有候选待人工核验,再选科目；专业计划数,P0-有冲突线索，PDF原页优先人工核验,O0-PDFOCR与高校辅证冲突,M0-无机器坐标提示,S1-有高校辅证线索或自动官网任务，待私有辅证记录,pending_hubei_official_review,C0-PDFOCR与高校辅证冲突，必须回PDF原页和湖北官方侧,pending_private_three_way_field_confirmation,N0-先双人核PDF原页冲突,E0-冲突异常双人优先核验,S3-同校已有结构化或diff线索可作核页提示,L3-已有湖北物理结构化或候选diff线索,2,M0-计划数冲突或高校侧差异先核×1；M1-OCR补缺线索先核×1,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,PDF原页未完成逐字段核页；湖北官方系统或省招办计划未核验；存在PDFOCR与高校辅证冲突线索,双人回看PDF原页，先判定PDFOCR与高校辅证冲突字段，再核湖北官方侧。,字段级公开状态只保存ID、状态桶、计数和核验动作；不保存院校名称、专业名称、字段读数、OCR正文、人工记录、图片路径或登录态。
FIRSTFIELDSTATUS-39ee6e0c1fbaf1bd,data/working/issue19-stable-foundation-first-closure-next-action-matrix.csv,data/working/issue19-field-fact-verification-tasks.csv,data/working/issue19-school-source-e0-manual-page-review-queue-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_field_verification_status,第一闭环明细任务×待核字段,拆分后的字段级公开核验状态；不保存字段读数或候选文本,false,false,false,false,false,false,false,false,8,FIRSTNEXT-38144f246e303631,FIRSTDETAIL-18f6e592f362a091,FIRSTPAGE-ffc90431edf15154,18,left,018-left,M-fddc2e8a1a4582a1,G-2432826275c85956,A033,P0人工字段任务,专业计划数,M1-已映射字段事实核验任务,FIELDVERIFY-5d4dee5d0315d335,K0-字段缺口无候选需原页重读,P0-字段无候选原页重读,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,L1-两字段缺口优先补证,Q1-字段缺口有候选待人工核验,再选科目；专业计划数,P1-有机器坐标提示，仍待PDF原页人工核验,O4-无PDFOCR但有机器坐标提示,M1-有机器坐标提示可辅助定位,S1-有高校辅证线索或自动官网任务，待私有辅证记录,pending_hubei_official_review,C4-无可比候选，需人工看图或随页列闭环,pending_private_three_way_field_confirmation,N2-机器坐标辅助核PDF原页,E0-冲突异常双人优先核验,S3-同校已有结构化或diff线索可作核页提示,L3-已有湖北物理结构化或候选diff线索,2,M0-计划数冲突或高校侧差异先核×1；M1-OCR补缺线索先核×1,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,PDF原页未完成逐字段核页；湖北官方系统或省招办计划未核验；字段无稳定提示需原页重读,按机器坐标提示定位原页字段，完成人工记录后再核湖北官方侧。,字段级公开状态只保存ID、状态桶、计数和核验动作；不保存院校名称、专业名称、字段读数、OCR正文、人工记录、图片路径或登录态。
FIRSTFIELDSTATUS-420c4755589434eb,data/working/issue19-stable-foundation-first-closure-next-action-matrix.csv,data/working/issue19-field-fact-verification-tasks.csv,data/working/issue19-school-source-e0-manual-page-review-queue-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_field_verification_status,第一闭环明细任务×待核字段,拆分后的字段级公开核验状态；不保存字段读数或候选文本,false,false,false,false,false,false,false,false,9,FIRSTNEXT-0f90723e1d8235e2,FIRSTDETAIL-400b9fb6c1658bc2,FIRSTPAGE-ffc90431edf15154,18,left,018-left,M-03be14d5008a95f0,G-2432826275c85956,A033,自动官网辅证任务,专业计划数,M1-已映射字段事实核验任务,FIELDVERIFY-abcc85e762ca71d3,K0-字段缺口无候选需原页重读,P0-字段无候选原页重读,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,L1-两字段缺口优先补证,Q1-字段缺口有候选待人工核验,再选科目；专业计划数,P2-有PDFOCR提示，仍待PDF原页人工确认,O1-PDFOCR与高校辅证有一致字段但仍待官方闭环,M0-无机器坐标提示,S1-有高校辅证线索或自动官网任务，待私有辅证记录,pending_hubei_official_review,C2-多源有一致线索，仍待湖北官方侧闭环,pending_private_three_way_field_confirmation,N5-多源一致仍待湖北官方侧,E0-冲突异常双人优先核验,S3-同校已有结构化或diff线索可作核页提示,L3-已有湖北物理结构化或候选diff线索,2,M0-计划数冲突或高校侧差异先核×1；M1-OCR补缺线索先核×1,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,PDF原页未完成逐字段核页；湖北官方系统或省招办计划未核验；字段无稳定提示需原页重读,保留多源一致线索，但必须等湖北官方侧确认后才能评估写回。,字段级公开状态只保存ID、状态桶、计数和核验动作；不保存院校名称、专业名称、字段读数、OCR正文、人工记录、图片路径或登录态。
FIRSTFIELDSTATUS-abec9e835b60171a,data/working/issue19-stable-foundation-first-closure-next-action-matrix.csv,data/working/issue19-field-fact-verification-tasks.csv,data/working/issue19-school-source-e0-manual-page-review-queue-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_field_verification_status,第一闭环明细任务×待核字段,拆分后的字段级公开核验状态；不保存字段读数或候选文本,false,false,false,false,false,false,false,false,10,FIRSTNEXT-0f90723e1d8235e2,FIRSTDETAIL-400b9fb6c1658bc2,FIRSTPAGE-ffc90431edf15154,18,left,018-left,M-03be14d5008a95f0,G-2432826275c85956,A033,自动官网辅证任务,再选科目,M1-已映射字段事实核验任务,FIELDVERIFY-c865fbd15267db42,K1-字段缺口有候选待PDF原页和官方核验,P1-字段有候选回看原页和官方,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,L1-两字段缺口优先补证,Q1-字段缺口有候选待人工核验,再选科目；专业计划数,P2-有PDFOCR提示，仍待PDF原页人工确认,O1-PDFOCR与高校辅证有一致字段但仍待官方闭环,M0-无机器坐标提示,S1-有高校辅证线索或自动官网任务，待私有辅证记录,pending_hubei_official_review,C2-多源有一致线索，仍待湖北官方侧闭环,pending_private_three_way_field_confirmation,N5-多源一致仍待湖北官方侧,E0-冲突异常双人优先核验,S3-同校已有结构化或diff线索可作核页提示,L3-已有湖北物理结构化或候选diff线索,2,M0-计划数冲突或高校侧差异先核×1；M1-OCR补缺线索先核×1,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,PDF原页未完成逐字段核页；湖北官方系统或省招办计划未核验,保留多源一致线索，但必须等湖北官方侧确认后才能评估写回。,字段级公开状态只保存ID、状态桶、计数和核验动作；不保存院校名称、专业名称、字段读数、OCR正文、人工记录、图片路径或登录态。
